"","x"
"product",619
"may",356
"custom",299
"adver",265
"manufactur",242
"busi",232
"market",226
"materi",173
"requir",156
"result",153
"affect",148
"financ",143
"technolog",142
"oper",135
"parti",135
"third",126
"abil",120
"intel",120
"includ",119
"addit",109
"develop",109
"secur",108
"certain",106
"sale",106
"effect",104
"time",99
"impact",96
"price",95
"competit",90
"cash",87
"signif",86
"delay",85
"revenu",85
"suffici",83
"abl",80
"payment",79
"purcha",79
"invest",78
"demand",77
"limit",77
"debt",74
"futur",73
"microprocessor",70
"credit",68
"risk",68
"basi",67
"process",67
"depend",66
"suppli",66
"supplier",66
"unabl",66
"condit",65
"note",64
"competitor",63
"increa",63
"meet",63
"experi",61
"substanti",61
"wafer",61
"research",59
"use",59
"graphic",57
"industri",57
"success",57
"econom",55
"caus",54
"comput",54
"design",54
"generat",54
"system",54
"provid",52
"due",50
"term",50
"agreement",49
"cost",49
"factor",48
"fund",48
"portion",48
"standard",48
"sell",47
"flow",46
"obtain",46
"unit",46
"posit",45
"perform",44
"disrupt",43
"expect",43
"default",42
"relat",42
"yield",42
"fail",41
"subject",41
"borrow",40
"continu",40
"inform",40
"reduc",40
"semi",40
"corpor",38
"servic",38
"accept",37
"control",37
"exist",37
"line",37
"implement",36
"lower",36
"need",36
"resourc",36
"account",35
"aggress",35
"consum",35
"restrict",35
"revolv",35
"capac",34
"current",34
"greater",34
"margin",34
"pay",34
"introduct",33
"relationship",32
"ani",31
"data",31
"expenditur",31
"facil",31
"amount",30
"anticip",30
"assur",30
"avail",30
"capit",30
"compani",30
"uncertainti",30
"asset",29
"foundri",29
"govern",29
"plan",29
"strategi",29
"effort",28
"failur",28
"indebt",28
"oblig",28
"properti",28
"share",28
"soc",28
"event",27
"high",27
"moreov",27
"potenti",27
"rate",27
"reli",27
"target",27
"vulner",27
"action",26
"equiti",26
"inventori",26
"long",26
"maintain",26
"quantiti",26
"quarter",26
"access",25
"brand",25
"chang",25
"intellectu",25
"introduc",25
"part",25
"partner",25
"adequ",24
"atmp",24
"channel",24
"fluctuat",24
"global",24
"loss",24
"qualiti",24
"receiv",24
"alloc",23
"end",23
"excess",23
"extern",23
"face",23
"featur",23
"form",23
"incur",23
"order",23
"transit",23
"year",23
"applic",22
"arrang",22
"creat",22
"necessari",22
"reput",22
