"","V1"
"0000006281-12-000010_Business.txt",3
"0000006281-12-000010_Risk.txt",2
"0000006281-13-000040_Business.txt",3
"0000006281-13-000040_Risk.txt",4
"0000006281-14-000039_Business.txt",3
"0000006281-14-000039_Risk.txt",2
"0000006281-15-000044_Business.txt",3
"0000006281-15-000044_Risk.txt",2
"0000006281-16-000097_Business.txt",3
"0000006281-16-000097_Risk.txt",2
"0000006281-17-000144_Business.txt",3
"0000006281-17-000144_Risk.txt",2
"0000006281-18-000126_Business.txt",3
"0000006281-18-000126_Risk.txt",2
"0000006281-19-000144_Business.txt",3
"0000006281-19-000144_Risk.txt",2
"0000006281-20-000156_Business.txt",2
"0000006281-20-000156_Risk.txt",2
