"","x"
"compani",1246
"million",739
"product",720
"revenu",618
"year",609
"decemb",559
"softwar",515
"end",512
"increa",508
"tax",460
"licen",447
"incom",441
"simul",394
"cost",373
"develop",371
"expen",363
"provid",340
"design",339
"ansi",308
"relat",298
"sale",295
"mainten",287
"result",268
"acquisit",249
"amount",245
"net",245
"includ",233
"technolog",226
"custom",219
"impact",215
"compar",204
"engin",194
"tabl",192
"servic",191
"financ",189
"total",187
"oper",183
"primarili",181
"due",179
"use",175
"gaap",171
"rate",170
"support",167
"base",161
"respect",159
"system",159
"solut",154
"follow",153
"non",153
"research",152
"electron",148
"combin",147
"adjust",144
"measur",143
"busi",142
"report",138
"account",135
"activ",134
"share",133
"contract",132
"decrea",132
"foreign",132
"capabl",129
"integr",129
"suit",129
"process",128
"period",127
"market",122
"currenc",119
"defer",119
"effect",119
"thousand",117
"acquir",115
"analysi",114
"compen",114
"direct",112
"enabl",110
"repr",110
"comput",109
"addit",106
"agreement",106
"manag",105
"perform",105
"perpetu",104
"amort",103
"applic",103
"continu",102
"earn",102
"lea",102
"channel",99
"partner",98
"data",96
"per",95
"technic",94
"associ",92
"growth",91
"industri",91
"invest",91
"global",89
"interest",89
"employ",87
"asc",86
"model",86
"platform",86
"amortiz",85
"annual",84
"high",83
"general",82
"provi",82
"materi",81
"optim",81
"percentag",81
"fluid",80
"power",80
"time",80
"may",79
"dilut",78
"except",76
"physic",76
"profit",76
"term",76
"complex",75
"tool",74
"administr",73
"esterel",73
"expand",73
"lead",73
"sell",73
"apach",71
"stock",71
"user",70
"advanc",69
"chang",69
"date",69
"balanc",68
"enhanc",67
"inform",67
"operat",67
"cad",66
"trade",66
"record",65
"averag",64
"certain",64
"ofrevenu",64
"complet",63
"current",63
"benefit",62
"requir",62
"futur",61
"purcha",61
"valu",61
"cloud",60
"environ",60
"reduct",59
"relea",59
"salari",59
"qualiti",58
"allow",57
"asset",57
"deliv",57
"organ",57
"prior",57
"translat",57
"function",55
"constant",54
"reflect",54
"autom",53
"gross",53
"headcount",53
"offer",53
"portfolio",53
"statement",52
"across",51
"structur",51
"third",51
"comprehen",50
"consist",50
"major",50
"relationship",50
"signif",50
"consolid",49
"hpc",49
"protect",49
"secret",49
"sold",49
"subsidiari",49
"deriv",48
"distribut",48
"domest",48
"full",48
"innov",48
"world",48
"form",47
"parti",47
"rang",47
"special",47
"workbench",47
"creat",46
"line",45
"month",45
"part",45
"project",45
"consult",44
"corpor",44
"credit",44
"multiphi",44
"patent",44
"proprietari",44
"strateg",44
"within",44
"histor",43
"offset",43
"wide",43
"approxim",42
"entir",42
"improv",42
"mesh",42
"offic",42
"accord",41
"believ",41
"emb",41
"establish",41
"exchang",41
"factor",41
"level",41
"prototyp",41
"transact",41
"backlog",40
"broad",40
"intang",40
"japan",40
"ongo",40
"price",40
"reform",40
"spaceclaim",40
"access",39
"cash",39
"discuss",39
"focus",39
"adver",38
"avail",38
"item",38
"lower",38
"mechan",38
"automot",37
"interact",37
"manufactur",37
"network",37
"quarter",37
"return",37
"weight",37
