"","x"
"servic",510
"client",459
"busi",398
"oper",312
"financ",300
"result",284
"may",281
"provid",263
"secur",197
"system",196
"revenu",186
"market",176
"adver",174
"includ",167
"parti",161
"technolog",161
"manag",160
"addit",158
"data",158
"process",157
"increa",142
"inform",142
"chang",137
"third",131
"compani",130
"activ",116
"communic",114
"affect",113
"event",111
"regul",111
"solut",108
"cost",106
"effect",106
"regulatori",103
"continu",102
"materi",101
"acquisit",100
"requir",100
"signif",98
"year",98
"abil",96
"impact",95
"product",95
"investor",88
"growth",87
"law",87
"risk",87
"failur",86
"caus",84
"certain",84
"subject",83
"condit",81
"perform",80
"harm",79
"fund",77
"center",75
"futur",74
"million",73
"disast",72
"loss",72
"proxi",71
"time",70
"custom",68
"june",67
"lose",66
"reduc",66
"abl",65
"depend",65
"intern",65
"number",65
"particip",64
"report",64
"term",64
"person",63
"rate",62
"base",61
"integr",61
"conduct",60
"use",59
"fiscal",58
"level",58
"plan",58
"cash",56
"global",55
"reput",55
"decrea",54
"breach",53
"damag",53
"non",53
"acquir",52
"personnel",52
"vendor",52
"consolid",50
"success",49
"attack",48
"earn",48
"industri",48
"protect",48
"retain",48
"tax",48
"trade",48
"due",47
"employ",47
"infr",47
"invest",47
"mutual",47
"claim",46
"current",46
"distribut",46
"fail",46
"asset",45
"firm",45
"recoveri",45
"relat",45
"expen",43
"posit",43
"control",42
"institut",42
"need",42
"transact",42
"annual",40
"end",40
"intellectu",40
"offer",40
"unabl",40
"volum",40
"borrow",39
"cybersecur",39
"demand",39
"driven",39
"factor",39
"properti",39
"upon",39
"attract",38
"experi",38
"infrastructur",38
"incom",37
"operat",37
"potenti",37
"substanti",37
"develop",36
"econom",36
"fee",36
"foreign",36
"general",36
"incur",36
"capit",35
"compet",35
"compli",35
"obtain",35
"sec",35
"volatil",35
"softwar",34
"comput",33
"deliveri",33
"part",33
"prevent",33
"profit",33
"segment",33
"exist",32
"adjust",31
"capabl",31
"competit",31
"complianc",31
"exchang",31
"legisl",31
"public",31
"access",30
"agreement",30
"error",30
"polit",30
"cloud",29
"identifi",29
"larg",29
"meet",29
"share",29
"believ",28
"carrier",28
"corpor",28
"currenc",28
"disrupt",28
"experienc",28
"gaap",28
"held",28
"ibm",28
"key",28
"opportun",28
"privaci",28
"sensit",28
"ani",27
"applic",27
"contract",27
"govern",27
"inabl",27
"liabil",27
"respond",27
"agenc",26
"author",26
"basi",26
"function",26
"licen",26
"manner",26
"offic",26
"proprietari",26
"transfer",26
"assur",25
"bank",25
"behalf",25
"broker",25
"credit",25
"facil",25
"howev",25
"qualifi",25
"adopt",24
"charg",24
"downgrad",24
"high",24
"interest",24
"merger",24
"place",24
"price",24
"purcha",24
"reason",24
"support",24
"threat",24
"commun",23
"competitor",23
"dealer",23
"engag",23
"liabl",23
"limit",23
"negat",23
"oblig",23
"possibl",23
"renew",23
"similar",23
"total",23
"valu",23
"vote",23
"wealth",23
"approxim",22
"beyond",22
"broadridg",22
"electron",22
"follow",22
"lower",22
"net",22
"relationship",22
"state",22
"accur",21
"advisor",21
"associ",21
"benefit",21
"period",21
