"","x"
"servic",951
"financ",569
"busi",531
"client",496
"product",433
"oper",338
"payment",338
"provid",309
"may",305
"process",260
"includ",238
"manag",231
"institut",200
"result",187
"solut",176
"adver",169
"addit",168
"account",157
"system",156
"requir",152
"market",138
"transact",138
"person",135
"regul",132
"materi",131
"electron",129
"card",127
"develop",126
"technolog",122
"condit",121
"industri",121
"bill",116
"network",115
"bank",111
"softwar",110
"custom",109
"increa",105
"offer",105
"use",104
"applic",103
"integr",98
"effect",96
"secur",95
"cost",94
"revenu",93
"compani",92
"risk",92
"consum",87
"data",87
"asset",86
"continu",86
"impact",82
"need",81
"affect",80
"limit",80
"mobil",80
"chang",79
"parti",78
"state",78
"segment",76
"inc",75
"potenti",75
"support",73
"abil",72
"feder",72
"futur",71
"enabl",69
"inform",69
"certain",68
"exist",68
"competitor",67
"term",67
"acquir",66
"invest",65
"liabil",65
"third",65
"compli",64
"compet",63
"merchant",62
"subject",62
"signif",61
"acquisit",60
"act",60
"competit",60
"contract",59
"law",59
"relat",58
"current",57
"report",57
"merger",56
"sale",56
"protect",55
"deliv",53
"direct",53
"intern",53
"time",53
"base",52
"number",51
"success",51
"expect",50
"global",50
"seek",50
"corpor",49
"intellectu",49
"onlin",49
"reduc",48
"rule",48
"credit",47
"tabl",47
"biller",46
"enhanc",46
"meet",46
"abl",45
"complet",44
"failur",44
"properti",44
"valu",44
"access",43
"among",43
"digit",43
"resourc",43
"licen",42
"mani",42
"money",42
"debit",41
"general",41
"high",41
"regulatori",41
"experi",40
"harm",40
"princip",40
"dodd",39
"frank",39
"agreement",38
"capabl",38
"cash",38
"caus",38
"control",38
"event",38
"supervi",38
"cfpb",37
"fail",37
"relationship",37
"vendor",37
"employ",36
"first",36
"innov",36
"believ",35
"fraud",35
"hous",35
"line",35
"comput",34
"delay",34
"negat",34
"obtain",34
"retain",34
"consolid",33
"creat",33
"form",33
"associ",32
"govern",32
"oblig",32
"outsourc",32
"rang",32
"tax",32
"total",32
"within",32
"opportun",31
"pay",31
"perform",31
"trade",31
"capit",30
"captur",30
"design",30
"difficulti",30
"expen",30
"qualiti",30
"substanti",30
"attract",29
"conduct",29
"debt",29
"depend",29
"environ",29
"reput",29
"retail",29
"union",29
"ani",28
"disrupt",28
"econom",28
"examin",28
"generat",28
"impair",28
"implement",28
"maintain",28
"proprietari",28
"sourc",28
"connect",27
"fund",27
"grow",27
"loss",27
"primarili",27
"unit",27
"allow",26
"flexibl",26
"internet",26
"non",26
"sell",26
"similar",26
"author",25
"clear",25
"corillian",25
"fiserv",25
"interest",25
"key",25
"loan",25
"platform",25
"present",25
"program",25
"real",25
"respect",25
"serv",25
"transfer",25
"accept",24
"approxim",24
"favor",24
"growth",24
"lose",24
"achiev",23
"avail",23
"charg",23
"incur",23
"interrupt",23
"issuer",23
"larg",23
"lend",23
"part",23
"popmoney",23
"portfolio",23
"privaci",23
"renew",23
"termin",23
"varieti",23
"view",23
"although",22
"complianc",22
"decemb",22
"enforc",22
"featur",22
"identifi",22
"indemnifi",22
"locat",22
"matter",22
"multipl",22
"plan",22
"technic",22
"tool",22
"various",22
"websit",22
"agr",21
"amount",21
"annual",21
"appli",21
"billion",21
"center",21
"channel",21
"demand",21
"deposit",21
"expo",21
"fee",21
"subsidiari",21
"action",20
"allianc",20
"basi",20
"complex",20
"earn",20
"enact",20
"evolv",20
"goodwil",20
"intang",20
"issu",20
"mail",20
"necessari",20
"origin",20
"personnel",20
"point",20
"reli",20
"restrict",20
"suit",20
"unabl",20
"wide",20
"effici",19
"experti",19
"infr",19
"item",19
"nation",19
"numer",19
"outsid",19
"patent",19
"period",19
"repr",19
"size",19
"solutionsour",19
"standard",19
"util",19
"address",18
"atm",18
"case",18
"certif",18
"claim",18
"consult",18
"foreign",18
"incorpor",18
"larger",18
"level",18
"litig",18
"manner",18
"profit",18
"purcha",18
"receiv",18
"specif",18
"adopt",17
"cybersecur",17
"file",17
"greater",17
"introduct",17
"major",17
"reform",17
"best",16
"combin",16
"consid",16
"damag",16
"deliveri",16
"dna",16
"establish",16
"indebt",16
"introduc",16
"leader",16
"mastercard",16
"modifi",16
"must",16
"price",16
"reduct",16
"strong",16
"via",16
"visa",16
"activ",15
"anti",15
"brand",15
"check",15
"com",15
"commerc",15
"deci",15
"defect",15
"enter",15
"entiti",15
"factor",15
"fine",15
"focus",15
"follow",15
"independ",15
"launder",15
"long",15
"offic",15
"practic",15
"prevent",15
"primari",15
"public",15
"purpo",15
"rate",15
"signatur",15
"statement",15
"walk",15
"across",14
"approv",14
"comprehen",14
"diver",14
"exchang",14
"guidanc",14
"jurisdict",14
"lead",14
"local",14
"oversight",14
"partner",14
"processor",14
"quarter",14
"reason",14
"satisfi",14
"strateg",14
"upon",14
"violat",14
"aspect",13
"assur",13
"balanc",13
"benefit",13
"complement",13
"conveni",13
"document",13
"fulfil",13
"group",13
"henri",13
"imag",13
"improv",13
"instal",13
"jack",13
"measur",13
"ongo",13
"organ",13
"portion",13
"prior",13
"promot",13
"realiz",13
"regard",13
"store",13
"strategi",13
"ach",12
"anticip",12
"assess",12
"bureau",12
"candid",12
"carri",12
"consist",12
"countri",12
"decid",12
"decrea",12
"devic",12
"easi",12
"effort",12
"face",12
"fis",12
"howev",12
"impo",12
"infrastructur",12
"insur",12
"leverag",12
"member",12
"natur",12
"print",12
"reliabl",12
"remedi",12
"scale",12
"senior",12
"sophist",12
"special",12
"street",12
"thrift",12
"train",12
"wall",12
"anoth",11
"antitrust",11
"autom",11
"board",11
"breadth",11
"close",11
"compri",11
"detect",11
"distribut",11
"drive",11
"engag",11
"enterpri",11
"exampl",11
"expenditur",11
"extend",11
"facilit",11
"fewer",11
"flow",11
"help",11
"incom",11
"investor",11
"loyalti",11
"manufactur",11
"misappropri",11
"order",11
"place",11
"prohibit",11
"sinc",11
"suspend",11
"unauthor",11
"www",11
"architect",10
"capac",10
"choo",10
"day",10
"difficult",10
"disciplin",10
"divert",10
"either",10
"elimin",10
"error",10
"histor",10
"licensur",10
"llc",10
"negoti",10
"net",10
"nonbank",10
"operat",10
"particip",10
"pos",10
"posit",10
"possess",10
"propo",10
"save",10
"start",10
"tablet",10
"team",10
"telephon",10
"tradit",10
"transmitt",10
"trust",10
"type",10
"wisconsin",10
"worldwid",10
"year",10
"accel",9
"add",9
"attempt",9
"broad",9
"communic",9
"contain",9
"conver",9
"cooper",9
"copyright",9
"currenc",9
"discontinu",9
"domest",9
"effectiv",9
"empow",9
"encount",9
"equiti",9
"expand",9
"extent",9
"firm",9
"fores",9
"free",9
"furthermor",9
"host",9
"initi",9
"involv",9
"media",9
"might",9
"mortgag",9
"open",9
"optim",9
"otherwi",9
"output",9
"owner",9
"penalti",9
"possibl",9
"predict",9
"principl",9
"prolong",9
"rapid",9
"registr",9
