"","x"
"may",262
"busi",241
"oper",232
"servic",232
"result",207
"client",183
"product",183
"addit",165
"revenu",160
"increa",142
"financ",140
"includ",121
"compani",119
"contract",119
"signif",118
"futur",117
"tax",108
"chang",107
"impact",104
"event",99
"requir",95
"time",92
"affect",91
"inform",91
"market",91
"adver",88
"relat",88
"condit",85
"consult",84
"rate",83
"sale",82
"competit",80
"provid",76
"valu",76
"cost",75
"million",73
"research",73
"risk",72
"stock",70
"base",68
"abil",67
"effect",67
"acquisit",66
"materi",65
"foreign",63
"account",62
"continu",62
"asset",61
"success",61
"cash",60
"govern",60
"law",59
"use",59
"amount",58
"negat",57
"total",55
"need",54
"subject",54
"failur",53
"decemb",52
"year",52
"credit",51
"develop",50
"maintain",50
"exist",48
"loss",48
"period",48
"consolid",47
"secur",47
"compet",46
"incom",46
"posit",46
"expen",45
"intern",45
"confer",44
"factor",44
"term",44
"current",43
"disrupt",43
"note",43
"protect",43
"qualiti",42
"state",42
"critic",41
"data",41
"estim",41
"price",41
"brand",40
"currenc",40
"statement",40
"compar",39
"econom",39
"employ",39
"report",39
"system",39
"agreement",38
"debt",38
"general",38
"substanti",38
"acquir",37
"deliv",37
"avail",36
"basi",36
"flow",36
"global",36
"lea",36
"manag",36
"non",36
"respect",36
"segment",36
"abl",35
"face",35
"number",35
"technolog",35
"certain",34
"engag",34
"growth",34
"personnel",34
"reput",34
"retent",34
"countri",33
"gartner",33
"local",33
"properti",33
"unit",33
"appropri",32
"arrang",32
"intellectu",32
"potenti",32
"applic",31
"limit",31
"perform",31
"recogn",31
"decrea",30
"intang",30
"polici",30
"asu",29
"fair",29
"adopt",28
"common",28
"generat",28
"outsid",28
"regard",28
"analysi",27
"compen",27
"due",27
"earn",27
"harm",27
"measur",27
"numer",27
"offer",27
"repr",27
"subscript",27
"activ",26
"invest",26
"outstand",26
"renew",26
"annual",25
"agenc",24
"custom",24
"determin",24
"high",24
"retain",24
"trade",24
"user",24
"ani",23
"assess",23
"attack",23
"caus",23
"collect",23
"comput",23
"date",23
"depend",23
"howev",23
"impair",23
"internet",23
"locat",23
"meet",23
"present",23
"process",23
"project",23
