"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","amount","loss","decemb","custom","asset"
"2","report","merchant","servic","year","use"
"3","tax","guarant","oper","incom","determin"
"4","unit","check","payment","includ","estim"
"5","chang","process","revenu","period","fair"
"6","perform","million","market","softwar","carri"
"7","amort","valu","end","effect","intang"
"8","may","percentag","solut","base","impair"
"9","signif","may","acquisit","million","valu"
"10","account","respect","direct","financ","flow"
"11","asset","platform","note","result","assess"
"12","relat","volum","busi","consolid","requir"
"13","benefit","estim","expen","qualit","live"
"14","adjust","unit","fee","statement","project"
"15","capit","histor","provid","futur","cost"
"16","expect","servic","technolog","tax","cash"
"17","acquir","incur","account","exist","contract"
"18","circumst","factor","continu","primarili","issu"
"19","test","collect","segment","standard","evalu"
"20","expen","charg","transact","believ","defer"
"21","basi","liabil","vertic","affect","occur"
"22","goodwil","associ","support","adopt","life"
"23","complet","asu","compani","due","trademark"
"24","intern","goodwil","function","present","annual"
"25","provi","fiscal","fund","tabl","end"
"26","total","card","increa","busi","market"
"27","long","balanc","network","pacif","sheet"
"28","oper","credit","result","refer","altern"
"29","event","develop","share","recogn","applic"
"30","manag","billion","channel","revenu","indic"
"31","stage","date","distribut","north","period"
"32","time","increa","enterpri","alloc","judgment"
"33","agreement","known","valu","certain","recov"
"34","amortiz","receiv","america","general","differ"
"35","pattern","transact","compar","net","method"
"36","preliminari","author","europ","activ","factor"
"37","pronounc","record","month","line","quantit"
"38","condit","step","price","manag","event"
"39","calcul","assumpt","accompani","portion","intend"
"40","decrea","entiti","cash","prior","posit"
"41","deriv","impli","cost","recent","develop"
"42","method","materi","expand","technolog","merchant"
"43","realiz","actual","januari","within","accompani"
"44","return","amend","system","howev","discount"
"45","specif","level","twelv","manner","attrit"
"46","cash","provi","approxim","servic","equip"
"47","servic","repr","credit","note","made"
"48","base","base","earn","valu","plan"
"49","polici","experienc","global","associ","yet"
"50","respect","impair","offer","current","appli"
"51","schedul","rate","report","regard","initi"
"52","technolog","accur","third","risk","measur"
"53","limit","amort","act","settlement","properti"
"54","sustain","depreci","addit","term","record"
"55","approach","estimat","consid","balanc","combin"
"56","asc","face","consist","describ","consid"
"57","equal","involv","discuss","fiscal","current"
"58","finit","place","enabl","parti","elect"
"59","less","ratio","growth","previous","accel"
"60","net","region","margin","referr","analysi"
"61","spain","reserv","paid","similar","level"
"62","asia","checkwrit","pay","topic","name"
"63","decemb","compar","present","approxim","straight"
"64","inform","risk","sale","dure","busi"
"65","item","impact","administr","fasb","decrea"
"66","januari","number","asia","guidanc","oblig"
"67","law","relat","conceptu","industri","unit"
"68","qualit","rever","electron","measur","excess"
"69","act","asset","facil","seven","russia"
"70","author","begin","fulli","arrang","select"
"71","liabil","chang","inc","divid","trade"
"72","price","experi","number","factor","unrecogn"
"73","recogn","net","octob","form","avail"
"74","revi","report","per","generat","complex"
"75","summari","valuat","region","probabl","date"
"76","accel","accrual","sell","replac","disclosur"
"77","addit","appli","serv","respect","final"
"78","extent","collat","sinc","state","forecast"
"79","over","foreign","total","substanti","fulli"
"80","provis","full","varieti","transit","howev"
"81","reflect","live","without","vari","necessari"
"82","america","part","acquir","follow","obsolesc"
"83","certain","procedur","advancedmd","hardwar","recent"
"84","compri","unabl","capit","invest","reduc"
"85","consist","uncertainti","competit","literatur","central"
"86","includ","bank","data","percentag","eventu"
"87","option","bankruptci","depend","roll","interdepend"
"88","prospect","proper","draw","undiscount","jurisdict"
"89","provid","resolv","emerg","analyz","multipli"
"90","sab","util","grow","capabl","new"
"91","acquisit","believ","incorpor","cloud","particular"
"92","control","carryforward","industri","execut","potenti"
"93","experi","chargeback","integr","fraud","taxabl"
"94","implement","claim","iso","given","arriv"
"95","note","closur","joint","merit","believ"
"96","possibl","content","june","non","chargeback"
"97","reason","correspond","major","phase","deduct"
"98","technic","debit","operat","provis","disposit"
"99","appropri","excess","pacif","relationship","enact"
"100","composit","gross","process","subject","general"
