"","x"
"product",370
"may",351
"busi",231
"servic",179
"financ",177
"result",171
"supplier",168
"compon",158
"market",145
"oper",138
"affect",135
"adver",125
"price",122
"custom",114
"condit",97
"addit",89
"perform",85
"increa",78
"develop",77
"competitor",74
"cost",72
"includ",72
"demand",71
"suppli",70
"qualiti",67
"revenu",67
"competit",66
"technolog",63
"certain",58
"margin",58
"risk",57
"relat",55
"sourc",55
"manag",54
"futur",53
"impact",52
"time",48
"distribut",47
"limit",47
"manufactur",47
"continu",46
"period",46
"secur",46
"third",46
"challeng",45
"gross",44
"term",44
"chang",43
"issu",43
"sale",43
"address",42
"delay",42
"parti",42
"net",41
"signif",41
"effect",39
"abil",38
"success",38
"profit",37
"singl",37
"pressur",36
"area",35
"face",35
"rate",35
"channel",34
"compet",34
"disrupt",34
"exist",34
"industri",34
"obtain",34
"trend",34
"abl",33
"effort",33
"failur",33
"declin",32
"depend",32
"exampl",32
"distributor",31
"due",31
"inventori",31
"must",31
"shortag",31
"strategi",31
"associ",30
"cash",30
"innov",30
"requir",30
"expect",29
"unabl",29
"expen",28
"factor",28
"flow",28
"harm",28
"particular",28
"purcha",28
"resourc",28
"econom",27
"order",27
"suffer",27
"worker",27
"execut",26
"invest",26
"materi",26
"offer",26
"partner",25
"research",25
"work",25
"allianc",24
"avail",24
"caus",24
"cont",24
"currenc",24
"favor",24
"mani",24
"negat",24
"relationship",24
"contractu",23
"reli",23
"use",23
"anticip",22
"high",22
"lower",22
"model",22
"replac",22
"weak",22
"accur",21
"geograph",21
"print",21
"provid",21
"receiv",21
"creat",20
"excess",20
"fail",20
"maintain",20
"need",20
"potenti",20
"problem",20
"system",20
"ani",19
"experi",19
"given",19
"growth",19
"reduc",19
"suffici",19
"therefor",19
"vari",19
"moreov",18
"predict",18
"commit",17
"contract",17
"enter",17
"exchang",17
"indirect",17
"loss",17
"volatil",17
"vulner",17
"alloc",16
"conduct",16
"employ",16
"forecast",16
"lead",16
"meet",16
"part",16
"quantiti",16
"respon",16
"statement",16
"subject",16
"uncertainti",16
"agreement",15
"complex",15
"defect",15
"engin",15
"larg",15
"obsolet",15
"processor",15
"upon",15
"brand",14
"consum",14
"control",14
"current",14
"experienc",14
"long",14
"past",14
"quarter",14
"sell",14
"share",14
"solut",14
"advanc",13
"constraint",13
"covid",13
"emerg",13
"expo",13
"follow",13
"fund",13
"global",13
"greater",13
"grow",13
"higher",13
"less",13
"natur",13
"portfolio",13
"printer",13
"process",13
"support",13
"trade",13
"activ",12
"becom",12
"cartridg",12
"claim",12
"contain",12
"deliv",12
"difficult",12
"environ",12
"fluctuat",12
"form",12
"hedg",12
"implement",12
"laser",12
"lose",12
"mix",12
"over",12
"region",12
"reput",12
"respect",12
"segment",12
"set",12
"spend",12
"strateg",12
"substanti",12
"target",12
"toner",12
"unit",12
"various",12
"volum",12
"chain",11
"compani",11
"consolid",11
"difficulti",11
"end",11
"initi",11
"introduc",11
"key",11
"method",11
"offset",11
"practic",11
"reflect",11
"tabl",11
"accord",10
"account",10
"acquir",10
"adjust",10
"appropri",10
"arrang",10
"data",10
"deterior",10
"govern",10
"histor",10
"incur",10
"item",10
"local",10
"macroeconom",10
"non",10
"pass",10
"strong",10
"structur",10
"tariff",10
"weaken",10
"borrow",9
"cancel",9
"decrea",9
"interest",9
"level",9
"locat",9
"mitig",9
"pandem",9
"person",9
"posit",9
"produc",9
"prospect",9
"reason",9
"recent",9
"resel",9
"similar",9
"state",9
"valu",9
"variat",9
"varieti",9
"world",9
"advantag",8
"aggress",8
"altern",8
"among",8
"ari",8
"basi",8
"becaus",8
"better",8
"canon",8
"capac",8
"conflict",8
"consid",8
"credit",8
"decid",8
"deliveri",8
"determin",8
"direct",8
"discontinu",8
"discuss",8
"disput",8
"dollar",8
"enabl",8
"engag",8
"enhanc",8
"european",8
"even",8
"event",8
"exten",8
"improv",8
"intel",8
"inten",8
"landscap",8
