"","x"
"product",1067
"custom",627
"may",581
"result",527
"oper",509
"network",471
"revenu",451
"busi",392
"servic",377
"market",330
"quarter",286
"adver",269
"affect",267
"time",244
"increa",241
"cost",240
"addit",227
"financ",227
"sale",219
"futur",215
"secur",213
"compon",202
"requir",201
"includ",200
"manufactur",199
"condit",198
"system",191
"chang",190
"price",190
"provid",188
"softwar",184
"signif",181
"abil",172
"delay",169
"expect",159
"margin",158
"develop",156
"manag",152
"effect",151
"contract",148
"purcha",146
"order",145
"high",143
"process",142
"partner",139
"econom",133
"continu",132
"cloud",130
"certain",123
"term",122
"factor",120
"period",120
"perform",112
"technolog",109
"caus",108
"plan",106
"competit",105
"fluctuat",105
"impact",105
"exampl",103
"implement",102
"support",102
"compani",101
"reduc",101
"regul",100
"limit",99
"offer",99
"larg",98
"resel",97
"infrastructur",96
"gross",95
"consolid",94
"demand",94
"spend",93
"number",92
"expen",91
"harm",91
"year",91
"competitor",90
"depend",90
"design",88
"deploy",86
"meet",86
"abl",85
"strategi",85
"acquisit",84
"success",83
"lead",81
"recogn",81
"vari",81
"anticip",80
"stock",79
"fail",78
"parti",76
"third",76
"use",76
"base",75
"difficult",75
"basi",74
"need",74
"materi",73
"failur",72
"build",71
"solut",71
"suppli",71
"due",70
"inform",70
"forecast",69
"industri",69
"key",68
"part",68
"relationship",68
"sell",68
"supplier",67
"deliv",66
"distribut",66
"enhanc",66
"enterpri",66
"fiscal",66
"general",66
"applic",65
"believ",65
"tabl",64
"data",63
"long",63
"risk",63
"distributor",61
"experi",61
"particular",61
"receiv",61
"cycl",60
"manner",60
"mix",60
"ship",60
"achiev",59
"mani",59
"opportun",59
"recent",59
"decrea",58
"invest",58
"mainten",57
"sourc",57
"enabl",56
"hardwar",56
"complex",55
"resourc",55
"compet",54
"environ",54
"disrupt",53
"public",53
"short",53
"subject",53
"weak",53
"control",52
"deci",52
"accept",51
"equip",51
"govern",51
"reduct",51
"expand",50
"generat",50
"pressur",50
"declin",48
"platform",48
"valu",48
"charg",47
"juno",47
"occur",47
"seri",47
"substanti",47
"improv",46
"announc",45
"rapid",45
"autom",44
"end",44
"past",44
"face",43
"investor",43
"restructur",43
"vertic",43
"accur",42
"acquir",42
"avail",42
"current",42
"level",42
"address",41
"model",41
"relat",41
"tax",41
"telecommun",41
"trend",41
"associ",40
"issu",40
"negat",40
"project",40
"shortag",40
"ani",39
"channel",39
"common",39
"earn",39
"lengthi",39
"shift",39
"chain",38
"sold",38
"effici",37
"inventori",37
"portion",37
"unpredict",37
"access",35
"exist",35
"greater",35
"growth",35
"state",35
"switch",35
"uncertainti",35
"virtual",35
"center",34
"fix",34
"higher",34
"qualiti",34
"unabl",34
"across",33
"critic",33
"global",33
"introduct",33
"medium",33
"net",33
"procedur",33
"adjust",32
"cancel",32
"capit",32
"function",32
"inten",32
"rang",32
"wide",32
"breach",31
"employ",31
"expan",31
"import",31
"maintain",31
"organ",31
"architectur",30
"challeng",30
"consid",30
"percentag",30
"predict",30
"scale",30
"specif",30
"suffer",30
"countri",29
"direct",29
"integr",29
"late",29
"privat",29
"regard",29
"creat",28
"disaggreg",28
"optim",28
"place",28
"problem",28
"share",28
"subscript",28
"amount",27
"capabl",27
"china",27
"even",27
"initi",27
"innov",27
"major",27
"upon",27
"cisco",26
"encrypt",26
"featur",26
"follow",26
"numer",26
"toward",26
"connect",25
"consequ",25
"contrail",25
"deliveri",25
"edg",25
"impair",25
"junip",25
"potenti",25
"region",25
"reliabl",25
"rout",25
"season",25
"singl",25
"vendor",25
"accord",24
"actual",24
"determin",24
"export",24
"inc",24
"prospect",24
"protect",24
"quantiti",24
"relev",24
"strateg",24
"sustain",24
"attack",23
"differ",23
"evolv",23
"execut",23
"focus",23
"given",23
"intern",23
"introduc",23
"involv",23
"penalti",23
"power",23
"profess",23
"report",23
"size",23
"srx",23
"area",22
"configur",22
"consum",22
"content",22
"excess",22
"expenditur",22
"interfac",22
"law",22
"programm",22
"propo",22
"router",22
"scalabl",22
"sever",22
"variat",22
"account",21
"case",21
"comput",21
"corpor",21
"first",21
"gain",21
"loss",21
"posit",21
"possibl",21
"team",21
"unexpect",21
"agil",20
"among",20
"assur",20
"difficulti",20
"educ",20
"engin",20
"experienc",20
"firew",20
"licen",20
"multipl",20
"portfolio",20
"present",20
"qfx",20
"shipment",20
"small",20
"sporad",20
"structur",20
"therefor",20
"trigger",20
"unit",20
"vulner",20
"wan",20
"also",19
"analyst",19
"cabl",19
"contain",19
"internet",19
"lower",19
"lucent",19
"over",19
"select",19
"warranti",19
"benefit",18
"commun",18
"compri",18
"core",18
"erp",18
"fund",18
"guidanc",18
"incur",18
"intend",18
"interrupt",18
"measur",18
"ongo",18
"ptx",18
"telecom",18
"transform",18
"visibl",18
"alcatel",17
"collect",17
"conflict",17
"cyber",17
"effort",17
"electron",17
"estim",17
"evalu",17
"event",17
"favor",17
"furthermor",17
"mobil",17
"origin",17
"procur",17
"program",17
"renew",17
"transact",17
"world",17
"action",16
"altern",16
"assumpt",16
"branch",16
"combin",16
"commit",16
"defin",16
"disclo",16
"goal",16
"good",16
"outsid",16
"reli",16
"reput",16
"respon",16
"store",16
"suffici",16
"unforeseen",16
"becom",15
"debt",15
"element",15
"establish",15
"ethernet",15
"hacker",15
"histor",15
"independ",15
"liabil",15
"made",15
"oem",15
"point",15
"proprietari",15
"rate",15
"remain",15
"sdn",15
"set",15
"tariff",15
"train",15
"user",15
"advanc",14
"agreement",14
"bug",14
"compar",14
"compromi",14
"damag",14
"decemb",14
"dollar",14
"entri",14
"help",14
"longer",14
"matter",14
"shortfal",14
"sophist",14
"target",14
"transit",14
"type",14
"within",14
"workforc",14
"worldwid",14
"adequ",13
"adopt",13
"asic",13
"class",13
"defect",13
"dell",13
"engag",13
"enter",13
"flexibl",13
"geograph",13
"grow",13
"impo",13
"indic",13
"labor",13
"move",13
"multi",13
"previous",13
"produc",13
"qualif",13
"reason",13
"recognit",13
"reflect",13
"regulatori",13
"respect",13
"restrict",13
"schedul",13
"seek",13
"suspend",13
"univ",13
"agr",12
"care",12
"carri",12
"concentr",12
"full",12
"increment",12
"instabl",12
"leverag",12
"locat",12
"lose",12
"necessari",12
"oner",12
"prevent",12
"provi",12
"request",12
"silicon",12
"skill",12
"widespread",12
"wireless",12
"administr",11
"align",11
"attract",11
"campus",11
"capac",11
"conver",11
"defer",11
"degr",11
"devic",11
"director",11
"dure",11
"fulli",11
"geopolit",11
"instanc",11
"must",11
"object",11
"oblig",11
"otherwi",11
"peopl",11
"percept",11
"polit",11
"profit",11
"saa",11
"space",11
"total",11
"various",11
"allow",10
"bad",10
"behavior",10
"buy",10
"code",10
"comparison",10
"constrain",10
"delib",10
"domin",10
"economi",10
"famili",10
"geographi",10
"huawei",10
"ibm",10
"immedi",10
"indefinit",10
"irregular",10
"line",10
"met",10
"motiv",10
"movement",10
"necessarili",10
"obsolesc",10
"payment",10
"physic",10
"primarili",10
"reach",10
"recov",10
"rumor",10
"second",10
"sensit",10
"serv",10
"slowli",10
"special",10
"specul",10
"tend",10
"threat",10
"throughout",10
"trade",10
"turmoil",10
"usual",10
"util",10
"varieti",10
"volum",10
"wider",10
"accel",9
"acx",9
"although",9
"alto",9
"analyt",9
"brocad",9
"check",9
"commerci",9
"converg",9
"differenti",9
"discount",9
"ericsson",9
"european",9
"factorsfactor",9
"form",9
"inaccur",9
"interf",9
"jurisdict",9
"logist",9
"million",9
"natur",9
"nokia",9
"often",9
"orchestr",9
"packet",9
"palo",9
"personnel",9
"polici",9
"record",9
"research",9
"resultsinvest",9
"satisfact",9
"segment",9
"standard",9
"tradit",9
"transfer",9
"transport",9
"ultim",9
"union",9
"agenc",8
"assess",8
"attribut",8
"beyond",8
"broader",8
"carrier",8
"certif",8
"claim",8
"close",8
"commerc",8
"commodit",8
"compli",8
"comprehen",8
"credit",8
"criteria",8
"exacerb",8
"examin",8
"foreign",8
"fortinet",8
"frequent",8
"gener",8
"hybrid",8
"incom",8
"individu",8
"intellectu",8
"led",8
"miner",8
"nation",8
"necessit",8
"nfv",8
"outag",8
"pattern",8
"properti",8
"qualifi",8
"rebat",8
"site",8
"ski",8
"sole",8
"suscept",8
"techniqu",8
"variabl",8
"activ",7
"attent",7
"automat",7
"complet",7
"consist",7
"contentsw",7
"cour",7
"densiti",7
