"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","product","semiconductor","stock","tax","may"
"2","custom","financ","financ","servic","result"
"3","manufactur","includ","valu","june","chang"
"4","technolog","process","base","account","market"
"5","oper","control","recogn","statement","condit"
"6","industri","acquisit","asset","custom","cost"
"7","semiconductor","merger","determin","year","adver"
"8","busi","result","price","product","materi"
"9","process","custom","offic","end","use"
"10","develop","manufactur","share","report","addit"
"11","order","solut","unit","incom","revenu"
"12","financ","display","sale","fiscal","impact"
"13","supplier","advanc","effect","revenu","futur"
"14","abil","connect","system","period","busi"
"15","delay","orbotech","fair","standard","includ"
"16","substrat","addit","estim","consolid","increa"
"17","wafer","continu","defer","note","certain"
"18","high","board","requir","amount","applic"
"19","specif","electron","quarter","total","requir"
"20","signif","adopt","dividend","estim","part"
"21","success","complet","revenu","chang","time"
"22","continu","increa","loss","perform","sale"
"23","equip","item","includ","oper","affect"
"24","competit","technolog","item","relat","accept"
"25","forecast","capit","goodwil","term","factor"
"26","particular","act","common","arrang","manag"
"27","risk","kla","warranti","repurcha","provid"
"28","expect","various","upon","rule","research"
"29","silicon","demand","record","net","effect"
"30","lead","devic","annual","common","risk"
"31","number","equip","impair","law","perform"
"32","protect","manag","credit","accept","differ"
"33","key","primarili","expen","audit","base"
"34","circuit","jurisdict","award","regul","compani"
"35","patent","panel","various","tabl","tabl"
"36","depend","yield","basi","data","must"
"37","relat","approxim","recognit","lea","program"
"38","price","oblig","account","cash","complex"
"39","cycl","spend","cash","discuss","invest"
"40","cancel","general","charg","date","issu"
"41","competitor","govern","element","liabil","portion"
"42","offer","refer","million","expect","sell"
"43","part","year","trade","practic","price"
"44","time","caus","plan","stock","recogn"
"45","design","industri","cont","million","associ"
"46","manner","integr","relat","contract","measur"
"47","receiv","product","plant","engin","rate"
"48","period","regulatori","manufactur","follow","exist"
"49","concentr","separ","circumst","consid","upon"
"50","dimen","support","rate","director","employ"
"51","electron","follow","actual","interpret","expen"
"52","negat","lam","assumpt","stockhold","parti"
"53","devic","market","month","long","quarter"
"54","pattern","memori","inventori","signif","econom"
"55","environ","shift","instal","disclosur","limit"
"56","cyclic","billion","valuat","evalu","purcha"
"57","fail","chip","allow","per","general"
"58","larg","current","deliv","current","capit"
"59","properti","file","indic","earn","third"
"60","proprietari","major","per","due","meet"
"61","capac","pandem","lea","profit","previous"
"62","layer","print","purcha","subject","anticip"
"63","line","asc","assess","debt","demand"
"64","similar","covid","litig","transact","step"
"65","servic","higher","grant","decemb","reduc"
"66","gross","inspect","market","detail","compon"
"67","margin","logic","alloc","form","assur"
"68","sourc","corpor","select","return","histor"
"69","expo","cut","state","secur","lower"
"70","howev","edg","compen","judgment","shipment"
"71","collabor","enabl","comprehen","updat","critic"
"72","harm","flat","probabl","nasdaq","agreement"
"73","term","measur","board","princip","mani"
"74","ani","pcb","own","regard","structur"
"75","innov","prior","administr","graph","substanti"
"76","level","signif","collect","mainten","adjust"
"77","maintain","flexibl","option","addit","develop"
"78","inventori","growth","first","locat","intern"
"79","trend","law","receiv","defer","reduct"
"80","due","lead","author","equiti","refer"
"81","singl","resourc","jurisdict","govern","control"
"82","commerci","tencor","criteria","set","experi"
"83","manag","transfer","differ","histor","vari"
"84","intellectu","approv","guidanc","legal","declin"
"85","generat","attribut","occur","number","subject"
"86","year","circuit","review","properti","non"
"87","discontinu","consumm","forecast","complet","possibl"
"88","rapid","densiti","adjust","contain","signif"
"89","advanc","driver","invest","cumul","ongo"
"90","integr","investig","liabil","forward","potenti"
"91","interconnect","author","specif","inform","reason"
"92","respect","extend","balanc","high","worldwid"
"93","respon","prospect","posit","present","initi"
"94","serious","select","reason","provi","recov"
"95","avail","transit","see","reflect","state"
"96","case","challeng","calcul","taxat","volum"
"97","face","commit","shipment","alon","appropri"
"98","suppli","organ","maintain","contentsitem","deliveri"
"99","abl","predict","sell","renew","incur"
"100","function","area","stand","global","describ"
