"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","may","system","servic","contract","govern"
"2","govern","includ","provid","cost","compani"
"3","result","health","solut","perform","product"
"4","affect","custom","busi","custom","use"
"5","busi","leido","secur","revenu","includ"
"6","adver","manag","engin","award","contractor"
"7","includ","solut","nation","govern","develop"
"8","futur","oper","technolog","agenc","employ"
"9","profit","intellig","commerci","requir","leido"
"10","signif","report","fiscal","program","agenc"
"11","chang","deliv","focus","time","corpor"
"12","reput","support","segment","servic","idiq"
"13","delay","integr","hold","competit","inc"
"14","revenu","data","project","risk","gsa"
"15","growth","technolog","inc","contractor","may"
"16","estim","develop","larg","regul","procur"
"17","prospect","environ","process","increa","research"
"18","review","dod","complex","oper","servic"
"19","audit","research","offer","annual","market"
"20","spend","market","januari","report","custom"
"21","subject","enterpri","support","provid","technic"
"22","abil","mission","acquisit","system","award"
"23","continu","analyt","agenc","procur","health"
"24","process","air","design","manag","capabl"
"25","failur","govern","healthcar","relat","purcha"
"26","harm","advanc","high","addit","industri"
"27","particular","capabl","intellig","price","part"
"28","secur","logist","depart","certain","fee"
"29","obtain","inform","analysi","compet","general"
"30","feder","commun","across","fund","defen"
"31","expect","enabl","certain","bid","result"
"32","uncertainti","help","detect","product","schedul"
"33","retain","modern","energi","effect","expen"
"34","employ","end","custom","need","time"
"35","adjust","control","clinic","order","type"
"36","ani","cybersecur","area","inform","follow"
"37","budget","infrastructur","primarili","complet","limit"
"38","control","experti","qualiti","depend","year"
"39","penalti","militari","leverag","fiscal","specifi"
"40","damag","administr","specif","work","select"
"41","law","appli","build","experi","gener"
"42","conflict","corpor","data","task","issu"
"43","subcontractor","defen","financ","competitor","pre"
"44","loss","effici","improv","qualifi","term"
"45","year","care","refer","technolog","internat"
"46","current","transform","scienc","activ","multipl"
"47","legal","use","train","materi","often"
"48","inform","wide","acquir","amount","singl"
"49","prioriti","work","cross","hold","amount"
"50","financ","critic","rang","interest","feder"
"51","cancel","global","total","administr","fix"
"52","declin","state","problem","general","initi"
"53","technic","unit","communiti","abil","within"
"54","backlog","scienc","consult","personnel","homeland"
"55","claim","serv","effect","involv","opportun"
"56","dod","softwar","grid","level","system"
"57","realiz","center","hospit","state","enhanc"
"58","complianc","contentspart","innov","condit","plan"
"59","payment","life","power","success","share"
"60","resourc","period","field","relationship","subcontract"
"61","sanction","repr","institut","standard","commit"
"62","suspen","tabl","patent","defen","effort"
"63","termin","annual","comput","key","common"
"64","total","command","operat","mani","design"
"65","environ","deploy","research","base","million"
"66","posit","feder","softwar","clearanc","note"
"67","practic","lead","year","generat","rapid"
"68","type","record","agil","reimbur","consult"
"69","approv","revenu","check","difficult","cybersecur"
"70","abl","world","develop","factor","degr"
"71","applic","civil","distribut","inc","deliveri"
"72","appropri","subsidiari","facil","propo","offer"
"73","legisl","agreement","applic","high","profit"
"74","leido","electron","consolid","substanti","saic"
"75","experienc","space","discuss","conduct","spin"
"76","receiv","intern","driven","non","subject"
"77","recogn","respect","network","profess","team"
"78","shift","respon","port","believ","ultim"
"79","compli","site","radiat","greater","work"
"80","misconduct","traffic","small","over","full"
"81","negat","base","solv","connect","incent"
"82","becom","lockh","uniqu","describ","plus"
"83","debar","martin","util","termin","proprietari"
"84","regul","reconnaiss","airport","act","scienc"
"85","budgetari","surveil","armi","due","set"
"86","caus","chang","ehr","employ","associ"
"87","regard","digit","evalu","multi","fiscal"
"88","team","scale","goal","approxim","innov"
"89","ffp","total","world","determin","licen"
"90","sustain","current","addit","pressur","method"
"91","tabl","dhs","behavior","upon","new"
"92","account","domain","end","various","obtain"
"93","cash","form","establish","although","percentag"
"94","contentspart","laboratori","group","diver","plainfield"
"95","curtail","optim","local","identifi","plc"
"96","impair","separ","permit","implement","third"
"97","issu","special","reveal","protect","upon"
"98","modifi","address","scan","rate","administr"
"99","term","cargo","situat","form","allow"
"100","author","civilian","suppli","agreement","avail"
