"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","servic","may","increa","window","busi"
"2","product","busi","protect","server","solut"
"3","custom","user","intellectu","game","offic"
"4","develop","data","properti","offer","microsoft"
"5","devic","oper","competitor","manag","comput"
"6","platform","signif","licen","enterpri","cloud"
"7","includ","cost","reduc","licen","azur"
"8","cloud","secur","expect","applic","continu"
"9","softwar","margin","base","enabl","provid"
"10","system","parti","chang","commerci","compani"
"11","revenu","reput","action","devic","dynam"
"12","secur","continu","window","oper","intellig"
"13","compet","content","govern","opportun","creat"
"14","use","sourc","claim","segment","help"
"15","technolog","affect","patent","linkedin","learn"
"16","base","harm","impact","includ","xbox"
"17","provid","model","regulatori","content","larg"
"18","applic","result","account","tool","organ"
"19","competit","third","lead","peopl","ibm"
"20","person","offer","risk","user","main"
"21","market","adver","asset","onlin","surfac"
"22","hardwar","softwar","code","profess","number"
"23","part","liabil","time","premi","market"
"24","comput","law","function","design","subscript"
"25","consum","revenu","infrastructur","talent","power"
"26","inform","fail","product","work","devic"
"27","access","legal","result","deliv","member"
"28","adverti","integr","microsoft","intellig","mobil"
"29","sale","maintain","effect","digit","data"
"30","innov","mani","substanti","live","consist"
"31","affect","impair","challeng","world","collabor"
"32","valu","iot","describ","experi","global"
"33","benefit","acquisit","attract","rang","experi"
"34","support","success","ensur","transform","search"
"35","depend","limit","grow","oracl","abil"
"36","employ","threat","invest","consol","accel"
"37","infrastructur","requir","open","manufactur","item"
"38","growth","vulner","qualiti","partner","process"
"39","oper","negat","partner","communic","skype"
"40","abil","practic","store","compri","cal"
"41","invest","disclosur","evolv","togeth","categori"
"42","across","intang","portion","premium","linux"
"43","item","attack","relat","growth","impact"
"44","deploy","generat","continu","connect","engag"
"45","ecosystem","goodwil","element","small","set"
"46","resourc","adopt","experi","volum","interact"
"47","design","delay","factor","believ","report"
"48","financ","environ","linkedin","subscript","span"
"49","network","inform","amortiz","bring","capabl"
"50","face","measur","azur","drive","need"
"51","price","reliabl","control","focus","various"
"52","scale","subject","marketplac","edg","appl"
"53","sell","competit","network","mix","demand"
"54","achiev","intern","perceiv","storag","googl"
"55","increa","prevent","address","vendor","iot"
"56","grow","arrang","area","datac","lead"
"57","xbox","disrupt","author","oem","local"
"58","varieti","firm","featur","parti","sql"
"59","build","issu","onlin","uniqu","ambit"
"60","edg","unauthor","succeed","across","medium"
"61","avail","chang","vertic","everi","play"
"62","posit","compani","amount","hybrid","signif"
"63","strategi","compon","deci","ident","support"
"64","improv","caus","financ","version","voic"
"65","oem","complex","period","empow","approach"
"66","perform","execut","record","public","entertain"
"67","certain","loss","strateg","size","expect"
"68","end","program","term","databa","instal"
"69","engag","purcha","commiss","industri","reach"
"70","activ","concern","corrupt","resourc","build"
"71","addit","datac","high","team","combin"
"72","commit","difficult","import","unlock","complianc"
"73","internet","exposur","potenti","advanc","empow"
"74","becom","must","technic","broad","first"
"75","effort","realiz","use","consult","hire"
"76","requir","statement","adequ","modern","largest"
"77","sever","test","anti","open","middlewar"
"78","social","updat","countri","comprehen","sustain"
"79","compani","agreement","expen","crm","third"
"80","futur","charg","state","machin","built"
"81","lower","compel","supplier","plan","communiti"
"82","distribut","copi","appeal","primarili","compat"
"83","research","elimin","collect","relat","erp"
"84","datac","provi","compromi","shift","health"
"85","creat","risk","confidenti","web","insight"
"86","demand","trade","current","expand","workplac"
"87","organ","abl","decrea","individu","core"
"88","rapid","damag","enhanc","sap","evolv"
"89","relea","detect","enter","video","gamer"
"90","wide","distribut","intellig","advantag","ink"
"91","solut","establish","present","com","model"
"92","effici","evolv","privaci","competitor","multi"
"93","communic","gain","profit","posit","phone"
"94","equip","global","receiv","product","portfolio"
"95","exist","incur","royalti","unifi","suppli"
"96","factor","larg","competit","center","associ"
"97","group","rule","condit","cost","choic"
"98","long","util","event","per","cohe"
"99","vendor","enhanc","inadequ","sale","era"
"100","year","live","obtain","teamwork","integr"
