"","x"
"data",686
"custom",485
"cloud",468
"netapp",450
"storag",406
"servic",397
"product",390
"revenu",326
"manag",311
"softwar",279
"fiscal",270
"system",226
"estim",209
"oper",204
"provid",204
"tax",201
"valu",195
"busi",191
"cost",191
"perform",189
"base",185
"includ",182
"net",182
"chang",181
"flash",179
"use",171
"incom",158
"asset",157
"solut",156
"sale",154
"result",153
"key",146
"market",144
"applic",143
"may",142
"requir",141
"deliv",133
"hybrid",132
"secur",130
"ontap",126
"assumpt",125
"offer",123
"futur",122
"million",122
"year",121
"increa",120
"technolog",120
"protect",117
"time",117
"infrastructur",116
"integr",115
"purcha",114
"need",112
"account",110
"environ",109
"partner",108
"financ",107
"enabl",102
"price",102
"mainten",99
"organ",97
"enterpri",93
"high",92
"relat",90
"fair",89
"impact",89
"quarter",89
"signif",88
"effici",87
"share",87
"deploy",85
"support",85
"april",84
"array",84
"invest",84
"hardwar",83
"develop",82
"cash",80
"determin",80
"seri",80
"gross",79
"design",78
"fabric",76
"manufactur",76
"uncertainti",75
"amount",74
"end",73
"liabil",73
"demand",72
"help",72
"optim",72
"percentag",72
"compar",71
"experi",71
"across",70
"consist",70
"factor",70
"histor",70
"expect",69
"differ",67
"primarili",67
"strategi",67
"allow",66
"continu",66
"public",66
"scale",66
"transform",66
"addit",64
"margin",64
"premi",64
"profit",64
"subject",64
"arrang",63
"backup",63
"center",63
"consid",63
"fas",63
"higher",63
"period",63
"portfolio",63
"accel",62
"note",62
"flexibl",61
"follow",61
"report",61
"avail",60
"consolid",60
"due",60
"inventori",60
"lower",60
"believ",59
"general",59
"platform",59
"rate",59
"resourc",59
"statement",58
"workload",58
"adver",57
"compani",57
"decrea",57
"goodwil",57
"materi",57
"operat",57
"provi",57
"program",56
"reduc",56
"control",55
"impair",55
"order",55
"warranti",55
"digit",53
"expen",53
"privat",53
"establish",52
"global",52
"meet",52
"industri",50
"sell",50
"simplifi",49
"various",49
"capabl",48
"risk",48
"term",48
"current",47
"estimat",47
"level",47
"reflect",47
"acquir",46
"critic",46
"defer",46
"loss",46
"patent",46
"rang",46
"commit",45
"condit",45
"intang",45
"recogn",45
"valuat",45
"build",44
"correspond",44
"innov",44
"standard",44
"activ",43
"compon",43
"contract",43
"exist",43
"maintain",43
"realiz",43
"architectur",42
"charg",42
"object",42
"per",42
"generat",41
"lead",41
"licen",41
"major",41
"reason",41
"specif",41
"autom",40
"comput",40
"disk",40
"first",40
"flow",40
"multipl",40
"polici",40
"recoveri",40
"total",40
"world",40
"certain",39
"limit",39
"parti",39
"record",39
"solidfir",39
"acquisit",38
"affect",38
"date",38
"law",38
"unit",38
"basi",37
"benefit",37
"creat",37
"success",37
"actual",36
"forecast",36
"speed",36
"alloc",35
"combin",35
"converg",35
"monitor",35
"non",35
"power",35
"third",35
"unifi",35
"vsoe",35
"employ",34
"full",34
"insight",34
"rapid",34
"virtual",34
"capac",33
"competit",33
"credit",33
"growth",33
"model",33
"offset",33
"state",33
"stock",33
"circumst",32
"element",32
"move",32
"payment",32
"research",32
"return",32
"abil",31
"aggreg",31
"becom",31
"defin",31
"distribut",31
"flexpod",31
"gain",31
"properti",31
"respect",31
"test",31
"agreement",30
"foreign",30
"improv",30
"month",30
"number",30
"oncommand",30
"user",30
"access",29
"aff",29
"approxim",29
"assess",29
"esp",29
"focus",29
"locat",29
"project",29
"broad",28
"built",28
"capit",28
"connect",28
"drive",28
"effect",28
"engin",28
"govern",28
"greater",28
"review",28
"santric",28
"supplier",28
"technic",28
"adjust",27
"configur",27
"offic",27
"posit",27
"possibl",27
"segment",27
"substanti",27
"analyt",26
"cluster",26
"distributor",26
"driven",26
"earn",26
"excess",26
"judgment",26
"measur",26
"outstand",26
"overview",26
"princip",26
"profess",26
"repurcha",26
"san",26
"sold",26
"tier",26
"accrual",25
"best",25
"choic",25
"dilut",25
"failur",25
"relationship",25
"transact",25
"accord",24
"approach",24
"channel",24
"day",24
"evolv",24
"mani",24
"might",24
"repr",24
"seamless",24
"storagegrid",24
"tool",24
"debt",23
"deliveri",23
"evalu",23
"intellectu",23
"intern",23
"modern",23
"oblig",23
"partial",23
"plan",23
"predict",23
"qualiti",23
"recognit",23
"trademark",23
"valid",23
"book",22
"carri",22
"countri",22
"dure",22
"event",22
"favor",22
"instal",22
"necessari",22
"regul",22
"set",22
"uncertain",22
"volum",22
"without",22
"worldwid",22
"achiev",21
"although",21
"balanc",21
"close",21
"essenti",21
"incur",21
"indic",21
"larg",21
"microsoft",21
"openstack",21
"option",21
"point",21
"receiv",21
"replic",21
"season",21
"cancel",20
"execut",20
"form",20
"fourth",20
"inc",20
"obsolet",20
"respon",20
"scalabl",20
"short",20
"strateg",20
"temporari",20
"week",20
"administr",19
"class",19
"compet",19
"complex",19
"databa",19
"easi",19
"ecosystem",19
"function",19
"guidanc",19
"incorpor",19
"live",19
"long",19
"practic",19
"rule",19
"seek",19
"today",19
"advantag",18
"altavault",18
"among",18
"associ",18
"choo",18
"competitor",18
"ensur",18
"experti",18
"given",18
"minim",18
"particular",18
"refer",18
"restructur",18
"transit",18
"util",18
"variabl",18
"varieti",18
"visibl",18
"announc",17
"assur",17
"azur",17
"cycl",17
"differenti",17
"econom",17
"file",17
"final",17
"implement",17
"iso",17
"matter",17
"opportun",17
"septemb",17
"simplic",17
"singl",17
"span",17
"suppli",17
"trend",17
"work",17
"workflow",17
"annual",16
"assum",16
"averag",16
"corpor",16
"declin",16
"disclosur",16
"discuss",16
"dividend",16
"inform",16
"network",16
"primari",16
"proven",16
"reliabl",16
"senior",16
"shipment",16
"throughout",16
"type",16
"vendor",16
"video",16
"webscal",16
"within",16
"agil",15
"amazon",15
"budget",15
"chain",15
"contractu",15
"dedic",15
"direct",15
"exceed",15
"expenditur",15
"foundat",15
"machin",15
"made",15
"mix",15
"natur",15
"oem",15
"partnership",15
"regard",15
"remain",15
"saa",15
"serv",15
"sever",15
"store",15
"tabl",15
"typic",15
"advanc",14
"anticip",14
"architect",14
"awar",14
"claim",14
"complet",14
"comprehen",14
"disast",14
"everi",14
"expand",14
"expert",14
"extent",14
"fee",14
"informat",14
"mitig",14
"resel",14
"reserv",14
"separ",14
"server",14
"snapmirror",14
"tradit",14
"unearn",14
"web",14
"action",13
"add",13
"address",13
"analysi",13
"conver",13
"decemb",13
"energi",13
"entir",13
"except",13
"experienc",13
"fast",13
"faster",13
"flexarray",13
"gener",13
"hard",13
"hci",13
"interest",13
"issu",13
"lea",13
"less",13
"life",13
"matur",13
"maxim",13
"media",13
"multi",13
"numer",13
"open",13
"particip",13
"personnel",13
"potenti",13
"presid",13
"reduct",13
"resid",13
"restor",13
"scope",13
"snaplock",13
"applianc",12
"author",12
"backlog",12
"billion",12
"california",12
"commerci",12
"conduct",12
"core",12
"educ",12
"european",12
"evid",12
"field",12
"geograph",12
"group",12
"har",12
"hold",12
"intra",12
"last",12
"leader",12
"metric",12
"organiz",12
"paper",12
"prior",12
"process",12
"second",12
"select",12
"streamlin",12
"subassembl",12
"subsidiari",12
"tpe",12
"volatil",12
"whenev",12
"adopt",11
"area",11
"certifi",11
"challeng",11
"china",11
"collect",11
"complianc",11
"depend",11
"discount",11
"electron",11
"emerg",11
"emiss",11
"enter",11
"equip",11
"exchang",11
"extend",11
"facil",11
"feder",11
"finish",11
"free",11
"gas",11
"greenhous",11
"host",11
"hyper",11
"integrat",11
"intellig",11
"intent",11
"introduct",11
"lifecycl",11
"logist",11
"metroclust",11
"nas",11
"oracl",11
"recent",11
"reli",11
"sheet",11
"simpl",11
"snapcent",11
"transfer",11
"unanticip",11
"vice",11
"weight",11
"accomplish",10
"adequaci",10
"amort",10
"api",10
"archiv",10
"cach",10
"charact",10
"cisco",10
"concurr",10
"consequ",10
"descript",10
"easili",10
"effort",10
"enhanc",10
"famili",10
"firm",10
"forc",10
"fund",10
"give",10
"grow",10
"guarant",10
"ibm",10
"identifi",10
"introduc",10
"issuer",10
"leverag",10
"line",10
"liquid",10
"newli",10
"otherwi",10
"outcom",10
"outsid",10
"ownership",10
"place",10
"prepar",10
"proceed",10
"proprietari",10
"quantit",10
"real",10
"realign",10
"regardless",10
"region",10
"reinvest",10
"replac",10
"site",10
"sourc",10
"sync",10
"togeth",10
"unless",10
"written",10
"beyond",9
"brand",9
"campaign",9
"collabor",9
"common",9
"communiti",9
"consum",9
"copyright",9
"dynam",9
"featur",9
"februari",9
"flat",9
"fuel",9
"grade",9
"independ",9
"internat",9
"joint",9
"june",9
"keep",9
"latenc",9
"leadership",9
"learn",9
"low",9
"midsiz",9
"multichannel",9
"ongo",9
"purpo",9
"recov",9
"relea",9
"retent",9
"roadmap",9
"size",9
"smaller",9
"synchron",9
"team",9
"top",9
"unleash",9
"appli",8
"attach",8
"block",8
"commod",8
"cont",8
"deci",8
"elimin",8
"emc",8
"empow",8
"equiv",8
"evidenc",8
"facilit",8
"fall",8
"frequent",8
"goal",8
"good",8
"hitachi",8
"howev",8
"idp",8
"indirect",8
"internet",8
"iop",8
"legaci",8
"local",8
"mean",8
"methodolog",8
"multicloud",8
"multivendor",8
"name",8
"new",8
"part",8
"past",8
"penalti",8
"physic",8
"renew",8
"royalti",8
"sds",8
"skill",8
"surveil",8
"sustain",8
"touchpoint",8
"trade",8
"train",8
"unabl",8
"accommod",7
"accumul",7
"afford",7
"allianc",7
"attract",7
"bandwidth",7
"call",7
"case",7
"climat",7
"clone",7
"compen",7
"compli",7
"confid",7
"declar",7
"domin",7
"edg",7
"enact",7
"engag",7
"evaluat",7
"exponenti",7
"exten",7
"extern",7
"facto",7
"freedom",7
"hdd",7
"indefinit",7
"interfac",7
"keyston",7
"legal",7
"method",7
"nondisrupt",7
"nps",7
"orchestr",7
"origin",7
"phase",7
"play",7
"portion",7
"promot",7
"quantiti",7
"quick",7
"rather",7
"remot",7
"rich",7
"role",7
"slight",7
"softlay",7
"spend",7
"steelstor",7
"strengthen",7
"toward",7
"uniqu",7
"wall",7
"wide",7
"accept",6
"adapt",6
"airport",6
"anim",6
"anoth",6
"appropri",6
"arrow",6
"asp",6
"assembl",6
"attribut",6
"availabl",6
"award",6
"big",6
"calendar",6
"certif",6
"chief",6
