"","x"
"oracl",411
"cloud",356
"custom",296
"servic",281
"offer",232
"product",191
"busi",188
"licen",151
"data",138
"includ",128
"infrastructur",125
"technolog",120
"may",118
"oper",111
"applic",102
"support",100
"hardwar",92
"base",86
"provid",85
"deploy",84
"manag",83
"secur",79
"develop",76
"design",75
"relat",70
"revenu",67
"financ",66
"databa",65
"result",61
"increa",59
"model",59
"softwar",59
"use",59
"environ",58
"purcha",53
"price",51
"affect",50
"integr",48
"regul",48
"risk",45
"iaa",44
"cost",43
"industri",43
"inform",43
"enabl",42
"market",42
"organ",42
"saa",42
"deliv",41
"among",40
"addit",39
"premi",39
"time",39
"chang",37
"law",37
"perform",37
"general",36
"statement",36
"system",36
"comput",35
"process",35
"access",34
"certain",34
"partner",34
"enterpri",33
"reduc",33
"sale",32
"adver",31
"compani",31
"competitor",31
"enhanc",31
"govern",31
"abil",30
"continu",30
"flexibl",30
"requir",30
"content",29
"believ",28
"contract",28
"effect",28
"impact",27
"reput",27
"demand",26
"index",26
"signif",26
"tabl",26
"within",26
"covid",24
"innov",24
"standard",24
"address",23
"autonom",23
"condit",23
"network",23
"privaci",23
"protect",23
"storag",23
"countri",22
"exist",22
"global",22
"high",22
"intern",22
"middlewar",22
"polici",22
"strategi",22
"util",22
"across",21
"econom",21
"error",21
"fiscal",21
"need",21
"potenti",21
"acquir",20
"java",20
"center",19
"competit",19
"period",19
"person",19
"respect",19
"anticip",18
"applicat",18
"capabl",18
"corpor",18
"effort",18
"harm",18
"invest",18
"option",18
"platform",18
"practic",18
"regulatori",18
"wareh",18
"workload",18
"choic",17
"compet",17
"delay",17
"open",17
"pandem",17
"public",17
"rate",17
"employ",16
"expand",16
"fine",16
"help",16
"maintain",16
"particular",16
"state",16
"subscript",16
"term",16
"user",16
"autom",15
"broad",15
"consum",15
"focus",15
"function",15
"improv",15
"number",15
"program",15
"rapid",15
"renew",15
"transact",15
"upgrad",15
"upon",15
"ani",14
"avail",14
"complianc",14
"differ",14
"experi",14
"fee",14
"machin",14
"profit",14
"report",14
"solut",14
"specif",14
"supplier",14
"total",14
"trade",14
"caus",13
"consid",13
"emerg",13
"evolv",13
"health",13
"lower",13
"via",13
"action",12
"amount",12
"collect",12
"control",12
"deliveri",12
"engin",12
"erp",12
"hybrid",12
"import",12
"jurisdict",12
"lead",12
"legal",12
"mani",12
"polit",12
"relea",12
"repr",12
"singl",12
"size",12
"violat",12
"vulner",12
"adopt",11
"associ",11
"atp",11
"attack",11
"comprehen",11
"connect",11
"factor",11
"gener",11
"human",11
"implement",11
"learn",11
"optim",11
"reliabl",11
"scale",11
"sold",11
"spend",11
"world",11
"acquisit",10
"analyt",10
"architectur",10
"basi",10
"common",10
"complex",10
"conduct",10
"core",10
"creat",10
"declin",10
"describ",10
"expen",10
"face",10
"forecast",10
"futur",10
"growth",10
"larg",10
"measur",10
"part",10
"resourc",10
"self",10
"success",10
"suit",10
"technic",10
"tool",10
"unabl",10
"worldwid",10
"abl",9
"activ",9
"adw",9
"combin",9
"compon",9
"current",9
"discuss",9
"extend",9
"foreign",9
"hcm",9
"incorpor",9
"intellig",9
"liabil",9
"limit",9
"local",9
"meet",9
"migrat",9
"parti",9
"pay",9
"portfolio",9
"rang",9
"research",9
"suppli",9
"third",9
"transfer",9
"benefit",8
"billion",8
"brand",8
"build",8
"chain",8
"claim",8
"currenc",8
"damag",8
"depend",8
"differenti",8
"difficulti",8
"disrupt",8
"due",8
"failur",8
"feder",8
"grow",8
"hacker",8
"impo",8
"interop",8
"line",8
"manufactur",8
"net",8
"non",8
"opportun",8
"order",8
"perceiv",8
"recogn",8
"segment",8
"sensit",8
"simplifi",8
"subject",8
"substanti",8
"target",8
"uncertainti",8
"varieti",8
"work",8
"adequ",7
"agil",7
"analysi",7
"best",7
"built",7
"deci",7
"effici",7
"elast",7
"enact",7
"experienc",7
"gain",7
"handl",7
"incid",7
"insight",7
"interfac",7
"introduc",7
"intuit",7
"issu",7
"manner",7
"natur",7
"penalti",7
"posit",7
"respond",7
"restrict",7
"rise",7
"sell",7
"server",7
"sourc",7
"store",7
"togeth",7
"valu",7
"vendor",7
"year",7
"accept",6
"add",6
"administr",6
"allow",6
"anoth",6
"arrang",6
"asset",6
"assist",6
"assur",6
"author",6
"behalf",6
"better",6
"breach",6
"ccpa",6
"code",6
"complet",6
"compri",6
"critic",6
"cyber",6
"deep",6
"direct",6
"discount",6
"drive",6
"earn",6
"easier",6
"element",6
"elimin",6
"event",6
"exadata",6
"exampl",6
"exploit",6
"extern",6
"fail",6
"find",6
"form",6
"generat",6
"grade",6
"greater",6
"hospit",6
"host",6
"improp",6
"influenc",6
"inten",6
"interact",6
"loss",6
"mobil",6
"monitor",6
"move",6
"negat",6
"offic",6
"otherwi",6
"payment",6
"percept",6
"pipelin",6
"prevent",6
"prohibit",6
"prospect",6
"qualiti",6
"quick",6
"region",6
"scalabl",6
"select",6
"special",6
"tax",6
"tune",6
"unauthor",6
"uniqu",6
"virtual",6
"wide",6
"workforc",6
"account",5
"advantag",5
"approach",5
"big",5
"block",5
"case",5
"cash",5
"challeng",5
"characterist",5
"consolid",5
"conver",5
"durat",5
"elect",5
"ensur",5
"european",5
"execut",5
"expect",5
"give",5
"individu",5
"investig",5
"languag",5
"legisl",5
"less",5
"level",5
"leverag",5
"long",5
"longer",5
"million",5
"modif",5
"often",5
"operat",5
"plan",5
"popular",5
"predict",5
"receiv",5
"respon",5
"retail",5
"scienc",5
"scm",5
"share",5
"suffici",5
"techniqu",5
"trend",5
"updat",5
"advanc",4
"although",4
"analyz",4
"area",4
"artifici",4
"attempt",4
"attent",4
"bill",4
"broader",4
"byol",4
"cancel",4
"casual",4
"climat",4
"collabor",4
"commit",4
"communic",4
"compat",4
"complementari",4
"compromi",4
"confid",4
"confidenti",4
"consequ",4
"consist",4
"credit",4
"decrea",4
"devic",4
"difficult",4
"digit",4
"disast",4
"driven",4
"easili",4
"ecosystem",4
"entiti",4
"estim",4
"expo",4
"facilit",4
"favor",4
"fewer",4
"forc",4
"frequent",4
"full",4
"gdpr",4
"hostil",4
"identifi",4
"incur",4
"initi",4
"instanc",4
"intellectu",4
"interrupt",4
"iot",4
"item",4
"japan",4
"keep",4
"labor",4
"lifecycl",4
"lose",4
"low",4
"mainten",4
"major",4
"manipul",4
"medium",4
"modifi",4
"monetari",4
"multipl",4
"nativ",4
"note",4
"oblig",4
"offici",4
"opt",4
"patch",4
"per",4
"percentag",4
"power",4
"pressur",4
"preval",4
"proactiv",4
"procedur",4
"properti",4
"purpo",4
"quarter",4
"recent",4
"relationship",4
"retain",4
"retriev",4
"sanction",4
"sector",4
"separ",4
"sever",4
"shift",4
"small",4
"social",4
"sophist",4
"sponsor",4
"stabil",4
"stock",4
"stockhold",4
"strateg",4
"taken",4
"task",4
"test",4
"throughout",4
"touch",4
"transit",4
"true",4
"turn",4
"type",4
"unfavor",4
"univ",4
"unrest",4
"unspecifi",4
"version",4
"web",4
"accel",3
"accur",3
"achiev",3
"act",3
"adapt",3
"adjust",3
"agenc",3
"alter",3
"annual",3
"anti",3
"aspect",3
"augment",3
"backup",3
"bank",3
"becam",3
"behavior",3
"blockchain",3
"california",3
"capit",3
"care",3
"choo",3
"circumst",3
"compar",3
"compli",3
"configur",3
"constraint",3
"contain",3
"convert",3
"dedic",3
"denial",3
"distribut",3
"dollar",3
"economi",3
"elsewh",3
"engag",3
"exten",3
"extent",3
"fluctuat",3
"follow",3
"foundat",3
"fulli",3
"fund",3
"guarant",3
"instabl",3
"institut",3
"isol",3
"launch",3
"malfea",3
"modern",3
"normal",3
"observ",3
"obtain",3
"over",3
"pace",3
"packag",3
"peopl",3
"project",3
"realiz",3
"request",3
"safe",3
"safeti",3
"shutdown",3
"simpl",3
"span",3
"spectrum",3
"therefor",3
"unexpect",3
"unit",3
"unknown",3
"various",3
"view",3
"websit",3
"accommod",2
"accord",2
"accuraci",2
