"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","adver","product","relat","may","tax"
"2","financ","custom","certain","oper","busi"
"3","impact","regul","execut","result","manufactur"
"4","time","signif","proxi","certain","addit"
"5","revenu","condit","statement","direct","disrupt"
"6","includ","huawei","compen","complianc","export"
"7","cost","market","incorpor","subject","foreign"
"8","effect","materi","manag","control","futur"
"9","restrict","state","commerc","intern","china"
"10","technolog","test","director","supplier","depend"
"11","increa","requir","herein","abil","affect"
"12","implement","risk","offic","acquisit","content"
"13","perform","unit","ownership","contract","chang"
"14","tariff","develop","secur","materi","infr"
"15","entiti","incur","specif","order","requir"
"16","expen","law","annual","tabl","sell"
"17","fail","abil","benefici","administr","action"
"18","sale","acquir","fiscal","suppli","countri"
"19","consolid","competit","item","account","intellectu"
"20","global","competitor","matter","econom","caus"
"21","abil","continu","owner","equip","compani"
"22","chang","demand","stockhold","licen","deliveri"
"23","industri","current","also","obtain","need"
"24","modifi","electron","basi","protect","outsourc"
"25","quarter","jurisdict","close","accept","portion"
"26","affect","subject","committ","flex","properti"
"27","facil","depart","connect","govern","qualifi"
"28","factor","difficulti","custom","howev","rate"
"29","liabil","price","day","remedi","use"
"30","meet","respect","definit","charg","econom"
"31","process","sale","ear","design","engin"
"32","qualiti","teradyn","electr","effect","expect"
"33","servic","busi","file","export","holiday"
"34","success","impo","hazard","meet","incom"
"35","trade","limit","held","provid","list"
"36","earn","patent","inform","sever","base"
"37","issu","agreement","later","singapor","capit"
"38","level","claim","measur","therefor","compon"
"39","parti","cycl","meet","trade","conduct"
"40","particular","liabil","might","addit","due"
"41","reduc","litig","purpo","affect","employ"
"42","result","part","refer","audit","health"
"43","substanti","penalti","relationship","chain","hisilicon"
"44","upon","roh","report","coronavirus","import"
"45","abl","similar","sec","countri","integr"
"46","asset","taken","semiconductor","decemb","legal"
"47","becom","author","sharehold","exist","maintain"
"48","believ","damag","transact","guarant","new"
"49","commit","dilut","year","introduc","obtain"
"50","differ","environ","acquir","manufactur","reduct"
"51","difficult","european","addit","negat","report"
"52","epidem","expenditur","allianc","per","retaliatori"
"53","expir","expo","approv","subcontractor","account"
"54","export","face","asian","achiev","allianc"
"55","follow","loss","assess","adopt","altern"
"56","list","manag","avoid","aggreg","benefit"
"57","locat","number","busi","announc","combin"
"58","manner","period","china","assur","contractu"
"59","origin","predict","common","becam","cyclic"
"60","outbreak","realiz","complement","caus","decemb"
"61","pay","sanction","complet","compani","ear"
"62","polit","site","conflict","cover","emerg"
"63","provid","strateg","consid","deliveri","extent"
"64","purcha","use","contain","effici","famili"
"65","regulatori","weee","contractor","ensur","hampshir"
"66","resourc","addit","cyber","estim","instabl"
"67","risk","affili","distribut","excess","invalid"
"68","slowdown","approxim","either","financ","invest"
"69","various","cash","enter","grow","lose"
"70","activ","circumst","even","impair","monitor"
"71","ani","compli","expan","implement","oblig"
"72","characterist","concentr","flow","improv","present"
"73","circumv","decrea","foreign","incent","ship"
"74","commerc","defect","help","lea","solut"
"75","event","devic","hisilicon","ltd","throughout"
"76","expect","direct","import","malaysia","transfer"
"77","experi","expand","includ","mix","uncertainti"
"78","fluctuat","forc","involv","osat","union"
"79","form","goodwil","logist","percentag","year"
"80","function","incent","lost","potenti","address"
"81","general","industri","oper","prohibit","amount"
"82","inventori","intang","platform","purcha","anoth"
"83","legisl","introduct","pressur","rapid","asia"
"84","longer","mani","prevail","receiv","autoguid"
"85","mitig","million","privaci","recur","avail"
"86","order","occur","realiz","restructur","bankruptci"
"87","past","offset","satisfi","safeti","capac"
"88","plexus","pursu","servic","save","channel"
"89","reput","receiv","share","semiconductor","chip"
"90","rule","robot","stock","thus","collect"
"91","semiconductor","seek","substanti","unabl","concern"
"92","share","warranti","subsystem","valu","coordin"
"93","substanc","wast","suffer","also","copyright"
"94","suffici","world","superior","alter","corp"
"95","synergi","access","suspen","anticip","creat"
"96","taiwan","act","sustain","ari","current"
"97","third","adapt","technic","asia","debt"
"98","year","agenc","technolog","assert","deem"
"99","agent","agent","tendenc","associat","design"
"100","agr","alter","third","autom","differenti"
