"","x"
"product",1287
"oper",689
"custom",650
"market",595
"result",561
"manufactur",537
"affect",457
"may",398
"includ",370
"revenu",364
"process",353
"semiconductor",328
"technolog",301
"busi",286
"cost",281
"chang",276
"financ",270
"adver",260
"use",251
"analog",250
"compani",242
"demand",229
"time",225
"condit",223
"emb",204
"requir",203
"design",200
"develop",197
"inventori",196
"invest",191
"materi",181
"perform",179
"offic",173
"sale",172
"electron",169
"applic",168
"high",167
"addit",165
"supplier",165
"competit",157
"increa",157
"equip",156
"general",156
"power",155
"segment",149
"subject",149
"abil",148
"system",147
"distributor",144
"signif",144
"factor",143
"relat",139
"depend",138
"mani",137
"report",136
"tax",135
"vice",134
"industri",131
"capac",129
"part",129
"sell",128
"risk",127
"cycl",126
"expect",124
"asset",123
"execut",123
"patent",121
"generat",120
"manag",120
"access",115
"billion",115
"base",114
"claim",111
"data",111
"law",111
"portfolio",111
"price",111
"facil",109
"licen",108
"third",107
"need",106
"suppli",105
"regul",102
"support",102
"wafer",102
"devic",101
"effect",100
"inform",100
"percent",99
"profit",98
"year",98
"continu",97
"term",97
"particular",95
"presid",94
"processor",94
"avail",93
"competitor",92
"sourc",90
"forecast",88
"line",88
"countri",87
"employ",87
"softwar",85
"wireless",85
"acquisit",84
"caus",84
"end",83
"success",83
"futur",82
"certain",80
"control",80
"maintain",80
"parti",80
"cash",79
"intellectu",79
"meet",79
"intern",78
"properti",78
"connect",77
"margin",77
"number",77
"order",77
"servic",77
"advanc",75
"believ",75
"senior",74
"broad",73
"unit",72
"declin",71
"integr",71
"exampl",70
"account",69
"corpor",69
"free",69
"locat",69
"disrupt",68
"event",68
"flow",68
"consign",67
"due",67
"natur",67
"period",67
"environ",66
"specif",66
"resourc",65
"long",64
"charg",63
"volum",63
"credit",62
"direct",62
"life",62
"often",62
"purcha",62
"signal",62
"assur",61
"follow",61
"comput",60
"expen",60
"operat",60
"plan",60
"item",59
"level",59
"agreement",58
"automot",58
"capit",58
"global",58
"liabil",58
"posit",58
"econom",57
"fix",57
"protect",57
"serv",57
"larg",56
"provid",56
"unabl",56
"differ",55
"distribut",55
"growth",55
"major",55
"test",55
"lead",54
"rate",54
"secur",54
"jurisdict",53
"microcontrol",53
"date",52
"face",52
"network",52
"program",52
"quarter",52
"activ",51
"health",51
"raw",51
"technic",51
"util",51
"convert",50
"logic",50
"portion",50
"possibl",50
"amount",49
"might",49
"rang",49
"texa",49
"wide",49
"chief",48
"fabric",48
"impair",48
"non",48
"practic",48
"return",48
"state",48
"various",48
"compet",47
"debt",47
"low",47
"person",47
"within",47
"catalog",46
"complet",46
"deliveri",46
"form",46
"import",46
"improv",46
"sold",46
"valu",46
"vari",46
"extern",45
"key",45
"loss",45
"strateg",45
"decrea",44
"digit",44
"diver",44
"file",44
"fund",44
"restrict",44
"upon",44
"backlog",43
"focus",43
"incorpor",43
"incur",43
"rapid",43
"world",43
"assembl",42
"conduct",42
"consid",42
"enforc",42
"goodwil",42
"repr",42
"build",41
"interfac",41
"reduc",41
"standard",41
"associ",40
"bank",40
"benefit",40
"carri",40
"outsid",40
"particip",40
"share",40
"advantag",39
"amplifi",39
"combin",39
"list",39
"worldwid",39
"factori",38
"less",38
"oblig",38
"primari",38
"reason",38
"safeti",38
"shipment",38
"communic",37
"complex",37
"initi",37
"licens",37
"mix",37
"refer",37
"sever",37
"similar",37
"characterist",36
"foundri",36
"recal",36
"abl",35
"allow",35
"insur",35
"investor",35
"recruit",35
"royalti",35
"tend",35
"becam",34
"channel",34
"circuit",34
"personnel",34
"respect",34
"asia",33
"calcul",33
"china",33
"contain",33
"decemb",33
"earn",33
"inabl",33
"infr",33
"known",33
"load",33
"multipl",33
"polit",33
"pressur",33
"sector",33
"strategi",33
"acquir",32
"amend",32
"among",32
"domest",32
"legal",32
"relea",32
"suffici",32
"typic",32
"audit",31
"beyond",31
"breach",31
"damag",31
"intang",31
"limit",31
"liquid",31
"primarili",31
"request",31
"warranti",31
"largest",30
"reput",30
"rule",30
"trademark",30
"consum",29
"divestitur",29
"expand",29
"failur",29
"implement",29
"measur",29
"season",29
"singl",29
"capabl",28
"director",28
"emerg",28
"maxim",28
"princip",28
"realiz",28
"regard",28
"restructur",28
"accord",27
"curtail",27
"electr",27
"epidem",27
"estim",27
"fluctuat",27
"fragment",27
"greater",27
"infrastructur",27
"interest",27
"length",27
"obtain",27
"organiz",27
"receiv",27
