"","V1"
"0001014473-13-000006_Business.txt",4
"0001014473-13-000006_Risk.txt",3
"0001014473-14-000006_Business.txt",1
"0001014473-14-000006_Risk.txt",3
"0001014473-15-000011_Business.txt",4
"0001014473-15-000011_Risk.txt",3
"0001014473-16-000086_Business.txt",4
"0001014473-16-000086_Risk.txt",5
"0001014473-17-000004_Business.txt",4
"0001014473-17-000004_Risk.txt",5
"0001014473-18-000018_Business.txt",2
"0001014473-18-000018_Risk.txt",5
"0001014473-19-000005_Business.txt",4
"0001014473-19-000005_Risk.txt",5
"0001014473-20-000006_Business.txt",2
"0001014473-20-000006_Risk.txt",5
