"","x"
"product",775
"oper",413
"result",407
"may",348
"adver",302
"financ",301
"condit",282
"custom",265
"busi",249
"materi",247
"impact",211
"market",211
"wafer",210
"affect",202
"increa",196
"manufactur",182
"foundri",180
"abil",179
"price",172
"includ",170
"addit",148
"demand",148
"econom",147
"cost",141
"time",139
"disrupt",136
"effect",132
"system",132
"revenu",129
"distributor",125
"design",124
"depend",116
"chang",110
"factor",110
"futur",110
"risk",110
"third",107
"parti",102
"suppli",99
"technolog",98
"competit",97
"negat",94
"credit",93
"intern",93
"subject",91
"perform",90
"industri",89
"success",88
"certain",87
"due",87
"delay",86
"signif",86
"sale",84
"inventori",83
"natur",81
"sell",81
"continu",80
"develop",79
"high",78
"assembl",74
"logic",74
"process",74
"margin",72
"provid",72
"reduc",72
"test",71
"foreign",70
"global",69
"past",69
"manag",68
"secur",67
"access",66
"rate",65
"reli",65
"accept",64
"meet",64
"term",63
"declin",62
"reduct",62
"requir",60
"upon",60
"exampl",58
"inabl",58
"lead",58
"capac",57
"shortag",57
"ani",56
"disast",56
"furthermor",56
"gross",56
"programm",56
"servic",56
"advanc",55
"compani",55
"obtain",55
"compet",54
"end",54
"impair",54
"import",54
"softwar",54
"semiconductor",52
"currenc",51
"invest",51
"support",50
"tool",50
"effort",49
"potenti",49
"insolv",48
"shipment",48
"volum",48
"yield",48
"activ",47
"level",47
"uncertainti",47
"applic",46
"limit",46
"tabl",46
"failur",45
"valu",45
"caus",44
"control",44
"function",44
"general",44
"personnel",44
"trade",44
"health",43
"inform",43
"order",43
"supplier",43
"competitor",42
"region",42
"subcontractor",42
"anticip",41
"claim",41
"event",41
"relat",41
"volatil",41
"account",40
"achiev",40
"densiti",40
"locat",40
"low",40
"receiv",40
"countri",39
"difficulti",39
"introduc",39
"manner",39
"util",39
"weak",39
"featur",38
"avail",37
"exist",37
"experi",36
"fluctuat",36
"instabl",36
"intellectu",36
"interest",36
"particular",36
"properti",36
"loss",35
"number",35
"quarter",35
"use",35
"avnet",34
"regul",33
"strategi",33
"capit",32
"charact",32
"difficult",32
"guarant",32
"net",32
"tsmc",32
"abl",31
"concern",31
"forecast",31
"power",31
"produc",31
"report",30
"type",30
"adequ",29
"asset",29
"japan",29
"outsid",29
"assert",28
"attempt",28
"contract",28
"harm",28
"necessari",28
"earthquak",27
"extent",27
"key",27
"protect",27
"worldwid",27
"attract",26
"complet",26
"environ",26
"expect",26
"relationship",26
"umc",26
"howev",25
"part",25
"period",25
"address",24
"architectur",24
"asic",24
"associ",24
"assp",24
"averag",24
"commit",24
"dollar",24
"emb",24
"fiscal",24
"forc",24
"higher",24
"independ",24
"primarili",24
"problem",24
"segment",24
"short",24
"temporarili",24
"transit",24
"turn",24
"action",23
"commerci",23
"devic",23
"fail",23
"implement",23
"improv",23
"introduct",23
"law",23
"older",23
"packag",23
"patent",23
"resourc",23
"respect",23
"sanction",23
"sovereign",23
"unit",23
"current",22
"european",22
"halt",22
"licen",22
"recent",22
"restrict",22
"unabl",22
"basi",21
"consum",21
"enhanc",21
"generat",21
"infr",21
"partner",21
"purcha",21
"seek",21
"sever",21
"stabil",21
"becom",20
"consid",20
"facil",20
"greater",20
"march",20
"network",20
"ongo",20
"weaker",20
"zte",20
"conduct",19
"direct",19
"downturn",19
"grant",19
"unauthor",19
"various",19
"amount",18
"area",18
"attack",18
"europ",18
"incid",18
"retain",18
"taiwan",18
"temporari",18
"upgrad",18
"breach",17
"cash",17
"correspond",17
"describ",17
"face",17
"full",17
"qualifi",17
"singapor",17
"specif",17
"stock",17
"altern",16
"attribut",16
"believ",16
"california",16
"collect",16
"complex",16
"consumpt",16
"cycl",16
"cyclic",16
"decrea",16
"denomin",16
"deriv",16
"deterior",16
"differ",16
"dynam",16
"enabl",16
"ero",16
"exchang",16
"export",16
"field",16
"increment",16
"insuffici",16
"life",16
"long",16
"longer",16
"matur",16
"movement",16
"newer",16
"obsolesc",16
"occur",16
"offset",16
"pld",16
"polit",16
"predefin",16
"predict",16
"project",16
"rapid",16
"recogn",16
"regard",16
"reliabl",16
"smaller",16
"spend",16
"substanti",16
"suffer",16
"tighten",16
"typhoon",16
"ultim",16
"unpredict",16
"viabil",16
"vulner",16
"win",16
"write",16
"act",15
"adopt",15
"challeng",15
"frequent",15
"indirect",15
"legal",15
"mani",15
"must",15
"slow",15
"substrat",15
"therefor",15
"unavail",15
"copyright",14
"establish",14
"maintain",14
"procedur",14
"union",14
"wareh",14
"year",14
"accur",13
"asia",13
"becaus",13
"chain",13
"circumst",13
"corpor",13
"debt",13
"electron",13
"engin",13
"expo",13
"gain",13
"govern",13
"growth",13
"hardwar",13
"integr",13
"newest",13
"oblig",13
"regulatori",13
"vari",13
"across",12
"brexit",12
"common",12
"inten",12
"larg",12
"major",12
"portion",12
"proper",12
"reason",12
"return",12
"rise",12
"unexpect",12
"announc",11
"compromi",11
"crise",11
"cyber",11
"nation",11
"need",11
"non",11
"otherwi",11
"polici",11
"posit",11
"record",11
"sourc",11
"tariff",11
"unfavor",11
"agreement",10
"commerc",10
"complimentari",10
"confid",10
"depart",10
"fpgas",10
"incorpor",10
"indemn",10
"lattic",10
"microsemi",10
"plan",10
"prolong",10
"standard",10
"techniqu",10
"acquir",9
"annual",9
"barrier",9
"base",9
"concentr",9
"covid",9
"distribut",9
"economi",9
"expan",9
"form",9
"geograph",9
"half",9
"hire",9
"infect",9
"issu",9
"korea",9
"litig",9
"ltd",9
"mean",9
"measur",9
"militari",9
"misappropri",9
"offic",9
"pay",9
"remain",9
"solut",9
"south",9
"store",9
"suffici",9
"tax",9
"water",9
"adapt",8
"alloc",8
"anti",8
"aspect",8
"assur",8
"autom",8
"benefit",8
"care",8
"catastroph",8
"cea",8
"charg",8
"circuit",8
"conflict",8
"consist",8
"consolid",8
"corrupt",8
"cover",8
"creation",8
"default",8
"deliv",8
"deliveri",8
"determin",8
"devalu",8
"digit",8
"duti",8
"earn",8
"edg",8
"electr",8
"emerg",8
"encount",8
"erupt",8
"euro",8
"excess",8
"execut",8
"expen",8
"exposur",8
"fair",8
"fall",8
"fire",8
"flood",8
"flow",8
"follow",8
"forward",8
"fpga",8
"fulfil",8
"gas",8
"gener",8
"geometri",8
"gigabit",8
"grade",8
"guidanc",8
"headquart",8
"identifi",8
"incom",8
"incur",8
"india",8
"insur",8
"intent",8
"ireland",8
"judg",8
"keep",8
"known",8
"liabil",8
"licens",8
"likelihood",8
"lose",8
"lower",8
"main",8
"might",8
"mix",8
"moreov",8
"multi",8
"negoti",8
"normal",8
"obsolet",8
"occa",8
"oem",8
"offer",8
"oil",8
"opportun",8
"outbreak",8
"outpac",8
"pace",8
"pacif",8
"pattern",8
"payment",8
"per",8
"portfolio",8
"possibl",8
"predictor",8
"present",8
"pressur",8
"princip",8
"processor",8
"profit",8
"program",8
"prospect",8
"qualiti",8
"quantiti",8
"rai",8
"ramp",8
"rang",8
"reaction",8
"realiz",8
"repay",8
"replac",8
"repr",8
"russia",8
"safeti",8
"samsung",8
"seiko",8
"seismic",8
"serv",8
"signal",8
"site",8
"size",8
"slowdown",8
"soon",8
"special",8
"speed",8
"strong",8
"subsidiari",8
"surg",8
"suspend",8
"terrorist",8
"therebi",8
"total",8
"transceiv",8
"tsunami",8
"usual",8
"valuat",8
"visibl",8
"volcano",8
"within",8
"work",8
"yen",8
"among",7
"capabl",7
"case",7
"center",7
"circumv",7
"connect",7
"consequ",7
"contain",7
"contentsw",7
"defend",7
"detect",7
"diplomat",7
"disclosur",7
"entiti",7
"evalu",7
"exceed",7
"indemnif",7
"individu",7
"intel",7
"invalid",7
"investig",7
"kingdom",7
"link",7
"list",7
"magnitud",7
"malici",7
"mask",7
"matter",7
"outag",7
"pact",7
"penetr",7
"prevail",7
"prevent",7
"primari",7
"recurr",7
"regular",7
"royalti",7
"russian",7
