"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","point","now","watch","use","devic"
"2","client","level","don","signal","connect"
"3","network","membership","now","measur","wireless"
"4","access","busi","guy","time","technolog"
"5","actual","think","work","analyz","router"
"6","realli","work","think","spectrum","speed"
"7","use","peopl","realli","carrier","network"
"8","channel","support","start","frequenc","internet"
"9","high","talk","game","error","light"
"10","time","need","solar","power","rang"
"11","let","buy","time","modul","access"
"12","need","member","year","system","standard"
"13","wave","key","good","applic","video"
"14","now","everi","littl","type","band"
"15","gigahertz","first","someth","symbol","home"
"16","data","abl","didn","test","data"
"17","design","share","call","subcarri","antenna"
"18","differ","time","play","exampl","set"
"19","perform","don","tri","ofdm","user"
"20","talk","bring","stuff","standard","product"
"21","wireless","question","week","data","second"
"22","devic","roam","day","show","differ"
"23","start","good","first","channel","per"
"24","today","plan","need","differ","use"
"25","capac","servic","yes","now","port"
"26","don","happen","give","transmit","link"
"27","cour","use","never","display","solut"
"28","interf","hundr","show","set","basic"
"29","radio","mean","materi","waveform","fast"
"30","work","build","phone","chang","control"
"31","area","day","pretti","analysi","provid"
"32","four","today","hous","base","bit"
"33","gigabit","dollar","love","first","communic"
"34","move","pack","movi","sub","experi"
"35","rate","exampl","open","block","stream"
"36","throughput","understand","cuz","noi","frequenc"
"37","environ","revenu","feel","compon","multi"
"38","might","ask","happen","pilot","phone"
"39","mani","inform","wait","receiv","point"
"40","bandwidth","wireless","liter","select","mobil"
"41","higher","chang","better","anoth","oper"
"42","end","month","hour","talk","radio"
"43","mayb","program","last","current","usb"
"44","improv","authent","probabl","averag","faster"
"45","signal","part","actual","let","life"
"46","number","start","came","singl","base"
"47","littl","thank","doesn","someth","comput"
"48","megahertz","point","eight","find","effici"
"49","multipl","reason","head","radar","led"
"50","stream","tell","anyth","screen","station"
"51","bit","benefit","god","softwar","traffic"
"52","good","guy","talk","today","wire"
"53","custom","problem","number","communic","switch"
"54","close","doesn","went","develop","cost"
"55","low","offic","whole","inform","allow"
"56","better","test","four","techniqu","secur"
"57","may","everyth","ever","high","cabl"
"58","percent","someth","mean","design","consum"
"59","coverag","app","noth","input","deliv"
"60","market","four","chicago","click","littl"
"61","capabl","learn","cool","instrument","think"
"62","mean","last","end","phase","power"
"63","power","pay","half","problem","air"
"64","year","frame","minut","captur","direct"
"65","product","interest","peopl","function","transmit"
"66","wall","user","sit","howev","gigahertz"
"67","plan","actual","differ","valu","avail"
"68","strength","cell","find","basic","essenti"
"69","amount","may","free","case","featur"
"70","probabl","move","hand","constel","applic"
"71","question","site","record","correct","megabit"
"72","anoth","big","top","help","spectrum"
"73","dbm","give","anyway","import","implement"
"74","tri","server","everyon","thank","stuff"
"75","typic","compani","hey","trace","unit"
"76","content","done","left","agil","ethernet"
"77","certain","help","man","creat","rate"
"78","deploy","messag","room","format","transfer"
"79","first","team","saw","paramet","front"
"80","import","group","sinc","process","generat"
"81","switch","process","sorri","result","mode"
"82","manag","term","almost","demonstr","physic"
"83","milliwatt","differ","bad","gap","qualcomm"
"84","room","issu","coupl","ken","quick"
"85","singl","creat","pick","lte","send"
"86","think","let","season","particular","monitor"
"87","best","made","ship","addit","side"
"88","laptop","stop","base","configur","complex"
"89","util","check","big","integr","develop"
"90","direct","driver","definit","mode","licen"
"91","second","fee","done","space","line"
"92","alreadi","profess","everybodi","call","bluetooth"
"93","exact","deci","name","car","box"
"94","increa","generat","relea","choo","extend"
"95","keep","list","rememb","mention","file"
"96","line","mayb","spend","rang","mimo"
"97","optim","read","super","specif","nice"
"98","show","request","world","trigger","togeth"
"99","support","clear","wouldn","behavior","unlicen"
"100","send","fix","alway","defin","aggreg"
