"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abil",8.87665882561804e-06,0.00114216557618849,0.00067015904478739,1.21190086650912e-05,0.0026564096400024,7.00753934519861
"2","abl",0.00382583995384137,0.00447033016905563,0.00255793100193497,1.21190086650912e-05,1.20199531221828e-05,0.224604866961962
"3","absolut",0.00063024277661888,0.00114216557618849,9.43885978573788e-06,1.21190086650912e-05,0.000132219484344011,0.857792225693925
"4","academ",0.000275176423594159,0.00129344578495518,9.43885978573788e-06,1.21190086650912e-05,1.20199531221828e-05,2.23279081037255
"5","actual",0.0162531623097066,7.5640104383344e-06,9.43885978573788e-06,0.00837423498757802,0.00337760682733337,-11.0692814699238
"6","add",0.00125160889441214,7.5640104383344e-06,9.43885978573788e-06,0.000496879355268739,0.000132219484344011,-7.37041674652527
"7","advanc",0.00169544183569304,7.5640104383344e-06,9.43885978573788e-06,1.21190086650912e-05,1.20199531221828e-05,-7.80829422216222
"8","affect",0.00160667524743686,0.000158844219205022,0.00114210203407428,1.21190086650912e-05,0.00121401526534046,-3.33839385843092
"9","agr",0.00134037548266832,0.000158844219205022,9.43885978573788e-06,0.000496879355268739,1.20199531221828e-05,-3.07695271067279
"10","algorithm",0.00116284230615596,8.32041148216784e-05,0.00133087922978904,0.000618069441919651,0.000372618546787668,-3.80485677702663
"11","allow",8.87665882561804e-06,0.00182292651563859,9.43885978573788e-06,1.21190086650912e-05,0.00373820542099886,7.68202394210349
"12","almost",0.00169544183569304,0.000158844219205022,0.000103827457643117,0.000375689268617827,0.000973616202896808,-3.41597679938346
"13","along",0.00116284230615596,0.000158844219205022,0.000198216055500495,1.21190086650912e-05,0.000492818078009496,-2.87197097288516
"14","alreadi",0.00364830677732901,7.5640104383344e-06,9.43885978573788e-06,0.00328425134823971,1.20199531221828e-05,-8.91385997780816
"15","although",0.00160667524743686,7.5640104383344e-06,0.000858936240502147,1.21190086650912e-05,1.20199531221828e-05,-7.73071128120968
"16","alway",0.000807775953131242,0.00273060776823872,0.000575770446930011,0.00146640004847603,1.20199531221828e-05,1.757194992562
"17","amaz",8.87665882561804e-06,0.00121780568057184,0.000481381849072632,1.21190086650912e-05,1.20199531221828e-05,7.10005148398814
"18","american",0.00213927477697395,0.000763965054271775,9.43885978573788e-06,1.21190086650912e-05,1.20199531221828e-05,-1.48554324760464
"19","anger",8.87665882561804e-06,0.00136908588933853,9.43885978573788e-06,1.21190086650912e-05,1.20199531221828e-05,7.26898049295673
"20","angri",8.87665882561804e-06,0.00121780568057184,0.000103827457643117,1.21190086650912e-05,1.20199531221828e-05,7.10005148398814
"21","anim",0.00125160889441214,7.5640104383344e-06,9.43885978573788e-06,1.21190086650912e-05,1.20199531221828e-05,-7.37041674652527
"22","anoth",0.00151790865918068,0.00212548693317197,0.00161404502336118,0.00170878022177786,0.00109381573411864,0.485708411208556
