"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abil",0.00285376209368692,3.95929841232134e-05,6.93144797948291e-05,4.07215865130105e-05,4.51528423714273e-05,-6.17147645070658
"2","access",6.96039535045591e-05,0.00241517203151602,6.93144797948291e-05,0.000855153316773222,4.51528423714273e-05,5.11681289147439
"3","achiev",0.00215772255864133,3.95929841232134e-05,6.93144797948291e-05,4.07215865130105e-05,4.51528423714273e-05,-5.76812075647537
"4","action",0.00285376209368692,3.95929841232134e-05,6.93144797948291e-05,4.07215865130105e-05,4.51528423714273e-05,-6.17147645070658
"5","activ",0.00494188069882369,3.95929841232134e-05,6.93144797948291e-05,4.07215865130105e-05,4.51528423714273e-05,-6.96367156559317
"6","afterward",6.96039535045591e-05,0.00241517203151602,6.93144797948291e-05,4.07215865130105e-05,4.51528423714273e-05,5.11681289147439
"7","algorithm",6.96039535045591e-05,0.00281110187274815,6.93144797948291e-05,4.07215865130105e-05,4.51528423714273e-05,5.33582267341619
"8","allow",0.00633395976891488,3.95929841232134e-05,6.93144797948291e-05,0.000855153316773222,4.51528423714273e-05,-7.32171908628719
"9","alright",0.000765643488550149,0.00122738250781961,6.93144797948291e-05,4.07215865130105e-05,4.51528423714273e-05,0.680840245661085
"10","android",6.96039535045591e-05,0.00558261076137309,6.93144797948291e-05,4.07215865130105e-05,4.51528423714273e-05,6.3256269063103
"11","anoth",6.96039535045591e-05,0.00320703171398028,6.93144797948291e-05,0.000855153316773222,0.00275432338465706,5.52592555679613
"12","answer",6.96039535045591e-05,0.00122738250781961,6.93144797948291e-05,4.07215865130105e-05,4.51528423714273e-05,4.14027186429838
"13","api",6.96039535045591e-05,0.00162331234905175,6.93144797948291e-05,4.07215865130105e-05,4.51528423714273e-05,4.54362755852959
"14","appear",0.00146168302359574,3.95929841232134e-05,6.93144797948291e-05,0.000447937451643116,4.51528423714273e-05,-5.20624186886725
"15","applic",6.96039535045591e-05,0.0131052777447836,6.93144797948291e-05,4.07215865130105e-05,0.00139973811351425,7.55676296071872
"16","architect",6.96039535045591e-05,0.00518668092014095,6.93144797948291e-05,4.07215865130105e-05,4.51528423714273e-05,6.21949855544896
"17","architectur",6.96039535045591e-05,0.00360296155521242,6.93144797948291e-05,4.07215865130105e-05,4.51528423714273e-05,5.6938701941102
"18","area",6.96039535045591e-05,0.00162331234905175,6.93144797948291e-05,0.00126236918190333,4.51528423714273e-05,4.54362755852959
"19","ask",0.0042458411637781,3.95929841232134e-05,0.00076245927774312,4.07215865130105e-05,4.51528423714273e-05,-6.74466178365138
