"","x"
"brain",561
"think",284
"use",258
"peopl",213
"comput",211
"work",200
"now",182
"realli",170
"time",168
"differ",160
"someth",146
"actual",144
"interfac",142
"control",135
"technolog",135
"move",128
"human",125
"system",125
"devic",118
"don",118
"mean",112
"tri",111
"patient",106
"hand",105
"abl",102
"person",102
"movement",99
"activ",91
"data",88
"develop",88
"let",88
"question",86
"research",85
"signal",85
"talk",85
"start",83
"show",81
"cour",80
"exampl",80
"communic",79
"good",79
"need",78
"part",78
"mayb",77
"understand",77
"machin",75
"basic",74
"stimul",73
"year",73
"electrod",72
"first",72
"littl",69
"might",66
"inform",65
"electr",63
"call",62
"robot",62
"thought",62
"state",60
"help",59
"real",59
"feel",58
"give",58
"interest",57
"happen",56
"learn",56
"mani",56
"motor",56
"yes",56
"chang",55
"mind",55
"world",54
"area",53
"imagin",53
"thank",53
"read",51
"today",51
"allow",50
"ask",50
"interact",50
"left",50
"possibl",50
"sort",50
"head",49
"better",48
"direct",48
"function",48
"import",48
"open",48
"bodi",47
"turn",47
"point",46
"problem",46
"process",46
"quit",46
"tell",45
"anoth",44
"togeth",43
"channel",42
"connect",41
"idea",40
"provid",40
"stroke",39
"action",38
"applic",38
"current",38
"doesn",38
"implant",38
"record",38
"type",38
"without",38
"arm",37
"creat",37
"design",37
"power",37
"video",37
"bci",36
"emot",36
"experi",36
"muscl",36
"perform",36
"end",35
"headset",35
"neural",35
"sen",35
"side",35
"abil",34
"big",34
"day",34
"feedback",34
"find",34
"futur",34
"measur",34
"pretti",34
"respon",34
"second",34
"test",34
"user",34
"done",33
"medic",33
"natur",33
"number",33
"send",33
"someon",33
"studi",33
"bit",32
"consum",32
"goe",32
"long",32
"reason",32
"sensor",32
"term",32
"visual",32
"improv",31
"level",31
"neuron",31
"project",31
"base",30
"car",30
"engin",30
"everi",30
"guy",30
"high",30
"last",30
"may",30
"perspect",30
"play",30
"task",30
"bring",29
"cognit",29
"definit",29
"eeg",29
"game",29
"hope",29
"made",29
"monitor",29
"place",29
"algorithm",28
"becom",28
"case",28
"certain",28
"challeng",28
"enough",28
"organ",28
"requir",28
"specif",28
"wave",28
"word",28
"approach",27
"conscious",27
"frequenc",27
"later",27
"life",27
"pick",27
"begin",26
"best",26
"environ",26
"particular",26
"set",26
"alway",25
"hear",25
"probabl",25
"rick",25
"alreadi",24
"detect",24
"four",24
"pattern",24
"sound",24
"train",24
"watch",24
"whole",24
"wrist",24
"clear",23
"cortex",23
"disabl",23
"ethic",23
"everyth",23
"goal",23
"injuri",23
"keep",23
"answer",22
"build",22
"focus",22
"involv",22
"limb",22
"order",22
"produc",22
"clinic",21
"compani",21
"easi",21
"hard",21
"innov",21
"insid",21
"network",21
"non",21
"often",21
"paralyz",21
"plea",21
"quick",21
"relat",21
"scienc",21
"speak",21
"therapi",21
"access",20
"across",20
"behavior",20
"continu",20
"depend",20
"effect",20
"friend",20
"instanc",20
"larg",20
"name",20
"nice",20
"spinal",20
"amaz",19
"anyth",19
"attent",19
"collabor",19
"complet",19
"cord",19
"couldn",19
"event",19
"hardwar",19
"individu",19
"intent",19
"limit",19
"line",19
"live",19
"model",19
"potenti",19
"print",19
"result",19
"sever",19
"similar",19
"simpl",19
"somebodi",19
"sourc",19
"support",19
