"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00689302221440338,0.00186644250359753,0.00357123490359215,1.20023524610824e-05,1.26411063496277e-05,-1.88484559814216
"2","absolut",0.00129544036976026,0.00115405986863664,0.00124722086654737,1.20023524610824e-05,1.26411063496277e-05,-0.166724540590512
"3","academ",0.00257488764853583,1.42476526992178e-05,7.74671345681595e-06,1.20023524610824e-05,0.0040577951382305,-7.49764141870513
"4","accept",0.000335854910678587,0.00158148944961318,0.000472549520865773,1.20023524610824e-05,1.26411063496277e-05,2.23537390298083
"5","access",0.00129544036976026,1.42476526992178e-05,7.74671345681595e-06,0.0031326139923425,1.26411063496277e-05,-6.50657454347514
"6","account",1.59930909846946e-05,0.00329120777351931,0.00132468800111553,0.00397277866461827,1.26411063496277e-05,7.68502450082554
"7","achiev",1.59930909846946e-05,0.001439012922621,7.74671345681595e-06,0.00169233169701261,0.000391874296838459,6.49148694216128
"8","across",0.00113550945991332,1.42476526992178e-05,7.74671345681595e-06,0.0010922140739585,0.00317291769375656,-6.3164716600952
"9","action",1.59930909846946e-05,0.00200891903058971,0.00357123490359215,1.20023524610824e-05,1.26411063496277e-05,6.97282681180828
"10","activ",0.000335854910678587,0.00186644250359753,0.000317615251729454,1.20023524610824e-05,1.26411063496277e-05,2.47438103816818
"11","actual",0.00977177859164841,1.42476526992178e-05,0.00837419724681803,1.20023524610824e-05,0.00494267258270444,-9.42175311040924
"12","address",1.59930909846946e-05,0.00158148944961318,0.00225429361593344,1.20023524610824e-05,1.26411063496277e-05,6.62769132575959
"13","adult",0.00113550945991332,0.00058415376066793,7.74671345681595e-06,1.20023524610824e-05,1.26411063496277e-05,-0.958919655477111
"14","advantag",1.59930909846946e-05,0.00129653639562882,7.74671345681595e-06,0.000132025877071906,1.26411063496277e-05,6.34107009960818
"15","advi",0.00241495673868889,1.42476526992178e-05,7.74671345681595e-06,0.000372072926293554,1.26411063496277e-05,-7.40512927991559
"16","advisor",0.00401426583715835,0.000299200706683574,7.74671345681595e-06,0.000492096450904377,0.00102392961431985,-3.74595067176252
"17","affect",1.59930909846946e-05,0.00257882513855842,0.000240148117161294,1.20023524610824e-05,1.26411063496277e-05,7.33312134649269
"18","ahead",0.00129544036976026,0.000299200706683574,0.000317615251729454,1.20023524610824e-05,1.26411063496277e-05,-2.11425712069638
"19","alert",0.00929198586210757,1.42476526992178e-05,7.74671345681595e-06,1.20023524610824e-05,1.26411063496277e-05,-9.34911889399504
"20","allow",1.59930909846946e-05,0.00101158334164446,8.52138480249755e-05,0.00157230817240179,1.26411063496277e-05,5.98302257891417
"21","alright",0.000495785820525533,0.00243634861156624,7.74671345681595e-06,1.20023524610824e-05,0.000391874296838459,2.29693166390851
"22","amount",1.59930909846946e-05,0.00186644250359753,7.74671345681595e-06,0.00181235522162344,1.26411063496277e-05,6.86669846094694
"23","analysi",0.00225502582884194,0.00101158334164446,7.74671345681595e-06,1.20023524610824e-05,1.26411063496277e-05,-1.15652877348462
"24","analyt",0.00257488764853583,1.42476526992178e-05,7.74671345681595e-06,0.000132025877071906,1.26411063496277e-05,-7.49764141870513
"25","analyz",0.00225502582884194,0.00115405986863664,7.74671345681595e-06,1.20023524610824e-05,1.26411063496277e-05,-0.966425890104682
