"","x"
"drone",68
"fli",24
"use",21
"commerci",19
"now",19
"realli",18
"show",17
"camera",16
"coverag",16
"oper",15
"actual",14
"peopl",14
"pilot",14
"need",13
"inspir",12
"uav",12
"faa",11
"insur",11
"polici",11
"dollar",10
"imag",10
"mean",10
"system",10
"think",10
"captur",9
"flight",9
"recreat",9
"control",8
"direct",8
"give",8
"militari",8
"person",8
"set",8
"shot",8
"time",8
"call",7
"fix",7
"industri",7
"multi",7
"new",7
"process",7
"rotor",7
"school",7
"sen",7
"start",7
"technolog",7
"aerial",6
"aviat",6
"chang",6
"class",6
"compani",6
"cour",6
"differ",6
"distinct",6
"four",6
"let",6
"littl",6
"probabl",6
"purpo",6
"report",6
"talk",6
"year",6
"airplan",5
"big",5
"can",5
"don",5
"exact",5
"find",5
"first",5
"fun",5
"get",5
"hope",5
"idea",5
"includ",5
"land",5
"liabil",5
"licen",5
"mani",5
"million",5
"rang",5
"regul",5
"requir",5
"speed",5
"student",5
"take",5
"ten",5
"thank",5
"thousand",5
"vertic",5
"video",5
"will",5
"wing",5
"yes",5
"aircraft",4
"airspac",4
"bit",4
"clear",4
"cover",4
"creat",4
"crew",4
"design",4
"detail",4
"doesn",4
"drive",4
"educ",4
"effect",4
"everyth",4
"filmmak",4
"focus",4
"forc",4
"function",4
"helicopt",4
"home",4
"insid",4
"law",4
"locat",4
"long",4
"made",4
"page",4
"power",4
"profess",4
"rule",4
"safe",4
"someth",4
"switch",4
"test",4
"today",4
"train",4
"tri",4
"understand",4
"vtol",4
"abl",3
"add",3
"ahead",3
"air",3
"airlin",3
"airport",3
"announc",3
"anoth",3
"anyth",3
"app",3
"area",3
"auvsi",3
"awar",3
"behind",3
"better",3
"broadcast",3
"challeng",3
"charact",3
"cinemadng",3
"close",3
"communic",3
"cool",3
"cost",3
"danger",3
"day",3
"defend",3
"dji",3
"experi",3
"feet",3
"film",3
"found",3
"full",3
"futur",3
"girl",3
"good",3
"ground",3
"guidelin",3
"guy",3
"hand",3
"hire",3
"hour",3
"hundr",3
"import",3
"inspect",3
"just",3
"keep",3
"larg",3
"licens",3
"live",3
"love",3
"lower",3
"maximum",3
"mayb",3
"micro",3
"might",3
"mode",3
"modul",3
"money",3
"never",3
"normal",3
"number",3
"place",3
"privaci",3
"product",3
"profil",3
"prore",3
"protect",3
"provid",3
"public",3
"qualiti",3
"quick",3
"quit",3
"raw",3
"real",3
"record",3
"remot",3
"repr",3
"respon",3
"right",3
"roswel",3
"sai",3
"salli",3
"saw",3
"sky",3
"small",3
"somebodi",3
"someon",3
"sort",3
"stuff",3
"team",3
"term",3
"top",3
"type",3
"want",3
"without",3
"work",3
"world",3
"wouldn",3
"wrong",3
"abid",2
"absolut",2
"afraid",2
"allow",2
"alreadi",2
"also",2
"altitud",2
"anim",2
"avoid",2
"away",2
"base",2
