"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","think","use","polit","work","bank"
"2","peopl","now","nation","think","busi"
"3","realli","actual","state","health","fair"
"4","talk","data","human","question","regul"
"5","don","need","quot","develop","credit"
"6","work","servic","sovereignti","communiti","loan"
"7","interest","market","freedom","social","deal"
"8","someth","question","mani","realli","financ"
"9","time","time","power","program","inform"
"10","differ","manag","time","countri","plan"
"11","start","show","think","educ","question"
"12","build","compani","govern","use","year"
"13","year","busi","bodi","issu","need"
"14","actual","first","form","actual","properti"
"15","littl","control","climat","peopl","union"
"16","tri","food","first","term","lend"
"17","mean","custom","world","need","applic"
"18","sort","inform","relat","care","thank"
"19","need","realli","social","support","real"
"20","happen","account","part","group","report"
"21","idea","good","anoth","particular","estat"
"22","communiti","process","question","system","hous"
"23","good","valu","women","organ","fund"
"24","chang","video","made","research","provid"
"25","learn","product","peopl","famili","manag"
"26","now","basic","now","thank","communiti"
"27","project","cloud","call","import","use"
"28","bit","server","movement","govern","term"
"29","place","system","imagin","mani","thei"
"30","connect","platform","peac","talk","includ"
"31","world","let","process","servic","requir"
"32","call","differ","south","differ","strateg"
"33","might","give","justic","provid","base"
"34","share","brand","men","now","budget"
"35","ask","call","role","languag","investor"
"36","togeth","access","global","state","home"
"37","first","user","cour","resourc","program"
"38","live","probabl","fact","network","million"
"39","use","distribut","king","problem","continu"
"40","part","point","man","polici","present"
"41","mayb","start","term","chang","gang"
"42","person","talk","life","help","complianc"
"43","abl","bit","posit","indigen","market"
"44","big","exampl","unit","practic","now"
"45","money","don","french","tri","particular"
"46","kid","type","forc","foundat","number"
"47","design","hub","subject","role","receiv"
"48","feel","may","certain","quit","public"
"49","citi","end","american","model","consid"
"50","let","part","free","time","act"
"51","whole","contain","seem","knowledg","opportun"
"52","import","technolog","violenc","sector","one"
"53","book","mani","centuri","context","focus"
"54","creat","websit","thank","evalu","differ"
"55","experi","specif","war","learn","institut"
"56","point","standard","mean","school","system"
"57","alway","set","act","anthropolog","anoth"
"58","engag","applic","begin","set","land"
"59","network","licen","transplant","sort","offic"
"60","end","list","coloni","local","dollar"
"61","question","help","kidney","studi","tech"
"62","tell","case","object","area","asset"
"63","challeng","provid","societi","give","consum"
"64","love","work","univ","part","address"
"65","thought","key","word","intern","discuss"
"66","give","direct","natur","parent","truce"
"67","conver","export","franklin","center","can"
"68","relationship","organ","radic","effect","servic"
"69","guy","content","self","across","issu"
"70","basic","someth","histori","popul","may"
"71","broker","quit","might","respon","appli"
"72","find","mean","order","fund","risk"
"73","read","abl","citizen","level","commerci"
"74","invest","base","sen","year","move"
"75","neighborhood","real","tri","relat","note"
"76","thank","number","format","discuss","close"
"77","done","within","place","mention","effect"
"78","hous","function","countri","children","area"
"79","media","creat","differenti","focus","feder"
"80","school","might","negoti","train","portland"
"81","understand","slide","often","activ","well"
"82","bring","day","rather","region","improv"
"83","today","find","point","access","develop"
"84","didn","answer","today","partner","just"
"85","meet","particular","becom","case","transact"
"86","opportun","understand","professor","might","govern"
"87","stuff","tool","concern","tobacco","deci"
"88","yes","send","action","point","last"
"89","life","model","exampl","understand","condit"
"90","open","reason","russia","cour","hmda"
"91","pretti","web","end","opportun","process"
"92","hard","hand","studi","done","homeless"
"93","everybodi","open","young","measur","oper"
"94","possibl","obvious","believ","environ","part"
"95","long","view","law","evid","resourc"
"96","becom","support","particular","togeth","wish"
"97","group","engin","civil","ask","also"
"98","technolog","oper","cultur","better","cost"
"99","better","plea","move","energi","identifi"
"100","alreadi","second","given","generat","secur"
