"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00301043401322864,0.00241736638987419,2.45242900831128e-06,0.00181960137581992,3.43832842225424e-06,-0.316535342036942
"2","absolut",0.0011401524279492,0.000206247247714093,0.000223171039756327,0.000147710727207504,3.43832842225424e-06,-2.46677993999369
"3","access",0.000468769294771964,0.003253503880607,2.45242900831128e-06,0.00206308059649163,3.43832842225424e-06,2.79504429564297
"4","account",0.000264956557914588,0.0041082222044672,0.000909851162083486,0.000796988648998732,0.000106588181089881,3.95468647494156
"5","acquisit",1.19889845210221e-06,0.00139542056786742,2.45242900831128e-06,1.62319480447807e-06,0.00038165445487022,10.184774822031
"6","across",0.000972306644654891,0.00109812723782909,5.15010091745369e-05,0.00229032786911856,3.43832842225424e-06,0.175561940477022
"7","activ",0.000181033666267434,0.00132109723535784,2.45242900831128e-06,0.00207931254453641,0.0015850694026592,2.8674067348111
"8","actual",0.00655917343145119,0.0111689387928776,0.00105699690258216,0.00514715072499996,0.000140971465312424,0.767906188855801
"9","add",0.000288934526956632,0.001469743900377,2.45242900831128e-06,0.000553509428327022,0.000278504602202593,2.34675027275959
"10","agenc",0.00105622953630205,1.85808331273958e-06,2.45242900831128e-06,0.00102423592162566,7.2204896867339e-05,-9.15089248440365
"11","allow",0.000816449845881604,0.0019156838954345,0.000787229711667922,1.62319480447807e-06,0.000416037739092763,1.2304233538728
"12","almost",0.00109219648986511,0.00074509140840857,0.00051746252075368,1.62319480447807e-06,0.000347271170647678,-0.551743092830367
"13","alreadi",0.00187148048373155,0.00156264806601398,0.00100794832241594,0.000569741376371802,3.43832842225424e-06,-0.260187107206002
"14","alway",0.00262678650855594,0.000912318906555132,0.0013267640934964,0.000131478779162724,0.000106588181089881,-1.52568883015877
"15","amazon",0.000157055697225389,0.00117245057033867,2.45242900831128e-06,1.62319480447807e-06,3.43832842225424e-06,2.90017891796186
"16","amplifi",1.19889845210221e-06,0.0010423847384469,2.69767190914241e-05,1.62319480447807e-06,3.43832842225424e-06,9.76396268512556
"17","anoth",0.000876394768486714,0.0019342647285619,0.00272464862823383,0.00113785955793913,0.00251341807666785,1.14213248186374
"18","answer",0.000648604062587295,0.00217581555921804,0.000468413940587455,0.0014138026747004,0.0015850694026592,1.74614630119116
"19","anybodi",0.00105622953630205,1.85808331273958e-06,2.69767190914241e-05,1.62319480447807e-06,3.43832842225424e-06,-9.15089248440365
"20","anyth",0.00105622953630205,0.000856576407172945,2.45242900831128e-06,0.000131478779162724,0.000656720728650559,-0.302269543974312
