"","V1"
"02pmDN-4NTg.txt",4
"1hB8HCrUQkE.txt",2
"1o3LcxkAuNM.txt",3
"1qMevmESjwI.txt",2
"4Xcgxhjtr3o.txt",3
"50vHr1S3D9I.txt",2
"5Gogo9MC4cw.txt",5
"5Ramc0_jG9s.txt",3
"5ZnxYpKP_os.txt",4
"6uHAjX2WZzA.txt",2
"78elHbbKC-8.txt",1
"7hW1VcMyzCI.txt",4
"7vbZxy43c9Y.txt",1
"9xej9TgEqm4.txt",3
"AM2aS96ihcc.txt",2
"DyUmFWfJQvU.txt",1
"EkeXUW9OYAs.txt",5
"FcYS2L6TuKM.txt",5
"fQQRGxqkM-4.txt",1
"GSjdnxV_B2M.txt",2
"h_19H0TTl2w.txt",5
"hBNcLQxIXNU.txt",1
"hTvsgLVy2Es.txt",2
"HXp9_Y2rWCo.txt",1
"I7aggaImfgA.txt",2
"jefyccQPhI4.txt",3
"JlVdODLqshE.txt",5
"kDuEaPhEjkA.txt",3
"Ku9M-_eWiCA.txt",1
"KUhOCCuQp2Y.txt",2
"LRILQFBW4U0.txt",1
"ls5hjHrM9l8.txt",5
"ma1UDssjiH4.txt",1
"MCGqAq1dm9I.txt",5
"mZ0SHNkguAw.txt",4
"Nh9aMkmclDM.txt",1
"nWgoyLl8wbM.txt",5
"OqHM2C74Mpo.txt",5
"Pl7OOewtPJk.txt",1
"rdU00lBoU4c.txt",5
"reWJDcqCqPY.txt",5
"rP-InttAbVY.txt",5
"rXq1_jcETgw.txt",3
"RYunjQcbC8U.txt",5
"S6-VS3iToXA.txt",1
"shFWMjVewC8.txt",1
"Skch6uX__2Q.txt",1
"SN9xgX-gYl4.txt",2
"TjomOMEsJhk.txt",3
"ugZ7ScHohQc.txt",3
"umBtzjvQUpQ.txt",3
"Up8iXqK-dZU.txt",5
"v8pK6gylfyk.txt",1
"WLOhICBWA-Y.txt",2
"X266U1JVvVY.txt",5
"xPQc_k-fw3s.txt",4
"YtLjSTwKmZU.txt",5
"Z9PPWkxXCPs.txt",5
"ZcLdAtqd8w4.txt",2
