"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abil",0.00321565853522333,4.81357041772164e-06,3.11278232935727e-06,0.000864439681320015,4.51536578978263e-06,-9.38379110653812
"2","abl",0.00763660731736828,0.00260414159598741,3.11278232935727e-06,0.00430197759534113,0.00122366412903109,-1.55212394583676
"3","access",0.00205225096097466,0.0040482127213039,3.11278232935727e-06,0.00349314514498322,9.48226815854353e-05,0.980077938547761
"4","account",4.65363029699469e-06,0.00361499138370895,3.11278232935727e-06,0.000813887653172645,4.51536578978263e-06,9.60141989136441
"5","across",0.00340180374710311,4.81357041772164e-06,0.000470030131732948,5.05520281473693e-06,0.000681820234257177,-9.4649768021023
"6","activ",0.000190798842176782,0.00443329835472163,3.11278232935727e-06,0.000813887653172645,9.48226815854353e-05,4.53825613532339
"7","actual",0.00665934495499939,0.00135261328737978,0.00918582065393331,0.00541412221458325,0.0129636151824659,-2.2996308426556
"8","add",4.65363029699469e-06,0.00245973448345576,0.000968075304430112,0.000965543737614753,0.00108820315533761,9.04593027478776
"9","addit",0.0014007427193954,5.29492745949381e-05,3.11278232935727e-06,5.56072309621062e-05,0.00108820315533761,-4.72543726427227
"10","address",4.65363029699469e-06,0.00722516919700019,3.11278232935727e-06,5.05520281473693e-06,4.51536578978263e-06,10.6004590554708
"11","administr",4.65363029699469e-06,0.0011119347664937,3.11278232935727e-06,5.05520281473693e-06,4.51536578978263e-06,7.90049983526619
"12","adopt",0.00107498859860577,4.81357041772164e-06,0.000407774485145803,5.05520281473693e-06,4.51536578978263e-06,-7.80299824756592
"13","agent",4.65363029699469e-06,0.00101566335813927,3.11278232935727e-06,0.000156711287256845,0.000862434865848483,7.76984998255732
"14","allow",0.00363448526195285,0.00313363434193679,0.000563413601613666,5.05520281473693e-06,0.000139976339483262,-0.213914211126207
"15","alreadi",4.65363029699469e-06,0.00231532737092411,0.00174627088676943,0.00101609576576212,0.000681820234257177,8.95864387762018
"16","amazon",0.000283871448116676,0.00202651314586081,0.00093694748113654,5.05520281473693e-06,0.000275437313176741,2.83568987935365
"17","amount",0.00214532356691455,0.000101084978772154,3.11278232935727e-06,0.000712783596877907,4.51536578978263e-06,-4.40755472380044
"18","andi",4.65363029699469e-06,0.00101566335813927,3.11278232935727e-06,5.05520281473693e-06,4.96690236876089e-05,7.76984998255732
