"","V1"
"-MlrQarqhaw.txt",3
"_xNFt7FsWaA.txt",1
"01gBV5pBcxY.txt",3
"0eqqCwhPlyU.txt",5
"0UpcLCerdLM.txt",1
"1i1Zoy2JpcY.txt",1
"2-Qn7ZqOkos.txt",3
"2AkC7vVnXxk.txt",4
"2Pn93rd30WA.txt",3
"36spRu2tID8.txt",4
"39WOfTZHyrg.txt",5
"3Z4wUZ4SnZU.txt",3
"4_aLLZC7IsI.txt",5
"466_-DTKY_E.txt",5
"4qlRxClOb_M.txt",2
"4ZnvjJSmbO4.txt",1
"6GYFJElS2WQ.txt",3
"6XENY0eN7sk.txt",3
"7nTbugGkO3g.txt",2
"99HCB-qW81Y.txt",5
"9qchzHPdE_g.txt",5
"aiaBOa-1zFM.txt",3
"aijNEg8MyBk.txt",5
"Am-kPiP3DgQ.txt",1
"beN6qFLde7M.txt",3
"c-1WgYFB8VE.txt",2
"c-a3JRvja34.txt",1
"C7wGgdimE7Q.txt",1
"CDke3dgngDo.txt",5
"ciBbSFe0r98.txt",5
"cOogSFMzADo.txt",4
"CREBGcy8mJ8.txt",4
"Ct5aeAV8W6w.txt",4
"dc2nqzgqH24.txt",1
"dRjMLlcODME.txt",4
"E6NyPc5Ij4c.txt",3
"FAJgLtHnTqI.txt",3
"fCxFoBdd7OA.txt",5
"fPEsKASq5r8.txt",2
"G9SJkXmFfIY.txt",4
"geiLQzFW5_k.txt",3
"gY5HX30r2Z0.txt",5
"H2DAyvom0ls.txt",3
"hFOEi1215Q4.txt",2
"HRslgnaIrPU.txt",1
"hXchy5DonHo.txt",5
"IAjkm_a4yv8.txt",2
"igGBKYm2vwo.txt",4
"iKJiV8MURnY.txt",4
"iNN9KAsQ3G8.txt",5
"Iu8IfuFAUKY.txt",3
"J83wp7EjkpQ.txt",2
"J9BNejkTJxs.txt",2
"jn_dgtTsnps.txt",3
"kovMyqttwr0.txt",2
"l8S47ivvd9o.txt",4
"LBJ4J-c9TVw.txt",3
"LLdPK4WUzxo.txt",3
"MBa7Wwxc6zk.txt",3
"MNcx2Iwt_vw.txt",2
"mXKBZ3MEuGE.txt",4
"nD7iv4rsnKs.txt",3
"nDihLsvJpcY.txt",3
"nnWJG_nvqwI.txt",3
"NUXpz0Dni50.txt",5
"NvLKh1VCx8U.txt",3
"okqhwjIrpHo.txt",4
"pEGbzLWFcrQ.txt",5
"pewADEjkQXA.txt",5
"PF488z7Je5w.txt",4
"PYDamvDlyZ8.txt",3
"q0GeOfYmiak.txt",2
"q0lj950d0bU.txt",3
"Q6EJE3ndOqI.txt",1
"QbfjlNfLGxM.txt",4
"QIOz7ENEMHg.txt",5
"qlO0DEeJfgs.txt",3
"qYTJipODxjU.txt",3
"r-LhUL6dkr4.txt",3
"R2l-tL_1els.txt",1
"rCG0UpW4q3s.txt",3
"rrzZ08jSPKE.txt",5
"sA2eBhFTQ6Q.txt",1
"StmOhaTG1-g.txt",3
"SY9qrTMhZkg.txt",1
"TKmFhyZ7wJ0.txt",2
"ugZ7ScHohQc.txt",1
"uvPzfo7582k.txt",1
"UypDxLDNjK4.txt",1
"VJnBKqxHdO0.txt",3
"vPzTh3J-2eE.txt",3
"W_Ah_PpVvLc.txt",2
"wi5hhgH3ih8.txt",4
"WPnvv2YSxzI.txt",2
"WScypD5E-AM.txt",1
"WX77lX-zI8w.txt",3
"X3Ff1F_h1uA.txt",2
"XB-6LBNb6Os.txt",3
"XKKUaNOt_38.txt",2
"xNEZFRsANMk.txt",1
"xT6tQAIywFQ.txt",1
"XxBsw5wqyUs.txt",1
"yIB8f4f26lM.txt",3
"YOsEXvaiDew.txt",3
"ytE2Uz0tY4A.txt",4
"Z_gzl8RqZuE.txt",1
"Z6nQ8zD8qOw.txt",3
"zadhNFikPhY.txt",3
"zEoBilH61v0.txt",3
"zHKMPee4GmM.txt",1
"zyjRTZ0W_6E.txt",2
