"","x"
"game",26
"realiti",26
"virtual",24
"experi",19
"space",19
"devic",15
"world",14
"architect",12
"architectur",12
"player",12
"technolog",12
"use",12
"communic",11
"immer",11
"now",11
"time",11
"creat",10
"feel",10
"first",10
"actual",9
"build",9
"peopl",9
"think",9
"tool",9
"visual",9
"let",8
"start",8
"year",8
"client",7
"construct",7
"develop",7
"headset",7
"littl",7
"oculus",7
"realli",7
"relea",7
"show",7
"thank",7
"work",7
"attempt",6
"head",6
"human",6
"process",6
"rift",6
"seem",6
"vision",6
"whole",6
"anoth",5
"display",5
"exist",5
"huge",5
"involv",5
"place",5
"quit",5
"real",5
"sega",5
"system",5
"tri",5
"understand",5
"view",5
"base",4
"becom",4
"bring",4
"call",4
"cardboard",4
"close",4
"common",4
"complic",4
"cour",4
"crash",4
"enter",4
"everi",4
"expect",4
"full",4
"hold",4
"imag",4
"industri",4
"languag",4
"mani",4
"model",4
"mount",4
"physic",4
"playstat",4
"support",4
"turn",4
"abil",3
"abl",3
"barrier",3
"bit",3
"box",3
"boy",3
"built",3
"check",3
"combin",3
"comput",3
"consol",3
"consum",3
"day",3
"describ",3
"design",3
"differ",3
"fact",3
"fail",3
"film",3
"found",3
"futur",3
"googl",3
"green",3
"hand",3
"help",3
"histori",3
"hous",3
"idea",3
"imageri",3
"keep",3
"left",3
"made",3
"mean",3
"mind",3
"navig",3
"never",3
"order",3
"person",3
"phone",3
"platform",3
"power",3
"pretti",3
"project",3
"provid",3
"public",3
"pull",3
"room",3
"signif",3
"stage",3
"stay",3
"stereoscop",3
"structur",3
"success",3
"term",3
"today",3
"translat",3
"vive",3
"wall",3
"weak",3
"without",3
"advanc",2
"affect",2
"allow",2
"almost",2
"alreadi",2
"applic",2
"aspect",2
"attract",2
"audienc",2
"bare",2
"basic",2
"best",2
"better",2
"bodi",2
"book",2
"brain",2
"bubbl",2
"centuri",2
"chair",2
"chanc",2
"chang",2
"click",2
"coaster",2
"coin",2
"compani",2
"compar",2
"compat",2
"complet",2
"context",2
"control",2
"convinc",2
"cool",2
"cost",2
"creativ",2
"debut",2
"decad",2
"dedic",2
"degr",2
"deliv",2
"dimens",2
"dollar",2
"don",2
"draw",2
"dream",2
"ear",2
"edg",2
"employ",2
"encourag",2
"end",2
"environ",2
"error",2
"everyon",2
"expen",2
"explain",2
"factor",2
"familiar",2
"famous",2
"far",2
"field",2
"find",2
"finish",2
"form",2
"frame",2
"frustrat",2
"generat",2
"gestur",2
"giant",2
"good",2
"grid",2
"guy",2
"happen",2
"hard",2
"haven",2
"heavi",2
"heilig",2
"hope",2
"hour",2
"howev",2
"htc",2
"hurt",2
"imagin",2
"initi",2
"interest",2
"kickstart",2
"kid",2
"knowledg",2
"known",2
"larg",2
"later",2
"least",2
"live",2
"lost",2
"lower",2
"major",2
"market",2
"massiv",2
"mayb",2
"medium",2
"meet",2
"mesdag",2
"million",2
"moment",2
"morton",2
