"","x"
"think",441
"data",402
"use",400
"actual",343
"learn",315
"now",305
"peopl",295
"comput",288
"realli",279
"need",248
"work",245
"machin",239
"time",230
"technolog",217
"system",215
"mean",204
"question",197
"talk",194
"don",189
"cognit",184
"problem",168
"year",161
"start",159
"world",157
"busi",155
"compani",154
"differ",154
"interest",141
"chang",137
"human",135
"happen",134
"exampl",133
"digit",131
"model",131
"understand",130
"first",124
"mani",123
"custom",119
"today",116
"industri",114
"build",111
"someth",111
"inform",110
"research",110
"abl",109
"call",109
"let",108
"product",108
"secur",105
"help",104
"ibm",103
"process",100
"tri",100
"day",99
"intellig",99
"togeth",99
"everi",98
"set",98
"ask",96
"good",95
"thank",93
"case",92
"watson",92
"point",91
"might",90
"part",89
"basic",88
"give",88
"sort",85
"creat",83
"develop",83
"becom",82
"imag",82
"number",80
"oper",79
"better",78
"train",78
"import",76
"move",76
"servic",76
"provid",75
"big",74
"capabl",74
"littl",74
"cloud",73
"find",73
"issu",73
"applic",72
"organ",72
"open",70
"social",70
"end",69
"bring",67
"design",67
"experi",66
"person",66
"solut",66
"idea",65
"iot",65
"last",64
"level",64
"network",64
"privaci",64
"solv",64
"power",63
"base",62
"mayb",62
"term",62
"whole",61
"algorithm",60
"cancer",60
"govern",60
"tell",60
"everyth",59
"program",59
"show",59
"deep",58
"scienc",58
"robot",57
"yes",57
"bit",56
"job",56
"complex",55
"speak",55
"transform",55
"care",54
"client",54
"anoth",53
"engin",53
"everybodi",53
"keep",53
"predict",53
"second",53
"alreadi",52
"conver",52
"cour",52
"deci",52
"function",52
"analyt",51
"car",51
"skill",51
"support",51
"devic",50
"group",50
"interact",50
"scientist",50
"valu",50
"answer",49
"essenti",49
"fact",49
"real",49
"softwar",49
"within",49
"disrupt",48
"light",48
"particular",48
"turn",48
"fund",47
"ethic",46
"focus",46
"larg",46
"manag",46
"done",45
"guy",45
"may",45
"order",45
"place",45
"platform",45
"probabl",45
"teacher",45
"alway",44
"best",44
"improv",44
"reason",44
"appli",43
"center",43
"combin",43
"enabl",43
"hand",43
"high",43
"key",43
"blockchain",42
"effect",42
"long",42
"rule",42
"top",42
"user",42
"action",41
"activ",41
"concept",41
"didn",41
"market",41
"opportun",41
"pattern",41
"possibl",41
"studi",41
"well",41
"autom",40
"behavior",40
"believ",40
"memori",40
"artifici",39
"connect",39
"fair",39
"impact",39
"individu",39
"requir",39
"specif",39
"area",38
"live",38
"review",38
"side",38
"sourc",38
"state",38
"team",38
"cluster",37
"drive",37
"sen",37
"approach",36
"avail",36
"life",36
"limit",36
"money",36
"partner",36
"physic",36
"pupil",36
"quantum",36
"respon",36
"access",35
"api",35
"continu",35
"distribut",35
"phone",35
"send",35
"stuff",35
"yeah",35
"abil",34
"allow",34
"announc",34
"buy",34
"came",34
"communiti",34
"general",34
"googl",34
