"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00106766362565798,0.00235683833390044,6.0216560649025e-05,0.00242653307688867,0.00484646425026892,1.14239561287332
"2","absolut",3.90176075821852e-05,0.00105582354236304,5.474232786275e-06,0.00115921933473483,6.24008272566814e-05,4.75809961009012
"3","access",0.00018089981697195,0.00365785312543784,6.0216560649025e-05,0.00294836814718731,2.97146796460388e-06,4.33773429400118
"4","account",3.90176075821852e-05,0.00380797021676908,5.474232786275e-06,3.72739335927599e-06,2.97146796460388e-06,6.60875306488648
"5","across",0.000287311474014274,0.00355777506455035,0.00290681760951203,3.72739335927599e-06,2.97146796460388e-06,3.63028778675502
"6","action",0.00653012868716391,5.00390304437461e-06,5.474232786275e-06,3.72739335927599e-06,2.97146796460388e-06,-10.3498418713297
"7","actual",0.00848100906627318,5.00390304437461e-06,5.474232786275e-06,0.00242653307688867,0.019525515995412,-10.7269663746914
"8","add",0.00543054156439324,5.00390304437461e-06,0.000114958888511775,3.72739335927599e-06,2.97146796460388e-06,-10.0838265274796
"9","addit",0.000393723131056597,0.00110586257280679,0.00131929010149228,3.72739335927599e-06,6.24008272566814e-05,1.48991873306156
"10","address",0.00202536853903889,0.000755589359700567,5.474232786275e-06,3.72739335927599e-06,2.97146796460388e-06,-1.42251015601753
"11","agenc",3.54705523474411e-06,0.00295730669922539,5.474232786275e-06,3.72739335927599e-06,2.97146796460388e-06,9.70344636019777
"12","agent",0.00248648571955563,5.00390304437461e-06,5.474232786275e-06,3.72739335927599e-06,2.97146796460388e-06,-8.95683859399039
"13","ahead",0.00113860473035286,0.000255199055263105,0.000279185872100025,0.000786479998807234,2.97146796460388e-06,-2.15757210513057
"14","allow",0.00149331025382727,0.000605472268369328,0.00290681760951203,0.000301918862101356,0.000597265060885378,-1.30238114577157
"15","alreadi",0.00273477958598771,0.00275715057745041,0.00274259062592378,0.000935575733178274,2.97146796460388e-06,0.0117534986763572
"16","alway",3.54705523474411e-06,0.00115590160325054,0.000881351478590275,0.00108467146754931,0.00220185776177147,8.34818108143629
"17","analyt",0.00188348632964913,5.00390304437461e-06,0.000990836134315776,3.72739335927599e-06,2.97146796460388e-06,-8.55613601078392
"18","anim",3.54705523474411e-06,0.00280718960789416,5.474232786275e-06,3.72739335927599e-06,0.000686409099823495,9.62828900062903
"19","anoth",0.00287666179537748,0.00245691639478793,0.000224443544237275,0.00127104113551311,0.00157784948920466,-0.227546849882345
"20","answer",0.00170613356791192,0.00620984367806889,5.474232786275e-06,3.72739335927599e-06,0.00226128712106355,1.86382635638055
