"","x"
"learn",841
"use",618
"network",595
"actual",480
"now",461
"imag",425
"train",403
"data",398
"deep",395
"comput",390
"neural",375
"layer",367
"work",325
"realli",299
"time",298
"exampl",297
"differ",292
"model",289
"input",287
"need",261
"let",248
"output",248
"machin",241
"graph",240
"weight",236
"think",226
"bit",221
"first",215
"mean",210
"call",206
"function",205
"valu",203
"problem",199
"peopl",191
"number",188
"word",181
"human",177
"set",175
"don",174
"tri",172
"end",168
"languag",167
"someth",167
"question",160
"sort",160
"code",158
"mayb",158
"featur",155
"littl",154
"oper",152
"talk",151
"mani",150
"tensorflow",150
"give",143
"start",138
"system",136
"good",134
"point",133
"build",131
"might",122
"better",119
"generat",119
"idea",118
"part",118
"anoth",117
"understand",114
"year",113
"convolut",112
"happen",111
"vector",111
"basic",110
"case",110
"gradient",110
"defin",109
"gpu",108
"paramet",104
"step",104
"perform",103
"sequenc",103
"matrix",102
"process",102
"predict",101
"abl",98
"task",98
"neuron",97
"world",97
"memori",96
"probabl",96
"algorithm",93
"level",93
"second",93
"write",93
"multipl",92
"everi",91
"general",91
"line",91
"state",91
"similar",90
"import",89
"big",88
"charact",88
"pretti",87
"face",86
"find",86
"last",85
"research",84
"small",84
"tell",84
"accuraci",83
"cour",82
"tensor",82
"recognit",81
"bias",80
"class",80
"optim",80
"term",80
"intellig",79
"car",78
"object",78
"pass",78
"inform",77
"loss",75
"particular",75
"quit",75
"interest",74
"result",74
"size",74
"artifici",73
"less",72
"direct",71
"four",71
"repres",71
"show",71
"translat",71
"approach",70
"creat",70
"effici",70
"googl",70
"batch",69
"read",69
"larg",68
"activ",67
"appli",67
"exact",67
"forward",67
"today",67
"control",66
"feed",66
"gpus",66
"structur",66
"updat",66
"framework",65
"help",65
"high",64
"implement",64
"singl",64
"solv",64
"chang",63
"drive",63
"hand",63
"real",63
"cpu",62
"pytorch",62
"sentenc",62
"video",62
"cell",61
"error",61
"figur",61
"game",61
"produc",61
"zero",61
"connect",60
"kernel",60
"move",60
"node",60
"rememb",59
"surfac",59
"correct",58
"design",58
"encod",58
"hidden",58
"relat",58
"stuff",58
"variabl",58
"ask",56
"doesn",56
"hardwar",56
"method",56
"net",56
"reason",56
"student",56
"usual",56
"done",55
"hard",55
"map",55
"okay",55
"pixel",55
"play",55
"applic",54
"detect",54
"excit",54
"instead",54
"order",54
"simpl",54
"top",54
"type",54
"librari",53
"linear",53
"initi",52
"left",52
"slide",52
"becom",51
"project",51
"repr",51
"space",51
"brain",50
"enough",50
"insid",50
"person",50
"architectur",49
"certain",49
"classifi",49
"dimens",49
"flow",49
"paper",49
"previous",49
"python",49
"sinc",49
"super",49
"text",49
"vision",49
"alreadi",48
"final",48
"pictur",48
"power",48
"recogn",48
"sen",48
"sometim",48
"test",48
"complex",47
"fact",47
"keep",47
"program",47
"turn",47
"unit",47
"higher",46
"piec",46
"possibl",46
"thank",46
"challeng",45
"hope",45
"low",45
"per",45
"togeth",45
"whole",45
"huge",44
"natur",44
"parallel",44
"plus",44
"posit",44
"rate",44
"speech",44
"technolog",43
"detail",42
"distanc",42
"least",42
"long",42
"name",42
"without",42
"cost",41
"dog",41
"everyth",41
"random",41
"simpli",41
"transfer",41
"begin",40
"depend",40
"normal",40
"recurr",40
"week",40
"core",39
"float",39
"numpi",39
"product",39
"rather",39
"yeah",39
"abstract",38
"cat",38
"day",38
"guy",38
"imagin",38
"recent",38
"side",38
"sum",38
"built",37
"care",37
"given",37
"hyper",37
"negat",37
"whatev",37
"add",36
"alway",36
"base",36
"best",36
"coupl",36
"label",36
"mention",36
"nice",36
"seem",36
"supervi",36
"amaz",35
"classif",35
"compar",35
"multipli",35
"noth",35
"nvidia",35
"place",35
"shape",35
"various",35
"almost",34
"answer",34
"complet",34
"field",34
"iter",34
"knowledg",34
"minus",34
"practic",34
"requir",34
"solut",34
"tpu",34
"visual",34
"continu",33
"dynam",33
"increa",33
"provid",33
"quick",33
"regular",33
"success",33
"thought",33
"allow",32
"block",32
"descent",32
"develop",32
"easi",32
"element",32
"fine",32
"form",32
"improv",32
"later",32
"magic",32
"may",32
"saw",32
"softmax",32
"specif",32
"thousand",32
"unsupervi",32
"yes",32
"amount",31
"decid",31
"fulli",31
"preci",31
"stack",31
"across",30
"anyth",30
"api",30
"bad",30
"deriv",30
"didn",30
"equat",30
"self",30
"share",30
"signal",30
"support",30
"typic",30
"area",29
"assign",29
"curv",29
"digit",29
"engin",29
"lectur",29
"limit",29
"loop",29
"ten",29
"tradit",29
"backward",28
"definit",28
"determin",28
"devic",28
"dropout",28
"effect",28
"emb",28
"english",28
"equal",28
"far",28
"follow",28
"hundr",28
"live",28
"million",28
"never",28
"one",28
"open",28
"sound",28
"teach",28
"won",28
"advantag",27
"drop",27
"earlier",27
"essenti",27
"expect",27
"explicit",27
"fast",27
"faster",27
"focus",27
"front",27
"futur",27
"interpret",27
"made",27
"reduc",27
"search",27
"session",27
"abil",26
"caff",26
"complic",26
"compon",26
"concept",26
"experi",26
"larger",26
"life",26
"local",26
"mathemat",26
"non",26
"past",26
"patch",26
"propag",26
"prune",26
"radiolog",26
"sever",26
"sigmoid",26
"speed",26
"versus",26
"achiev",25
"close",25
"combin",25
"communic",25
"cool",25
"deci",25
"entir",25
"full",25
"infer",25
"intuit",25
"often",25
"special",25
"stage",25
"addit",24
"away",24
"bandwidth",24
"color",24
"common",24
"edg",24
"either",24
"environ",24
"feel",24
"fix",24
"forc",24
"goal",24
"guess",24
"handl",24
"load",24
"major",24
"origin",24
"save",24
"scale",24
"softwar",24
"squar",24
"tend",24
"version",24
"analysi",23
"camera",23
"curvatur",23
"energi",23
"filter",23
"geometr",23
"goe",23
"group",23
"obvious",23
"smaller",23
"techniqu",23
"torch",23
"wrong",23
"action",22
"array",22
"black",22
"current",22
"deal",22
"decod",22
"due",22
"especi",22
"main",22
"noi",22
"notic",22
"pick",22
"pipelin",22
"sensor",22
"static",22
"third",22
"toss",22
"alpha",21
"attent",21
"automat",21
"averag",21
"box",21
"break",21
"captur",21
"channel",21
"check",21
"compani",21
"cpus",21
"cross",21
"deeper",21
"facebook",21
"minim",21
"mix",21
"overfit",21
"pattern",21
"pre",21
"promi",21
"relea",21
"scene",21
"someon",21
"store",21
"symbol",21
"though",21
"tool",21
"tune",21
"written",21
"appear",20
"avail",20
"beta",20
"choic",20
"consid",20
"copi",20
"cover",20
"cut",20
"dot",20
"ever",20
"exist",20
"intel",20
"key",20
"minut",20
"placehold",20
"purpo",20
"rough",20
"speak",20
"true",20
"user",20
"book",19
"bottom",19
"correspond",19
"difficult",19
"distribut",19
"eight",19
"evalu",19
"extract",19
"factor",19
"file",19
"gigabyt",19
"imagenet",19
"present",19
"price",19
"segment",19
"sourc",19
"studi",19
"team",19
"theori",19
"transform",19
"unrol",19
"well",19
"wherea",19
"yet",19
"babi",18
"euclidean",18
"explain",18
"head",18
"hour",18
"includ",18
"interfac",18
"matter",18
"mobil",18
"modul",18
"old",18
"path",18
"quantiz",18
"rang",18
"school",18
"scienc",18
"short",18
"slight",18
"speedup",18
"stop",18
"bunch",17
"came",17
"categori",17
"cluster",17
"construct",17
"context",17
"converg",17
"convert",17
"dimen",17
"fair",17
"half",17
"individu",17
"intern",17
"length",17
"lstm",17
"month",17
"note",17
"percent",17
"relu",17
"rest",17
"took",17
"wrote",17
"although",16
"anyon",16
"assum",16
"basi",16
"blue",16
"bring",16
"cuda",16
"dataset",16
"describ",16
"descript",16
"draw",16
"everyon",16
"exponenti",16
"extrem",16
"eye",16
"fit",16
"formal",16
"formula",16
"friend",16
"fun",16
"green",16
"heat",16
"lack",16
"measur",16
"mechan",16
"movi",16
"physic",16
"return",16
"sorri",16
"spend",16
"steer",16
"total",16
"tree",16
"ball",15
"chip",15
"consum",15
"content",15
"deform",15
"den",15
"enter",15
"estim",15
"express",15
"found",15
"histori",15
"invent",15
"isn",15
"microphon",15
"moment",15
"music",15
"perfect",15
"phone",15
"properti",15
"red",15
"refer",15
"reinforc",15
"retrain",15
"reward",15
"road",15
"rule",15
"sampl",15
"scan",15
"select",15
"sigma",15
"somehow",15
"specifi",15
"split",15
"statist",15
"stori",15
"thread",15
"trick",15
"valid",15
"white",15
"articl",14
"audio",14
"background",14
"benchmark",14
"cloud",14
"communiti",14
"compil",14
"custom",14
"degr",14
"diagnosi",14
"discuss",14
"doubt",14
"ear",14
"execut",14
"facial",14
"fire",14
"flatten",14
"forest",14
"gain",14
"gotten",14
"inaud",14
"index",14
"industri",14
"inspir",14
"introduc",14
"involv",14
"job",14
"joystick",14
"just",14
"kera",14
"laugh",14
"lead",14
"light",14
"match",14
"momentum",14
"nine",14
"none",14
"obscur",14
"obtain",14
"percept",14
"popular",14
"prevent",14
"raw",14
"reach",14
"readi",14
"respect",14
"robot",14
"row",14
"separ",14
"situat",14
"standard",14
"strategi",14
"surpri",14
"technic",14
"toward",14
"vehicl",14
"wait",14
"watch",14
"absolut",13
"agent",13
"along",13
"amazon",13
"binari",13
"bottleneck",13
"breakthrough",13
"cnn",13
"comment",13
"commerci",13
"compress",13
"count",13
"deploy",13
"easili",13
"except",13
"hello",13
"hierarchi",13
"identifi",13
"incr",13
"instruct",13
"lower",13
"matric",13
"multi",13
"onlin",13
"onto",13
"plea",13
"prefer",13
"semant",13
"smart",13
"suppo",13
"univ",13
"walk",13
"websit",13
"access",12
"age",12
"appl",12
"asic",12
"awar",12
"behind",12
"believ",12
"bigger",12
"bodi",12
"capabl",12
"choo",12
"concret",12
"configur",12
"constant",12
"contain",12
"crash",12
"cycl",12
"easier",12
"effort",12
"entropi",12
"episod",12
"finish",12
"free",12
"freedom",12
"gate",12
"heard",12
"hurt",12
"interact",12
"longer",12
"man",12
"master",12
"meant",12
"middl",12
"mind",12
"must",12
"nlp",12
"paralyz",12
"plot",12
"realist",12
"resnet",12
"seri",12
"shakespear",12
"shift",12
"shown",12
"sit",12
"skip",12
"spar",12
"stand",12
"subset",12
"summari",12
"switch",12
"voic",12
"volta",12
"wanna",12
"worri",12
"wrap",12
"accur",11
"alright",11
"ani",11
"aspect",11
"autonom",11
"beauti",11
"becaus",11
"behavior",11
"blah",11
"caus",11
"child",11
"clear",11
"column",11
"contrast",11
"detector",11
"disk",11
"divid",11
"domain",11
"expert",11
"feedback",11
"fill",11
"geometri",11
"glove",11
"home",11
"horizont",11
"ident",11
"impress",11
"lab",11
"leopard",11
"pair",11
"phrase",11
"post",11
"potenti",11
"processor",11
"pure",11
"race",11
"ram",11
"recur",11
"relev",11
"right",11
"roll",11
"screen",11
"send",11
"server",11
"shoot",11
"simpler",11
"simul",11
"slow",11
"suggest",11
"summar",11
"taken",11
"track",11
"trade",11
"winner",11
"act",10
"algebra",10
"ambigu",10
"approxim",10
"art",10
"beyond",10
"biggest",10
"bone",10
"cach",10
"calcul",10
"can",10
"carri",10
"circl",10
"collect",10
"conver",10
"cudnn",10
"decad",10
"descriptor",10
"famous",10
"fight",10
"format",10
"formul",10
"french",10
"govern",10
"ground",10
"hold",10
"howev",10
"known",10
"late",10
"link",10
"math",10
"modern",10
"modifi",10
"near",10
"outcom",10
"pascal",10
"peak",10
"perspect",10
"plan",10
"primit",10
"publish",10
"record",10
"remain",10
"residu",10
"serious",10
"simplifi",10
"social",10
"somewh",10
"templat",10
"topic",10
"vertic",10
"went",10
"whenev",10
"within",10
"advanc",9
"ahead",9
"announc",9
"assumpt",9
"attempt",9
"axi",9
"becam",9
"caption",9
"career",9
"center",9
"chat",9
"classic",9
"competit",9
"consequ",9
"conveni",9
"diagram",9
"driver",9
"explor",9
"extent",9
"extra",9
"fake",9
"fascin",9
"fed",9
"github",9
"grant",9
"graphic",9
"integ",9
"inten",9
"like",9
"lost",9
"manag",9
"manipul",9
"max",9
"megabyt",9
"messag",9
"minimum",9
"money",9
"noun",9
"observ",9
"opportun",9
"oscil",9
"outsid",9
"pain",9
"pay",9
"perhap",9
"phonem",9
"photo",9
"player",9
"propo",9
"qualiti",9
"ray",9
"realiz",9
"reflect",9
"region",9
"remind",9
"repeat",9
"replac",9
"report",9
"resolut",9
"reus",9
"robust",9
"signif",9
"soft",9
"soon",9
"speci",9
"stanford",9
"straight",9
"teacher",9
"theoret",9
"truth",9
"util",9
"valley",9
"view",9
"wall",9
"win",9
"accel",8
"accept",8
"accomplish",8
"adapt",8
"alexnet",8
"annoy",8
"apart",8
"arbitrari",8
"aren",8
"attend",8
"benefit",8
"board",8
"boy",8
"chess",8
"comparison",8
"concern",8
"demo",8
"desir",8
"die",8
"discov",8
"discrimin",8
"dive",8
"doubl",8
"download",8
"employ",8
"everybodi",8
"extend",8
"extern",8
"familiar",8
"fashion",8
"fetch",8
"fundament",8
"gan",8
"gave",8
"guid",8
"harder",8
"haven",8
"hear",8
"homework",8
"hor",8
"illumin",8
"inaudibl",8
"intermedi",8
"inver",8
"isometr",8
"issu",8
"jump",8
"laughter",8
"letter",8
"linguist",8
"liter",8
"logic",8
"medic",8
"millimet",8
"mit",8
"numer",8
"orient",8
"over",8
"paddl",8
"pedestrian",8
"perceptron",8
"phase",8
"phd",8
"poor",8
"prioriti",8
"professor",8
"progress",8
"ratio",8
"recommend",8
"reshap",8
"rnn",8
"scenario",8
"scratch",8
"sequenti",8
"sign",8
"simplest",8
"somebodi",8
"somewhat",8
"subtl",8
"suffici",8
"syntact",8
"tas",8
"teraflop",8
"thick",8
"throughout",8
"thursday",8
"valuabl",8
"vari",8
"weather",8
"weird",8
"width",8
"yesterday",8
"advi",7
"altern",7
"anymor",7
"appar",7
"arithmet",7
"born",7
"brought",7
"browser",7
"card",7
"condit",7
"confus",7
"consist",7
"corner",7
"couldn",7
"crazi",7
"credit",7
"distinct",7
"document",7
"educ",7
"enabl",7
"equiv",7
"eventu",7
"expen",7
"fal",7
"favorit",7
"frame",7
"gear",7
"geod",7
"glad",7
"grad",7
"handwritten",7
"headlin",7
"hot",7
"immedi",7
"ind",7
"instanc",7
"introduct",7
"latenc",7
"leav",7
"listen",7
"logist",7
"love",7
"margin",7
"market",7
"materi",7
"microsoft",7
"motion",7
"movement",7
"nanomet",7
"navig",7
"norm",7
"notion",7
"obstacl",7
"option",7
"organ",7
"packag",7
"perimet",7
"pong",7
"public",7
"push",7
"realiti",7
"repli",7
"satisfi",7
"scientif",7
"score",7
"sell",7
"sentiment",7
"shallow",7
"spent",7
"spread",7
"stay",7
"stock",7
"subscrib",7
"succeed",7
"temperatur",7
"threshold",7
"throughput",7
"throw",7
"titan",7
"told",7
"touch",7
"trend",7
"tumor",7
"turnstil",7
"twice",7
"understood",7
"vanish",7
"verb",7
"vocabulari",7
"wasn",7
"welcom",7
"whatnot",7
"whi",7
"wide",7
"winograd",7
"wise",7
"wonder",7
"wor",7
"wrapper",7
"zoom",7
"accord",6
"adjust",6
"adverti",6
"affect",6
"anim",6
"anyway",6
"applaus",6
"arrow",6
"attribut",6
"autograd",6
"bare",6
"bowl",6
"branch",6
"bright",6
"broadcast",6
"calculus",6
"cheap",6
"closer",6
"command",6
"compact",6
"con",6
"concaten",6
"contour",6
"convey",6
"coordin",6
"correl",6
"ddr",6
"death",6
"decrea",6
"default",6
"depth",6
"diffus",6
"disconnect",6
"discret",6
"display",6
"distil",6
"distort",6
"drastic",6
"driven",6
"elimin",6
"enorm",6
"entiti",6
"era",6
"evolv",6
"expo",6
"fall",6
"financ",6
"fuse",6
"gauss",6
"gone",6
"happi",6
"hierarch",6
"implic",6
"implicit",6
"incorrect",6
"independ",6
"internet",6
"intrin",6
"kinect",6
"largest",6
"led",6
"lua",6
"manifold",6
"mark",6
"mathematician",6
"maximum",6
"minibatch",6
"miss",6
"nevertheless",6
"newspap",6
"nineti",6
"nose",6
"nowaday",6
"opinion",6
"otherwi",6
"page",6
"paint",6
"paradigm",6
"partial",6
"percentag",6
"persist",6
"pose",6
"prepar",6
"programm",6
"prop",6
"prototxt",6
"pull",6
"punish",6
"reduct",6
"regress",6
"remark",6
"richard",6
"runner",6
"scientist",6
"sepal",6
"seven",6
"shirt",6
"shortcut",6
"siri",6
"skin",6
"sky",6
"slot",6
"soccer",6
"spell",6
"statement",6
"strong",6
"subject",6
"sure",6
"ternari",6
"terrain",6
"tesla",6
"textur",6
"tini",6
"titl",6
"ton",6
"ture",6
"ultim",6
"varianc",6
"variat",6
"vast",6
"veri",6
"wake",6
"wave",6
"wouldn",6
"academ",5
"accumul",5
"adventur",5
"advic",5
"afternoon",5
"ain",5
"alon",5
"alphabet",5
"amd",5
"american",5
"among",5
"analog",5
"analyz",5
"appreci",5
"appropri",5
"avoid",5
"axe",5
"bag",5
"batteri",5
"beat",5
"belt",5
"bet",5
"bin",5
"blog",5
"bob",5
"bother",5
"brake",5
"brief",5
"buy",5
"capit",5
"chart",5
"chose",5
"citi",5
"classroom",5
"clip",5
"comma",5
"compo",5
"corpus",5
"darpa",5
"dataload",5
"debug",5
"declar",5
"densiti",5
"despit",5
"differenti",5
"dig",5
"dollar",5
"door",5
"downsid",5
"dramat",5
"earth",5
"eie",5
"electron",5
"encourag",5
"even",5
"evolut",5
"explan",5
"fanci",5
"fantast",5
"fatal",5
"felt",5
"fifth",5
"firm",5
"flower",5
"fold",5
"fool",5
"footprint",5
"forrest",5
"frog",5
"funni",5
"german",5
"global",5
"grade",5
"grayscal",5
"grow",5
"hammer",5
"heavi",5
"highlight",5
"host",5
"hous",5
"hyperbol",5
"impact",5
"imper",5
"impli",5
"inbox",5
"incept",5
"indic",5
"inter",5
"kid",5
"knew",5
"lane",5
"lap",5
"learner",5
"list",5
"lowest",5
"magnitud",5
"maintain",5
"manual",5
"marker",5
"messi",5
"mile",5
"mini",5
"mistak",5
"mother",5
"motiv",5
"necessari",5
"news",5
"openai",5
"overhead",5
"overview",5
"petal",5
"pizza",5
"plane",5
"portion",5
"preserv",5
"presum",5
"pretrain",5
"primarili",5
"procedur",5
"proceed",5
"recal",5
"recov",5
"relationship",5
"reliabl",5
"remov",5
"replic",5
"resid",5
"restrict",5
"rise",5
"rock",5
"safe",5
"schedul",5
"script",5
"seat",5
"servic",5
"ship",5
"shoe",5
"siraj",5
"skill",5
"slower",5
"spatial",5
"spoof",5
"startup",5
"straightforward",5
"street",5
"stuck",5
"suit",5
"summat",5
"syntax",5
"synth",5
"systemat",5
"target",5
"tensorboard",5
"teraop",5
"theano",5
"tilt",5
"tissu",5
"tough",5
"transcript",5
"trigger",5
"twin",5
"unfortun",5
"uniqu",5
"vgg",5
"virtual",5
"visit",5
"water",5
"weak",5
"account",4
"acquir",4
"adversari",4
"andrej",4
"arbitrarili",4
"argu",4
"argument",4
"artifact",4
"assist",4
"autopilot",4
"baidu",4
"bear",4
"bend",4
"billion",4
"boost",4
"bounc",4
"brilliant",4
"brown",4
"bucket",4
"buffer",4
"bush",4
"busi",4
"candid",4
"central",4
"chain",4
"chair",4
"characterist",4
"cheaper",4
"claus",4
"clean",4
"clever",4
"coar",4
"collabor",4
"compel",4
"compet",4
"consumpt",4
"convnet",4
"countri",4
"craft",4
"cube",4
"cultur",4
"dark",4
"decent",4
"deliv",4
"denot",4
"dialogu",4
"dictionari",4
"disciplin",4
"distinguish",4
"doctor",4
"dummi",4
"earn",4
"electr",4
"elev",4
"emerg",4
"encount",4
"engag",4
"enjoy",4
"epoch",4
"etc",4
"faceshift",4
"famili",4
"fewer",4
"film",4
"finit",4
"flat",4
"flop",4
"folder",4
"forget",4
"fourth",4
"frequent",4
"fresh",4
"geoff",4
"georg",4
"gig",4
"graduat",4
"grass",4
"guidanc",4
"hat",4
"heavili",4
"hey",4
"hire",4
"hit",4
"hype",4
"imit",4
"imposs",4
"infinit",4
"inject",4
"inner",4
"innov",4
"insight",4
"int",4
"integr",4
"interconnect",4
"intersect",4
"iphon",4
"john",4
"joke",4
"judi",4
"keyword",4
"kill",4
"kind",4
"learnt",4
"lesson",4
"lidar",4
"locat",4
"log",4
"look",4
"mar",4
"massiv",4
"media",4
"men",4
"mental",4
"midterm",4
"minor",4
"mkl",4
"montreal",4
"nativ",4
"nearest",4
"necessarili",4
"netflix",4
"new",4
"nobodi",4
"notebook",4
"nuclear",4
"offic",4
"par",4
"paus",4
"perceiv",4
"period",4
"piazza",4
"pool",4
"pop",4
"pope",4
"poster",4
"principl",4
"proper",4
"purpl",4
"quarter",4
"radcliff",4
"randomnorm",4
"rank",4
"recap",4
"receiv",4
"regist",4
"reli",4
"respon",4
"retro",4
"reveal",4
"rich",4
"rmsprop",4
"rnns",4
"room",4
"round",4
"russian",4
"sale",4
"salient",4
"serial",4
"shall",4
"sharp",4
"shorter",4
"shot",4
"silhouett",4
"sing",4
"slim",4
"snippet",4
"sorta",4
"squeez",4
"stabl",4
"stream",4
"string",4
"sub",4
"subsequ",4
"subtract",4
"swap",4
"synap",4
"synchron",4
"tabl",4
"tangent",4
"tech",4
"terribl",4
"thee",4
"theorem",4
"tip",4
"token",4
"toolkit",4
"toronto",4
"town",4
"trace",4
"trillion",4
"tutori",4
"tweak",4
"twist",4
"unclear",4
"undergradu",4
"unintend",4
"unlik",4
"usabl",4
"via",4
"war",4
"wavelet",4
"wherev",4
"wizard",4
"woman",4
"workload",4
"wow",4
"york",4
"young",4
"zoo",4
"academia",3
"accid",3
"adopt",3
"afterward",3
"agenda",3
"agr",3
"align",3
"allianc",3
"also",3
"angl",3
"annot",3
"ant",3
"anticip",3
"anytim",3
"anywh",3
"apach",3
"apolog",3
"app",3
"appoint",3
"arguabl",3
"arm",3
"asid",3
"associ",3
"audienc",3
"australian",3
"back",3
"bang",3
"bank",3
"baselin",3
"basketb",3
"berkeley",3
"besid",3
"biolog",3
"blob",3
"boil",3
"bomb",3
"bracket",3
"briefli",3
"british",3
"broad",3
"brother",3
"cafe",3
"cancer",3
"capac",3
"categor",3
"caution",3
"centroid",3
"centuri",3
"chanc",3
"chop",3
"chrome",3
"circuit",3
"clearer",3
"clock",3
"cntk",3
"coff",3
"coin",3
"conden",3
"confid",3
"conserv",3
"cpp",3
"creativ",3
"creatur",3
"critic",3
"csn",3
"cue",3
"cute",3
"cuz",3
"damag",3
"damn",3
"date",3
"debat",3
"delta",3
"desert",3
"diagno",3
"discoveri",3
"diverg",3
"domin",3
"downhil",3
"dram",3
"drew",3
"dri",3
"drone",3
"dure",3
"easiest",3
"eat",3
"edit",3
"edu",3
"eleph",3
"elong",3
"emit",3
"epithelium",3
"ero",3
"everyday",3
"exam",3
"exceed",3
"exclus",3
"exerci",3
"export",3
"fail",3
"faith",3
"fan",3
"fancier",3
"feet",3
"fellow",3
"fiction",3
"flag",3
"flashlight",3
"fortun",3
"fourier",3
"fraction",3
"franc",3
"frighten",3
"gaussian",3
"gem",3
"genet",3
"gestur",3
"girl",3
"googlenet",3
"gps",3
"grain",3
"gray",3
"guarant",3
"hardest",3
"hasn",3
"hate",3
"hbm",3
"heal",3
"heart",3
"highest",3
"hinton",3
"histor",3
"hole",3
"hypothesi",3
"iclr",3
"ignor",3
"inher",3
"instal",3
"instructor",3
"intent",3
"invari",3
"investig",3
"investor",3
"invit",3
"isotrop",3
"israel",3
"javascript",3
"justin",3
"karpathi",3
"kinda",3
"knock",3
"laden",3
"landscap",3
"laptop",3
"latest",3
"lazi",3
"likelihood",3
"literatur",3
"logarithm",3
"logo",3
"loo",3
"magazin",3
"malign",3
"manufactur",3
"mass",3
"maxim",3
"maxwel",3
"medium",3
"metaphor",3
"mice",3
"mimic",3
"mitig",3
"modular",3
"molecul",3
"moral",3
"morpholog",3
"motor",3
"multilay",3
"mxnet",3
"naiv",3
"neighborhood",3
"newer",3
"newest",3
"next",3
"nonlinear",3
"novel",3
"nutshel",3
"objectifi",3
"occlus",3
"oct",3
"offer",3
"older",3
"omit",3
"opencl",3
"opposit",3
"ourself",3
"parent",3
"parenth",3
"park",3
"phi",3
"philosophi",3
"plain",3
"plate",3
"plateau",3
"platform",3
"pleasur",3
"prize",3
"profit",3
"profound",3
"proof",3
"proport",3
"prototyp",3
"prove",3
"qualit",3
"quantit",3
"radar",3
"rayleigh",3
"recip",3
"reproduc",3
"reson",3
"resourc",3
"retain",3
"rgb",3
"rid",3
"risk",3
"rocket",3
