"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","learn","use","train","use","network"
"2","data","action","exampl","imag","imag"
"3","machin","state","model","tri","neural"
"4","deep","learn","actual","paper","input"
"5","model","time","use","now","output"
"6","peopl","basic","differ","someth","learn"
"7","system","reward","imag","layer","layer"
"8","work","sampl","loss","creat","data"
"9","use","now","bit","transfer","car"
"10","actual","generat","class","domain","drive"
"11","realli","problem","network","let","human"
"12","world","function","weight","don","question"
"13","algorithm","train","set","time","function"
"14","task","distribut","comput","call","singl"
"15","exampl","given","function","word","time"
"16","predict","optim","gradient","game","video"
"17","agent","polici","data","realli","number"
"18","featur","okay","adversari","mean","produc"
"19","net","tri","littl","start","object"
"20","think","network","now","generat","need"
"21","differ","valu","time","think","comput"
"22","build","paramet","linear","valu","process"
"23","might","mean","neural","style","set"
"24","research","data","score","draw","neuron"
"25","don","model","number","loss","detect"
"26","find","right","zero","part","world"
"27","need","yes","mayb","idea","use"
"28","environ","term","direct","learn","convolut"
"29","give","good","classifi","basic","let"
"30","now","play","probabl","littl","problem"
"31","cour","updat","small","convolut","left"
"32","year","game","chang","everi","realli"
"33","abl","approxim","point","gene","work"
"34","let","gradient","input","differ","talk"
"35","reinforc","talk","first","answer","differ"
"36","mani","arm","four","invad","everi"
"37","day","number","realli","list","train"
"38","start","reinforc","valu","add","end"
"39","call","current","correct","chang","mani"
"40","question","work","rate","show","weight"
"41","ask","case","vector","high","face"
"42","interest","expect","think","model","first"
"43","idea","actual","deep","second","valu"
"44","function","algorithm","layer","work","game"
"45","neural","step","practic","filter","error"
"46","fact","defin","accuraci","find","mean"
"47","repres","first","tri","turn","state"
"48","mayb","probabl","problem","python","frame"
"49","observ","matrix","paramet","big","case"
"50","program","order","memori","play","don"
"51","particular","depend","need","result","good"
"52","allow","estim","question","code","oper"
"53","talk","likelihood","step","cool","predict"
"54","time","let","anoth","first","pass"
"55","understand","move","general","level","visual"
"56","unsupervi","type","algorithm","resolut","cat"
"57","sort","maxim","work","vector","control"
"58","solv","everi","featur","color","part"
"59","effect","better","pixel","happen","simul"
"60","human","best","second","one","perform"
"61","mean","comput","call","random","vision"
"62","may","yeah","don","actual","amaz"
"63","set","exampl","might","block","help"
"64","appli","improv","idea","give","inform"
"65","control","give","tell","reason","map"
"66","intellig","block","high","comput","task"
"67","someth","featur","better","link","think"
"68","futur","think","compar","quit","optim"
"69","inform","goal","multipl","cnn","driver"
"70","anoth","don","left","good","gradient"
"71","first","question","line","initi","size"
"72","supervi","direct","random","interest","truth"
"73","tell","explor","last","photo","ground"
"74","possibl","start","regular","sourc","sequenc"
"75","techniqu","previous","pretti","stuff","light"
"76","trade","abl","less","detail","point"
"77","brain","initi","per","output","recurr"
"78","return","instead","sum","size","top"
"79","develop","output","convolut","talk","forward"
"80","repr","posterior","bias","best","label"
"81","simpl","real","descent","general","littl"
"82","approach","input","talk","move","local"
"83","point","someth","test","point","shown"
"84","excit","theta","true","pretti","steer"
"85","interact","anoth","graph","case","paramet"
"86","method","base","mani","done","code"
"87","person","differ","matrix","end","pixel"
"88","show","gan","real","function","self"
"89","posit","discrimin","error","input","audio"
"90","limit","equat","instead","plea","better"
"91","project","varianc","rememb","base","hard"
"92","regress","part","term","fit","yes"
"93","sen","pixel","care","low","result"
"94","variabl","realli","effici","read","exact"
"95","challeng","show","fool","might","keep"
"96","hard","agent","let","process","road"
"97","memori","random","student","question","collect"
"98","piec","continu","doesn","audienc","now"
"99","quit","encod","method","doesn","slide"
"100","abil","inaud","yeah","particular","word"
