"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abil",0.00203641164969657,5.02071043052592e-06,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,-8.66392198865437
"2","abl",0.00447401162938324,0.00276641144721978,0.000797611341949763,6.97325755726788e-06,0.0018871283603347,-0.693553262548707
"3","achiev",0.00188406165096615,0.000958955692230451,0.000630572317457666,6.97325755726788e-06,0.000208550573514077,-0.974310110784504
"4","action",0.000157428332021431,0.0165733651311661,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,6.71802755063621
"5","actual",0.00823197826473352,0.00452366009790385,0.0145365711064247,0.00300547400718246,5.08659935400188e-06,-0.863748641903453
"6","agent",0.00569281161922657,0.00226434040416719,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,-1.3300505017495
"7","algorithm",0.0078257116014524,0.00447345299359859,0.0030943979287161,6.97325755726788e-06,0.00097154047661436,-0.806833087192313
"8","allow",0.0032552116395399,0.000707920170704154,4.17597561230243e-06,0.000564833862138698,0.00051374653475419,-2.2010927564194
"9","almost",0.00147779498768504,0.000155642023346304,4.17597561230243e-06,6.97325755726788e-06,0.000462880541214171,-3.24714259472086
"10","alpha",5.07833329101389e-06,0.00201330488264089,4.17597561230243e-06,0.000634566437711377,5.08659935400188e-06,8.63099486425547
"11","alphago",5.07833329101389e-06,0.00105936990084097,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,7.70463562650773
"12","alreadi",0.00173171165223574,0.000507091753483118,0.000338254024596496,0.00168055507130156,0.000361148554134134,-1.77188000847183
"13","alright",5.07833329101389e-06,0.00110957700514623,4.59357317353267e-05,0.000285903559847983,5.08659935400188e-06,7.77143899719198
"14","amount",0.00147779498768504,5.02071043052592e-06,4.17597561230243e-06,0.000216170984275304,0.00097154047661436,-8.20133890510773
"15","anoth",0.00269659497752838,0.002615790134304,0.00313615768483912,0.00140162476901084,5.59525928940207e-05,-0.0438920507250949
"16","anyth",0.00137622832186476,5.02071043052592e-06,0.000714091829703715,0.000285903559847983,0.00097154047661436,-8.09861260355332
"17","appli",0.00279816164334865,0.000707920170704154,0.00150752719604118,6.97325755726788e-06,0.0010732724636944,-1.98282071837181
"18","approach",0.00239189498006754,0.0015112338395883,4.17597561230243e-06,0.000983229315574771,0.00173453037971464,-0.662427135052531
"19","approxim",5.07833329101389e-06,0.005326973766788,0.000588812561334642,6.97325755726788e-06,5.08659935400188e-06,10.0347453787153
"20","area",0.00132544498895463,0.00035647044056734,0.000881130854195811,6.97325755726788e-06,5.08659935400188e-06,-1.89462243926465
"21","arm",5.07833329101389e-06,0.00527676666248274,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,10.0210833917627
"22","artifici",0.00117309499022421,5.02071043052592e-06,4.17597561230243e-06,6.97325755726788e-06,0.00117500445077443,-7.86821260361551
"23","ask",0.00376304496864129,5.02071043052592e-06,0.000505293049088593,0.000146438408702625,5.08659935400188e-06,-9.54979329450528
"24","assum",0.000512911662392403,0.00171206225680934,4.59357317353267e-05,0.000216170984275304,0.000157684579974058,1.73895288407293
"25","assumpt",0.000563694995302542,0.0017622693611146,4.17597561230243e-06,6.97325755726788e-06,0.000310282560594115,1.644447791755
"26","atari",5.07833329101389e-06,0.00171206225680934,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,8.39716436682472
"27","autoencod",5.07833329101389e-06,0.00131040542236726,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,8.01144243437043
"28","automat",0.00127466165604449,5.02071043052592e-06,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,-7.98800711615022
"29","averag",5.07833329101389e-06,0.00206351198694615,0.000714091829703715,7.67058331299467e-05,0.000259416567054096,8.66653102148223
"30","bad",5.07833329101389e-06,0.00136061252667252,0.00192512475727142,6.97325755726788e-06,0.00010681858643404,8.06568547915442
"31","bandit",5.07833329101389e-06,0.00146102673528304,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,8.16841178070883
"32","base",0.00163014498641546,0.00256558302999875,4.17597561230243e-06,0.0025173459781737,0.000361148554134134,0.654286431615869
"33","basic",5.58616662011528e-05,0.0125567967867453,4.17597561230243e-06,0.00474878839649942,5.08659935400188e-06,7.81239416134422
"34","batch",5.07833329101389e-06,0.00206351198694615,0.00121520890318001,6.97325755726788e-06,5.08659935400188e-06,8.66653102148223
"35","bayesian",0.00203641164969657,5.02071043052592e-06,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,-8.66392198865437
"36","becom",0.00152857832059518,0.000105434919041044,0.00179984548890235,6.97325755726788e-06,5.08659935400188e-06,-3.85776581618039
"37","believ",0.00127466165604449,5.02071043052592e-06,4.17597561230243e-06,0.000146438408702625,0.000157684579974058,-7.98800711615022
"38","bellman",5.07833329101389e-06,0.00105936990084097,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,7.70463562650773
"39","benefit",5.58616662011528e-05,0.00110957700514623,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,4.31200737855468
"40","best",5.07833329101389e-06,0.00326848249027237,4.17597561230243e-06,0.00265681112931906,0.00132760243139449,9.33005017096618
"41","better",0.000512911662392403,0.00331868959457763,0.00280207963585493,0.00223841567588299,0.00224319031511483,2.69383141655645
"42","big",0.00152857832059518,5.02071043052592e-06,0.00121520890318001,0.00328440430947317,5.08659935400188e-06,-8.25008323895915
"43","bit",0.00157936165350532,5.52278147357851e-05,0.0101100369573842,0.00175028764687424,5.08659935400188e-06,-4.83780271369276
"44","block",5.07833329101389e-06,0.00301744696874608,4.17597561230243e-06,0.00300547400718246,5.08659935400188e-06,9.21475761851173
"45","bot",0.00122387832313435,5.02071043052592e-06,4.17597561230243e-06,6.97325755726788e-06,5.59525928940207e-05,-7.92935289842941
"46","bound",5.07833329101389e-06,0.00211371909125141,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,8.70121286086695
"47","box",0.0014270116547749,5.02071043052592e-06,4.59357317353267e-05,0.00105296189114745,0.00051374653475419,-8.15088988242038
"48","brain",0.00254424497879796,5.02071043052592e-06,8.76954878583509e-05,6.97325755726788e-06,5.08659935400188e-06,-8.98513035539466
"49","build",0.00538811162176573,5.02071043052592e-06,0.000212974756227423,0.000983229315574771,0.00198886034741474,-10.0676725031142
"50","built",0.00127466165604449,5.02071043052592e-06,0.00038001378071952,0.00119242704229281,5.08659935400188e-06,-7.98800711615022
"51","calcul",5.58616662011528e-05,0.00166185515250408,4.17597561230243e-06,0.00105296189114745,5.08659935400188e-06,4.89479222597047
"52","call",0.00401696163319199,0.00196309777833564,0.002927358904224,0.00684076566367979,0.00173453037971464,-1.03297264936489
"53","case",0.000360561663661986,0.00477469561943015,0.00167456622053327,0.00258707855374638,0.00320964419237519,3.72709084915643
"54","certain",0.00188406165096615,0.000205849127651563,8.76954878583509e-05,0.000704299013284056,0.00148020041201455,-3.19418693420217
"55","challeng",0.00213797831551685,0.000406677544872599,0.000421773536842545,6.97325755726788e-06,5.59525928940207e-05,-2.39428998238122
"56","choo",5.07833329101389e-06,0.00206351198694615,0.000881130854195811,6.97325755726788e-06,0.00051374653475419,8.66653102148223
"57","classif",0.00193484498387629,0.000657713066398895,0.00167456622053327,6.97325755726788e-06,0.00142933441847453,-1.55668774815532
"58","close",5.07833329101389e-06,0.00136061252667252,0.000212974756227423,0.00126215961786549,0.000412014547674152,8.06568547915442
"59","cluster",0.0016809283193256,5.02071043052592e-06,0.000296494268473472,6.97325755726788e-06,5.08659935400188e-06,-8.38715096900667
"60","combin",0.000868394992763375,0.00166185515250408,4.17597561230243e-06,0.000774031588856734,5.08659935400188e-06,0.93637132972187
"61","common",0.00147779498768504,5.02071043052592e-06,0.000588812561334642,0.000146438408702625,5.08659935400188e-06,-8.20133890510773
"62","communiti",0.00107152832440393,5.02071043052592e-06,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,-7.73756275090664
"63","complet",0.00178249498514588,0.000155642023346304,4.17597561230243e-06,0.000564833862138698,0.000259416567054096,-3.51759447211714
"64","complex",5.07833329101389e-06,0.0015112338395883,0.00134048817154908,6.97325755726788e-06,0.00092067448307434,8.21715611456025
"65","complic",0.00132544498895463,0.000908748587925191,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,-0.54452367168613
"66","comput",5.07833329101389e-06,0.00321827538596711,0.00793852963898691,0.00293574143160978,0.005396881914596,9.30771698441929
"67","concept",0.00152857832059518,5.02071043052592e-06,4.17597561230243e-06,0.000355636135420662,0.000818942495994303,-8.25008323895915
"68","condit",0.00132544498895463,0.000657713066398895,4.17597561230243e-06,0.000704299013284056,5.08659935400188e-06,-1.01094655723188
"69","connect",5.07833329101389e-06,0.00115978410945149,0.00150752719604118,7.67058331299467e-05,0.00168366438617462,7.83528547921661
"70","consid",0.00137622832186476,5.02071043052592e-06,0.000421773536842545,6.97325755726788e-06,5.08659935400188e-06,-8.09861260355332
"71","constant",5.07833329101389e-06,0.00161164804819882,0.000338254024596496,7.67058331299467e-05,5.59525928940207e-05,8.30996592492285
"72","context",0.000309778330751847,0.00110957700514623,0.00038001378071952,7.67058331299467e-05,5.08659935400188e-06,1.8407016596291
"73","continu",0.000106644999111292,0.00221413329986193,4.17597561230243e-06,7.67058331299467e-05,0.000208550573514077,4.37585386057931
"74","control",0.00279816164334865,5.02071043052592e-06,4.17597561230243e-06,6.97325755726788e-06,0.00290444823113507,-9.12237207077061
"75","cour",0.00462636162811365,0.000105434919041044,0.00129872841542605,0.000285903559847983,5.08659935400188e-06,-5.45545338322274
"76","creat",0.00117309499022421,5.02071043052592e-06,4.17597561230243e-06,0.00795648687284265,5.08659935400188e-06,-7.86821260361551
"77","critic",5.07833329101389e-06,0.00131040542236726,4.17597561230243e-06,7.67058331299467e-05,0.000412014547674152,8.01144243437043
"78","current",5.07833329101389e-06,0.0050759382452617,4.17597561230243e-06,6.97325755726788e-06,0.00137846842493451,9.96510371970356
"79","custom",5.58616662011528e-05,0.00110957700514623,4.17597561230243e-06,0.000355636135420662,5.08659935400188e-06,4.31200737855468
"80","data",0.0217911281517406,0.00663235847872474,0.00727037354101852,6.97325755726788e-06,0.00885576947531728,-1.71614699670101
"81","day",0.0041693116319224,5.02071043052592e-06,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,-9.69770197397725
"82","deci",0.000716044994032958,0.00156144094389356,0.0013822479276721,6.97325755726788e-06,5.59525928940207e-05,1.12475585553236
"83","decid",0.000665261661122819,0.00110957700514623,0.000254734512350448,0.000285903559847983,0.000412014547674152,0.738015995654532
"84","decod",5.07833329101389e-06,0.00131040542236726,4.59357317353267e-05,0.000425368710993341,5.08659935400188e-06,8.01144243437043
"85","deep",0.0121422948988142,5.02071043052592e-06,0.00355375524606936,6.97325755726788e-06,0.00092067448307434,-11.2398619769111
"86","defin",5.07833329101389e-06,0.00437303878498807,0.000630572317457666,0.00161082249572888,0.00117500445077443,9.75006534639941
"87","definit",0.00112231165731407,0.000306263336262081,0.00038001378071952,6.97325755726788e-06,5.08659935400188e-06,-1.873628784028
"88","delta",5.07833329101389e-06,0.00115978410945149,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,7.83528547921661
"89","densiti",0.000208211664931569,0.00181247646541986,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,3.12183946006964
"90","depend",5.07833329101389e-06,0.00392117484624074,0.000547052805211618,0.00105296189114745,0.000208550573514077,9.59271517594253
"91","deriv",5.07833329101389e-06,0.00110957700514623,0.00096465036644186,6.97325755726788e-06,0.000869808489534322,7.77143899719198
"92","describ",0.00183327831805601,0.000205849127651563,4.17597561230243e-06,0.000216170984275304,0.00051374653475419,-3.15476658446854
"93","detail",5.07833329101389e-06,0.00141081963097778,0.00038001378071952,0.00272654370489174,5.08659935400188e-06,8.11796275802148
"94","develop",0.00244267831297768,0.000256056231956822,4.17597561230243e-06,0.000216170984275304,5.08659935400188e-06,-3.253931303998
"95","didn",0.00122387832313435,5.02071043052592e-06,0.00108992963481093,6.97325755726788e-06,5.08659935400188e-06,-7.92935289842941
"96","differ",0.00548967828758601,0.00256558302999875,0.0124903430563966,0.0038422649140546,0.00387090210839543,-1.09743488899648
"97","difficult",0.00107152832440393,5.02071043052592e-06,0.000296494268473472,7.67058331299467e-05,0.000361148554134134,-7.73756275090664
"98","dimen",0.00107152832440393,0.00035647044056734,0.00129872841542605,6.97325755726788e-06,5.08659935400188e-06,-1.58781563140195
"99","dimens",5.07833329101389e-06,0.00156144094389356,0.00142400768379513,6.97325755726788e-06,0.000666344515374246,8.26430720793115
"100","direct",5.07833329101389e-06,0.0028668256558303,0.00539118451548243,6.97325755726788e-06,5.08659935400188e-06,9.14088337316339
"101","discrimin",5.07833329101389e-06,0.00251537592569349,4.17597561230243e-06,7.67058331299467e-05,5.08659935400188e-06,8.95220323099576
"102","distanc",5.07833329101389e-06,0.00105936990084097,0.00038001378071952,6.97325755726788e-06,0.00051374653475419,7.70463562650773
"103","distribut",5.07833329101389e-06,0.00859043554662985,0.0017163259766563,6.97325755726788e-06,5.08659935400188e-06,10.72416048229
"104","doesn",0.00173171165223574,0.00115978410945149,0.00217568329400956,0.00230814825145567,0.000615478521834228,-0.578342449807565
"105","don",0.00523576162303532,0.00291703276013556,0.002927358904224,0.00704996339039782,0.00320964419237519,-0.84389782616303
"106","done",0.00147779498768504,0.000707920170704154,0.000338254024596496,0.00258707855374638,0.00137846842493451,-1.06178755270894
"107","earlier",5.07833329101389e-06,0.00211371909125141,0.000338254024596496,7.67058331299467e-05,5.59525928940207e-05,8.70121286086695
"108","easier",0.00127466165604449,0.000155642023346304,4.17597561230243e-06,0.000146438408702625,0.000259416567054096,-3.03381080576335
"109","effect",0.00289972830916893,0.000256056231956822,0.000463533292965569,6.97325755726788e-06,0.00010681858643404,-3.5013851555908
"110","effici",5.07833329101389e-06,0.00126019831806201,0.00221744305013259,6.97325755726788e-06,0.000564612528294209,7.95507999175132
"111","encod",5.07833329101389e-06,0.00221413329986193,4.17597561230243e-06,0.00105296189114745,0.000462880541214171,8.76817128335807
"112","end",0.00188406165096615,5.52278147357851e-05,0.00213392353788654,0.00258707855374638,0.00361657214069534,-5.09230732018296
"113","energi",0.00198562831678643,5.02071043052592e-06,0.000881130854195811,6.97325755726788e-06,5.59525928940207e-05,-8.6274883595068
"114","engin",0.00132544498895463,5.02071043052592e-06,8.76954878583509e-05,0.000495101286566019,0.000361148554134134,-8.04436955876934
"115","enough",0.00188406165096615,5.02071043052592e-06,0.00067233207358069,0.00126215961786549,5.08659935400188e-06,-8.55173893882025
"116","environ",0.00488027829266435,0.000858541483619932,4.17597561230243e-06,6.97325755726788e-06,5.59525928940207e-05,-2.5070036680873
"117","episod",0.000157428332021431,0.00110957700514623,4.17597561230243e-06,0.000146438408702625,5.08659935400188e-06,2.81724268680511
"118","equat",5.07833329101389e-06,0.00246516882138823,4.17597561230243e-06,6.97325755726788e-06,0.000208550573514077,8.92311565211524
"119","essenti",0.00112231165731407,0.000657713066398895,4.17597561230243e-06,6.97325755726788e-06,5.08659935400188e-06,-0.770943120053432
"120","estim",5.07833329101389e-06,0.00392117484624074,4.17597561230243e-06,0.000146438408702625,0.00148020041201455,9.59271517594253
"121","evalu",0.000411344996572125,0.00166185515250408,0.000296494268473472,6.97325755726788e-06,5.08659935400188e-06,2.01437384172314
"122","everi",5.07833329101389e-06,0.00336889669888289,0.00129872841542605,0.00398173006519996,0.00382003611485541,9.37370539400073
"123","exact",5.07833329101389e-06,0.00161164804819882,0.00209216378176351,0.00105296189114745,0.00209059233449477,8.30996592492285
"124","exampl",0.0062514282812381,0.00316806828166185,0.0188795857432193,6.97325755726788e-06,5.08659935400188e-06,-0.980582413701359
"125","excit",0.00229032831424726,5.02071043052592e-06,4.17597561230243e-06,6.97325755726788e-06,0.00148020041201455,-8.83344718545483
"126","expect",5.07833329101389e-06,0.00457386720220911,0.000839371098072787,7.67058331299467e-05,5.08659935400188e-06,9.8148436816026
"127","experi",0.00198562831678643,0.00115978410945149,4.17597561230243e-06,0.000913496740002092,5.08659935400188e-06,-0.775739318090744
"128","explain",0.0016809283193256,5.02071043052592e-06,0.000129455243981375,6.97325755726788e-06,0.000412014547674152,-8.38715096900667
"129","explicit",5.07833329101389e-06,0.00110957700514623,0.000296494268473472,6.97325755726788e-06,5.08659935400188e-06,7.77143899719198
"130","explor",0.000614478328212681,0.0028668256558303,4.17597561230243e-06,6.97325755726788e-06,5.59525928940207e-05,2.2220201358888
