"","x"
"digit",102
"twin",81
"product",63
"use",59
"control",47
"system",45
"think",44
"inform",43
"now",43
"realli",41
"actual",38
"custom",37
"design",34
"data",33
"need",33
"industri",32
"oper",32
"time",32
"engin",31
"part",30
"physic",30
"technolog",29
"microgrid",28
"differ",27
"peopl",27
"servic",26
"simul",26
"start",26
"valu",26
"process",25
"chang",24
"connect",24
"intellig",24
"let",23
"today",23
"manag",22
"platform",22
"sort",22
"year",22
"model",21
"provid",21
"visual",21
"busi",20
"level",20
"work",20
"someth",19
"excel",18
"experi",18
"equip",17
"facil",17
"interact",17
"power",17
"project",17
"question",17
"real",17
"abil",16
"journey",16
"may",16
"thank",16
"integr",15
"learn",15
"loop",15
"mani",15
"quick",15
"achiev",14
"allow",14
"cour",14
"environ",14
"help",14
"believ",13
"creat",13
"first",13
"over",13
"call",12
"cost",12
"dms",12
"good",12
"insight",12
"mix",12
"realiti",12
"transform",12
"abl",11
"answer",11
"bring",11
"build",11
"class",11
"client",11
"collabor",11
"enriqu",11
"generat",11
"happen",11
"human",11
"littl",11
"point",11
"talk",11
"applic",10
"architectur",10
"avail",10
"base",10
"begin",10
"bit",10
"capabl",10
"chain",10
"close",10
"command",10
"compani",10
"complet",10
"day",10
"deliv",10
"field",10
"grid",10
"hour",10
"import",10
"manufactur",10
"oil",10
"perform",10
"plm",10
"strategi",10
"tag",10
"tool",10
"understand",10
"view",10
"certain",9
"coupl",9
"document",9
"don",9
"feeder",9
"high",9
"increa",9
"innov",9
"mean",9
"method",9
"number",9
"pictur",9
"quit",9
"simon",9
"solut",9
"tabl",9
"test",9
"virtual",9
"action",8
"addit",8
"built",8
"cloud",8
"defin",8
"devic",8
"enterpri",8
"entir",8
"exampl",8
"gas",8
"hand",8
"includ",8
"life",8
"lower",8
"machin",8
"mainten",8
"microsoft",8
"million",8
"monitor",8
"move",8
"purpo",8
"remot",8
"singl",8
"softwar",8
"sourc",8
"specif",8
"type",8
"world",8
"aircraft",7
"associ",7
"becaus",7
"becom",7
"check",7
"concept",7
"detail",7
"develop",7
"effici",7
"forth",7
"forward",7
"interfac",7
"invert",7
"live",7
"load",7
"mcdermott",7
"month",7
"offshor",7
"okay",7
"person",7
"pilot",7
"program",7
"repres",7
"requir",7
"screen",7
"set",7
"smart",7
"sync",7
"transpar",7
"true",7
"truth",7
"uniqu",7
"via",7
"access",6
"across",6
"anoth",6
"behind",6
"big",6
"cad",6
"case",6
"common",6
"critic",6
"cycl",6
"dashboard",6
"definit",6
"effort",6
"electr",6
"far",6
"give",6
"higher",6
"hil",6
"key",6
"last",6
"mayb",6
"mention",6
"might",6
"order",6
"perhap",6
"practic",6
"probabl",6
"second",6
"send",6
"sit",6
"stage",6
"term",6
"togeth",6
"vendor",6
"within",6
"without",6
"woodward",6
"wrap",6
"add",5
"aerospac",5
"artifici",5
"beyond",5
"center",5
"cognit",5
"communic",5
"compon",5
"comprehen",5
"comput",5
"consum",5
"disrupt",5
"done",5
"eaton",5
"enabl",5
"end",5
"everybodi",5
"everyth",5
"fact",5
"faster",5
"final",5
"format",5
"hold",5
"hope",5
"issu",5
"market",5
"moment",5
"notion",5
"occur",5
"offer",5
"organ",5
"outcom",5
"piec",5
"place",5
"produc",5
"progress",5
"rather",5
"relat",5
"relationship",5
"relay",5
"replic",5
"repr",5
"room",5
"slide",5
"standard",5
"step",5
"subsea",5
"typhoon",5
"typic",5
"user",5
"valid",5
"yeah",5
"almost",4
"along",4
"alreadi",4
"angl",4
"appli",4
"ask",4
"aspect",4
"basic",4
"brake",4
"combin",4
"contain",4
"current",4
"demonstr",4
"dollar",4
"ear",4
"element",4
"email",4
"enough",4
"ensur",4
"ever",4
"fast",4
"find",4
"flight",4
"frequenc",4
"full",4
"grow",4
"hundr",4
"insid",4
"lead",4
"locat",4
"long",4
"longer",4
"materi",4
"mechan",4
"mind",4
"modbus",4
"morn",4
"natur",4
"one",4
"particular",4
"partner",4
"personnel",4
"principl",4
"problem",4
"pull",4
"push",4
"qualiti",4
"queri",4
"record",4
"regard",4
"report",4
"request",4
"seamless",4
"self",4
"side",4
"siemen",4
"state",4
"stay",4
"stream",4
"structur",4
"third",4
"week",4
"accel",3
"advanc",3
"aid",3
"analyt",3
"anyon",3
"anywh",3
"autom",3
"avion",3
"better",3
"break",3
"breaker",3
"comment",3
"compressor",3
"consid",3
"consult",3
"countri",3
"databa",3
"deal",3
"degr",3
"depend",3
"disturb",3
"dive",3
"downstream",3
"earlier",3
"eight",3
"either",3
"epc",3
"execut",3
"expect",3
"expedit",3
"extrem",3
"feedback",3
"fifti",3
"fit",3
"fleet",3
"focus",3
"forget",3
"form",3
"four",3
"fulli",3
"gentlemen",3
"given",3
"global",3
"goe",3
"hardwar",3
"hear",3
"horizont",3
"improv",3
"inspect",3
"interest",3
"intern",3
"introduc",3
"join",3
"kinda",3
"ladi",3
"less",3
"limit",3
"mainstream",3
"maintain",3
"man",3
"measur",3
"mic",3
"must",3
"necessarili",3
"network",3
"normal",3
"notic",3
"object",3
"observ",3
"open",3
"opinion",3
"optim",3
"output",3
"paramet",3
"pass",3
"per",3
"phase",3
"pipe",3
"plan",3
"plant",3
"plcs",3
"possibl",3
"potenti",3
"predict",3
"primari",3
"procur",3
"profit",3
"proof",3
"prototyp",3
"pump",3
"ransom",3
"read",3
"realist",3
"reduct",3
"retail",3
"revenu",3
"round",3
"save",3
"scene",3
"scope",3
"sel",3
"sent",3
"shift",3
"simpl",3
"situat",3
"success",3
"supplier",3
"support",3
"sustain",3
"team",3
"telemetri",3
"tell",3
"ten",3
"transport",3
"tri",3
"tune",3
"upstream",3
"vertic",3
"vision",3
"voltag",3
"watch",3
"wish",3
"word",3
"activ",2
"advantag",2
"amazon",2
"amount",2
"analysi",2
"anyth",2
"approv",2
"area",2
"arm",2
"asset",2
"author",2
"automot",2
"awar",2
"away",2
"behav",2
"behavior",2
"behaviour",2
"blend",2
"bodi",2
"bottom",2
"boundari",2
"brain",2
"brought",2
"bye",2
"car",2
"charact",2
"choic",2
"clear",2
"collect",2
"column",2
"complex",2
"conclus",2
"condit",2
"conform",2
"construct",2
"contextu",2
"cover",2
"decad",2
"deci",2
"deeper",2
"demand",2
"demo",2
"deploy",2
"describ",2
"differenti",2
"direct",2
"disconnect",2
"discuss",2
"dna",2
"doesn",2
"driven",2
"driver",2
"easygen",2
"effect",2
"elabor",2
"empha",2
"employ",2
"enhanc",2
"ess",2
"essenti",2
"eventu",2
"everi",2
"everyon",2
"evolv",2
"exist",2
"expen",2
"explain",2
"fabric",2
"facilit",2
"fail",2
"familiar",2
"fashion",2
"featur",2
"feed",2
"feel",2
"fix",2
"flexibl",2
"fold",2
"forc",2
"ford",2
"frame",2
"framework",2
"frank",2
"frontload",2
"function",2
"futur",2
"gear",2
"geneolog",2
"genset",2
"geometri",2
"greater",2
"group",2
"guess",2
"guid",2
"head",2
"heal",2
"hololen",2
"howev",2
"identifi",2
"imag",2
"imagin",2
"immedi",2
"immer",2
"implement",2
"incr",2
"ind",2
"individu",2
"instanc",2
"interconnect",2
"invent",2
"iot",2
"irradi",2
"island",2
"keep",2
"lab",2
"land",2
"later",2
"least",2
"lifecycl",2
"lightweight",2
"major",2
"manner",2
"matter",2
"minut",2
"multi",2
"music",2
"nasa",2
"nirvana",2
"onlin",2
"owner",2
"past",2
"peer",2
"perfect",2
"play",2
"portfolio",2
"predecessor",2
"present",2
"pretti",2
"price",2
"print",2
"prioriti",2
"procedur",2
"profil",2
"pursu",2
"rat",2
"reach",2
"readi",2
"realiz",2
"reason",2
"rectangular",2
"relea",2
"reliabl",2
"rememb",2
"resili",2
"respond",2
"result",2
"retir",2
"revolut",2
"risk",2
"robot",2
"scale",2
"scenario",2
"sell",2
"session",2
"setpoint",2
"setup",2
"short",2
"show",2
"simcent",2
"similar",2
"simpli",2
"sinc",2
"slight",2
"someon",2
"sometim",2
"spend",2
"static",2
"strateg",2
"summar",2
"suppli",2
"surplus",2
"switch",2
"testb",2
"therefor",2
"thought",2
"thousand",2
"thread",2
"throughout",2
"touch",2
"truli",2
"tuesday",2
"twitter",2
"ultim",2
"upon",2
"valuabl",2
"various",2
"version",2
"versus",2
"vice",2
"volum",2
"wait",2
"wanna",2
"webcast",2
"webinar",2
"websit",2
"widget",2
"won",2
"yard",2
"absolut",1
"accompani",1
"accur",1
"adapt",1
"admiss",1
"adopt",1
"aerodynam",1
"affect",1
"agil",1
"ahead",1
"airfram",1
"airplan",1
"also",1
"although",1
"alway",1
"amesim",1
"among",1
"analyz",1
"anybodi",1
"anymor",1
"app",1
"applaus",1
"appreci",1
"approach",1
"aren",1
"assembl",1
"assess",1
"assign",1
"assist",1
"attent",1
"automat",1
"autonom",1
"averag",1
"azur",1
"background",1
"bansh",1
"bar",1
"batteri",1
"bear",1
"befor",1
"began",1
"begun",1
"behalf",1
"bench",1
"beneficiari",1
"benefit",1
"bespok",1
"best",1
"bid",1
"bind",1
"black",1
"block",1
"blocker",1
"board",1
"bond",1
"bot",1
"breed",1
"brilliant",1
"broad",1
"broaden",1
"broken",1
"brownfield",1
"budget",1
"cabl",1
"cancel",1
"candid",1
"capex",1
"career",1
"carri",1
"cast",1
"caught",1
"caus",1
"cent",1
"centric",1
"ceo",1
"channel",1
"characterist",1
"chart",1
"china",1
"choo",1
"chosen",1
"circular",1
"cockpit",1
"colleagu",1
"color",1
"commiss",1
"companion",1
"compar",1
"compri",1
"concentr",1
"confess",1
"confid",1
"consist",1
"constitu",1
"constitut",1
"constraint",1
"contact",1
"contactor",1
"context",1
"continu",1
"contracept",1
"contract",1
"conver",1
"core",1
"correct",1
"creation",1
"creativ",1
"cui",1
"culpa",1
"cuz",1
"daiso",1
"damag",1
"deck",1
"deep",1
"deepli",1
"delay",1
"depth",1
"desir",1
"deso",1
"devil",1
"diagram",1
"didn",1
"diesel",1
"difficult",1
"dispatch",1
"distinct",1
"distribut",1
"dlc",1
"domin",1
"dozer",1
"drawer",1
"dynam",1
"easi",1
"easier",1
"easiest",1
"ecosystem",1
"electrod",1
"elsewh",1
"emb",1
"embodi",1
"emot",1
"emul",1
"encourag",1
"energ",1
"enforc",1
"engag",1
"error",1
"especi",1
"euro",1
"europ",1
"everywh",1
"evolut",1
"exact",1
"except",1
"excess",1
"exclus",1
"expand",1
"experienc",1
"expot",1
"exten",1
"extent",1
"face",1
"factor",1
"fade",1
"failur",1
"fan",1
"fanci",1
"farewel",1
"fastest",1
"fault",1
"fewer",1
"fidel",1
"figur",1
"file",1
"finish",1
"firm",1
"flang",1
"flare",1
"flavor",1
"float",1
"floor",1
"flow",1
"follow",1
"food",1
"formul",1
"formula",1
"forti",1
"found",1
"free",1
"freeli",1
"fuel",1
"fundament",1
"fungus",1
"gain",1
"game",1
"gartner",1
"gateway",1
"general",1
"geograph",1
"geographi",1
"get",1
"glass",1
"gone",1
"grab",1
"grade",1
"gravit",1
"great",1
"griev",1
"growth",1
"guilt",1
"half",1
"handel",1
"hannov",1
"happi",1
"hard",1
"harm",1
"healthcar",1
"heart",1
"heat",1
"heck",1
"held",1
"heterogen",1
"hide",1
"highest",1
"histor",1
"histori",1
"holist",1
"hollow",1
"honest",1
"honor",1
"hous",1
"huge",1
"hydrocarbon",1
"illustr",1
"impress",1
"improp",1
"incid",1
"inclus",1
"incon",1
"incorpor",1
"india",1
"indic",1
"indict",1
"induc",1
"induct",1
"inexpen",1
"influenc",1
"inject",1
"instal",1
"instrument",1
"intent",1
"inter",1
"interrupt",1
"intrigu",1
"isv",1
"jabulani",1
"john",1
"jump",1
"keyword",1
"knowledg",1
"laboratori",1
"languag",1
"larg",1
"larger",1
"late",1
"latest",1
"launch",1
"layer",1
"leader",1
"leg",1
"legaci",1
"lesson",1
"leverag",1
"light",1
"lincoln",1
"line",1
"link",1
"linkedin",1
"liquid",1
"lms",1
"logo",1
"love",1
"lucki",1
"machineri",1
"made",1
"make",1
"manifest",1
"manoeuvr",1
"margin",1
"mark",1
"marketplac",1
"mass",1
"match",1
"mckinsey",1
"mechatron",1
"medium",1
"meishan",1
"mere",1
"mess",1
"metallici",1
"metallurgi",1
"michael",1
"michigan",1
"middl",1
"mindset",1
"mini",1
"mistak",1
"mit",1
"mode",1
"money",1
"monolith",1
"morph",1
"motor",1
"multipl",1
"name",1
"nativ",1
"near",1
"neither",1
