"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","iot","devic","data","use","devic"
"2","cloud","realli","industri","android","data"
"3","node","connect","cloud","need","use"
"4","creat","don","use","now","iot"
"5","googl","peopl","time","develop","communic"
"6","sensor","updat","sensor","set","platform"
"7","applic","think","product","app","differ"
"8","let","world","real","power","messag"
"9","cour","contain","process","manag","support"
"10","internet","push","custom","librari","protocol"
"11","learn","someth","technolog","build","time"
"12","red","work","work","servic","send"
"13","digit","sort","manufactur","differ","type"
"14","develop","tool","platform","mean","talk"
"15","connect","build","exampl","system","need"
"16","control","code","scale","applic","actual"
"17","start","deploy","energi","button","case"
"18","machin","actual","machin","ship","network"
"19","platform","applic","packag","hardwar","side"
"20","base","resin","engin","give","process"
"21","core","model","show","monitor","secur"
"22","mqtt","talk","demo","access","solut"
"23","gateway","environ","happen","automat","import"
"24","world","iot","smart","call","machin"
"25","busi","everyth","case","devic","open"
"26","industri","docker","iot","exact","start"
"27","intel","softwar","provid","order","topic"
"28","project","start","second","avail","client"
"29","webinar","comput","now","built","end"
"30","compani","part","thank","might","internet"
"31","inform","web","think","anyth","tell"
"32","servic","emb","util","play","alreadi"
"33","build","open","day","cost","implement"
"34","integr","question","help","creat","link"
"35","system","sourc","level","consol","broker"
"36","configur","today","problem","googl","mention"
"37","softwar","time","across","imag","now"
"38","weather","car","busi","phone","server"
"39","easi","fix","generat","check","subscrib"
"40","focus","internet","valu","quick","connect"
"41","possibl","abl","analyt","tri","publish"
"42","pub","bit","base","add","app"
"43","temperatur","complex","store","api","big"
"44","thing","mayb","applic","becom","design"
"45","alarm","platform","consum","exampl","good"
"46","api","use","end","instal","pretti"
"47","call","version","inform","window","basic"
"48","concept","control","minut","simpl","general"
"49","first","let","start","user","databa"
"50","gcp","microcontrol","year","within","alway"
"51","groov","rankin","appli","server","avail"
"52","light","bring","meter","support","huge"
"53","product","develop","mobil","design","request"
"54","show","home","qualiti","head","sms"
"55","futur","keep","servic","modul","specif"
"56","oper","scott","sub","pin","technolog"
"57","thank","without","coupl","sampl","thing"
"58","visual","happen","partner","similar","address"
"59","best","may","stream","specif","anoth"
"60","click","mean","tilt","worri","base"
"61","condit","product","better","enabl","download"
"62","ecosystem","bunch","flow","kit","hand"
"63","flow","end","part","led","http"
"64","life","field","revolut","singl","last"
"65","physic","linux","thousand","standard","receiv"
"66","registri","raspberri","analysi","valu","short"
"67","status","anoth","effici","zenon","transfer"
"68","technic","day","final","activ","via"
"69","account","excit","first","architectur","amount"
"70","code","littl","forecast","everyon","enough"
"71","direct","point","key","fireba","everi"
"72","gather","remot","line","interfac","geofenc"
"73","json","whole","move","level","handl"
"74","lab","basic","per","littl","interest"
"75","perform","everybodi","solv","notif","long"
"76","program","hardwar","system","project","sourc"
"77","rang","project","today","realli","state"
"78","smart","space","big","requir","storag"
"79","sound","idea","certain","sensor","tcp"
"80","tapio","number","ingest","typic","code"
"81","watson","screen","insight","client","depend"
"82","work","technolog","mani","didn","enterpri"
"83","ask","top","million","driver","forth"
"84","biggest","year","need","easier","guy"
"85","collect","built","pub","file","high"
"86","event","cool","site","find","mani"
"87","music","coupl","track","flash","mechan"
"88","object","either","analyz","function","number"
"89","piec","hope","capabl","github","respon"
"90","place","oper","challeng","layer","sent"
"91","predict","pass","except","learn","ssl"
"92","valu","smart","improv","periph","though"
"93","allow","step","market","saw","whatev"
"94","arduino","stuff","particular","share","applic"
"95","authent","approach","side","store","current"
"96","board","learn","view","tensorflow","doesn"
"97","cass","love","abl","test","enter"
"98","edg","multipl","allow","basic","hub"
"99","effici","possibl","complet","board","key"
"100","ibm","sit","deal","camera","larg"
