"","x"
"desk",71
"work",66
"now",47
"use",46
"stand",43
"space",41
"room",40
"studi",40
"need",37
"time",37
"realli",26
"offic",24
"write",23
"don",22
"light",20
"creat",19
"find",19
"sit",19
"employ",18
"googl",18
"video",18
"calendar",17
"peopl",17
"differ",16
"first",16
"task",16
"help",15
"definit",14
"file",14
"good",14
"meet",14
"think",14
"train",14
"tri",14
"actual",13
"day",13
"click",12
"leg",12
"littl",12
"paper",12
"switch",12
"add",11
"avail",11
"color",11
"compani",11
"cowork",11
"distract",11
"everyth",11
"locat",11
"perfect",11
"place",11
"chair",10
"idea",10
"mayb",10
"monitor",10
"probabl",10
"product",10
"set",10
"share",10
"temperatur",10
"access",9
"allow",9
"bit",9
"buy",9
"design",9
"enough",9
"especi",9
"high",9
"let",9
"name",9
"person",9
"real",9
"setup",9
"side",9
"someth",9
"top",9
"type",9
"abl",8
"bed",8
"best",8
"custom",8
"domain",8
"height",8
"keep",8
"live",8
"might",8
"option",8
"pretti",8
"process",8
"schedul",8
"suggest",8
"addit",7
"anoth",7
"area",7
"busi",7
"check",7
"clean",7
"closet",7
"concentr",7
"driver",7
"easili",7
"enjoy",7
"environ",7
"event",7
"experi",7
"featur",7
"hour",7
"inch",7
"level",7
"phase",7
"potenti",7
"start",7
"year",7
"zone",7
"across",6
"call",6
"comput",6
"creativ",6
"doesn",6
"feel",6
"form",6
"found",6
"friend",6
"guest",6
"home",6
"hope",6
"hover",6
"ikea",6
"internet",6
"key",6
"long",6
"low",6
"mani",6
"mind",6
"move",6
"nice",6
"one",6
"open",6
"optim",6
"quick",6
"search",6
"small",6
"stay",6
"watch",6
"wework",6
"wood",6
"also",5
"alway",5
"better",5
"box",5
"build",5
"connect",5
"consid",5
"cour",5
"degr",5
"easi",5
"electr",5
"email",5
"ergonom",5
"estat",5
"everyon",5
"exampl",5
"face",5
"final",5
"give",5
"grow",5
"guy",5
"import",5
"improv",5
"interest",5
"job",5
"leav",5
"less",5
"link",5
"made",5
"minut",5
"music",5
"never",5
"note",5
"number",5
"part",5
"pen",5
"question",5
"readi",5
"rest",5
"select",5
"show",5
"site",5
"spot",5
"surfac",5
"tabletop",5
"talk",5
"today",5
"transform",5
"upload",5
"websit",5
"workplac",5
"writer",5
"adjust",4
"alreadi",4
"anyth",4
"assign",4
"author",4
"big",4
"button",4
"chang",4
"close",4
"context",4
"control",4
"corpor",4
"cost",4
"data",4
"derail",4
"done",4
"drawer",4
"dream",4
"drive",4
"emb",4
"end",4
"entir",4
"exact",4
"expand",4
"expen",4
"exten",4
"extra",4
"fine",4
"finish",4
"furnitur",4
"futur",4
"galleri",4
"game",4
"globe",4
"ground",4
"growth",4
"hang",4
"hous",4
"hub",4
"inspir",4
"instead",4
"issu",4
"lamp",4
"last",4
"laugh",4
"life",4
"love",4
"market",4
"materi",4
"multipl",4
"often",4
"piec",4
"plan",4
"play",4
"point",4
"printer",4
"problem",4
"profess",4
"provid",4
"regist",4
"regular",4
"research",4
"second",4
"secur",4
"servic",4
"session",4
"size",4
"solut",4
"spend",4
"spent",4
"startup",4
"steelca",4
"storag",4
"stuff",4
"system",4
"thank",4
"though",4
"throughout",4
"tool",4
"turn",4
"view",4
"walnut",4
"workspac",4
"absolut",3
"advanc",3
"affect",3
"alpin",3
"answer",3
"anywh",3
"app",3
"ask",3
"automat",3
