"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00388984775496535,0.000275006875171879,5.65323082141444e-05,0.0221190912833564,0.00357926793094584,-3.82217409899334
"2","access",0.00775393492877199,0.00127503187579689,5.65323082141444e-05,0.000411692054343351,0.0079297593387253,-2.60439531309376
"3","account",0.0023442128854427,2.50006250156254e-05,5.65323082141444e-05,3.74265503948501e-05,1.97749609444521e-05,-6.55099561850425
"4","acronym",2.5760581158711e-05,0.00102502562564064,5.65323082141444e-05,3.74265503948501e-05,1.97749609444521e-05,5.31435102631253
"5","act",0.00157139545068137,2.50006250156254e-05,5.65323082141444e-05,0.000411692054343351,1.97749609444521e-05,-5.97393831586844
"6","actual",2.5760581158711e-05,0.00802520063001575,5.65323082141444e-05,3.74265503948501e-05,0.0138622476220609,8.28322850881675
"7","add",0.00285942450861692,2.50006250156254e-05,0.00175250155463848,3.74265503948501e-05,1.97749609444521e-05,-6.83761684465566
"8","address",0.00388984775496535,2.50006250156254e-05,5.65323082141444e-05,3.74265503948501e-05,1.97749609444521e-05,-7.28160571763064
"9","adversari",2.5760581158711e-05,0.0017750443761094,5.65323082141444e-05,3.74265503948501e-05,1.97749609444521e-05,6.10654614119913
"10","algorithm",2.5760581158711e-05,0.00352508812720318,0.00175250155463848,3.74265503948501e-05,1.97749609444521e-05,7.09635037409324
"11","allow",2.5760581158711e-05,0.00102502562564064,5.65323082141444e-05,0.00265728507803436,0.00575451363483557,5.31435102631253
"12","alphabet",2.5760581158711e-05,0.00127503187579689,5.65323082141444e-05,3.74265503948501e-05,1.97749609444521e-05,5.62922436366594
"13","amazon",2.5760581158711e-05,0.00202505062626566,5.65323082141444e-05,3.74265503948501e-05,1.97749609444521e-05,6.29664902457907
"14","amount",0.00105618382750715,0.00102502562564064,5.65323082141444e-05,3.74265503948501e-05,1.97749609444521e-05,-0.0432009783055554
"15","anoth",0.00414745356655246,2.50006250156254e-05,5.65323082141444e-05,3.74265503948501e-05,0.00338151832150132,-7.37411785642017
"16","answer",0.000283366392745821,0.0017750443761094,0.00231782463677992,3.74265503948501e-05,1.97749609444521e-05,2.64711452256183
"17","anymor",2.5760581158711e-05,0.00102502562564064,5.65323082141444e-05,3.74265503948501e-05,1.97749609444521e-05,5.31435102631253
"18","anyon",0.0023442128854427,2.50006250156254e-05,5.65323082141444e-05,3.74265503948501e-05,1.97749609444521e-05,-6.55099561850425
