"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","access",0.00250070442378135,4.35691878703381e-05,0.0041257243638196,3.52708803611738e-05,0.000575942076682573,-5.8428825132124
"2","across",0.00390955198647506,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-6.48755126005782
"3","activ",3.52211890673429e-05,0.00352910421749739,0.000346434870244394,3.52708803611738e-05,2.74258131753606e-05,6.64671460917691
"4","adopt",0.00144406875176106,4.35691878703381e-05,0.000661375661375662,3.52708803611738e-05,0.000301683944928967,-5.0506873983258
"5","advantag",0.00109185686108763,4.35691878703381e-05,3.14940791131267e-05,0.00074068848758465,2.74258131753606e-05,-4.64733170409459
"6","afford",0.00109185686108763,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-4.64733170409459
"7","agreement",0.00144406875176106,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-5.0506873983258
"8","alreadi",0.00531839954916878,0.0009149529452771,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-2.53922271025404
"9","america",0.0032051282051282,4.35691878703381e-05,0.000661375661375662,3.52708803611738e-05,2.74258131753606e-05,-6.20093003390641
"10","american",0.0032051282051282,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,0.00249574899895782,-6.20093003390641
"11","analyst",0.00144406875176106,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-5.0506873983258
"12","anand",3.52211890673429e-05,0.00178633670268386,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,5.66441661091037
"13","announc",0.00179628064243449,4.35691878703381e-05,0.000661375661375662,3.52708803611738e-05,2.74258131753606e-05,-5.36556073567921
"14","applic",0.00179628064243449,4.35691878703381e-05,0.00538548752834467,3.52708803611738e-05,2.74258131753606e-05,-5.36556073567921
"15","area",0.00144406875176106,0.000479261066573719,0.002236079617032,0.00250423250564334,0.000575942076682573,-1.59125577968851
"16","avail",3.52211890673429e-05,0.0078860230045312,3.14940791131267e-05,3.52708803611738e-05,0.001672974603697,7.80671049337549
"17","balanc",0.00144406875176106,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,0.000301683944928967,-5.0506873983258
"18","ball",0.00179628064243449,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-5.36556073567921
"19","band",3.52211890673429e-05,0.00352910421749739,3.14940791131267e-05,3.52708803611738e-05,0.000301683944928967,6.64671460917691
"20","bandwidth",3.52211890673429e-05,0.00396479609620077,3.14940791131267e-05,0.000387979683972912,2.74258131753606e-05,6.81465924649098
"21","beam",3.52211890673429e-05,0.00527187173231091,3.14940791131267e-05,0.000387979683972912,0.000575942076682573,7.22572784356688
"22","becaus",0.00109185686108763,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,0.00139871647194339,-4.64733170409459
"23","behind",0.00179628064243449,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,0.00249574899895782,-5.36556073567921
"24","beyond",0.00144406875176106,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-5.0506873983258
"25","big",0.0134192730346577,4.35691878703381e-05,3.14940791131267e-05,0.00179881489841986,2.74258131753606e-05,-8.26678258120104
"26","block",3.52211890673429e-05,0.00962879051934473,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,8.09476716568371
"27","bring",0.00179628064243449,0.000479261066573719,0.002236079617032,0.000387979683972912,2.74258131753606e-05,-1.90612911704192
"28","broadband",0.00461397576782192,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-6.72655839524517
"29","burn",3.52211890673429e-05,0.00222202858138724,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,5.97928994826378
"30","busi",0.0091927303465765,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-7.7210413902776
"31","button",3.52211890673429e-05,0.00178633670268386,0.0012912572436382,3.52708803611738e-05,2.74258131753606e-05,5.66441661091037
"32","call",0.0032051282051282,0.00265772046009062,3.14940791131267e-05,3.52708803611738e-05,0.00990071855630519,-0.270192696343529
"33","carrier",3.52211890673429e-05,0.00222202858138724,3.14940791131267e-05,3.52708803611738e-05,0.00798091163402995,5.97928994826378
"34","case",0.00250070442378135,0.0009149529452771,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-1.45056509043364
"35","central",0.00109185686108763,4.35691878703381e-05,3.14940791131267e-05,0.000387979683972912,2.74258131753606e-05,-4.64733170409459
"36","chang",0.00531839954916878,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,0.000575942076682573,-6.9315401330328
"37","channel",3.52211890673429e-05,0.00135064482398048,0.0031809019904258,0.00074068848758465,2.74258131753606e-05,5.26106091667916
"38","characterist",3.52211890673429e-05,0.00178633670268386,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,5.66441661091037
"39","china",0.00250070442378135,0.000479261066573719,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-2.3834508945751
"40","chip",0.00179628064243449,4.35691878703381e-05,0.000661375661375662,3.52708803611738e-05,2.74258131753606e-05,-5.36556073567921
"41","citi",0.0134192730346577,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-8.26678258120104
"42","clear",0.00144406875176106,0.000479261066573719,3.14940791131267e-05,3.52708803611738e-05,0.001672974603697,-1.59125577968851
"43","click",3.52211890673429e-05,0.00178633670268386,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,5.66441661091037
"44","closer",0.00285291631445477,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-6.03298539659234
"45","cloud",0.00144406875176106,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-5.0506873983258
"46","color",3.52211890673429e-05,0.00135064482398048,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,5.26106091667916
"47","combin",0.00250070442378135,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,0.000301683944928967,-5.8428825132124
"48","comcast",0.00109185686108763,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-4.64733170409459
"49","comment",0.00109185686108763,4.35691878703381e-05,0.000346434870244394,0.00074068848758465,2.74258131753606e-05,-4.64733170409459
"50","communiti",0.00285291631445477,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-6.03298539659234
"51","compani",0.00531839954916878,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,0.0137403324008557,-6.9315401330328
"52","compar",0.0032051282051282,0.00135064482398048,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-1.24673372351954
"53","compet",0.00214849253310792,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-5.6238727312706
"54","competit",0.0032051282051282,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-6.20093003390641
"55","configur",0.00109185686108763,4.35691878703381e-05,0.000346434870244394,3.52708803611738e-05,2.74258131753606e-05,-4.64733170409459
"56","contain",3.52211890673429e-05,0.0105001742767515,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,8.21975394252224
"57","continu",0.00250070442378135,4.35691878703381e-05,0.000661375661375662,3.52708803611738e-05,2.74258131753606e-05,-5.8428825132124
"58","control",0.00144406875176106,4.35691878703381e-05,0.00286596119929453,3.52708803611738e-05,2.74258131753606e-05,-5.0506873983258
"59","cool",0.00250070442378135,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-5.8428825132124
"60","core",0.00285291631445477,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-6.03298539659234
"61","cost",0.00390955198647506,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-6.48755126005782
"62","countri",0.00848830656522964,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-7.60602472993768
"63","cour",0.00285291631445477,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-6.03298539659234
"64","coverag",0.00250070442378135,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-5.8428825132124
"65","crazi",3.52211890673429e-05,0.00135064482398048,3.14940791131267e-05,0.000387979683972912,2.74258131753606e-05,5.26106091667916
"66","creat",0.00778388278388278,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,0.00414129778947946,-7.48103795309915
"67","creation",0.00144406875176106,4.35691878703381e-05,0.000346434870244394,3.52708803611738e-05,2.74258131753606e-05,-5.0506873983258
"68","crowd",3.52211890673429e-05,0.00222202858138724,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,5.97928994826378
"69","custom",0.00778388278388278,4.35691878703381e-05,3.14940791131267e-05,0.000387979683972912,2.74258131753606e-05,-7.48103795309915
"70","cyclic",3.52211890673429e-05,0.00178633670268386,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,5.66441661091037
"71","deal",0.00355734009580164,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-6.35134687645951
"72","debat",3.52211890673429e-05,0.00352910421749739,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,6.64671460917691
"73","decad",0.00144406875176106,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-5.0506873983258
"74","deep",0.00109185686108763,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-4.64733170409459
"75","definit",0.00355734009580164,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-6.35134687645951
"76","degr",3.52211890673429e-05,0.00483617985360753,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,7.10128047264239
"77","demo",0.00144406875176106,4.35691878703381e-05,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,-5.0506873983258
"78","denial",3.52211890673429e-05,0.00352910421749739,3.14940791131267e-05,3.52708803611738e-05,2.74258131753606e-05,6.64671460917691
