"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abil",1.38213180008846e-05,0.00106172987199426,0.00256501875909242,3.26562602050813e-05,1.23149676116352e-05,6.26337775078717
"2","abl",1.38213180008846e-05,0.00435159708099055,0.000523212781705418,3.26562602050813e-05,0.00641609812566193,8.29850597419077
"3","accel",0.00167237947810703,1.49539418590741e-05,0.000650825655292106,3.26562602050813e-05,1.23149676116352e-05,-6.8052326059921
"4","access",1.38213180008846e-05,0.00210850580212944,0.00447921186289273,3.26562602050813e-05,0.000135464643727987,7.25318198368128
"5","account",0.000428460858027422,0.00405251824380907,1.27612873586688e-05,3.26562602050813e-05,1.23149676116352e-05,3.24158336224948
"6","across",0.00388379035824856,0.00165988754635722,1.27612873586688e-05,3.26562602050813e-05,0.00161326075712421,-1.22637982258833
"7","act",0.00139595311808934,1.49539418590741e-05,1.27612873586688e-05,3.26562602050813e-05,1.23149676116352e-05,-6.5445808514693
"8","action",0.0012577399380805,0.00136080870917574,1.27612873586688e-05,3.26562602050813e-05,1.23149676116352e-05,0.11363063128249
"9","activ",0.00222523219814241,1.49539418590741e-05,0.00218218013833236,3.26562602050813e-05,1.23149676116352e-05,-7.21728624683213
"10","actual",0.00208701901813357,0.00165988754635722,0.0067762435874531,3.26562602050813e-05,0.0154060244821556,-0.330358241692484
"11","address",1.38213180008846e-05,0.00315528173226462,0.000523212781705418,3.26562602050813e-05,1.23149676116352e-05,7.83472981998967
"12","admin",1.38213180008846e-05,0.00180942696494796,1.27612873586688e-05,3.26562602050813e-05,1.23149676116352e-05,7.03249386855708
"13","advantag",1.38213180008846e-05,0.00151034812776648,0.00192695439115898,3.26562602050813e-05,1.23149676116352e-05,6.77184211403428
"14","ahead",0.00305451127819549,0.00151034812776648,1.27612873586688e-05,3.26562602050813e-05,1.23149676116352e-05,-1.01606044535715
"15","algorithm",0.00111952675807165,0.000164493360449815,0.000650825655292106,3.26562602050813e-05,1.23149676116352e-05,-2.76678775296484
"16","allow",0.0027780849181778,0.0074919248713961,0.00154411577039892,3.26562602050813e-05,1.23149676116352e-05,1.43124573329877
"17","alreadi",0.000290247678018576,0.00210850580212944,1.27612873586688e-05,3.26562602050813e-05,0.00161326075712421,2.86086456090252
"18","alright",1.38213180008846e-05,0.00165988754635722,1.27612873586688e-05,3.26562602050813e-05,1.23149676116352e-05,6.9080464976326
"19","amount",0.00153416629809819,0.000762651034812777,0.00141650289681223,3.26562602050813e-05,1.23149676116352e-05,-1.00835989309612
"20","analyt",1.38213180008846e-05,0.00345436056944611,0.000395599908118731,3.26562602050813e-05,0.000751213024309746,7.96537967269855
"21","analyz",0.000704887218045113,0.00240758463931092,1.27612873586688e-05,3.26562602050813e-05,1.23149676116352e-05,1.77212216742561
"22","announc",1.38213180008846e-05,0.00165988754635722,0.000140374160945356,3.26562602050813e-05,0.00149011108100786,6.9080464976326
"23","anoth",0.00291629809818664,0.00255712405790166,1.27612873586688e-05,0.000359218862255895,0.00173641043324056,-0.189616042538797
"24","api",0.00858303847854931,0.000613111616222036,1.27612873586688e-05,3.26562602050813e-05,0.00247530848993867,-3.80726682231991
"25","app",0.00153416629809819,0.0124267256848905,0.00179934151757229,3.26562602050813e-05,1.23149676116352e-05,3.01791943170273
"26","appian",0.00194880583812472,1.49539418590741e-05,1.27612873586688e-05,3.26562602050813e-05,1.23149676116352e-05,-7.0259207211163
"27","appli",0.00319272445820433,1.49539418590741e-05,1.27612873586688e-05,3.26562602050813e-05,1.23149676116352e-05,-7.73811841013357
"28","applic",0.0117619416187528,0.00599653068548869,0.0169852734743881,3.26562602050813e-05,1.23149676116352e-05,-0.971926263948553
"29","architectur",0.00291629809818664,0.000314032779040555,1.27612873586688e-05,3.26562602050813e-05,0.000381763995960691,-3.21515113464593
"30","area",0.00111952675807165,0.000314032779040555,1.27612873586688e-05,3.26562602050813e-05,0.00124381172877515,-1.83390194882337
"31","arm",1.38213180008846e-05,0.00136080870917574,1.27612873586688e-05,0.00101234406635752,1.23149676116352e-05,6.62142527148119
"32","assess",1.38213180008846e-05,0.00210850580212944,1.27612873586688e-05,3.26562602050813e-05,1.23149676116352e-05,7.25318198368128
"33","attack",1.38213180008846e-05,0.00136080870917574,0.000267987034532044,3.26562602050813e-05,1.23149676116352e-05,6.62142527148119
"34","authent",1.38213180008846e-05,0.00106172987199426,1.27612873586688e-05,3.26562602050813e-05,1.23149676116352e-05,6.26337775078717
"35","autom",0.00678626713843432,1.49539418590741e-05,1.27612873586688e-05,3.26562602050813e-05,0.00099751237654245,-8.8259485830322
"36","avail",0.0012577399380805,1.49539418590741e-05,0.00333069600061254,3.26562602050813e-05,0.00124381172877515,-6.39416400891621
"37","awesom",0.00111952675807165,1.49539418590741e-05,1.27612873586688e-05,3.26562602050813e-05,0.000751213024309746,-6.22621937160213
"38","azur",1.38213180008846e-05,0.0412878334729035,1.27612873586688e-05,3.26562602050813e-05,0.0101105884091525,11.5446058038706
