"","V1"
"-cyvS0iC7BY.txt",3
"-qfgapUVG7c.txt",5
"05LCAVMB-t0.txt",5
"0E43_SOapuk.txt",5
"2bGhfJ052OA.txt",2
"4s7T3qLSh9Y.txt",3
"5DcixtkUDos.txt",1
"7reRWSROBrU.txt",5
"bI-6qXaosHw.txt",4
"bVsSW88FLv8.txt",4
"Dh72e9VfRzk.txt",4
"DSaj9qMwvLI.txt",2
"eRISZlIFtBA.txt",1
"eXgK1gp5Yck.txt",1
"FEx7VLNdX0s.txt",2
"gDMb_kqnJzE.txt",1
"grEKMHGYyns.txt",2
"GVUxO92Rs1k.txt",1
"j8ZQ0cuMr1k.txt",4
"jlLUuX2a0Cg.txt",3
"LgOKYM-CKv8.txt",4
"ndRRVUvLne0.txt",1
"Ok9v0YYgIG4.txt",3
"Q33ssWrO7zQ.txt",4
"qt7JSizPQQk.txt",4
"U7UkwE-WG1M.txt",1
"V4B7w6DvItA.txt",3
"YdvYQ7BtbfE.txt",4
"YtIPr5K8Okk.txt",5
"ZY1BFv8qEeM.txt",3
