"","x"
"nanotub",137
"carbon",127
"use",78
"vector",71
"tube",66
"graphen",52
"structur",46
"atom",42
"time",40
"chiral",37
"let",34
"materi",34
"sheet",32
"hand",31
"now",29
"tri",29
"need",28
"call",27
"silk",27
"function",26
"nanomateri",26
"properti",25
"creat",23
"small",22
"black",21
"don",21
"reaction",21
"spider",21
"group",20
"mean",20
"mirror",20
"singl",20
"technolog",20
"actual",19
"anoth",19
"differ",19
"equiv",18
"lattic",18
"light",18
"origin",18
"someth",18
"acid",17
"electron",17
"form",17
"help",17
"natur",17
"product",17
"research",17
"think",17
"wall",17
"work",17
"angl",16
"engin",16
"process",16
"topic",16
"arm",15
"film",15
"fold",15
"heat",15
"known",15
"molecul",15
"problem",15
"produc",15
"show",15
"transistor",15
"bond",14
"circumf",14
"comput",14
"end",14
"mechan",14
"roll",14
"applic",13
"cell",13
"electr",13
"fiber",13
"gate",13
"high",13
"import",13
"print",13
"project",13
"along",12
"becom",12
"chemic",12
"cube",12
"dna",12
"domain",12
"exampl",12
"keep",12
"made",12
"modif",12
"plane",12
"realli",12
"scientist",12
"size",12
"surfac",12
"water",12
"base",11
"better",11
"chang",11
"design",11
"exact",11
"first",11
"human",11
"modifi",11
"oxid",11
"potenti",11
"zigzag",11
"addit",10
"amino",10
"axi",10
"com",10
"conduct",10
"fact",10
"find",10
"line",10
"mani",10
"smaller",10
"super",10
"zero",10
"artist",9
"build",9
"control",9
"coval",9
"develop",9
"discuss",9
"effect",9
"fibroin",9
"layer",9
"leav",9
"left",9
"mayb",9
"name",9
"point",9
"polym",9
"regen",9
"schwarzit",9
"thank",9
"togeth",9
"world",9
"allow",8
"armchair",8
"batteri",8
"carboxyl",8
"cnt",8
"coat",8
"cour",8
"current",8
"dot",8
"edg",8
"flexibl",8
"graphit",8
"heater",8
"interest",8
"lead",8
"multi",8
"notat",8
"one",8
"plus",8
"side",8
"strength",8
"abl",7
"alreadi",7
"appli",7
"area",7
"basi",7
"big",7
"bring",7
"close",7
"cool",7
"easi",7
"energi",7
"essenti",7
"ethanol",7
"fuel",7
"good",7
"hexagon",7
"learn",7
"measur",7
"method",7
"might",7
"move",7
"nanosc",7
"nitric",7
"particl",7
"percent",7
"probabl",7
"react",7
"result",7
"scienc",7
"sen",7
"sinc",7
"space",7
"start",7
"tini",7
"ujet",7
"video",7
"watch",7
"websit",7
"well",7
"act",6
"alkyl",6
"altern",6
"aromat",6
"attach",6
"bit",6
"bodi",6
"charg",6
"cnts",6
"combin",6
"compound",6
"degr",6
"diamet",6
"fabric",6
"four",6
"generat",6
"given",6
"happen",6
"idea",6
"improv",6
"increa",6
"interact",6
"larg",6
"liter",6
"littl",6
"long",6
"mark",6
"microscop",6
"movement",6
"nanomet",6
"nanotechnolog",6
"neighbor",6
"poli",6
"protein",6
"relat",6
"scooter",6
"sensor",6
"set",6
"sever",6
"shown",6
"smart",6
"spray",6
"step",6
"stop",6
"strong",6
"system",6
"term",6
"tool",6
"top",6
"treat",6
"absorb",5
"add",5
"alway",5
"awesom",5
"beta",5
"bigger",5
"chip",5
"circuit",5
"classif",5
"clear",5
"common",5
"compon",5
"composit",5
"contact",5
"cost",5
"curvatur",5
"day",5
"defin",5
"distanc",5
"drawn",5
"effici",5
"equal",5
"exerci",5
"express",5
"figur",5
"final",5
"frame",5
"futur",5
"give",5
"identifi",5
"insid",5
"liquid",5
"low",5
"match",5
"music",5
"nano",5
"nanocarbon",5
"nanoparticl",5
"near",5
"non",5
"often",5
"onto",5
"open",5
"optic",5
"part",5
"particular",5
"peopl",5
"perfect",5
"perform",5
"perpendicular",5
"printer",5
"reach",5
"reduc",5
"remot",5
"requir",5
"similar",5
"solid",5
"solv",5
"solvent",5
"taken",5
"temperatur",5
"test",5
"thermal",5
"though",5
"thousand",5
"tunnel",5
"turn",5
"uniqu",5
"varieti",5
"wheel",5
"wherea",5
"wide",5
"year",5
"abil",4
"absent",4
"acyl",4
"airplan",4
"alon",4
"alpha",4
"amin",4
"andrew",4
"arduino",4
"beer",4
"best",4
"bottl",4
"cabl",4
"car",4
"carrier",4
"chair",4
"chlorid",4
"compar",4
"complet",4
"concentr",4
"condit",4
"cycloaddit",4
"dain",4
"demonstr",4
"deriv",4
"descript",4
"devic",4
"diazonium",4
"direct",4
"disrupt",4
"draw",4
"episod",4
"ever",4
"except",4
"exhibit",4
"explain",4
"far",4
"faster",4
"fine",4
"flow",4
"forc",4
"forward",4
"gold",4
"hybrid",4
"hydrophob",4
"ice",4
"imagin",4
"implant",4
"induc",4
"instead",4
"insulin",4
"involv",4
"journal",4
"larger",4
"last",4
"length",4
"level",4
"like",4
"limpet",4
"local",4
"lower",4
"main",4
"negat",4
"noth",4
"object",4
"occur",4
"paper",4
"parallel",4
"pass",4
"past",4
"perspect",4
"phase",4
"physic",4
"play",4
"possibl",4
"present",4
"pretti",4
"primit",4
"pull",4
"quit",4
"rang",4
"reflect",4
"repr",4
"robot",4
"room",4
"scale",4
"secondari",4
"select",4
"shape",4
"shrink",4
"silver",4
"sometim",4
"sound",4
"stabl",4
"stack",4
"strongest",4
"studi",4
"stuff",4
"supercapacitor",4
"tail",4
"team",4
"tech",4
"textil",4
"theta",4
"thin",4
"thought",4
"today",4
"took",4
"transpar",4
"treatment",4
"type",4
"unit",4
"vapor",4
"version",4
"voltag",4
"web",4
"whole",4
"wing",4
"won",4
"wrap",4
"yeah",4
"acryl",3
"ain",3
"air",3
"alanin",3
"although",3
"amaz",3
"amid",3
"amorph",3
"amount",3
"amphiphil",3
"analysi",3
"anneal",3
"anyth",3
"appear",3
"asymmetr",3
"attack",3
"bio",3
"biomolecul",3
"board",3
"bottom",3
"break",3
"bulk",3
"cap",3
"case",3
"caus",3
"center",3
"centimet",3
"chemistri",3
"classifi",3
"clean",3
"code",3
"coher",3
"color",3
"comment",3
"commerci",3
"concept",3
"connect",3
"construct",3
"contain",3
"crystal",3
"data",3
"defect",3
"degrad",3
"depend",3
"dimens",3
"discov",3
"discoveri",3
"disea",3
"due",3
"earth",3
"elev",3
"enough",3
"entir",3
"even",3
"everyth",3
"expen",3
"eye",3
"fail",3
"fall",3
"fire",3
"found",3
"fulleren",3
"functionali",3
"general",3
"glycin",3
"gross",3
"grow",3
"hard",3
"helix",3
"higher",3
"hold",3
"horizont",3
"howev",3
"humankind",3
"imag",3
"includ",3
"incorpor",3
"individu",3
"industri",3
"inkjet",3
"inspir",3
"inter",3
"isn",3
"italian",3
"join",3
"less",3
"limit",3
"literatur",3
"lithium",3
"load",3
"love",3
"manag",3
"mass",3
"matter",3
"may",3
"medicin",3
"microwav",3
"model",3
"nearbi",3
"noi",3
"nuclear",3
"nucleophil",3
"offer",3
"oil",3
"over",3
"pack",3
"paint",3
"parchment",3
"phenol",3
"phone",3
"phospholipid",3
"pick",3
"polyamid",3
"posit",3
"power",3
"promi",3
"protect",3
"pyren",3
"random",3
"rapid",3
"reactiv",3
"recent",3
"red",3
"rememb",3
"role",3
"safe",3
"scientif",3
"second",3
"seeker",3
"seem",3
"separ",3
"share",3
"silicon",3
"simpl",3
"solubl",3
"solut",3
"somebodi",3
"soon",3
"sort",3
"sourc",3
"special",3
"specif",3
"sphere",3
"stage",3
"store",3
"strand",3
"stronger",3
"studio",3
"sulfur",3
"switch",3
"symmetr",3
"talk",3
"techniqu",3
"teeth",3
"tell",3
"touch",3
"tough",3
"true",3
"tune",3
"understand",3
"vacuum",3
"van",3
"visual",3
"weight",3
"without",3
"wow",3
"yet",3
"zeolit",3
"absolut",2
"accid",2
"across",2
"advantag",2
"ahead",2
"aka",2
"alder",2
"apart",2
"arrang",2
"assess",2
"assist",2
"asteroid",2
"attent",2
"averag",2
"away",2
