"","V1"
"1zuyMaSb9G8.txt",5
"5E2m70EPDJ0.txt",4
"5eXNfmARvsQ.txt",5
"9PAAMaBzlEY.txt",5
"b_K0iOsK_1o.txt",5
"biE3FFDOwE4.txt",3
"Bk_p655GVfQ.txt",4
"bND4P7GDiSU.txt",5
"CBsHwdKCEKM.txt",2
"COD4jl8YaMQ.txt",1
"eRtB9N3tl8U.txt",5
"et72lMolnIU.txt",5
"GA6IsINAX6U.txt",5
"gIv344mkE-c.txt",5
"hkPc2BfYblA.txt",5
"jLQ8d3bCiB4.txt",5
"KHhawCJkx_g.txt",3
"LqvSNb5bzGI.txt",3
"NaGnMWBQMBE.txt",1
"nMU2hfvbLzE.txt",2
"Nsfe5swTCaQ.txt",3
"ogDERx8g0U4.txt",4
"ON2e1VsBhJk.txt",5
"SL1JrUX1tZs.txt",4
"vucZJOfHpog.txt",3
"W8HWZcuutwY.txt",5
"YsJw_-R5Qto.txt",4
"ZBG8ZJZf0so.txt",5
