"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","accuraci",0.000203222528668892,0.00212371481543907,8.76155429973277e-06,0.000153469507070559,0.000920270161181821,3.38545779667617
"2","across",9.67726326994727e-06,0.00226818521104717,8.76155429973277e-06,7.30807176526474e-06,0.000758819255711326,7.87272362351019
"3","action",9.67726326994727e-06,0.0033276347788399,0.000271608183291716,7.30807176526474e-06,5.38169684901649e-06,8.42568227428567
"4","activ",0.00252576571345623,0.00106426524764634,8.76155429973277e-06,0.000299630942375854,0.00431073917606221,-1.24686306328104
"5","actual",0.00397735520394832,0.0117550745226457,0.0100845489989924,0.0114079000255782,0.00554852945133601,1.56340236999688
"6","add",9.67726326994727e-06,0.00226818521104717,0.000446839269286371,8.03887894179121e-05,5.38169684901649e-06,7.87272362351019
"7","addit",9.67726326994727e-06,0.00120873564325444,8.76155429973277e-06,0.000153469507070559,5.38169684901649e-06,6.96468392784818
"8","adjust",9.67726326994727e-06,0.0013050492403265,8.76155429973277e-06,7.30807176526474e-06,5.38169684901649e-06,7.07528941525128
"9","advantag",0.00204190254995887,5.29724783896367e-05,8.76155429973277e-06,7.30807176526474e-06,5.38169684901649e-06,-5.26852719617248
"10","adversari",0.00146126675376204,4.81567985360333e-06,8.76155429973277e-06,7.30807176526474e-06,0.000758819255711326,-8.24526436542767
"11","algebra",0.00242899308075676,4.81567985360333e-06,8.76155429973277e-06,7.30807176526474e-06,5.38169684901649e-06,-8.97840318005336
"12","algorithm",0.00233222044805729,0.00039007006814187,8.76155429973277e-06,0.00351518251909234,0.0015660737830638,-2.57989895944793
"13","allow",9.67726326994727e-06,0.00111242204618237,0.000797301441275682,7.30807176526474e-06,0.00194279256249495,6.84488941531347
"14","along",0.00010644989596942,0.00106426524764634,0.000797301441275682,0.000372711660028501,5.38169684901649e-06,3.32161131465154
"15","alpha",0.000203222528668892,0.00226818521104717,8.76155429973277e-06,7.30807176526474e-06,5.38169684901649e-06,3.48040620073143
"16","alreadi",0.00049354042676731,0.0014495196359346,0.0014982257852543,0.000591953812986443,5.38169684901649e-06,1.55433470868562
"17","alway",0.000396767794067838,0.00164214683007874,0.00114776361326499,0.00110351883655498,0.000220649570809676,2.0492162983035
"18","anoth",0.0019451299172594,0.00236449880811924,8.76155429973277e-06,0.00227281031899733,0.00280386405833759,0.281667897033176
"19","anyth",0.000299995161368365,0.00106426524764634,8.76155429973277e-06,0.000738115248291738,0.00081263622420149,1.82684662290197
"20","anyway",9.67726326994727e-06,0.0011605788447184,0.000797301441275682,7.30807176526474e-06,0.000597368350240831,6.90602971012737
"21","appli",0.0019451299172594,0.0026052828007994,0.00114776361326499,7.30807176526474e-06,0.00124317197212281,0.421573466545298
"22","architectur",0.0079450331446267,0.00669861067636223,8.76155429973277e-06,7.30807176526474e-06,5.38169684901649e-06,-0.246191333338156
"23","ask",0.00175158465186045,0.00039007006814187,0.00281245893021422,0.00205356816603939,5.38169684901649e-06,-2.16685551030117
"24","assum",9.67726326994727e-06,0.0011605788447184,0.000622070355281027,0.00124968027186027,5.38169684901649e-06,6.90602971012737
"25","attent",9.67726326994727e-06,0.00337579157737594,8.76155429973277e-06,7.30807176526474e-06,5.38169684901649e-06,8.44641100790803
"26","ball",0.00271931097885518,5.29724783896367e-05,8.76155429973277e-06,7.30807176526474e-06,5.38169684901649e-06,-5.68185432768622
"27","band",0.00126772148836309,4.81567985360333e-06,9.63770972970604e-05,7.30807176526474e-06,0.000220649570809676,-8.04028262764004
"28","basic",0.00504185416364252,0.00525390672028123,0.00605423402111534,0.0045383125662294,0.00118935500363265,0.0594361979425087
"29","becom",0.00010644989596942,0.00169030362861477,0.00088491698427301,0.00198048744838674,0.000113015633829346,3.98903597556467
"30","best",0.00281608361155465,0.0013050492403265,0.000183992640294388,7.30807176526474e-06,5.38169684901649e-06,-1.109585927657
"31","better",9.67726326994727e-06,0.00308685078615973,0.00106014807026767,0.00322285964848175,5.38169684901649e-06,8.31732092051615
"32","bias",0.00146126675376204,0.00096795165057427,8.76155429973277e-06,0.000226550224723207,5.38169684901649e-06,-0.59421267424874
"33","big",9.67726326994727e-06,0.00236449880811924,0.00184868795724362,7.30807176526474e-06,0.00205042649947528,7.9327195882121
"34","blue",0.00204190254995887,0.000919794852038236,0.000534454812283699,0.000153469507070559,0.000866453192691655,-1.15052998677403
"35","bound",0.00223544781535782,4.81567985360333e-06,8.76155429973277e-06,7.30807176526474e-06,5.91986653391814e-05,-8.85860866751865
"36","boundari",0.00213867518265834,0.00010112927692567,0.000183992640294388,7.30807176526474e-06,5.38169684901649e-06,-4.40244476271526
"37","break",0.00136449412106256,4.81567985360333e-06,9.63770972970604e-05,7.30807176526474e-06,5.38169684901649e-06,-8.14641097850138
"38","bunch",0.00175158465186045,4.81567985360333e-06,0.00123537915626232,8.03887894179121e-05,0.00129698894061298,-8.5067055131858
"39","calcul",9.67726326994727e-06,0.00140136283739857,8.76155429973277e-06,7.30807176526474e-06,5.38169684901649e-06,7.17801571680569
"40","call",9.67726326994727e-06,0.00496496592906504,8.76155429973277e-06,0.00278437534256586,0.00576379732529666,9.00296899126552
"41","came",0.000590313059466783,0.00135320603886254,8.76155429973277e-06,7.30807176526474e-06,5.38169684901649e-06,1.19682935655545
"42","capac",0.00117094885566362,4.81567985360333e-06,8.76155429973277e-06,0.000738115248291738,5.38169684901649e-06,-7.92572286337718
"43","captur",0.00291285624425413,4.81567985360333e-06,0.0030753055592062,7.30807176526474e-06,5.38169684901649e-06,-9.24047930286229
"44","care",0.00010644989596942,0.00222002841251114,0.000359223726289044,7.30807176526474e-06,5.38169684901649e-06,4.38233169568945
"45","case",0.00388058257124885,0.0041944571524885,0.00263722784421956,0.00110351883655498,0.00135080590910314,0.112210856041354
"46","cell",0.00010644989596942,0.00327947798030387,8.76155429973277e-06,7.30807176526474e-06,5.38169684901649e-06,4.94521974327218
"47","certain",0.00436444573474621,0.00140136283739857,0.000359223726289044,7.30807176526474e-06,0.00151225681457364,-1.63896790644969
"48","cetera",0.00117094885566362,4.81567985360333e-06,8.76155429973277e-06,7.30807176526474e-06,5.38169684901649e-06,-7.92572286337718
"49","chang",0.00010644989596942,0.00299053718908767,8.76155429973277e-06,0.00198048744838674,0.00129698894061298,4.81215821348059
"50","charact",0.0047515362655441,4.81567985360333e-06,8.76155429973277e-06,7.30807176526474e-06,5.38169684901649e-06,-9.94643884041728
"51","check",0.00117094885566362,4.81567985360333e-06,8.76155429973277e-06,0.000884276683597033,0.000651185318730996,-7.92572286337718
"52","choo",0.00136449412106256,0.000293756471069803,8.76155429973277e-06,0.000518873095333796,5.38169684901649e-06,-2.2156736409385
"53","circl",0.00165481201916098,5.29724783896367e-05,8.76155429973277e-06,7.30807176526474e-06,0.000113015633829346,-4.96528052235119
"54","class",0.00842889630812406,4.81567985360333e-06,8.76155429973277e-06,0.000299630942375854,0.000220649570809676,-10.7733885347015
"55","classic",0.00136449412106256,4.81567985360333e-06,0.000271608183291716,0.00234589103664998,5.38169684901649e-06,-8.14641097850138
"56","classif",9.67726326994727e-06,0.0013050492403265,8.76155429973277e-06,0.000665034530639091,0.00188897559400479,7.07528941525128
"57","clear",0.00155803938646151,5.29724783896367e-05,8.76155429973277e-06,0.00198048744838674,0.000113015633829346,-4.87834488557991
"58","cluster",0.00165481201916098,4.81567985360333e-06,8.76155429973277e-06,0.00161508386012351,5.38169684901649e-06,-8.42471214098849
"59","collect",0.00262253834615571,4.81567985360333e-06,8.76155429973277e-06,7.30807176526474e-06,5.38169684901649e-06,-9.08900866745646
"60","color",9.67726326994727e-06,0.00164214683007874,8.76155429973277e-06,7.30807176526474e-06,0.000166832602319511,7.40676830292158
"61","combin",9.67726326994727e-06,0.0021718716139751,0.00158584132825163,7.30807176526474e-06,0.00113553803514248,7.81012399715279
"62","complet",9.67726326994727e-06,0.0018829308227589,0.00237438121522758,7.30807176526474e-06,5.38169684901649e-06,7.60416517120476
"63","complex",0.00678376155223303,0.000775324456430137,8.76155429973277e-06,7.30807176526474e-06,5.91986653391814e-05,-3.1292133819986
"64","compon",0.00639667102143514,4.81567985360333e-06,8.76155429973277e-06,7.30807176526474e-06,5.38169684901649e-06,-10.3753660876103
"65","comput",0.00988048579861615,0.00612072909392984,8.76155429973277e-06,0.00760770270764059,0.000543551381750666,-0.690878461975432
"66","condit",0.00136449412106256,4.81567985360333e-06,8.76155429973277e-06,0.00139584170716556,5.38169684901649e-06,-8.14641097850138
"67","connect",0.00929985000241931,0.0033276347788399,9.63770972970604e-05,7.30807176526474e-06,5.38169684901649e-06,-1.48271034648808
"68","continu",0.00223544781535782,0.00096795165057427,8.76155429973277e-06,7.30807176526474e-06,0.000328283507790006,-1.20755697633972
"69","control",0.00010644989596942,0.0011605788447184,8.76155429973277e-06,0.00212664888369204,5.91986653391814e-05,3.44659809149007
"70","converg",0.00126772148836309,0.00053454046374997,8.76155429973277e-06,0.00117659955420762,5.38169684901649e-06,-1.24586676128994
"71","cool",0.00252576571345623,4.81567985360333e-06,9.63770972970604e-05,7.30807176526474e-06,0.000435917444770336,-9.03476562267248
"72","correct",0.00136449412106256,4.81567985360333e-06,8.76155429973277e-06,7.30807176526474e-06,0.00151225681457364,-8.14641097850138
"73","correspond",0.00165481201916098,0.000197442873997736,0.000709685898278354,7.30807176526474e-06,0.000597368350240831,-3.06716013637041
"74","cost",9.67726326994727e-06,0.0023163420095832,8.76155429973277e-06,7.30807176526474e-06,5.38169684901649e-06,7.90303345766745
"75","cour",9.67726326994727e-06,0.00154583323300667,8.76155429973277e-06,0.00329594036613439,0.000328283507790006,7.31956986101971
"76","current",9.67726326994727e-06,0.00207555801690304,0.00106014807026767,7.30807176526474e-06,5.38169684901649e-06,7.74468443298651
"77","cut",0.00126772148836309,4.81567985360333e-06,0.000271608183291716,7.30807176526474e-06,5.38169684901649e-06,-8.04028262764004
"78","data",0.0201383848647602,4.81567985360333e-06,0.00491523196215008,0.0132349179668944,0.0171191776767215,-12.0299208758379
"79","dataset",0.00523539942904147,0.00053454046374997,8.76155429973277e-06,7.30807176526474e-06,0.000274466539299841,-3.2919285435793
"80","day",9.67726326994727e-06,0.0014495196359346,0.000972532527270338,0.000299630942375854,5.38169684901649e-06,7.22676005065711
