"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abil",0.00231235458018556,1.48134980594318e-05,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,-7.28630647090005
"2","abl",0.0021687300720995,0.000903623381625337,0.00298437963002159,0.00338334804354222,0.00122254288920956,-1.26305699454763
"3","across",0.0028868526125298,1.48134980594318e-05,2.11658129788765e-05,0.00107174379019039,2.00416867083534e-05,-7.60644128396436
"4","action",0.00159423203975526,1.48134980594318e-05,2.11658129788765e-05,0.0019123271550456,2.00416867083534e-05,-6.74980545913554
"5","actual",0.0036049751529601,0.0152727164992741,0.00340769588959912,0.00737611902660446,2.00416867083534e-05,2.0828954706319
"6","adapt",1.4362450808606e-05,0.00119989334281397,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,6.38446041009919
"7","add",1.4362450808606e-05,0.00119989334281397,0.000656140202345172,0.0017021813138318,2.00416867083534e-05,6.38446041009919
"8","addit",0.0014506075316692,1.48134980594318e-05,0.000232823942767642,2.10145841213802e-05,2.00416867083534e-05,-6.61360107553723
"9","agil",0.0028868526125298,1.48134980594318e-05,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,-7.60644128396436
"10","algorithm",0.00116335851549708,1.48134980594318e-05,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,-6.29523959567006
"11","alreadi",1.4362450808606e-05,0.00282937812935147,0.00192608898107776,0.0017021813138318,2.00416867083534e-05,7.62203923525032
"12","alway",0.00317410162870192,1.48134980594318e-05,0.00150277272150023,0.00254276467868701,2.00416867083534e-05,-7.74329215217686
"13","amount",0.00245597908827162,1.48134980594318e-05,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,-7.37324210767133
"14","analyt",1.4362450808606e-05,0.00623648268302077,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,8.76228683028096
"15","anomali",1.4362450808606e-05,0.00164429828459693,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,6.83902627356467
"16","anoth",0.00231235458018556,0.000903623381625337,0.00150277272150023,2.10145841213802e-05,0.000420875420875421,-1.35556913333717
"17","answer",0.00116335851549708,0.00164429828459693,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,0.499176270680049
"18","anyth",1.4362450808606e-05,0.0022368382069742,0.00213774711086653,2.10145841213802e-05,0.000220458553791887,7.28301514653965
"19","anywh",1.4362450808606e-05,0.00119989334281397,2.11658129788765e-05,0.000441306266548985,2.00416867083534e-05,6.38446041009919
"20","appli",1.4362450808606e-05,0.00134802832340829,2.11658129788765e-05,0.00296305636111461,0.000821709155042489,6.55240504741326
"21","applic",1.4362450808606e-05,0.00134802832340829,2.11658129788765e-05,0.00128188963140419,0.00543129709796377,6.55240504741326
"22","approach",0.00346135064487404,1.48134980594318e-05,2.11658129788765e-05,0.000231160425335183,2.00416867083534e-05,-7.86827892901539
"23","appropri",0.00101973400741102,1.48134980594318e-05,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,-6.10513671229011
"24","architectur",0.00159423203975526,1.48134980594318e-05,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,-6.74980545913554
"25","area",0.00446672220147646,1.48134980594318e-05,2.11658129788765e-05,0.00296305636111461,2.00416867083534e-05,-8.23616036291603
"26","ask",1.4362450808606e-05,0.00416259295470032,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,8.17903672743549
"27","aspect",0.0021687300720995,1.48134980594318e-05,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,-7.19379433211051
"28","asset",0.0158130583402752,0.000459218439842384,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,-5.10579203596293
"29","avail",0.00116335851549708,1.48134980594318e-05,0.0010794564619227,0.00128188963140419,0.00182379349046016,-6.29523959567006
"30","background",1.4362450808606e-05,0.00105175836221965,2.11658129788765e-05,0.000231160425335183,2.00416867083534e-05,6.19435752671925
"31","base",0.000157986958894666,0.00327378307113442,2.11658129788765e-05,2.10145841213802e-05,0.00964005130671797,4.3730813479687
"32","basi",1.4362450808606e-05,0.00194056824578556,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,7.07803340875202
"33","becaus",0.0021687300720995,1.48134980594318e-05,2.11658129788765e-05,2.10145841213802e-05,0.000420875420875421,-7.19379433211051
"34","becom",0.00202510556401344,0.00149616330400261,0.000232823942767642,2.10145841213802e-05,0.000220458553791887,-0.436729462432433
"35","believ",0.0014506075316692,1.48134980594318e-05,0.000867798332133937,0.000441306266548985,0.000420875420875421,-6.61360107553723
"36","benefit",0.00130698302358314,1.48134980594318e-05,2.11658129788765e-05,2.10145841213802e-05,0.000821709155042489,-6.46318423298413
"37","best",0.0021687300720995,1.48134980594318e-05,2.11658129788765e-05,2.10145841213802e-05,0.00282587782587783,-7.19379433211051
"38","better",0.00417947318530434,1.48134980594318e-05,0.00573593531727554,2.10145841213802e-05,2.00416867083534e-05,-8.14026493569372
"39","beyond",0.00130698302358314,0.000162948478653749,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,-3.00375261434683
"40","big",0.0021687300720995,0.000162948478653749,0.00531261905769801,2.10145841213802e-05,2.00416867083534e-05,-3.73436271347321
"41","biggest",1.4362450808606e-05,0.00105175836221965,0.0010794564619227,2.10145841213802e-05,0.000220458553791887,6.19435752671925
"42","bit",0.00202510556401344,1.48134980594318e-05,0.00721754222579689,2.10145841213802e-05,2.00416867083534e-05,-7.09494094518423
"43","bitcoin",0.00116335851549708,1.48134980594318e-05,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,-6.29523959567006
"44","blockchain",0.0028868526125298,1.48134980594318e-05,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,-7.60644128396436
"45","blue",1.4362450808606e-05,0.00105175836221965,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,6.19435752671925
"46","board",0.00130698302358314,1.48134980594318e-05,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,-6.46318423298413
"47","break",0.00130698302358314,1.48134980594318e-05,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,-6.46318423298413
"48","bring",0.00389222416913222,1.48134980594318e-05,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,-8.0375386341393
"49","build",0.000732484991238905,0.0111249370426332,2.11658129788765e-05,0.00674568150296306,0.000220458553791887,3.92485416275734
"50","built",1.4362450808606e-05,0.00179243326519124,0.000444482072556407,0.00338334804354222,2.00416867083534e-05,6.96347364448916
"51","busi",0.00805733490362795,1.48134980594318e-05,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,-9.08724655339423
"52","call",0.00274322810444374,0.00179243326519124,0.00192608898107776,2.10145841213802e-05,0.00222462722462722,-0.613955183546588
"53","came",1.4362450808606e-05,0.00105175836221965,0.00150277272150023,2.10145841213802e-05,2.00416867083534e-05,6.19435752671925
"54","campus",0.00101973400741102,1.48134980594318e-05,2.11658129788765e-05,2.10145841213802e-05,2.00416867083534e-05,-6.10513671229011
"55","capabl",0.00245597908827162,0.000162948478653749,2.11658129788765e-05,2.10145841213802e-05,0.000621292287958955,-3.91381048903403
