"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abil",0.0021748281184229,7.89639924194567e-05,6.13346418056919e-05,0.00240131193627738,6.67824228663015e-05,-4.78356264149505
"2","acquir",0.00147327066086712,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-4.22168375388693
"3","act",0.0021748281184229,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-4.78356264149505
"4","actual",0.00568261540620176,7.89639924194567e-05,6.13346418056919e-05,0.00357268361251025,6.67824228663015e-05,-6.1692163339928
"5","adapt",0.00287638557597867,7.89639924194567e-05,6.13346418056919e-05,0.00181562609816095,6.67824228663015e-05,-5.18691833572626
"6","add",7.01557457555773e-05,0.00481680353758686,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,6.10137100645471
"7","age",0.00147327066086712,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-4.22168375388693
"8","aid",0.0021748281184229,7.89639924194567e-05,6.13346418056919e-05,0.000644254421928078,6.67824228663015e-05,-4.78356264149505
"9","allow",7.01557457555773e-05,0.00165824384080859,0.0037414131501472,5.85685838116434e-05,0.00474155202350741,4.56295109167059
"10","almost",7.01557457555773e-05,0.00323752368919773,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,5.52818567350991
"11","along",0.00357794303353444,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-5.50179167307967
"12","among",0.0021748281184229,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-4.78356264149505
"13","ancestor",0.00357794303353444,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-5.50179167307967
"14","anim",0.00287638557597867,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-5.18691833572626
"15","anoth",0.0021748281184229,0.00323752368919773,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,0.573989363123034
"16","anthoni",7.01557457555773e-05,0.00481680353758686,0.00128802747791953,5.85685838116434e-05,6.67824228663015e-05,6.10137100645471
"17","apart",0.0021748281184229,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-4.78356264149505
"18","appreci",0.00147327066086712,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-4.22168375388693
"19","architect",7.01557457555773e-05,0.00165824384080859,6.13346418056919e-05,5.85685838116434e-05,0.000734606651529318,4.56295109167059
"20","arduino",7.01557457555773e-05,0.00244788376500316,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,5.1248299792787
"21","aren",0.00147327066086712,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-4.22168375388693
"22","armi",7.01557457555773e-05,0.00165824384080859,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,4.56295109167059
"23","armor",0.0274308965904308,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-8.44039112841553
"24","ask",7.01557457555773e-05,0.00244788376500316,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,5.1248299792787
"25","assembl",7.01557457555773e-05,0.00402716361339229,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,5.84305901086332
"26","automot",0.00147327066086712,7.89639924194567e-05,6.13346418056919e-05,0.000644254421928078,6.67824228663015e-05,-4.22168375388693
"27","averag",7.01557457555773e-05,0.00244788376500316,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,5.1248299792787
"28","away",7.01557457555773e-05,0.00402716361339229,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,5.84305901086332
"29","basic",0.00147327066086712,7.89639924194567e-05,6.13346418056919e-05,0.00181562609816095,6.67824228663015e-05,-4.22168375388693
"30","becaus",7.01557457555773e-05,0.00323752368919773,6.13346418056919e-05,5.85685838116434e-05,0.000734606651529318,5.52818567350991
"31","begin",7.01557457555773e-05,0.00165824384080859,6.13346418056919e-05,0.000644254421928078,6.67824228663015e-05,4.56295109167059
"32","behind",7.01557457555773e-05,0.00244788376500316,6.13346418056919e-05,5.85685838116434e-05,0.000734606651529318,5.1248299792787
"33","belt",7.01557457555773e-05,0.00323752368919773,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,5.52818567350991
"34","best",0.00147327066086712,7.89639924194567e-05,6.13346418056919e-05,0.00122994026004451,6.67824228663015e-05,-4.22168375388693
"35","better",0.00357794303353444,7.89639924194567e-05,0.00435475956820412,5.85685838116434e-05,6.67824228663015e-05,-5.50179167307967
"36","big",0.0105935176090922,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-7.06777107043325
"37","billion",0.0021748281184229,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-4.78356264149505
"38","bit",7.01557457555773e-05,0.00244788376500316,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,5.1248299792787
"39","bite",0.00357794303353444,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-5.50179167307967
"40","bodi",0.00919040269398063,7.89639924194567e-05,0.00128802747791953,5.85685838116434e-05,0.00941632162414853,-6.86278933264563
"41","bone",0.0133997474393153,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-7.40679515914392
"42","boni",0.00708573032131332,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-6.48757781385997
"43","bothriolepi",0.00147327066086712,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-4.22168375388693
"44","brand",0.00147327066086712,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-4.22168375388693
"45","break",0.0021748281184229,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-4.78356264149505
"46","buck",0.00147327066086712,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-4.22168375388693
"47","built",0.00147327066086712,7.89639924194567e-05,6.13346418056919e-05,5.85685838116434e-05,6.67824228663015e-05,-4.22168375388693
