"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00258887876025524,0.00212784665435681,0.00215304044224615,3.89787565776652e-05,0.00752429519869143,-0.282933218831333
"2","access",0.00477666362807657,1.75855095401389e-05,1.93967607409563e-05,3.89787565776652e-05,0.00175117867795632,-8.0854723381387
"3","accomplish",3.64630811303555e-05,0.00107271608194847,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,4.87868800096164
"4","acr",0.00113035551504102,1.75855095401389e-05,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,-6.00624564698812
"5","actuat",3.64630811303555e-05,0.00124857117734986,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,5.09769778290344
"6","adam",0.00149498632634458,1.75855095401389e-05,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,-6.40960134121933
"7","advanc",0.00258887876025524,1.75855095401389e-05,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,-7.20179645610593
"8","agricultur",0.00915223336371923,1.75855095401389e-05,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,-9.02359289055202
"9","agrotech",0.00222424794895169,1.75855095401389e-05,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,-6.98278667416413
"10","ahead",3.64630811303555e-05,0.00107271608194847,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,4.87868800096164
"11","alicia",3.64630811303555e-05,0.00124857117734986,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,5.09769778290344
"12","allow",0.00113035551504102,1.75855095401389e-05,0.00195907283483658,3.89787565776652e-05,0.00771673241604927,-6.00624564698812
"13","almost",3.64630811303555e-05,0.00107271608194847,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,4.87868800096164
"14","alreadi",0.000765724703737466,0.0023037017497582,1.93967607409563e-05,0.000428766322354317,0.00175117867795632,1.58905624215744
"15","alright",3.64630811303555e-05,0.00353468741756793,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,6.59900235457768
"16","alway",0.00441203281677302,0.000721005891145696,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,-2.61336056925776
"17","amount",3.64630811303555e-05,0.00160028136815264,0.00157113762001746,3.89787565776652e-05,0.000981429808524968,5.45574530359745
"18","analog",3.64630811303555e-05,0.00177613646355403,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,5.60616214615055
"19","analysi",3.64630811303555e-05,0.00160028136815264,0.000407331975560081,3.89787565776652e-05,1.92437217357837e-05,5.45574530359745
"20","analyt",3.64630811303555e-05,0.00283126703596237,1.93967607409563e-05,0.000428766322354317,1.92437217357837e-05,6.27886754151337
"21","analyz",0.00222424794895169,1.75855095401389e-05,1.93967607409563e-05,0.000428766322354317,0.000788992591167132,-6.98278667416413
"22","android",3.64630811303555e-05,0.00177613646355403,0.000601299582969644,3.89787565776652e-05,1.92437217357837e-05,5.60616214615055
"23","angular",3.64630811303555e-05,0.00318297722676514,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,6.44779655048196
"24","answer",3.64630811303555e-05,0.00177613646355403,1.93967607409563e-05,0.00120834145390762,0.000211680939093621,5.60616214615055
"25","anyth",0.00258887876025524,0.00247955684515959,0.000795267190379207,3.89787565776652e-05,1.92437217357837e-05,-0.0622451037071332
"26","app",3.64630811303555e-05,0.0056449485623846,0.00312287847929396,0.00393685441434418,0.00309823919946118,7.27438015052106
"27","appli",0.00149498632634458,0.000193440604941528,1.93967607409563e-05,3.89787565776652e-05,0.00136630424324064,-2.95016972258203
"28","applic",3.64630811303555e-05,0.00670007913479293,1.93967607409563e-05,0.00627557980900409,0.00329067641681901,7.52159785089208
"29","architectur",3.64630811303555e-05,0.00107271608194847,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,4.87868800096164
"30","arduino",3.64630811303555e-05,0.00212784665435681,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,5.86681390067335
"31","area",0.00113035551504102,1.75855095401389e-05,0.00409271651634177,3.89787565776652e-05,0.000981429808524968,-6.00624564698812
"32","aren",0.000401093892433911,0.00160028136815264,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,1.99631368496015
"33","artifici",0.00149498632634458,1.75855095401389e-05,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,-6.40960134121933
"34","ask",0.00185961713764813,0.000545150795744307,0.00234700804965571,3.89787565776652e-05,0.000211680939093621,-1.77027836818587
"35","associ",3.64630811303555e-05,0.00160028136815264,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,5.45574530359745
"36","autom",0.00258887876025524,0.000369295700342917,1.93967607409563e-05,0.000428766322354317,1.92437217357837e-05,-2.80947903332717
"37","away",0.00113035551504102,0.00265541194056098,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,1.23215909233696
"38","awesom",3.64630811303555e-05,0.00124857117734986,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,5.09769778290344
"39","begin",0.00331814038286235,1.75855095401389e-05,0.000213364368150519,3.89787565776652e-05,1.92437217357837e-05,-7.55984397679994
"40","behind",0.00258887876025524,1.75855095401389e-05,1.93967607409563e-05,3.89787565776652e-05,0.000596555373809295,-7.20179645610593
"41","believ",0.00149498632634458,0.000193440604941528,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,-2.95016972258203
"42","benefit",0.0029535095715588,1.75855095401389e-05,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,-7.39189933948587
"43","berri",0.00113035551504102,1.75855095401389e-05,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,-6.00624564698812
"44","best",0.00149498632634458,0.000721005891145696,1.93967607409563e-05,3.89787565776652e-05,0.000981429808524968,-1.05204933660125
"45","better",0.00185961713764813,0.000369295700342917,0.00195907283483658,3.89787565776652e-05,1.92437217357837e-05,-2.33215725579398
"46","biggest",0.00222424794895169,1.75855095401389e-05,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,-6.98278667416413
"47","bigqueri",3.64630811303555e-05,0.0023037017497582,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,5.98137366493621
"48","bigtabl",3.64630811303555e-05,0.00107271608194847,1.93967607409563e-05,3.89787565776652e-05,1.92437217357837e-05,4.87868800096164
