"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","aan",0.00438703701321257,8.26179991572964e-06,4.52716070062339e-06,5.24304117360234e-06,5.37839713008729e-06,-9.05257504158811
"2","aantal",0.00181399477672426,8.26179991572964e-06,4.52716070062339e-06,5.24304117360234e-06,5.37839713008729e-06,-7.77849846496273
"3","abil",1.28652111824416e-05,0.00108229578896058,4.52716070062339e-06,0.000896560040685999,5.37839713008729e-06,6.39447588897351
"4","abl",1.28652111824416e-05,0.00323036376705029,0.000955230907831535,0.00199759868714249,0.00221052122046588,7.97207768474341
"5","access",1.28652111824416e-05,0.00141276778558977,4.52716070062339e-06,0.000581977570269859,0.00059700208143969,6.77890540232196
"6","achiev",1.28652111824416e-05,0.00133014978643247,0.000593058051781664,5.24304117360234e-06,5.37839713008729e-06,6.69196976555068
"7","across",1.28652111824416e-05,0.00124753178727518,4.52716070062339e-06,0.00126357292283816,5.37839713008729e-06,6.59945762676114
"8","advanc",1.28652111824416e-05,0.00174323978221896,4.52716070062339e-06,5.24304117360234e-06,0.00102727385184667,7.08215207614325
"9","afstand",0.00142803844125101,8.26179991572964e-06,4.52716070062339e-06,5.24304117360234e-06,5.37839713008729e-06,-7.43336297891404
"10","afstanden",0.0012993863294266,8.26179991572964e-06,4.52716070062339e-06,5.24304117360234e-06,5.37839713008729e-06,-7.29715859531573
"11","algoritm",0.00181399477672426,8.26179991572964e-06,4.52716070062339e-06,5.24304117360234e-06,5.37839713008729e-06,-7.77849846496273
"12","alic",0.00348647223044166,8.26179991572964e-06,4.52716070062339e-06,0.00073926880547793,5.37839713008729e-06,-8.72109615391781
"13","alleen",0.00142803844125101,8.26179991572964e-06,4.52716070062339e-06,5.24304117360234e-06,5.37839713008729e-06,-7.43336297891404
"14","allow",1.28652111824416e-05,0.00133014978643247,0.00054778644477543,0.00121114251110214,0.00199538533526238,6.69196976555068
"15","along",1.28652111824416e-05,0.00157800378390436,4.97987677068573e-05,0.00121114251110214,5.37839713008729e-06,6.93848171547181
"16","alreadi",1.28652111824416e-05,0.00174323978221896,4.52716070062339e-06,5.24304117360234e-06,0.00301728078997897,7.08215207614325
"17","ander",0.00412973278956374,8.26179991572964e-06,4.52716070062339e-06,5.24304117360234e-06,5.37839713008729e-06,-8.96537659968624
"18","anoth",1.28652111824416e-05,0.00149538578474706,0.00199647786897491,0.00173544662846237,0.00258700901957199,6.86089877451927
"19","apparaten",0.00104208210577777,8.26179991572964e-06,4.52716070062339e-06,5.24304117360234e-06,5.37839713008729e-06,-6.97879711544856
"20","appear",1.28652111824416e-05,0.00108229578896058,4.52716070062339e-06,5.24304117360234e-06,0.000758353995342308,6.39447588897351
"21","architectur",1.28652111824416e-05,0.00463486975272433,4.52716070062339e-06,5.24304117360234e-06,5.37839713008729e-06,8.49290984804485
"22","artifici",1.28652111824416e-05,0.00157800378390436,4.52716070062339e-06,5.24304117360234e-06,0.000328082224935325,6.93848171547181
"23","aspect",0.000141517323006857,0.00149538578474706,4.97987677068573e-05,5.24304117360234e-06,5.37839713008729e-06,3.40146715588197
"24","awar",1.28652111824416e-05,0.00124753178727518,4.52716070062339e-06,5.24304117360234e-06,5.37839713008729e-06,6.59945762676114
"25","base",1.28652111824416e-05,0.00256941977379192,9.50703747130912e-05,5.24304117360234e-06,0.00323241667518246,7.64182365756666
"26","basi",1.28652111824416e-05,0.0030651277687357,4.97987677068573e-05,5.24304117360234e-06,0.000220514282333579,7.89632826405687
"27","behulp",0.00117073421760218,8.26179991572964e-06,4.52716070062339e-06,5.24304117360234e-06,5.37839713008729e-06,-7.14674175276263
"28","belangrijk",0.0012993863294266,8.26179991572964e-06,4.52716070062339e-06,5.24304117360234e-06,5.37839713008729e-06,-7.29715859531573
"29","believ",1.28652111824416e-05,0.00397392575946596,0.00113631733585647,5.24304117360234e-06,5.37839713008729e-06,8.2709459712061
"30","betek",0.00155669055307543,8.26179991572964e-06,4.52716070062339e-06,5.24304117360234e-06,5.37839713008729e-06,-7.55781034983853
"31","beyond",1.28652111824416e-05,0.00190847578053355,4.97987677068573e-05,5.24304117360234e-06,5.37839713008729e-06,7.21280192885212
"32","bij",0.00245725533584634,8.26179991572964e-06,4.52716070062339e-06,5.24304117360234e-06,5.37839713008729e-06,-8.21637594059969
"33","bijvoorbeeld",0.00258590744767075,8.26179991572964e-06,4.52716070062339e-06,5.24304117360234e-06,5.37839713008729e-06,-8.28999880374287
"34","binari",1.28652111824416e-05,0.00108229578896058,0.000140341981719325,5.24304117360234e-06,0.000381866196236198,6.39447588897351
