"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","think","materi","app","cell","servic"
"2","peopl","heal","use","now","data"
"3","realli","road","health","heart","provid"
"4","actual","light","patient","bodi","custom"
"5","need","use","peopl","feel","time"
"6","chang","let","may","day","process"
"7","work","self","care","brain","use"
"8","time","scale","think","don","manag"
"9","import","stuff","mental","gene","need"
"10","someth","surfac","work","turn","now"
"11","talk","machin","video","regen","compon"
"12","now","mean","state","year","center"
"13","differ","sort","interest","que","model"
"14","good","call","actual","tissu","msi"
"15","don","scienc","technolog","energi","applic"
"16","creat","quantum","provid","happen","dir"
"17","build","properti","videoconferenc","emot","problem"
"18","mean","water","don","littl","system"
"19","world","applic","realli","person","technolog"
"20","question","polym","servic","life","busi"
"21","start","appli","medic","stress","differ"
"22","live","print","certain","thought","algorithm"
"23","organ","energi","best","becom","cloud"
"24","better","anoth","clinic","mind","talk"
"25","emot","cour","person","electr","share"
"26","tell","produc","smartphon","sleep","real"
"27","happen","basic","access","give","requir"
"28","abl","clean","littl","long","actual"
"29","feel","electr","team","sit","contract"
"30","place","import","base","signal","today"
"31","communiti","smart","evid","let","secur"
"32","health","structur","group","past","work"
"33","year","liquid","effect","tumor","integr"
"34","valu","car","question","chemic","seri"
"35","challeng","crack","sort","exact","platform"
"36","tri","crystal","studi","human","product"
"37","cultur","emit","differ","muscl","level"
"38","mani","first","first","one","self"
"39","public","plastic","practic","understand","tool"
"40","well","type","today","control","agenc"
"41","love","area","consid","effect","contain"
"42","help","asphalt","inform","experi","may"
"43","day","chang","thank","night","might"
"44","issu","dot","call","anyth","program"
"45","problem","eat","conferenc","approach","compani"
"46","ask","high","substanc","futur","give"
"47","term","increa","find","sound","inform"
"48","connect","made","give","start","kafka"
"49","doesn","signal","bit","tri","oper"
"50","healthcar","size","now","whole","sourc"
"51","leader","differ","research","blood","vendor"
"52","caus","insid","standard","cancer","detect"
"53","abil","led","engag","differ","question"
"54","big","nanotechnolog","help","rest","learn"
"55","countri","potenti","shore","stem","network"
"56","part","technolog","system","begin","scenario"
"57","risk","creat","treatment","damag","base"
"58","set","engin","begin","amaz","comput"
"59","everyth","hand","perhap","enough","perform"
"60","find","hard","point","everyth","procur"
"61","came","layer","program","les","autom"
"62","lead","mani","talk","natur","current"
"63","call","side","virtual","per","don"
"64","end","system","communic","una","exampl"
"65","reason","weight","control","wake","goal"
"66","system","alway","field","matrix","plea"
"67","fact","concret","free","normal","point"
"68","power","design","high","organ","quick"
"69","week","featur","line","yes","softwar"
"70","becom","goe","particular","biolog","yes"
"71","bring","hole","review","environ","develop"
"72","exampl","manufactur","type","everi","environ"
"73","found","mayb","area","hormon","stream"
"74","human","particl","concept","okay","allow"
"75","made","pipe","face","pump","anomali"
"76","posit","reduc","increa","scientist","keep"
"77","thank","activ","jay","welcom","kubernet"
"78","togeth","anim","john","well","let"
"79","across","life","mobil","discov","market"
"80","case","mechan","move","drug","meet"
"81","conver","sever","phone","form","metric"
"82","focus","wall","privaci","keep","show"
"83","solut","achiev","rule","learn","thank"
"84","entir","bigger","space","liver","answer"
"85","quit","control","data","produc","part"
"86","didn","effici","discuss","reaction","solut"
"87","everi","map","figur","someth","tri"
"88","friend","phone","share","surviv","ensur"
"89","last","replac","clear","yet","multipl"
"90","medicin","shape","comment","behavior","open"
"91","show","temperatur","done","dori","side"
"92","today","air","left","engin","texa"
"93","address","bacteria","primari","everybodi","expect"
"94","deci","bit","basic","fire","govern"
"95","done","cell","case","less","help"
"96","experi","give","coupl","part","infrastructur"
"97","famili","hydrophob","idea","predict","mani"
"98","impact","larg","learn","program","opportun"
"99","moment","microbiom","regul","second","price"
"100","relationship","problem","telement","step","public"
