"","V1"
"_LAuDTNW5dw.txt",5
"_N7QMweS8VU.txt",3
"075M66LZEJg.txt",2
"1ay1oEgwtYk.txt",3
"1Ibm7PpmbLk.txt",5
"2nvVipbf2Ic.txt",5
"3eo6mRhKD3E.txt",2
"3Z_19bRFblw.txt",5
"46PXGyBwQ7w.txt",4
"8_wMRqWvS8A.txt",5
"8MMVPzHwZRo.txt",4
"9LVQA7hmwQs.txt",2
"9RL4b7-Qh9E.txt",5
"9ucQWvHumOk.txt",2
"A-nZUo6q8g8.txt",4
"A0UtgDpx47g.txt",1
"aI-dQXDBj4E.txt",3
"AxVfRuPyIQM.txt",5
"BXTsKbvBmxo.txt",1
"BYPI8Veud3E.txt",5
"CXURRgau5rE.txt",4
"d9l-N67Hoyc.txt",2
"DEloGJznlZk.txt",1
"DfkjTSJkuAA.txt",5
"e14VynSJBno.txt",5
"Fd3RBdTNQUE.txt",4
"fpI_xaw5pg4.txt",4
"Fui2tLzALJc.txt",1
"GIDV0ZN1OPk.txt",3
"GTEyUZAViSA.txt",5
"gwSStwG7Hm8.txt",5
"hMeKJsyc0ck.txt",4
"jb5Hi-hXdQg.txt",1
"jgfceqwqUec.txt",4
"jkEVGQ2lneI.txt",5
"jZ0SoIwoxSU.txt",2
"kGFiaWvD-KI.txt",5
"KJ4YHPUDouY.txt",2
"kPXQ6zNFFaI.txt",5
"kUSMNijCejI.txt",2
"L_UbLMFvvtE.txt",5
"lI-gYiaMYaw.txt",5
"Ll0IOk_Ltfc.txt",3
"LNAMOQyRaoc.txt",5
"m0KDknSDJAk.txt",3
"mOal_7KDoP0.txt",5
"oia3c4XJwBU.txt",3
"omnM01N2Nxw.txt",4
"oOPvsjFaAu0.txt",3
"P0jyvqT9kXo.txt",5
"PkxtzOHM2gE.txt",1
"pxC2pciLl04.txt",5
"q9tckmU3apk.txt",3
"QhsyDZ-l50M.txt",5
"S7h1qmHy-Hk.txt",5
"T4GCr2NoEP0.txt",3
"UGxy5TtmYtI.txt",4
"UjrtjvCA1Vw.txt",5
"UkdCi898AMM.txt",5
"USrY0JspDEg.txt",5
"vXYklRYVjd4.txt",5
"w3f0pTOcVqY.txt",5
"wCZl_BRSnPU.txt",2
"wxyY1lyC4gM.txt",5
"xaKyeFQu8NQ.txt",5
"yG8CMY7idUs.txt",1
"ZcVNhTrI4Rw.txt",5
"zhrt1y0NP8M.txt",5
