"","x"
"don",154
"think",145
"shoe",137
"air",125
"now",113
"dust",108
"time",106
"use",101
"work",89
"keep",80
"let",78
"realli",78
"water",71
"littl",68
"video",67
"need",66
"peopl",64
"music",62
"clean",59
"talk",58
"find",57
"david",56
"good",56
"mean",56
"actual",54
"home",54
"thank",53
"might",49
"carl",48
"first",47
"start",47
"better",46
"best",43
"light",43
"parasit",43
"counselor",42
"daniel",42
"place",42
"ain",40
"tell",40
"well",40
"day",39
"help",39
"system",38
"year",38
"give",37
"insid",37
"differ",36
"turn",36
"doesn",35
"filter",35
"made",35
"room",35
"someth",35
"long",34
"purifi",34
"rack",34
"builder",32
"didn",32
"last",32
"live",32
"mani",32
"open",32
"paint",32
"show",32
"tri",32
"creat",31
"detect",31
"everi",31
"mayb",31
"speaker",31
"stori",31
"away",30
"bit",30
"creation",30
"feel",30
"averi",29
"project",29
"question",29
"space",29
"websit",29
"anoth",28
"call",28
"probabl",28
"quit",28
"small",28
"number",27
"part",27
"phone",27
"remov",27
"storag",27
"test",27
"alway",26
"box",26
"full",26
"guy",26
"model",26
"never",26
"page",26
"pair",26
"smart",26
"today",26
"anyth",25
"ask",25
"just",25
"kill",25
"luddit",25
"man",25
"morn",25
"plastic",25
"sam",25
"size",25
"car",24
"chang",24
"cover",24
"easi",24
"hand",24
"hous",24
"leav",24
"pretti",24
"thought",24
"verna",24
"wall",24
"watch",24
"door",23
"earth",23
"henri",23
"high",23
"possibl",23
"top",23
"yeah",23
"care",22
"cell",22
"channel",22
"close",22
"end",22
"everyth",22
"hey",22
"outsid",22
"particl",22
"tool",22
"world",22
"bad",21
"bodi",21
"done",21
"found",21
"happen",21
"import",21
"isn",21
"life",21
"point",21
"second",21
"stay",21
"togeth",21
"type",21
"understand",21
"bag",20
"cheer",20
"god",20
"hold",20
"howev",20
"night",20
"someon",20
"stuff",20
"winix",20
"basic",19
"case",19
"consid",19
"dead",19
"exampl",19
"hard",19
"hear",19
"hell",19
"interest",19
"lenni",19
"problem",19
"product",19
"rate",19
"rememb",19
"report",19
"sit",19
"sorri",19
"told",19
"becom",18
"believ",18
"damn",18
"enough",18
"goe",18
"hire",18
"love",18
"may",18
"noth",18
"old",18
"plan",18
"pod",18
"power",18
"qualiti",18
"real",18
"scatter",18
"speed",18
"whole",18
"alreadi",17
"answer",17
"bin",17
"check",17
"dustbin",17
"fish",17
"floor",17
"form",17
"hang",17
"head",17
"hope",17
"idea",17
"listen",17
"matter",17
"nice",17
"process",17
"set",17
"side",17
"sinc",17
"usual",17
"wasn",17
"week",17
"area",16
"bottom",16
"busi",16
"come",16
"contain",16
"fine",16
"fit",16
"hour",16
"learn",16
"look",16
"machin",16
"metal",16
"must",16
"name",16
"paper",16
"protect",16
"reason",16
"rest",16
"store",16
"suppo",16
"big",15
"came",15
"caus",15
"content",15
"design",15
"inform",15
"less",15
"line",15
"madelin",15
"miss",15
"news",15
"person",15
"support",15
"without",15
"yes",15
"chanc",14
"chatter",14
"click",14
"cut",14
"eat",14
"either",14
"fact",14
"fan",14
"hot",14
"left",14
"mind",14
"move",14
"particular",14
"sensor",14
"subscrib",14
"temperatur",14
"worm",14
"allow",13
"appli",13
"buy",13
"closer",13
"collect",13
"color",13
"control",13
"cost",13
"dri",13
"drop",13
"easili",13
"ever",13
"grunt",13
"gun",13
"hello",13
"level",13
"minut",13
"piec",13
"plug",13
"regal",13
"rosco",13
"sammi",13
"screw",13
"stand",13
"strap",13
"tomorrow",13
"went",13
"window",13
"worri",13
"abl",12
"black",12
"brought",12
"build",12
"client",12
"cool",12
"crowd",12
"custom",12
"depend",12
"final",12
"friend",12
"haven",12
"least",12
"lost",12
"meet",12
"mom",12
"okay",12
"particul",12
"pass",12
"play",12
"pull",12
"recommend",12
"river",12
"scare",12
"seven",12
"sight",12
"simpl",12
"spend",12
"spray",12
"stop",12
"troubl",12
"wait",12
"almost",11
"automaton",11
"begin",11
"blow",11
"citi",11
"condit",11
"deci",11
"degr",11
"develop",11
"empti",11
"eta",11
"featur",11
"gotta",11
"hit",11
"holder",11
"honest",11
"kid",11
"laugh",11
"like",11
"load",11
"low",11
"moment",11
"ocean",11
"plea",11
"polish",11
"rain",11
"relea",11
"rid",11
"seem",11
"sen",11
"smoke",11
"theme",11
"though",11
"toward",11
"whatev",11
"white",11
"across",10
"act",10
"allergi",10
"anyway",10
"beaver",10
"button",10
"can",10
"choo",10
"cleaner",10
"closet",10
"colour",10
"communiti",10
"concern",10
"connect",10
"corner",10
"coupl",10
"cour",10
"danger",10
"dorothi",10
"dramat",10
"enter",10
"far",10
"fill",10
"guess",10
"happi",10
"huh",10
"human",10
"indoor",10
"instal",10
"issu",10
"job",10
"layer",10
"money",10
"normal",10
"order",10
"pay",10
"perform",10
"practic",10
"quick",10
"readi",10
"realiz",10
"record",10
"replac",10
"secur",10
"share",10
"siri",10
"smaller",10
"sometim",10
"sort",10
"sound",10
"step",10
"technolog",10
"tini",10
"trash",10
"visit",10
"voic",10
"wouldn",10
"youtub",10
"amount",9
"appear",9
"aren",9
"blue",9
"boot",9
"break",9
"bring",9
"brother",9
"carri",9
"certain",9
"clear",9
"cloud",9
"comfort",9
"comment",9
"complet",9
"cop",9
"couldn",9
"creativ",9
"decid",9
"definit",9
"dirt",9
"easier",9
"egg",9
"elementor",9
"entir",9
"event",9
"exact",9
"explain",9
"figur",9
"film",9
"half",9
"necessarili",9
"organ",9
"price",9
"provid",9
"read",9
"regular",9
"remodel",9
"resist",9
"sever",9
"shelv",9
"sky",9
"special",9
"vacuum",9
"violet",9
"wake",9
"wind",9
"wooden",9
"yesterday",9
"yet",9
"young",9
"although",8
"amber",8
"anyon",8
"apart",8
"april",8
"attach",8
"bat",8
"batteri",8
"bought",8
"boy",8
"breath",8
"built",8
"camera",8
"carpet",8
"compar",8
"date",8
"deal",8
"detail",8
"direct",8
"discuss",8
"ear",8
"eaten",8
"exist",8
"experi",8
"extra",8
"eye",8
"fall",8
"fix",8
"forget",8
"fresh",8
"girl",8
"hair",8
"heard",8
"improvi",8
"instead",8
"law",8
"lead",8
"lie",8
"longer",8
"main",8
"match",8
"mention",8
"metric",8
"molecul",8
"month",8
"neon",8
"notic",8
"often",8
"oil",8
"otherwi",8
"pick",8
"posit",8
"requir",8
"rose",8
"saharan",8
"seal",8
"seed",8
"smash",8
"solut",8
"solv",8
"speak",8
"storytel",8
"stuck",8
"studio",8
"sun",8
"team",8
"ten",8
"tonight",8
"unit",8
"warm",8
"wavelength",8
"whi",8
"wife",8
"word",8
"action",7
"afternoon",7
"among",7
"atmosph",7
"bed",7
"bench",7
"bigger",7
"brilliant",7
"center",7
"class",7
"com",7
"contact",7
"continu",7
"conver",7
"crack",7
"deliv",7
"demo",7
"difficult",7
"dirti",7
"drawer",7
"drink",7
"drywal",7
"edg",7
"eight",7
"electron",7
"equip",7
"expen",7
"fabric",7
"face",7
"feet",7
"fire",7
"flop",7
"forc",7
"four",7
"fourth",7
"funni",7
"gave",7
"grow",7
"hat",7
"hepa",7
"imag",7
"imagin",7
"inten",7
"kept",7
"key",7
"larger",7
"later",7
"limit",7
"manufactur",7
"method",7
"mile",7
"mobil",7
"natur",7
"noi",7
"offer",7
"offic",7
"one",7
"origin",7
"panel",7
"per",7
"pet",7
"pictur",7
"planet",7
"pleasur",7
"plus",7
"pressur",7
"raw",7
"remain",7
"result",7
"ridg",7
"scratch",7
"see",7
"shape",7
"shut",7
"singl",7
"sir",7
"situat",7
"skin",7
"slight",7
"specif",7
"super",7
"term",7
"texa",7
"thick",7
"throughout",7
"tire",7
"tommi",7
"touch",7
"track",7
"underneath",7
"updat",7
"valu",7
"walk",7
"welcom",7
"weren",7
"wire",7
"within",7
"wood",7
"absolut",6
"ahead",6
"aliv",6
"anymor",6
"architect",6
"art",6
"asteroid",6
"attent",6
"author",6
"automat",6
"behind",6
"bet",6
"biggest",6
"board",6
"brain",6
"charg",6
"clever",6
"clock",6
"collabor",6
"constant",6
"coway",6
"current",6
"curtain",6
"damag",6
"dandelion",6
"decor",6
"descript",6
"devic",6
"drive",6
"engin",6
"environ",6
"especi",6
"expect",6
"factor",6
"famili",6
"flow",6
"focus",6
"follow",6
"forecast",6
"free",6
"futur",6
"general",6
"get",6
"got",6
"handl",6
"healthi",6
"heel",6
"honeywel",6
"humid",6
"hydrogen",6
"investig",6
"larg",6
"maintain",6
"make",6
"manag",6
"mark",6
"materi",6
"measur",6
"memori",6
"men",6
"micron",6
"movement",6
"obvious",6
"oper",6
"over",6
"percent",6
"plz",6
"program",6
"push",6
"radio",6
"rather",6
"red",6
"repurpo",6
"respon",6
"retain",6
"rin",6
"robot",6
"rod",6
"roll",6
"round",6
"sand",6
"separ",6
"session",6
"short",6
"sign",6
"simon",6
"sneak",6
"solar",6
"standard",6
"station",6
