"","V1"
"-4KCYjwekPU.txt",5
"3Rg73pJHMAE.txt",4
"6FWcTVWrC98.txt",4
"6J4U-dXYPqA.txt",4
"6xid20z9w8s.txt",4
"7-W_uOQ66DY.txt",1
"7CYsTtg7iso.txt",1
"7mWKogxX1u0.txt",5
"8hvSxXdWyJ4.txt",5
"B84s1GzKe98.txt",5
"BI1_wNuodA0.txt",2
"bQiF-AtOuUE.txt",5
"bQiwY7XrnMQ.txt",3
"bXnp2Duk7Xs.txt",1
"cbWi37v6FfE.txt",1
"CEl8YKFtk7g.txt",1
"CkuXWjZOz60.txt",4
"d4f0KLUWQ4M.txt",2
"dfBauC6HBsk.txt",4
"dmmvxiHqA8M.txt",4
"dqmJRScuZnE.txt",3
"dqs2NI5zHAI.txt",1
"EtbZbJmRc28.txt",5
"f6D0erN0IXM.txt",4
"FBXRwu6hgy8.txt",3
"fiIevAJPsR8.txt",1
"FoL6mRe7zzg.txt",5
"FsjkbKb4lK0.txt",3
"G-5bp9vECDE.txt",5
"GeM_sGx7B0U.txt",1
"i8UJ14PGim8.txt",1
"IBXXMj_kwOQ.txt",2
"IfR8rmH6qe8.txt",4
"iKN7vcjerFA.txt",3
"imE-w9NcWL8.txt",2
"JiOZ6_s5lSI.txt",3
"K3WHee4S9oI.txt",1
"KWczKRaJOzY.txt",3
"KxwjnuhNVIY.txt",3
"MC1Z9Ie1xBM.txt",4
"mGECMQOg_Es.txt",3
"mSxEKyDtmgE.txt",4
"mVW6JlCJda4.txt",5
"mWVq0m8FKUY.txt",2
"N1PkKrq_EQg.txt",5
"nK-N-bU1gXo.txt",5
"NQ_75jrxHRY.txt",1
"O2_A0ViX2Pg.txt",5
"olgnQdWygfY.txt",5
"oSpuUhtmAqw.txt",4
"OvOANnSKoAA.txt",3
"PRq_opb22bA.txt",2
"Q6VbZ6oo_LU.txt",3
"QyBOSPfp4dM.txt",1
"rMYiSnp3-Lg.txt",3
"RTQ1Pa2ehIg.txt",4
"sfMetFbs6hs.txt",1
"tFSwy9Qa-DE.txt",4
"Th8cs8g8pIQ.txt",1
"TZZPcmeTleU.txt",4
"UixVpMXG1-M.txt",3
"vNGh5QhNa9s.txt",3
"vu2tFv5iPrM.txt",3
"vwN5qZj7mFM.txt",3
"wQQTwnZWDfY.txt",2
"YEMxKTpLtrA.txt",1
"yGQPUVYmJA4.txt",4
"YxzxRBsQnVc.txt",4
"zpKeOnVv36s.txt",1
