"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","realli","peopl","googl","virtual","design"
"2","work","don","assist","now","conver"
"3","need","andrew","home","video","laptop"
"4","think","actual","devic","assist","agent"
"5","time","guy","alexa","work","custom"
"6","busi","busi","siri","client","app"
"7","question","littl","actual","use","interact"
"8","peopl","mean","use","job","realiti"
"9","don","tri","appl","let","second"
"10","manag","good","control","list","use"
"11","import","hire","technolog","hire","chang"
"12","team","morello","let","task","price"
"13","help","start","call","need","user"
"14","start","find","talk","link","case"
"15","person","realli","turn","month","super"
"16","process","time","now","check","phone"
"17","everi","think","abl","first","differ"
"18","ask","need","voic","click","yes"
"19","differ","money","year","good","interest"
"20","part","stuff","work","time","bot"
"21","day","life","build","creat","topic"
"22","end","now","develop","free","date"
"23","place","someth","show","servic","experi"
"24","today","yeah","help","add","gen"
"25","first","eggelton","robot","descript","screen"
"26","talk","person","set","select","option"
"27","interview","bit","amazon","number","store"
"28","offic","feel","light","don","voic"
"29","actual","didn","experi","exact","buyer"
"30","use","alway","give","websit","exampl"
"31","meet","team","servic","type","het"
"32","someth","give","action","someth","memori"
"33","sort","might","hey","recommend","perform"
"34","learn","though","okay","record","space"
"35","anyth","wanna","word","market","text"
"36","four","help","echo","platform","upgrad"
"37","mani","last","student","tool","becom"
"38","someon","build","digit","button","better"
"39","set","anyway","today","includ","faster"
"40","system","big","built","call","alreadi"
"41","year","done","pretti","channel","chat"
"42","done","somebodi","skill","compani","easier"
"43","hour","okay","cortana","valu","realli"
"44","step","idea","start","anoth","recent"
"45","problem","real","system","mayb","game"
"46","assist","tell","avail","media","onlin"
"47","project","day","music","show","buy"
"48","quit","never","phone","wanna","web"
"49","candid","talk","bring","data","audio"
"50","everyth","relationship","custom","find","dat"
"51","email","understand","live","move","drive"
"52","sometim","show","provid","pinterest","enough"
"53","week","made","state","skill","help"
"54","basic","hey","updat","week","soon"
"55","share","love","exampl","best","augment"
"56","thank","cool","product","littl","deliv"
"57","focus","let","respon","past","dialogu"
"58","give","opportun","better","onlin","human"
"59","keep","reason","command","pick","improv"
"60","minut","someon","integr","pin","pick"
"61","task","whole","play","social","requir"
"62","point","mayb","chang","exampl","save"
"63","send","pay","differ","offer","seem"
"64","properti","pretti","intellig","subscrib","video"
"65","estat","best","smart","editor","base"
"66","real","found","support","experi","bought"
"67","somebodi","obvious","third","keep","compar"
"68","stuff","dream","tom","write","context"
"69","bit","freelanc","featur","differ","dedic"
"70","job","happen","hardwar","outsourc","edit"
"71","member","read","kid","leav","flow"
"72","mind","year","open","name","hard"
"73","tell","contest","search","probabl","medic"
"74","top","creat","user","screen","replac"
"75","love","doesn","box","search","tabl"
"76","went","may","field","small","anoth"
"77","abl","book","languag","ahead","een"
"78","becom","ever","long","area","expen"
"79","feel","learn","may","base","handl"
"80","goe","inaud","thank","entir","hous"
"81","key","vision","degr","teach","john"
"82","resourc","world","might","remot","possibl"
"83","call","dot","parti","specif","repair"
"84","check","far","room","templat","ssd"
"85","compani","huge","almost","trello","touch"
"86","document","ren","bit","watch","common"
"87","expect","right","emb","alex","comput"
"88","inform","sell","kit","cour","headset"
"89","anoth","sit","market","facebook","higher"
"90","came","wasn","sdk","happen","inch"
"91","communic","yes","speaker","honeybook","long"
"92","final","bring","univ","music","match"
"93","staff","everyon","abil","choo","prefer"
"94","alway","interest","code","com","purcha"
"95","calendar","live","correct","copi","tab"
"96","creat","nice","everyth","email","warranti"
"97","grow","thought","fun","increa","weird"
"98","quick","coupl","push","pay","addit"
"99","train","funnel","requir","rate","applic"
"100","answer","hasseldin","shop","talk","chrome"
