"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00268030225105827,1.13342702996781e-05,0.00654172560113154,0.00164185090489798,2.10004620101642e-05,-7.88556037542277
"2","achiev",0.0011967401194762,1.13342702996781e-05,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,-6.72227457134349
"3","across",0.00139454840368715,0.00023801967629324,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,-2.55064526368893
"4","actual",0.00525180994580053,0.0119123180849617,0.0111658143836362,1.25332130144884e-05,2.10004620101642e-05,1.18156756908912
"5","admin",0.00129564426158167,1.13342702996781e-05,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,-6.83683433560635
"6","advic",9.89041421054714e-06,0.00171147481525139,1.36002611250136e-05,0.000137865343159372,2.10004620101642e-05,7.43499340525618
"7","affili",9.89041421054714e-06,0.00103141859727071,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,6.7043833061298
"8","allow",9.89041421054714e-06,0.00103141859727071,0.00123762376237624,0.00214317942547752,2.10004620101642e-05,6.7043833061298
"9","along",0.00218578154053092,1.13342702996781e-05,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,-7.59131389346033
"10","alway",0.00238358982474186,0.00556512671714195,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,1.22327854401583
"11","amaz",0.000504411124737904,0.00216484562723852,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,2.10159215199535
"12","andrew",9.89041421054714e-06,0.0150859137688716,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,10.574883521843
"13","anoth",0.00248249396684733,1.13342702996781e-05,1.36002611250136e-05,0.00377249711736101,0.00233105128312823,-7.77495488801967
"14","answer",0.00228468568263639,0.000804733191277145,0.00164563159612665,1.25332130144884e-05,2.10004620101642e-05,-1.50541325598028
"15","anyth",0.00485619337737864,1.13342702996781e-05,1.36002611250136e-05,0.000137865343159372,2.10004620101642e-05,-8.74299054838359
"16","anyway",9.89041421054714e-06,0.00477172779616448,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,8.9142650889975
"17","app",0.00129564426158167,1.13342702996781e-05,1.36002611250136e-05,1.25332130144884e-05,0.00800117602587257,-6.83683433560635
"18","area",9.89041421054714e-06,0.00159813211225461,0.000421608094875422,0.00276984007620194,2.10004620101642e-05,7.33614001832989
"19","ask",0.00722989278790996,0.00193816022124496,0.00178163420737678,1.25332130144884e-05,0.000651014322315091,-1.89928641513544
"20","aspect",9.89041421054714e-06,0.00103141859727071,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,6.7043833061298
"21","assist",0.00416386438264034,1.13342702996781e-05,0.0268061146774018,0.0163057101318494,2.10004620101642e-05,-8.52108775713529
"22","attent",0.0011967401194762,1.13342702996781e-05,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,-6.72227457134349
"23","away",0.00179016497210903,0.00023801967629324,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,-2.91093979837335
"24","awesom",9.89041421054714e-06,0.00159813211225461,0.00123762376237624,0.000263197473304256,2.10004620101642e-05,7.33614001832989
"25","background",0.000504411124737904,0.00103141859727071,1.36002611250136e-05,0.000137865343159372,2.10004620101642e-05,1.0319579641583
"26","bad",9.89041421054714e-06,0.00159813211225461,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,7.33614001832989
"27","bam",9.89041421054714e-06,0.00114476130026749,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,6.85480014868289
"28","base",0.00129564426158167,1.13342702996781e-05,1.36002611250136e-05,0.00276984007620194,0.00254105590322987,-6.83683433560635
"29","basic",0.00347153538790204,0.000124676973296459,0.000285605483625286,1.25332130144884e-05,0.0017010374228233,-4.79930693573616
"30","becaus",0.0011967401194762,0.00171147481525139,1.36002611250136e-05,1.25332130144884e-05,0.000651014322315091,0.516130167981585
"31","becom",0.00268030225105827,1.13342702996781e-05,0.00014960287237515,1.25332130144884e-05,0.00401108824394137,-7.88556037542277
"32","begin",9.89041421054714e-06,0.00216484562723852,1.36002611250136e-05,1.25332130144884e-05,0.00149103280272166,7.77401749396685
"33","behind",0.00218578154053092,1.13342702996781e-05,0.000965618539875965,1.25332130144884e-05,2.10004620101642e-05,-7.59131389346033
"34","believ",9.89041421054714e-06,0.00182481751824818,0.000285605483625286,1.25332130144884e-05,2.10004620101642e-05,7.52750554404572
"35","best",9.89041421054714e-06,0.00307158725121277,1.36002611250136e-05,0.00352183285707124,2.10004620101642e-05,8.27873770728497
"36","better",0.00109783597737073,0.00114476130026749,0.00286965509737787,0.00101519025417356,0.00401108824394137,0.0603842823327891
"37","big",9.89041421054714e-06,0.00477172779616448,0.000693613317375694,1.25332130144884e-05,0.0017010374228233,8.9142650889975
"38","biggest",0.00129564426158167,0.000918075894273927,1.36002611250136e-05,0.000263197473304256,2.10004620101642e-05,-0.496984332721725
"39","bit",0.00287811053526922,0.00601849752912908,0.00218964204112719,0.00038852960344914,2.10004620101642e-05,1.06428137382697
"40","board",0.0011967401194762,1.13342702996781e-05,1.36002611250136e-05,0.00139118664460821,0.000441009702213449,-6.72227457134349
"41","book",0.00139454840368715,0.00273155914222242,0.000285605483625286,1.25332130144884e-05,0.000231005082111806,0.969926649762268
"42","brain",9.89041421054714e-06,0.00114476130026749,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,6.85480014868289
"43","bring",9.89041421054714e-06,0.00239153103323208,0.00341366554237841,1.25332130144884e-05,2.10004620101642e-05,7.91768785463829
"44","buck",9.89041421054714e-06,0.00216484562723852,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,7.77401749396685
"45","build",9.89041421054714e-06,0.00488507049916126,0.00586171254488086,0.00038852960344914,0.000231005082111806,8.9481327250202
"46","busi",0.0104937294773905,0.0115722899759713,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,0.141146875894137
"47","buy",0.000801123551054318,0.00193816022124496,1.36002611250136e-05,1.25332130144884e-05,0.0031710697635348,1.27459117793237
"48","calendar",0.00238358982474186,1.13342702996781e-05,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,-7.71630067029886
"49","call",0.0025813981089528,0.00216484562723852,0.00749374387988249,0.00389782924750589,0.000441009702213449,-0.253888502603035
"50","came",0.00248249396684733,0.000124676973296459,0.00014960287237515,1.25332130144884e-05,2.10004620101642e-05,-4.31552326938237
"51","can",9.89041421054714e-06,0.00159813211225461,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,7.33614001832989
"52","candid",0.00366934367211299,1.13342702996781e-05,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,-8.3386867106897
"53","care",0.00149345254579262,0.00171147481525139,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,0.196588665931101
"54","cash",9.89041421054714e-06,0.00148478940925783,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,7.23001166746855
"55","caus",0.00109783597737073,0.00193816022124496,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,0.820025314466892
"56","certain",0.00159235668789809,0.000691390488280364,1.36002611250136e-05,0.000639193863738908,2.10004620101642e-05,-1.20359087462063
"57","challeng",0.00139454840368715,1.13342702996781e-05,1.36002611250136e-05,1.25332130144884e-05,0.000231005082111806,-6.94296268646769
"58","chang",0.00159235668789809,0.000351362379290021,0.00273365248612773,1.25332130144884e-05,0.007161157545466,-2.18013190179664
"59","check",0.0025813981089528,0.00023801967629324,1.36002611250136e-05,0.00740712889156264,2.10004620101642e-05,-3.43899990786002
"60","com",9.89041421054714e-06,0.00193816022124496,1.36002611250136e-05,0.00239384368576728,2.10004620101642e-05,7.614441180817
"61","communic",0.00248249396684733,1.13342702996781e-05,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,-7.77495488801967
"62","compani",0.0025813981089528,0.00148478940925783,1.36002611250136e-05,0.00389782924750589,2.10004620101642e-05,-0.797894329101334
"63","complet",0.00218578154053092,0.00023801967629324,0.000421608094875422,1.25332130144884e-05,2.10004620101642e-05,-3.19899647068157
"64","concept",0.000306602840526962,0.00114476130026749,0.00014960287237515,1.25332130144884e-05,2.10004620101642e-05,1.90060383829602
"65","consist",0.00169126083000356,1.13342702996781e-05,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,-7.2212638489548
"66","contact",0.00129564426158167,1.13342702996781e-05,0.000421608094875422,1.25332130144884e-05,2.10004620101642e-05,-6.83683433560635
"67","contest",9.89041421054714e-06,0.0028449018452192,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,8.16813221988187
"68","cool",9.89041421054714e-06,0.00341161536020311,0.00191763681862692,1.25332130144884e-05,2.10004620101642e-05,8.4302083426908
"69","couldn",0.00139454840368715,1.13342702996781e-05,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,-6.94296268646769
"70","countri",9.89041421054714e-06,0.00171147481525139,1.36002611250136e-05,1.25332130144884e-05,2.10004620101642e-05,7.43499340525618
"71","coupl",0.000998931835265261,0.0022781883302353,0.000557610706125558,0.000137865343159372,0.000231005082111806,1.18942887435823
"72","cour",0.000702219408948847,0.00103141859727071,0.00123762376237624,0.00251917581591217,2.10004620101642e-05,0.554636186625114
"73","creat",0.00238358982474186,0.0028449018452192,0.00123762376237624,0.00678046824083822,2.10004620101642e-05,0.255242883651911
