"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00350232690103946,0.00618347541040099,0.0019502108193694,0.00154533673427408,0.00416127703998237,0.820104181369547
"2","access",1.84236028460782e-06,0.0015959440191944,0.000142184587190748,0.00157104949191591,2.07959872063087e-06,9.75863911511675
"3","accur",0.00112568213389538,0.000303681655474239,0.000317721114586734,2.82840334060147e-05,2.07959872063087e-06,-1.89016783460902
"4","accuraci",0.00188104985058458,2.15377060620027e-06,1.75536527395986e-06,2.57127576418316e-06,2.07959872063087e-06,-9.77045776806689
"5","action",0.00335493807827083,0.00301743261928659,1.75536527395986e-06,0.00144248570370675,2.07959872063087e-06,-0.152964583735102
"6","activ",0.00219425109896791,2.15377060620027e-06,1.75536527395986e-06,0.000799666762660962,0.000896307048591904,-9.9926483150532
"7","actual",0.00352075050388554,0.00605424917402897,0.00893656460972964,0.00267669807051467,0.000230835457990026,0.782065058213803
"8","add",0.000609821254205187,0.00250052767379852,1.75536527395986e-06,0.00131392191549759,2.07959872063087e-06,2.03577423286926
"9","addit",1.84236028460782e-06,0.00142364237069838,1.75536527395986e-06,0.00100536882379561,0.000667551189322509,9.59381584431861
"10","agent",0.0053262635828012,0.000131380006978217,1.75536527395986e-06,2.57127576418316e-06,0.000584367240497274,-5.34130617310325
"11","ahead",0.0006835156655895,0.00344818674052664,0.00037038207280553,2.57127576418316e-06,2.07959872063087e-06,2.33479159870637
"12","algorithm",0.00775817915848352,0.00618347541040099,0.000598579558420312,2.57127576418316e-06,0.00114585889506761,-0.327300162150995
"13","allow",0.00107041132535714,0.00120826531007835,1.75536527395986e-06,0.00126249640021393,0.00152018666478116,0.174771990015182
"14","alpha",5.71131688228423e-05,0.0023282260253025,0.000212399198149143,2.57127576418316e-06,2.07959872063087e-06,5.34926388015869
"15","alreadi",0.000462432431436562,0.00206977355255846,0.00216085465224458,0.00128820915785576,0.00104187895903606,2.1621584496339
"16","alway",0.00112568213389538,0.0007775111888383,0.00238905213785937,0.000645390216809973,8.52635475458655e-05,-0.533864160120642
"17","anoth",0.00282065359573457,0.00301743261928659,0.00187999620841101,0.00100536882379561,0.00048038730446573,0.097292055741948
"18","answer",0.000388738020052249,0.00110057677976834,0.00231883752690097,0.000413975398033488,2.07959872063087e-06,1.50138967504135
"19","anyth",0.000112383977361077,0.00125134072220236,0.00116029644608747,0.000619677459168141,0.000667551189322509,3.47696639865256
"20","appli",0.00160469580789341,0.00163901943131841,3.6862670753157e-05,0.00141677294606492,0.000106059534752174,0.0305331177155973
"21","appoint",1.84236028460782e-06,0.00125134072220236,1.75536527395986e-06,2.57127576418316e-06,2.07959872063087e-06,9.40770373621545
"22","arc",1.84236028460782e-06,0.00181132107981443,1.75536527395986e-06,2.57127576418316e-06,2.07959872063087e-06,9.94127137306606
"23","architectur",0.00107041132535714,2.15377060620027e-06,1.75536527395986e-06,0.000465400913317151,0.000542775266084656,-8.95708497059361
"24","artifici",0.00429454182342082,2.3691476668203e-05,0.0069354481974154,2.57127576418316e-06,0.00890276212302074,-7.50199228768065
"25","ask",0.000591397651359109,0.00148825548888439,0.00265235692895335,0.00131392191549759,2.07959872063087e-06,1.33142179607687
"26","assign",0.000978293311126751,0.00297435720716258,1.75536527395986e-06,2.57127576418316e-06,2.07959872063087e-06,1.60423893626481
"27","away",1.84236028460782e-06,0.00114365219189235,0.00124806470978546,0.000722528489735467,2.07959872063087e-06,9.27787743361507
"28","backtrack",1.84236028460782e-06,0.00125134072220236,1.75536527395986e-06,2.57127576418316e-06,2.07959872063087e-06,9.40770373621545
"29","base",0.00401818778072965,0.00564503275885092,1.75536527395986e-06,0.00126249640021393,0.00210247430655781,0.490436966498583
"30","basic",0.00838458165525018,0.00135902925251237,0.00135338662622305,2.82840334060147e-05,0.000147651509164791,-2.62516229317472
"31","becaus",0.000186078388745389,0.00133749154645037,0.0007390087803371,2.57127576418316e-06,2.07959872063087e-06,2.8455473582796
"32","begin",0.000941446105434595,0.00275898014654255,0.00110763548786867,0.000233986094540667,2.07959872063087e-06,1.55118466221494
"33","behind",0.00119937654527969,2.15377060620027e-06,0.000914545307733086,7.97095486896779e-05,2.07959872063087e-06,-9.12120435035472
"34","belong",0.000167654785899311,0.00101442595552033,1.75536527395986e-06,2.57127576418316e-06,2.07959872063087e-06,2.597097992225
"35","best",0.00177050823350811,0.00351279985871265,0.00137094027896265,0.00100536882379561,2.07959872063087e-06,0.98845782874905
"36","beta",0.000296620005821859,0.00101442595552033,1.75536527395986e-06,2.57127576418316e-06,2.07959872063087e-06,1.77397575430908
"37","better",0.00193632065912281,0.00273744244048055,0.00410931010634003,0.00092823055087012,0.000106059534752174,0.499510743853698
"38","bias",0.00130991816235616,2.15377060620027e-06,1.93090180135584e-05,0.000825379520302794,0.000251631445196335,-9.2483963668085
"39","bit",0.0006835156655895,0.00228515061317849,0.00231883752690097,0.00211101740239437,2.07959872063087e-06,1.74124294710488
"40","blue",0.000849328091204204,0.00107903907370634,0.000212399198149143,2.57127576418316e-06,2.07959872063087e-06,0.345353235576787
"41","boundari",0.00107041132535714,2.15377060620027e-06,1.75536527395986e-06,2.57127576418316e-06,2.07959872063087e-06,-8.95708497059361
"42","build",0.00188104985058458,0.000217530831226228,0.00353003956593328,0.00501655901592134,2.07959872063087e-06,-3.11224628531509
"43","bunch",0.000646668459897344,0.0015528686070704,0.000229952850888741,0.00010542230633151,2.07959872063087e-06,1.26383761174718
"44","calcul",0.00344705609250122,0.00290974408897657,1.75536527395986e-06,2.57127576418316e-06,2.07959872063087e-06,-0.244472501104182
"45","call",0.00204686227619928,0.00461122286787479,0.0032491811220997,0.00339665528448595,0.000875511061385595,1.17173536180733
"46","care",0.000388738020052249,0.00172517025556642,0.000633686863899509,0.00043968815567532,0.00147859469036855,2.14986862651244
"47","case",0.000794057282665969,0.00710959677106711,0.000756562433076699,0.00398804871024808,2.07959872063087e-06,3.16245274694435
