"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","acid",1.86739619611395e-06,0.00260092904176809,1.95287707615244e-06,0.000939581221455588,9.60484782864951e-06,10.4437832756153
"2","activ",0.00185058963034892,0.00423014633862506,0.00142755314266744,0.0010049813064757,0.000454920519884218,1.19272256116506
"3","acut",0.0012716968095536,1.9395444010202e-06,1.95287707615244e-06,2.18000283400368e-06,8.73167984422683e-07,-9.35682123430127
"4","adapt",1.86739619611395e-06,0.00116566618501314,0.000294884438499019,2.18000283400368e-06,0.00020170180440164,9.28591093442198
"5","adult",0.0012716968095536,1.9395444010202e-06,2.14816478376769e-05,2.18000283400368e-06,8.73167984422683e-07,-9.35682123430127
"6","affect",0.00155180623897069,0.000176498540492838,9.95967308837745e-05,0.000634380824695072,8.73167984422683e-07,-3.13622027286085
"7","affin",1.86739619611395e-06,0.00112687529699274,1.95287707615244e-06,2.18000283400368e-06,8.73167984422683e-07,9.23708410711533
"8","age",0.00241080848918311,1.9395444010202e-06,0.000568287229160361,0.000198380257894335,8.73167984422683e-07,-10.2795835315964
"9","alga",1.86739619611395e-06,0.0027366971498395,1.95287707615244e-06,2.18000283400368e-06,8.73167984422683e-07,10.5171920263081
"10","allow",0.000375346635418904,0.00331856047014556,0.00174001347485183,0.00115758150485596,0.000446188840039991,3.14426210702128
"11","amino",1.86739619611395e-06,0.00134022518110496,1.95287707615244e-06,0.000307380399594519,8.73167984422683e-07,9.48723165409906
"12","among",0.000655456064835996,0.00114627074100294,0.00103697772743695,2.18000283400368e-06,9.60484782864951e-06,0.806376853583772
"13","anim",0.00142108850524271,0.00283367436989051,1.95287707615244e-06,0.00342478445221979,0.00172101409729711,0.995677573010753
"14","antibodi",1.86739619611395e-06,0.0124538145989507,1.95287707615244e-06,2.18000283400368e-06,3.579988736133e-05,12.7032720370745
"15","antigen",0.000188607015807509,0.00432712355867607,1.95287707615244e-06,2.18000283400368e-06,8.73167984422683e-07,4.51995306920315
"16","approach",0.00138374058132044,0.000351057536584656,0.00148613945495201,0.00157178204331666,0.000454920519884218,-1.97879409151183
"17","approv",0.00129037077151474,1.9395444010202e-06,2.14816478376769e-05,0.00253098329027828,8.73167984422683e-07,-9.37785214667746
"18","area",0.0011783269997479,1.9395444010202e-06,0.00283362463749719,0.00146278190161647,0.00131062514461845,-9.24680644127175
"19","artifici",0.00106628322798106,0.00128203884907435,0.00140802437190591,0.0010049813064757,1.83365276728763e-05,0.26584927985565
"20","assay",0.00115965303778676,0.000331662092574454,1.95287707615244e-06,2.18000283400368e-06,8.73167984422683e-07,-1.80590718962378
"21","associ",0.0013650666193593,0.000506221088666272,0.000490172146114263,0.00120118156153603,8.73167984422683e-07,-1.43113184567175
"22","bacteri",1.86739619611395e-06,0.00199967027745183,2.14816478376769e-05,0.000241980314574409,9.60484782864951e-06,10.0645183710789
"23","bacteria",1.86739619611395e-06,0.00426893722664546,1.95287707615244e-06,0.000961381249795624,8.73167984422683e-07,11.1586331836024
"24","base",0.00149578435308727,0.0017669249493294,0.0016423696210442,0.00250918326193824,0.00144160034228185,0.24033856510414
"25","becom",0.00186926359231006,0.000234684872523444,0.00254069307607433,0.000656180853035109,0.00091769955162824,-2.9936732678506
"26","bind",1.86739619611395e-06,0.0036676784623292,1.95287707615244e-06,2.18000283400368e-06,8.73167984422683e-07,10.9396234016606
"27","biolog",5.78892820795324e-05,0.00347372402222718,0.00695419526817885,0.00634598824978472,0.0015551121802568,5.90704306530989
"28","blood",0.00483842354413124,0.000641989196737686,0.000177711813929872,2.18000283400368e-06,8.73167984422683e-07,-2.91391613966208
"29","bodi",0.00306439715782299,0.000738966416788696,0.00174001347485183,0.000285580371254482,0.000812919393497518,-2.05202258230959
"30","bone",0.00429687864725819,1.9395444010202e-06,1.95287707615244e-06,2.18000283400368e-06,8.73167984422683e-07,-11.1133555145133
"31","brain",0.00175721982054323,1.9395444010202e-06,1.95287707615244e-06,2.18000283400368e-06,0.00303076607393113,-9.82336115901774
"32","breast",0.00123434888563132,4.07304324214242e-05,1.95287707615244e-06,2.18000283400368e-06,2.70682075171032e-05,-4.92149928501813
"33","call",0.00323246281547325,0.00341553769019657,0.000333941980022068,0.000307380399594519,0.00333637486847907,0.0794789381753693
"34","can",0.00177589378250436,1.9395444010202e-06,1.95287707615244e-06,2.18000283400368e-06,0.000184238444713186,-9.83861177714976
"35","cancer",0.00973100157794979,6.01258764316262e-05,0.00146661068419048,2.18000283400368e-06,0.000306481962532362,-7.33845847533387
"36","carri",0.00013258512992409,0.00118506162902334,0.000470643375352739,2.18000283400368e-06,0.000140580045492052,3.15997120402485
"37","cartilag",0.00129037077151474,1.9395444010202e-06,1.95287707615244e-06,2.18000283400368e-06,8.73167984422683e-07,-9.37785214667746
"38","case",0.00414748695156908,1.9395444010202e-06,0.000197240584691397,0.00209498272347754,0.00157257553994525,-11.0623039238362
"39","caus",0.00295235338605615,0.00122385251704375,0.000412057063068165,0.000329180427934556,0.000210433484245867,-1.27043570366502
"40","cell",0.0594037403945808,0.0168371849452564,1.95287707615244e-06,0.00111398144817588,8.73167984422683e-07,-1.81890282364527
"41","certain",0.00134639265739816,0.000758361860798898,1.95287707615244e-06,0.000656180853035109,0.00231476832670453,-0.82814089822267
"42","chain",3.92153201183929e-05,0.00391981923446183,0.000119125501645299,0.000547180711334925,8.73167984422683e-07,6.64322593731178
"43","chang",0.000113911167962951,0.00198027483344162,0.00289221094978177,0.00172438224169691,0.00313554623206185,4.11971956702572
"44","charact",0.000113911167962951,0.00130143429308455,0.000412057063068165,0.000285580371254482,8.73167984422683e-07,3.5141213723481
"45","chemic",1.86739619611395e-06,0.00215483382953344,1.95287707615244e-06,0.00782839017690723,8.73167984422683e-07,10.1723328550999
