"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00280645054908815,6.79717237629146e-06,0.00114206245522357,0.00247794592268522,0.000330874376220439,-8.6895962132302
"2","academ",0.000464993569237872,0.00265769439912996,4.21425260230099e-06,0.00039804920031557,5.4241701019744e-06,2.51489255336433
"3","access",0.00109158064835274,6.79717237629146e-06,0.000509924564878419,3.58602883167181e-06,5.4241701019744e-06,-7.32726829835145
"4","activ",0.000102232628697688,0.00224986405655247,0.00017278435669434,0.00118697554328337,5.4241701019744e-06,4.45991020487611
"5","actual",0.00399366817267421,6.79717237629146e-06,0.00206919802772978,0.0020476224628846,0.000656324582338902,-9.19856404123856
"6","addit",0.00112455891567457,6.79717237629146e-06,4.21425260230099e-06,0.000900093236749624,5.4241701019744e-06,-7.37020882056841
"7","age",0.00102562411370907,6.79717237629146e-06,4.21425260230099e-06,3.58602883167181e-06,0.00022239097418095,-7.23735166167484
"8","air",3.29782673218349e-06,0.00136623164763458,0.000594209616924439,0.000900093236749624,5.4241701019744e-06,8.6944707996347
"9","allow",0.00217986346997329,0.000686514410005438,4.21425260230099e-06,0.00154557842645055,5.4241701019744e-06,-1.66687587030013
"10","alreadi",0.00122349371764007,6.79717237629146e-06,0.00244848076193687,0.000613210930215879,5.4241701019744e-06,-7.49185626816504
"11","alway",0.00115753718299641,0.000890429581294182,0.00244848076193687,3.58602883167181e-06,0.00049359947927967,-0.378485110311343
"12","anoth",0.00119051545031824,6.79717237629146e-06,0.00194277044966075,0.00269310765258553,0.000873291386417878,-7.4524359184314
"13","archiv",0.00132242851960558,6.79717237629146e-06,4.21425260230099e-06,3.58602883167181e-06,5.4241701019744e-06,-7.60403931799915
"14","art",3.29782673218349e-06,0.00129825992387167,4.21425260230099e-06,3.58602883167181e-06,5.4241701019744e-06,8.62084793649151
"15","ask",0.00185008079675494,6.79717237629146e-06,0.00147920266340764,3.58602883167181e-06,0.00125298329355609,-8.08843785215303
"16","attempt",6.92543613758533e-05,0.00102637302882001,4.21425260230099e-06,3.58602883167181e-06,5.4241701019744e-06,3.88950642500209
"17","author",0.00102562411370907,6.79717237629146e-06,4.21425260230099e-06,3.58602883167181e-06,5.4241701019744e-06,-7.23735166167484
"18","award",3.29782673218349e-06,0.0165239260467645,4.21425260230099e-06,3.58602883167181e-06,5.4241701019744e-06,12.2907532864845
"19","away",0.00138838505424925,6.79717237629146e-06,0.00105777740317755,3.58602883167181e-06,5.96658711217184e-05,-7.67425731461063
"20","bacteria",3.29782673218349e-06,0.0014342033713975,4.21425260230099e-06,0.000254608047048698,5.4241701019744e-06,8.76451829716295
"21","barrier",3.62760940540184e-05,0.00408510059815117,4.21425260230099e-06,3.94463171483899e-05,5.4241701019744e-06,6.81520867052966
"22","begin",0.00188305906407677,6.79717237629146e-06,4.21425260230099e-06,3.58602883167181e-06,5.4241701019744e-06,-8.11392782690708
"23","believ",0.00175114599478943,6.79717237629146e-06,0.00118420498124658,3.58602883167181e-06,5.4241701019744e-06,-8.00914894234839
"24","best",0.000135210896019523,0.00211392060902664,0.00135277508533862,0.000649071218532597,5.4241701019744e-06,3.96663787396829
"25","better",0.00112455891567457,0.000210712343665036,0.00223776813182182,3.58602883167181e-06,0.00136146669559557,-2.41601251018153
"26","biolog",3.29782673218349e-06,0.00184203371397499,4.21425260230099e-06,0.00871763608979416,5.4241701019744e-06,9.12556814980964
"27","bit",0.0010586023810309,6.79717237629146e-06,0.0034177588604661,3.58602883167181e-06,0.00103601648947711,-7.28301037866654
"28","bodi",0.00135540678692742,0.0014342033713975,0.00177420034556871,0.000541490353582443,0.00125298329355609,0.081523713481269
"29","book",0.00155327639085842,6.79717237629146e-06,4.21425260230099e-06,3.58602883167181e-06,5.4241701019744e-06,-7.83616414115702
"30","bring",0.00145434158889292,6.79717237629146e-06,0.000931349825108517,3.58602883167181e-06,5.4241701019744e-06,-7.74121573710175
"31","build",0.00168518946014576,6.79717237629146e-06,0.000678494668970458,0.000684931506849315,5.4241701019744e-06,-7.95376037248185
"32","busi",0.00155327639085842,6.79717237629146e-06,0.000636352142947448,3.58602883167181e-06,0.00049359947927967,-7.83616414115702
"33","call",0.00432345084589256,0.00129825992387167,0.00240633823591386,0.00021874775873198,0.00217509221089173,-1.73560403373024
"34","came",0.00138838505424925,7.47688961392061e-05,0.00029921193476337,3.58602883167181e-06,5.4241701019744e-06,-4.21482569597333
"35","campus",3.29782673218349e-06,0.00116231647634584,4.21425260230099e-06,3.58602883167181e-06,5.4241701019744e-06,8.46127162334167
"36","carbon",3.29782673218349e-06,0.00129825992387167,4.63567786253108e-05,0.00021874775873198,5.4241701019744e-06,8.62084793649151
"37","card",0.00125647198496191,6.79717237629146e-06,8.84993046483207e-05,7.5306605465108e-05,5.4241701019744e-06,-7.53022807903756
"38","care",0.00175114599478943,6.79717237629146e-06,0.00131063255931561,0.00021874775873198,0.000439357778259926,-8.00914894234839
"39","career",0.000267123965306863,0.00102637302882001,4.63567786253108e-05,3.58602883167181e-06,5.4241701019744e-06,1.94197384489622
"40","case",0.00231177653926063,6.79717237629146e-06,0.000973492351131527,0.000828372660116188,0.00526686916901714,-8.40985152555486
"41","chang",0.00161923292550209,6.79717237629146e-06,0.00021492688271735,0.00097181381338306,0.00732805380776741,-7.89616010585893
"42","children",0.00128945025228374,6.79717237629146e-06,4.21425260230099e-06,3.58602883167181e-06,5.4241701019744e-06,-7.56760568885159
"43","chip",0.0017181677274676,6.79717237629146e-06,0.000383496986809389,0.00280068851753568,0.0120470817964851,-7.98172045382274
"44","christ",0.00132242851960558,6.79717237629146e-06,0.00025706940874036,3.58602883167181e-06,5.4241701019744e-06,-7.60403931799915
"45","church",0.00132242851960558,6.79717237629146e-06,4.21425260230099e-06,3.58602883167181e-06,5.4241701019744e-06,-7.60403931799915
"46","citi",0.00165221119282393,0.00150217509516041,0.00202705550170677,3.58602883167181e-06,5.4241701019744e-06,-0.13734512534801
"47","claim",0.00109158064835274,6.79717237629146e-06,4.63567786253108e-05,3.94463171483899e-05,5.4241701019744e-06,-7.32726829835145
