"","x"
"blockchain",2257
"use",1585
"data",1299
"think",1212
"transact",1000
"now",994
"realli",994
"secur",848
"need",841
"peopl",838
"actual",816
"bitcoin",810
"time",789
"system",778
"work",777
"don",756
"talk",739
"network",695
"technolog",687
"block",684
"differ",672
"question",571
"bank",564
"someth",556
"mean",540
"call",525
"first",522
"chain",515
"key",505
"let",489
"sort",487
"start",477
"hash",468
"money",465
"year",463
"might",460
"digit",456
"compani",448
"public",448
"record",442
"creat",427
"servic",426
"ledger",425
"case",424
"inform",415
"provid",410
"valu",407
"busi",402
"mani",402
"tri",398
"chang",395
"contract",395
"littl",391
"central",387
"happen",381
"number",374
"basic",372
"bit",371
"financ",369
"node",369
"good",368
"trust",368
"give",367
"today",365
"point",355
"world",355
"mayb",350
"exchang",347
"applic",341
"market",339
"function",331
"problem",331
"process",327
"currenc",326
"interest",325
"everi",321
"exampl",321
"part",319
"abl",313
"privat",307
"decentr",306
"anoth",303
"import",297
"develop",296
"help",294
"solut",294
"user",291
"risk",290
"build",289
"cost",284
"base",283
"person",282
"access",280
"store",280
"document",279
"manag",279
"day",273
"big",271
"project",265
"send",262
"keep",261
"control",259
"share",259
"set",258
"second",254
"issu",252
"cour",246
"understand",244
"idea",242
"read",241
"thank",241
"comput",240
"proof",238
"smart",238
"probabl",237
"move",234
"govern",233
"crypto",231
"trade",226
"code",225
"account",224
"databa",224
"challeng",217
"end",217
"dollar",216
"platform",211
"last",210
"distribut",208
"product",204
"asset",203
"type",203
"real",202
"address",200
"doesn",198
"may",198
"countri",196
"open",195
"find",194
"verifi",193
"allow",192
"side",191
"place",190
"alreadi",189
"payment",189
"token",189
"ask",188
"certain",188
"consensus",188
"parti",188
"requir",187
"connect",185
"done",185
"law",185
"valid",185
"solv",184
"paper",182
"whole",182
"cryptocurr",181
"learn",181
"level",181
"togeth",179
"custom",178
"messag",178
"regul",178
"high",177
"state",175
"suppli",175
"organ",174
"particular",174
"oper",173
"reason",173
"everyon",172
"model",171
"order",170
"term",170
"possibl",168
"futur",167
"hundr",165
"yes",165
"becom",163
"vote",163
"name",162
"everyth",161
"singl",160
"alway",158
"show",158
"attack",157
"internet",157
"pay",157
"multipl",155
"bring",154
"without",154
"million",153
"particip",151
"built",150
"coin",149
"concept",149
"fact",149
"tell",149
"libra",148
"protect",148
"four",147
"impact",147
"implement",147
"inaud",147
"across",146
"price",146
"privaci",146
"current",145
"track",145
"design",144
"pretti",144
"third",144
"app",143
"exist",142
"fund",141
"complet",140
"file",140
"answer",139
"econom",139
"integr",139
"thousand",139
"buy",137
"add",136
"anybodi",136
"ecosystem",136
"author",135
"cloud",135
"industri",135
"mine",135
"power",135
"sign",135
"specif",135
"long",134
"event",133
"everybodi",133
"wallet",133
"within",133
"layer",132
"better",131
"clear",131
"ident",131
"potenti",131
"later",129
"live",129
"present",129
"sen",127
"small",127
"word",127
"focus",126
"hand",126
"step",126
"algorithm",125
"final",125
"rememb",125
"whatev",125
"anyth",124
"signatur",124
"made",123
"peer",123
"softwar",123
"somebodi",123
"form",122
"mention",122
"offer",122
"sell",121
"space",121
"devic",120
"goe",120
"invest",120
"permiss",120
"transpar",120
"check",118
"ten",118
"came",117
"full",117
"client",116
"consid",116
"exact",116
"legal",116
"video",115
"coupl",114
"generat",114
"global",114
"main",114
"area",113
"billion",113
"filter",113
"individu",113
"quit",113
"someon",113
"educ",110
"includ",110
"social",110
"general",109
