"","V1"
"Youtube Corpus--YaryeRoSg.txt",5
"Youtube Corpus_HWqqvjAT4k.txt",4
"Youtube Corpus_iHGdiKW-uY.txt",4
"Youtube Corpus00WvikwGCDY.txt",4
"Youtube Corpus1jWyppnc658.txt",4
"Youtube Corpus2XAXKNcsb1M.txt",4
"Youtube Corpus3aAbPtNoe4o.txt",4
"Youtube Corpus4gxVJnCHdoY.txt",4
"Youtube Corpus4IypP9KBeno.txt",4
"Youtube Corpus4vnjd7Yn1es.txt",4
"Youtube Corpus5jBVrD5vBng.txt",1
"Youtube Corpus67k1CePkwXY.txt",2
"Youtube Corpus6F6243f1lAQ.txt",4
"Youtube Corpus78trGR7w65s.txt",4
"Youtube Corpus7JHIbv-jMno.txt",4
"Youtube Corpus8dK5KCUvEng.txt",4
"Youtube Corpus8DmKum_Uhcg.txt",2
"Youtube Corpus97wbrlEwYBc.txt",2
"Youtube Corpus9ltpbCDmirU.txt",5
"Youtube Corpus9oHikZI6PKY.txt",5
"Youtube CorpusAehFirVxXzk.txt",1
"Youtube CorpusaJHuwq6767U.txt",2
"Youtube CorpusAS9D5CjqJKQ.txt",4
"Youtube CorpusazjLWAQ02L8.txt",5
"Youtube Corpusb9eBWdgMu2k.txt",4
"Youtube CorpusBlGHm8egNxo.txt",4
"Youtube CorpusBPDKNMyyMmw.txt",5
"Youtube CorpusBSYgD5SDQf8.txt",4
"Youtube CorpusbuoOnJtKWLY.txt",5
"Youtube Corpusc6JztusgkUk.txt",1
"Youtube Corpusc9sC1wJpsQQ.txt",1
"Youtube CorpuscasVdmKC-S0.txt",3
"Youtube CorpuscdZfkjO0Ens.txt",5
"Youtube CorpuscfbKR48nSyQ.txt",3
"Youtube CorpusCi9qkEOpW6U.txt",4
"Youtube CorpusCJ9kepa7u-w.txt",4
"Youtube CorpusCJKjyyJsgK8.txt",3
"Youtube CorpusDfoscsMqfrE.txt",1
"Youtube CorpusDlopgmDvZaQ.txt",1
"Youtube CorpusdpE3XdPd9n0.txt",4
"Youtube CorpusdunJ1umteQg.txt",4
"Youtube Corpusea8Eqwc7OPY.txt",4
"Youtube CorpusFJjPm6GihGE.txt",5
"Youtube Corpusg8GrfFSTrzw.txt",4
"Youtube CorpusGozrhOnJro4.txt",4
"Youtube CorpusH38uvvnM1nE.txt",5
"Youtube CorpushkPUOZhonPc.txt",2
"Youtube CorpushOJZhsNtB6g.txt",5
"Youtube CorpushuhRfHLaNGA.txt",4
"Youtube CorpusHWO7AshgPFI.txt",4
"Youtube Corpusi5z9w3KmiJo.txt",2
"Youtube CorpusigNL1rkKNhA.txt",4
"Youtube CorpusiwMXzu24jbc.txt",3
"Youtube CorpusixpI6RKBzWQ.txt",4
"Youtube CorpusJ4OhwjwOScw.txt",4
"Youtube CorpusjBuCz32gTHw.txt",4
"Youtube CorpusJTbUQYINNEU.txt",2
"Youtube Corpusk6mVLaUyO4U.txt",4
"Youtube CorpuskFZHob0T5U8.txt",5
"Youtube CorpusKvpfUnxvEmI.txt",5
"Youtube Corpusl699fFaVoQQ.txt",4
"Youtube CorpusLFuOcNs0ycA.txt",4
"Youtube CorpusLKqsj-HNTDg.txt",3
"Youtube CorpusLMmB5VK0nQo.txt",1
"Youtube CorpusLOa273lNdWo.txt",1
"Youtube CorpusMkscJx9LSFE.txt",2
"Youtube CorpusMT8m_a06I_c.txt",5
"Youtube CorpusnJd_2mJ4u-I.txt",4
"Youtube CorpusNlOVLjEw0I4.txt",2
"Youtube Corpuso2DOYTpI8m0.txt",4
"Youtube Corpuso5Z2sG5tBgU.txt",4
"Youtube CorpusObGhB9CCHP8.txt",4
"Youtube CorpusOH7pGS-Gr8w.txt",3
"Youtube CorpusOjGkrwP7DMc.txt",5
"Youtube Corpusp-2J0H5i6-4.txt",5
"Youtube CorpusP9yVKH4w45c.txt",2
"Youtube CorpusPActtn3sXNA.txt",4
"Youtube CorpusPC4LH6G-7-o.txt",4
"Youtube CorpusPk0dL_4j-DA.txt",4
"Youtube CorpusPM10Q9HDnTo.txt",2
"Youtube Corpusppi0ssQPC3I.txt",5
"Youtube CorpuspTOxuke9Rm4.txt",3
"Youtube CorpuspYJWL3bHy48.txt",2
"Youtube CorpusQHBV5FLClRs.txt",4
"Youtube CorpusQMUwOCyUXP0.txt",4
"Youtube CorpusqTaTdmXif5Q.txt",4
"Youtube Corpusr-1B3P5FiRA.txt",4
"Youtube CorpusrD-IJAHCAZ4.txt",5
"Youtube CorpusRf22WdJTxdw.txt",4
"Youtube CorpusRpBaisY94mk.txt",3
"Youtube CorpusRq6z5ubRIWs.txt",4
"Youtube CorpusRq90p1CQPP4.txt",5
"Youtube CorpusScmK-bKJ4MI.txt",2
"Youtube CorpussORlCf0czPk.txt",5
"Youtube CorpusspT7vCeR0-Y.txt",4
"Youtube CorpussqKkdlzmuvk.txt",5
"Youtube CorpusSvjOYCzIgpw.txt",3
"Youtube Corpust0ZubwA9JYg.txt",5
"Youtube CorpustrW7MwDx77M.txt",4
"Youtube CorpusTYFVap21JFY.txt",5
