"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abil",5.35403560433677e-06,0.00108011338206773,0.00046722973840269,9.74896417255667e-06,0.0022742306359656,7.65634031519328
"2","abl",0.00327131575424977,0.000960763837087871,0.00400996072189562,0.000107238605898123,0.00195924024317258,-1.76761726359403
"3","abraham",0.00107616115647169,5.96747724899299e-06,5.13439272969989e-06,9.74896417255667e-06,6.29980785586039e-06,-7.49455726306885
"4","access",5.35403560433677e-06,0.00525734745636282,0.0160757836366904,9.74896417255667e-06,0.00107726714335213,9.93949263703049
"5","across",5.35403560433677e-06,0.00197523496941668,0.00205889148460966,9.74896417255667e-06,0.000447286357766088,8.5271818349173
"6","activ",0.00016597510373444,0.00125913769953752,5.13439272969989e-06,0.000594686814525957,0.000762276750559108,2.92339730643039
"7","actual",0.0100174006157141,0.00370580337162464,0.00411264857648962,0.00176456251523276,0.0100859923772325,-1.43464995691022
"8","add",0.00102262080042832,0.000960763837087871,0.000929325084075681,9.74896417255667e-06,6.29980785586039e-06,-0.0900175218110512
"9","africa",5.35403560433677e-06,0.0028106817842757,5.13439272969989e-06,9.74896417255667e-06,6.29980785586039e-06,9.03607767772286
"10","african",5.35403560433677e-06,0.00197523496941668,5.13439272969989e-06,9.74896417255667e-06,6.29980785586039e-06,8.5271818349173
"11","agent",0.00016597510373444,0.00125913769953752,0.000107822247323698,9.74896417255667e-06,6.29980785586039e-06,2.92339730643039
"12","agr",0.00107616115647169,5.96747724899299e-06,5.13439272969989e-06,9.74896417255667e-06,0.000825274829117712,-7.49455726306885
"13","algorithm",5.35403560433677e-06,0.00108011338206773,5.13439272969989e-06,9.74896417255667e-06,0.000195294043531672,7.65634031519328
"14","allow",5.88943916477045e-05,0.0022139340593764,0.0048314635586476,0.00049719717280039,6.29980785586039e-06,5.23233818609359
"15","almost",0.00102262080042832,5.96747724899299e-06,5.13439272969989e-06,0.00176456251523276,0.000699278672000504,-7.42093439992567
"16","along",0.00150448400481863,0.000662389974638222,0.000261854029214695,9.74896417255667e-06,0.00095127098623492,-1.18351602576074
"17","alreadi",5.88943916477045e-05,0.00191556019692675,0.00139142042974867,9.74896417255667e-06,0.00101426906479352,5.02349229659509
"18","alway",0.00252175076964262,5.96747724899299e-06,5.13439272969989e-06,9.74896417255667e-06,6.92978864144643e-05,-8.7230888215027
"19","analysi",5.35403560433677e-06,0.00263165746680591,5.13439272969989e-06,0.000107238605898123,6.29980785586039e-06,8.9411292736676
"20","anoth",0.00407442109490028,5.96747724899299e-06,0.00185351577542166,0.00020472824762369,0.00290421142155164,-9.41525821539347
"21","answer",0.000915540088341588,0.00155751156198717,0.000621261520293687,9.74896417255667e-06,6.29980785586039e-06,0.766547909794067
"22","anyth",0.00273591219381609,0.000602715202148292,0.000672605447590686,0.000302217889349256,6.29980785586039e-06,-2.18247357007575
"23","appli",0.00102262080042832,5.96747724899299e-06,0.00159679613893667,9.74896417255667e-06,6.29980785586039e-06,-7.42093439992567
"24","applic",5.35403560433677e-06,0.00149783678949724,0.00560162246810258,9.74896417255667e-06,0.00397517875704791,8.12803798206085
"25","architectur",5.35403560433677e-06,0.0016171863344771,5.13439272969989e-06,9.74896417255667e-06,6.29980785586039e-06,8.23864346946395
"26","area",0.000487217239994646,0.00215425928688647,5.13439272969989e-06,9.74896417255667e-06,6.29980785586039e-06,2.14455481479856
"27","art",0.00289653326194619,5.96747724899299e-06,5.13439272969989e-06,0.0153156227150865,6.29980785586039e-06,-8.92299035571674
"28","artist",0.00161156471690537,5.96747724899299e-06,5.13439272969989e-06,0.00312941749939069,6.29980785586039e-06,-8.07712524864962
"29","artwork",0.0013974032927319,5.96747724899299e-06,5.13439272969989e-06,9.74896417255667e-06,6.29980785586039e-06,-7.8714115684598
"30","ask",0.00257529112568599,0.0016171863344771,0.00098066901137268,9.74896417255667e-06,6.29980785586039e-06,-0.67124961430609
"31","aspect",0.00129032258064516,0.000960763837087871,5.13439272969989e-06,9.74896417255667e-06,0.000384288279207484,-0.425478030005264
"32","authent",0.00541292999598447,0.00298970610174549,0.00447205606756861,9.74896417255667e-06,0.000825274829117712,-0.856406060597726
