"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00307818187201187,0.00180433259289334,0.00213311084156227,0.0029971138195573,0.000633622786675597,-0.770613179416977
"2","action",0.00116721498556906,0.000330768181668545,0.00100158599992912,0.00030666065671284,0.000220671072345269,-1.81917794500216
"3","activ",0.000898064719872889,0.00299572509558573,0.000267960003705433,0.002181052196704,0.00210476326897739,1.73801391714991
"4","actual",0.00819203692023911,0.00418711759827812,0.00557120555267839,0.00497351306240512,1.29047410728227e-06,-0.968264779556413
"5","add",0.00100572482615136,1.56762171406894e-06,0.00234449460318605,0.000415043840998043,1.29047410728227e-06,-9.32544244979698
"6","affect",0.000171359002493229,0.00197677098144093,6.2171694595228e-07,0.000848576578138856,0.000143242625908332,3.52805184530092
"7","agent",0.00126590341632432,9.5624924558205e-05,6.2171694595228e-07,6.37548142854137e-07,1.29047410728227e-06,-3.72663682202593
"8","air",8.97167552320569e-07,0.00197677098144093,0.000796419407764871,6.37548142854137e-07,0.000685241750966888,11.1054806733367
"9","alert",8.97167552320569e-07,0.00108322660442163,0.000622338662898233,6.37548142854137e-07,2.70999562529278e-05,10.2376700133967
"10","algorithm",0.00332938878666163,1.56762171406894e-06,2.54903947840435e-05,6.37548142854137e-07,0.000143242625908332,-11.0524641726891
"11","allow",0.00147225195335805,0.000440501701653371,0.00141813635371715,0.000995212650995309,0.00185957318859376,-1.74080509028434
"12","alreadi",0.00118515833661547,1.56762171406894e-06,0.00177873218236947,0.000925082355281353,1.4195215180105e-05,-9.56228663823838
"13","amount",0.000817319640164038,0.00191406611287817,0.000379869053976844,0.000236530360998885,0.00013033788483551,1.2276683541938
"14","anim",0.000153415651446817,0.00116160769012508,6.2171694595228e-07,0.000504300580997622,0.000956241313496165,2.92060533042838
"15","anoth",0.00227970275044657,0.00134972229581335,0.00189064123264089,0.00154350405384987,0.000801384420622293,-0.756183119648063
"16","answer",0.00284491830840852,1.56762171406894e-06,0.000846156763441054,0.00138411701813633,1.4195215180105e-05,-10.8255940490954
"17","anxieti",8.97167552320569e-07,0.00141242716437611,6.2171694595228e-07,0.000204652953856178,1.29047410728227e-06,10.620511408822
"18","appli",0.00131973346946356,0.000330768181668545,0.000454475087491117,0.000421419322426585,0.00069814649203971,-1.9963542295392
"19","applic",0.00102366817719777,0.000111301141698894,0.00371227188428107,6.37548142854137e-07,0.00201443008146763,-3.20120784377555
"20","approach",0.00257576804271235,0.000503206570216128,6.83888640547508e-06,0.000937833318138436,0.000465861152728901,-2.35578001507643
"21","architectur",0.0012300167142315,1.56762171406894e-06,0.000255525664786387,6.37548142854137e-07,0.00078847967954947,-9.61588474277078
"22","area",0.000781432938071215,0.00119296012440646,0.000535298290464914,0.00119922805670863,0.00222090593863279,0.610351847913129
"23","argandona",8.97167552320569e-07,0.00102052173585888,6.2171694595228e-07,6.37548142854137e-07,1.29047410728227e-06,10.1516418461741
"24","array",0.00136459184707959,0.000158329793120962,6.2171694595228e-07,6.37548142854137e-07,0.000440051670583256,-3.10746484196425
"25","artifici",0.00236044783015542,1.56762171406894e-06,6.2171694595228e-07,6.37548142854137e-07,0.000775574938476647,-10.5562674201574
"26","ask",0.00201055248475039,1.56762171406894e-06,0.00130001013398622,0.00292698352384334,1.29047410728227e-06,-10.3247988205019
"27","associ",4.5755545168349e-05,0.0017259515071899,0.000124965106136409,0.0012247299824228,0.000143242625908332,5.23730152460132
"28","attent",0.00232456112806259,9.5624924558205e-05,6.27934115411804e-05,0.000281158730998674,1.29047410728227e-06,-4.60342784960876
"29","base",0.00310509689858149,0.000722673610185779,0.00166060596263854,0.00105896746528072,0.00219509645648715,-2.10322217272766
"30","basic",0.00428935806764464,0.00117728390726577,0.00308433776886927,0.000529802506711788,0.000646527527748419,-1.86529947982498
"31","batteri",8.97167552320569e-07,0.00439090842110709,6.2171694595228e-07,7.01302957139551e-06,1.29047410728227e-06,12.256854381083
"32","bed",8.97167552320569e-07,0.00139675094723542,6.2171694595228e-07,6.37548142854137e-07,7.87189205442187e-05,10.6044097345304
"33","better",0.00237839118120183,0.00111457903870301,0.0011321465585791,0.00169651560813486,0.000517480117020192,-1.0934870922394
"34","big",0.00184009064980949,0.000612940090200953,0.00111971221966006,0.000842201096710315,0.000401337447364787,-1.58595886616405
"35","bit",0.00287183333497814,0.000816730913029915,0.00326463568319543,0.00190690649527673,0.000814289161695115,-1.81403928625863
"36","block",0.000503310996851839,0.00108322660442163,0.000970500152631511,6.37548142854137e-07,0.000311004259855028,1.10581305278791
"37","blood",8.97167552320569e-07,0.00177298015861197,6.2171694595228e-07,0.000236530360998885,1.29047410728227e-06,10.9485113269983
"38","bodi",4.5755545168349e-05,0.00249408614708367,4.41419031626119e-05,0.000434170285283667,0.00139500250997214,5.768420891368
"39","brain",0.000745546235978392,0.00293302022702298,6.2171694595228e-07,0.00158813242384966,0.0140545535024113,1.97601728947889
"40","breath",8.97167552320569e-07,0.00116160769012508,6.2171694595228e-07,0.000115396213856599,1.29047410728227e-06,10.3384578453143
"41","build",0.00259371139375876,1.56762171406894e-06,0.00371848905374059,0.000778446282424902,0.000401337447364787,-10.6922247804686
"42","bunch",0.00100572482615136,1.56762171406894e-06,0.000423389240193503,0.000128147176713682,1.29047410728227e-06,-9.32544244979698
"43","call",0.00268342814899082,0.00323086835269607,0.00452672108347856,0.00142236990670758,0.0026209529118903,0.267844707428351
"44","cancer",8.97167552320569e-07,0.0064288166493967,6.2171694595228e-07,8.98942881424334e-05,1.29047410728227e-06,12.8068881413357
"45","case",0.00306023852096546,0.000142653575980273,0.0019217270799385,0.0010717184281378,4.00046973257505e-05,-4.42305628640626
"46","caus",0.000117528949353994,0.00106755038728094,0.000292828681543524,0.000689189542425322,0.000543289599165837,3.18321609948307
"47","cell",0.000207245704586051,0.0092348595175801,6.83888640547508e-06,6.37548142854137e-07,0.000465861152728901,5.47767590925501
"48","certain",0.000933951421965712,0.00100484551871819,0.000902111288576759,0.00126935835242259,0.000181956849126801,0.105554306327771
"49","chang",0.00175934557010064,0.00207082828428506,0.00286051966832644,0.00260183397098773,0.00161438310821012,0.235169044063125
"50","charg",8.97167552320569e-07,0.00161621798720507,0.000267960003705433,6.37548142854137e-07,0.000220671072345269,10.8149567303766
"51","chris",8.16422472611718e-05,0.00105187417014026,5.03590726221348e-05,6.37548142854137e-07,1.29047410728227e-06,3.68750242900993
"52","class",0.00113132828347624,1.56762171406894e-06,0.00103888901668626,0.000217403916713261,0.000181956849126801,-9.49522444731977
"53","combin",0.00150813865545088,0.00163189420434576,0.000218222648029251,6.37548142854137e-07,1.29047410728227e-06,0.113778457071698
"54","common",0.00126590341632432,0.00045617791879406,0.000609904323979187,0.000268407768141592,0.000672337009894065,-1.47249881668053
"55","compar",0.00122104503870829,0.000518882787356817,0.000230656986948296,0.000478798655283457,0.000388432706291965,-1.23463583168833
"56","complex",0.001077498230337,0.000409149267371992,0.000156050953434023,0.000421419322426585,0.000246480554490914,-1.3969863261273
"57","comput",0.00367031245654345,1.56762171406894e-06,0.000802636577224394,6.37548142854137e-07,0.0104541307430937,-11.1931097088796
"58","concept",0.00108646990586021,0.000362120615949924,0.000336348867760184,0.000160024583856388,0.000194861590199623,-1.58510599526982
"59","condit",0.000601999427607101,0.0012870174272506,0.000162268122893545,0.00077207080099636,0.000169052108053978,1.09619756858607
"60","connect",0.00210924091550566,0.000832407130170604,0.00277347929589313,0.00104621650242364,0.000672337009894065,-1.34136265984042
"61","context",0.0012300167142315,1.56762171406894e-06,0.000249308495326864,0.000708315986710946,1.29047410728227e-06,-9.61588474277078
"62","control",6.36988962147603e-05,0.00310545861557056,0.00148030804831238,0.000485174136711998,0.00716342176952391,5.60739415839325
"63","correspond",0.0010685265548138,1.56762171406894e-06,6.2171694595228e-07,2.61394738570196e-05,1.29047410728227e-06,-9.41282958485566
"64","cost",0.00126590341632432,0.00241570506138023,0.00092697996641485,0.000185526509570554,0.00102076501886028,0.932276986925969
"65","cour",0.00180420394771666,0.000769702261607847,0.00108240920290292,0.00146699827670737,1.29047410728227e-06,-1.22899003898221
"66","creativ",0.00490840367874583,1.56762171406894e-06,6.2171694595228e-07,7.01302957139551e-06,1.29047410728227e-06,-11.6124607273741
"67","current",0.00101469650167456,0.00131836986153197,0.000802636577224394,0.000893204948138646,0.000375527965219142,0.377706889273772
"68","data",0.00797671670768218,1.56762171406894e-06,0.00755448261026617,0.00437421780812224,5.29094383985732e-05,-12.3130018644888
"69","david",5.47272206915547e-05,0.00196109476430024,0.000124965106136409,5.80168809997265e-05,1.29047410728227e-06,5.16325684961138
"70","day",0.000198274029062846,0.00225894288997333,0.00144922220101477,0.00241056952813149,0.00098205079564181,3.51008017379176
"71","deep",0.00350882229712574,0.0017259515071899,1.30560558649979e-05,6.37548142854137e-07,1.29047410728227e-06,-1.02359495416013
"72","definit",0.00102366817719777,1.56762171406894e-06,0.00112592938911958,0.000657312135282615,1.4195215180105e-05,-9.35095496328023
"73","degr",0.000655829480746336,0.00106755038728094,6.2171694595228e-07,0.000147273620999306,0.000362623224146319,0.702911505068082
"74","depend",0.00125693174080112,0.00150648446722025,0.000833722424522008,0.000313036138141382,6.5814179471396e-05,0.26127949335138
"75","depress",8.97167552320569e-07,0.00108322660442163,6.2171694595228e-07,0.00135223961099363,1.4195215180105e-05,10.2376700133967
"76","depriv",8.97167552320569e-07,0.00108322660442163,6.2171694595228e-07,6.37548142854137e-07,1.29047410728227e-06,10.2376700133967
"77","design",0.00314098360067431,0.000973493084436808,0.000920762796955328,0.00185590264384839,0.00255642920652619,-1.68997377519958
"78","develop",0.000781432938071215,0.00183568502717472,0.00302216607427404,0.00272934359955856,0.0031887615190945,1.2321245649108
"79","diesel",8.97167552320569e-07,0.00123998877582853,6.83888640547508e-06,6.37548142854137e-07,1.29047410728227e-06,10.4326619974812
"80","differ",0.00686422894280467,0.00341898295838435,0.0039671758321215,0.00584057853668675,1.29047410728227e-06,-1.00553044008031
"81","direct",0.00131076179394035,0.00171027529004921,0.00102023750830769,0.000861327540995939,0.00224671542077844,0.383823036528557
"82","disea",8.97167552320569e-07,0.00189838989573748,6.2171694595228e-07,0.00121197901956571,1.29047410728227e-06,11.0471112627028
"83","display",0.00209129756445925,6.42724902768263e-05,6.2171694595228e-07,6.37548142854137e-07,0.000427146929510433,-5.02405317150233
"84","distribut",0.00159785541068293,0.000597263873060264,0.000746682052088689,6.37548142854137e-07,1.29047410728227e-06,-1.41969650059985
"85","doesn",0.00100572482615136,0.000534559004497507,0.000889676949657714,0.00113547324242322,1.4195215180105e-05,-0.911814520772807
"86","don",0.00252193798957312,0.00136539851295404,0.00453293825293808,0.00602546749811445,1.29047410728227e-06,-0.885210716773032
"87","done",0.00100572482615136,0.000848083347311294,0.0015673484207457,0.00135223961099363,0.00013033788483551,-0.245957665970164
"88","drug",9.86884307552626e-06,0.00222759045569196,6.2171694595228e-07,0.000153649102427847,1.4195215180105e-05,7.81838733361393
"89","duong",8.97167552320569e-07,0.0011302552558437,6.2171694595228e-07,6.37548142854137e-07,1.29047410728227e-06,10.2989835622493
"90","edg",0.00221690102178413,1.56762171406894e-06,0.000180919631272114,6.37548142854137e-07,2.70999562529278e-05,-10.4657511823203
"91","effect",0.000601999427607101,0.00395197434116778,0.000180919631272114,0.00267833974813023,0.000620718045602774,2.7147395596668
"92","effici",0.00124796006527791,0.0011302552558437,0.0001498337839745,6.37548142854137e-07,0.000207766331272446,-0.14292314229297
"93","electr",8.97167552320569e-07,0.00194541854715955,6.2171694595228e-07,6.37548142854137e-07,0.00206604904575892,11.0824155131388
"94","electron",8.97167552320569e-07,0.00109890282156232,6.2171694595228e-07,9.62697695709747e-05,0.00194990637610352,10.2583987470191
"95","encod",0.0016965438414382,0.000534559004497507,6.2171694595228e-07,6.37548142854137e-07,2.70999562529278e-05,-1.66617760591714
"96","end",0.00208232588893604,0.000534559004497507,0.00187198972426232,0.00127573383385113,0.00055619434023866,-1.96177476531186
"97","energi",8.97167552320569e-07,0.00796508592918426,6.2171694595228e-07,7.01302957139551e-06,1.29047410728227e-06,13.1160248618062
"98","engin",0.00219895767073771,0.00114593147298439,0.000348783206679229,6.37548142854137e-07,0.00236285809043384,-0.940299059905954
"99","equal",0.00157991205963652,1.56762171406894e-06,0.000684510357493461,6.37548142854137e-07,7.87189205442187e-05,-9.97705108082276
"100","evalu",0.00104161152824418,1.56762171406894e-06,0.000118747936676886,0.000650936653854074,1.29047410728227e-06,-9.37602414385712
"101","everi",0.00137356352260279,0.000644292524482332,0.00165438879317902,0.00110359583528051,0.000633622786675597,-1.09213587080966
"102","exact",0.0013915068736492,0.000346444398809235,0.00105132335560531,0.000574430876711578,1.4195215180105e-05,-2.00595229863621
"103","exampl",0.00751018958047548,0.00119296012440646,0.00136839899804097,0.00174114397813465,0.000169052108053978,-2.65430350562885
"104","excit",0.00122104503870829,1.56762171406894e-06,0.00077155072992678,0.00113547324242322,5.29094383985732e-05,-9.60532323849555
"105","express",0.000548169374467867,0.00194541854715955,0.000187136800731637,0.000663687616711157,1.29047410728227e-06,1.82738694332007
"106","factor",0.000673772831792747,0.00183568502717472,6.2171694595228e-07,0.000976086206709684,1.29047410728227e-06,1.44598437599539
"107","far",0.00102366817719777,0.000597263873060264,0.000497995273707777,0.000274783249570133,0.000569099081311483,-0.777307775786913
"108","fatigu",8.97167552320569e-07,0.00109890282156232,6.2171694595228e-07,3.2514955285561e-05,1.29047410728227e-06,10.2583987470191
"109","field",0.00104161152824418,7.99487074175156e-05,0.000585035646141096,0.000606308283854285,0.00282742876905546,-3.70359880188562
"110","final",0.00100572482615136,0.00102052173585888,0.000522863951545868,0.00063181020956845,2.70999562529278e-05,0.021071283368656
"111","find",0.00159785541068293,0.00105187417014026,0.00141191918425763,0.00254445463813086,0.00041424218843761,-0.603174731892988
"112","fine",0.00103263985272098,6.42724902768263e-05,0.000323914528841138,1.33885109999369e-05,1.29047410728227e-06,-4.0059920005057
"113","first",0.00421758466345899,0.00180433259289334,0.00351953963103586,0.00200891419813339,0.00698275539450439,-1.22495173405306
"114","food",8.97167552320569e-07,0.00127134121010991,5.65762420816576e-05,0.000262032286713051,0.00013033788483551,10.4686862172257
"115","form",0.00118515833661547,0.000675644958763711,0.000473126595869686,0.000249281323855968,0.00112400294744286,-0.810742579149282
"116","formula",0.00105058320376739,7.99487074175156e-05,6.2171694595228e-07,6.37548142854137e-07,1.29047410728227e-06,-3.71597190552127
"117","found",0.000404622566096576,0.00189838989573748,0.000193353970191159,0.000969710725281143,0.00102076501886028,2.2301276394474
"118","fuel",9.86884307552626e-06,0.00131836986153197,6.2171694595228e-07,6.37548142854137e-07,7.87189205442187e-05,7.06165848462629
"119","function",0.00332041711113842,0.000879435781592673,0.00247505516183603,0.000504300580997622,0.00144662147426343,-1.91671434668298
"120","game",0.00627209835827309,1.56762171406894e-06,0.000945631474793419,6.37548142854137e-07,0.000672337009894065,-11.9661550066326
"121","gas",8.97167552320569e-07,0.00120863634154715,6.2171694595228e-07,6.37548142854137e-07,0.000349718483073497,10.3957151629235
"122","gene",8.97167552320569e-07,0.00134972229581335,6.2171694595228e-07,0.000969710725281143,1.29047410728227e-06,10.5549975404053
"123","general",0.00260268306928197,0.000816730913029915,0.000628555832357756,0.00049154961814054,0.000401337447364787,-1.67206690491104
"124","generat",0.00505195048711712,0.00269787696991264,0.00046069225695064,6.37548142854137e-07,0.000220671072345269,-0.90501594050338
"125","genet",8.97167552320569e-07,0.00102052173585888,6.2171694595228e-07,0.000650936653854074,1.29047410728227e-06,10.1516418461741
"126","give",0.00201055248475039,0.00130269364439128,0.00430290298293574,0.00190053101384818,1.29047410728227e-06,-0.626094153731601
"127","given",0.00181317562323987,0.000503206570216128,0.00010631359775784,0.000453296729569292,0.000117433143762687,-1.84929600624898
"128","gluco",8.97167552320569e-07,0.00114593147298439,6.2171694595228e-07,6.37548142854137e-07,1.29047410728227e-06,10.3188557089609
"129","goe",0.000350792512957343,0.0011302552558437,0.000914545627495805,0.000663687616711157,1.29047410728227e-06,1.68795876494192
"130","good",0.00338321883980086,0.00175730394147128,0.00262426722886458,0.00302899122670001,0.000169052108053978,-0.945032759327789
"131","googl",0.00120310168766188,1.56762171406894e-06,0.000839939593981532,1.33885109999369e-05,2.70999562529278e-05,-9.58396540889603
"132","graph",0.00197466578265757,0.000299415747387167,0.000230656986948296,6.37548142854137e-07,1.29047410728227e-06,-2.72138648884736
"133","grid",9.9585598307583e-05,0.00280761048989746,0.0001498337839745,6.37548142854137e-07,9.16236616170414e-05,4.8172618686443
"134","gut",8.97167552320569e-07,0.0011302552558437,6.2171694595228e-07,7.71433252853506e-05,1.29047410728227e-06,10.2989835622493
"135","guy",0.000108557273830789,0.00131836986153197,0.000634773001817279,0.000670063098139698,1.29047410728227e-06,3.602226865989
"136","happen",0.000682744507315953,0.00211785693570713,0.00253100968697173,0.0028122248581296,1.29047410728227e-06,1.63318742883059
"137","heat",8.97167552320569e-07,0.00155351311864231,6.2171694595228e-07,6.37548142854137e-07,0.000181956849126801,10.7578693601949
"138","helen",8.97167552320569e-07,0.00111457903870301,6.2171694595228e-07,6.37548142854137e-07,1.29047410728227e-06,10.2788338626279
"139","hexokina",8.97167552320569e-07,0.00167892285576783,6.2171694595228e-07,6.37548142854137e-07,1.29047410728227e-06,10.8698708777587
"140","hierarchi",0.00148122362888126,1.56762171406894e-06,6.2171694595228e-07,6.37548142854137e-07,1.29047410728227e-06,-9.88399629190481
"141","high",0.00146328027783485,0.00321519213555539,0.000466909426410163,0.00108446939099489,0.0020531443046861,1.13569882277642
"142","higher",0.000476395970282222,0.00100484551871819,6.2171694595228e-07,0.000682814060996781,0.000594908563457129,1.07674060882303
"143","hope",0.00102366817719777,3.29200559954476e-05,0.00120675259209338,0.0015180021281357,2.70999562529278e-05,-4.95863754050147
"144","hour",8.97167552320569e-07,0.00241570506138023,0.000690727526952984,0.000542553469568871,0.000298099518782205,11.3947792595232
"145","human",0.00206438253788963,1.56762171406894e-06,6.2171694595228e-07,0.0029206080424148,0.00413080761741056,-10.3629171552156
"146","idea",0.00321275700485996,0.000409149267371992,0.000945631474793419,0.00163913627527799,0.000246480554490914,-2.97311269374219
"147","imag",0.00447776325363196,1.56762171406894e-06,0.00100780316938865,6.37548142854137e-07,0.000904622349204875,-11.479985075493
"148","immun",8.97167552320569e-07,0.00188271367859679,6.2171694595228e-07,9.62697695709747e-05,1.29047410728227e-06,11.0351485487141
"149","import",0.00239633453224824,0.00070699739304509,0.0021393280110218,0.00404906825526663,0.000362623224146319,-1.76105252437128
"150","improv",0.00119413001213868,0.00022103466168372,0.000709379035331552,0.000944208799566977,0.00153695466177319,-2.43361539050465
"151","includ",0.000736574560455187,0.0011302552558437,0.000417172070733981,0.00157538146099257,0.00138209776889932,0.617745150471465
"152","increa",0.000799376289117627,0.00208650450142575,0.00010631359775784,0.00113547324242322,0.00078847967954947,1.38414134739842
"153","individu",0.00104161152824418,0.000377796833090613,0.000112530767217363,0.00227030893670358,0.000143242625908332,-1.46313480762716
"154","induc",8.97167552320569e-07,0.00138107473009473,6.2171694595228e-07,6.37548142854137e-07,0.000117433143762687,10.5881263219289
"155","infer",0.0012300167142315,1.56762171406894e-06,2.54903947840435e-05,6.37548142854137e-07,1.29047410728227e-06,-9.61588474277078
"156","inform",0.00268342814899082,1.56762171406894e-06,0.00105754052506483,0.00408732114383787,0.000401337447364787,-10.7412840821109
"157","inhibit",8.97167552320569e-07,0.00105187417014026,6.2171694595228e-07,0.000102645250999516,1.29047410728227e-06,10.1952970692086
"158","input",0.00303332349439584,0.0006913211759044,0.000174702461812591,7.01302957139551e-06,1.29047410728227e-06,-2.13347134232741
"159","instead",0.00108646990586021,1.72438388547583e-05,0.000560166968303005,0.000370415470998254,0.000465861152728901,-5.97742341804858
"160","intellig",0.00382283094043794,1.56762171406894e-06,6.2171694595228e-07,6.37548142854137e-07,0.000207766331272446,-11.2518482231698
"161","interact",0.00136459184707959,0.00109890282156232,0.00065964167965537,0.000969710725281143,2.70999562529278e-05,-0.312405690705426
"162","interest",0.00204643918684322,0.00207082828428506,0.000871025441279145,0.00289510611670064,1.29047410728227e-06,0.0170921329431376
"163","jesus",8.97167552320569e-07,0.00119296012440646,6.2171694595228e-07,6.37548142854137e-07,1.29047410728227e-06,10.376880756512
"164","jose",8.97167552320569e-07,0.00120863634154715,6.2171694595228e-07,6.37548142854137e-07,1.29047410728227e-06,10.3957151629235
"165","knowledg",0.00291669171259417,3.29200559954476e-05,6.2171694595228e-07,0.000217403916713261,0.000349718483073497,-6.46922230490315
"166","known",0.000512282672375045,0.00111457903870301,0.000143616614514977,9.62697695709747e-05,0.00135628828675367,1.12148692726502
"167","label",0.00111338493242983,1.56762171406894e-06,0.000367434715057798,6.37548142854137e-07,1.29047410728227e-06,-9.47215928712191
"168","languag",0.00550950593880061,1.72438388547583e-05,0.000715596204791075,0.000555304432425954,1.29047410728227e-06,-8.31969815609882
"169","larg",0.00126590341632432,0.00070699739304509,0.00030526302046257,0.000784821763853443,0.00100786027778746,-0.840390536333435
"170","last",0.00128384676737073,0.000957816867296119,0.00151761106506952,0.00134586412956508,0.000375527965219142,-0.422651273899491
"171","layer",0.00468411179066569,0.00045617791879406,6.2171694595228e-07,6.37548142854137e-07,1.29047410728227e-06,-3.3601069874312
"172","learn",0.0148131334563649,1.56762171406894e-06,0.00131244447290526,0.00195153486527652,1.4195215180105e-05,-13.2060117672495
"173","less",0.000978809799581741,0.00160054177006438,0.000423389240193503,0.000740193393853653,0.00107238398315157,0.709459877562642
"174","let",0.00241427788329465,0.000942140650155429,0.00920203251703971,0.00102709005813802,1.29047410728227e-06,-1.35757738192079
"175","level",0.00299743679230302,0.0021648855871292,0.000852373932900577,0.00194515938384797,0.000814289161695115,-0.469438550068472
"176","life",8.97167552320569e-07,0.00139675094723542,0.000522863951545868,0.00195791034670506,0.000633622786675597,10.6044097345304
"177","light",7.2670571737966e-05,0.00313681104985194,0.00010631359775784,0.000319411619569923,0.00108528872422439,5.43178356202956
"178","line",0.000637886129699924,0.00133404607867266,0.00132487881182431,0.00035128902671263,0.000736860715258178,1.064437685075
"179","littl",0.00165168546382217,0.00183568502717472,0.00354440830887395,0.00298436285670022,4.00046973257505e-05,0.152379562159756
"180","load",8.97167552320569e-07,0.00171027529004921,0.00154247974290761,6.37548142854137e-07,1.29047410728227e-06,10.8965634993321
"181","logic",0.00135562017155638,1.56762171406894e-06,0.000622338662898233,6.37548142854137e-07,1.29047410728227e-06,-9.75615983215638
"182","low",0.000234160731155668,0.00191406611287817,0.00030526302046257,0.000198277472427637,0.000853003384913583,3.03106960142597
"183","lower",0.000413594241619782,0.00116160769012508,0.000118747936676886,0.000287534212427216,0.000362623224146319,1.48983490488494
"184","machin",0.00428935806764464,1.56762171406894e-06,0.00304703475211213,6.37548142854137e-07,0.00143371673319061,-11.4179685773392
"185","mani",0.00294360673916379,0.00122431255868784,0.00146165653993381,0.0030736195966998,0.00126595509924391,-1.26561302736799
"186","map",0.00120310168766188,0.000283739530246477,0.000410954901274457,3.2514955285561e-05,0.000762670197403825,-2.08411952181282
"187","mass",4.5755545168349e-05,0.00141242716437611,6.2171694595228e-07,6.37548142854137e-07,0.00027229003663656,4.94808606685049
"188","materi",8.97167552320569e-07,0.00125566499296922,0.000174702461812591,6.43923624282678e-05,0.000865908125986407,10.4507865454172
"189","matrix",0.00104161152824418,0.000126977358839584,6.83888640547508e-06,6.37548142854137e-07,1.29047410728227e-06,-3.03617414097249
"190","matt",8.97167552320569e-07,0.0033406018726809,0.000162268122893545,6.37548142854137e-07,1.29047410728227e-06,11.8624429907912
"191","mayb",0.00153505368202049,0.000816730913029915,0.00177873218236947,0.00203441612384755,1.29047410728227e-06,-0.910356369202458
"192","mean",0.00510578054025636,0.00202379963286299,0.00188442406318136,0.00305449315241417,1.29047410728227e-06,-1.33506506581699
"193","measur",0.000637886129699924,0.00131836986153197,0.000560166968303005,0.00154350405384987,0.00121433613495262,1.04738435364418
"194","mechan",0.00111338493242983,0.00205515206714437,6.2171694595228e-07,0.00030666065671284,0.000285194777709383,0.884292683099845
"195","memori",0.0018670056763791,0.00111457903870301,0.000379869053976844,1.33885109999369e-05,0.000865908125986407,-0.744227387107471
"196","metabol",8.97167552320569e-07,0.00145945581579818,6.2171694595228e-07,6.37548142854137e-07,1.29047410728227e-06,10.6677654705672
"197","method",0.00120310168766188,0.00020535844454303,0.000410954901274457,0.000313036138141382,0.000607813304529951,-2.55054240735858
"198","mice",8.97167552320569e-07,0.00119296012440646,6.2171694595228e-07,6.37548142854137e-07,0.000104528402689864,10.376880756512
"199","michael",8.97167552320569e-07,0.00227461910711402,0.000205788309110205,7.07678438568093e-05,1.29047410728227e-06,11.3079599170752
"200","micro",8.97167552320569e-07,0.00120863634154715,6.2171694595228e-07,6.37548142854137e-07,0.000685241750966888,10.3957151629235
"201","might",0.00297949344125661,1.56762171406894e-06,0.00230097441696939,0.00241056952813149,1.29047410728227e-06,-10.8922738944943
"202","minut",8.97167552320569e-07,0.00125566499296922,0.000914545627495805,0.00101433909528093,0.000543289599165837,10.4507865454172
"203","mitochondria",8.97167552320569e-07,0.00122431255868784,6.2171694595228e-07,6.37548142854137e-07,1.29047410728227e-06,10.4143068511504
"204","model",0.0168766188267022,0.000252387095965099,0.00143678786209572,0.000829450133853232,1.4195215180105e-05,-6.06324393354975
"205","mous",8.97167552320569e-07,0.00105187417014026,6.2171694595228e-07,6.37548142854137e-07,0.000220671072345269,10.1952970692086
"206","move",0.000924979746442506,0.00116160769012508,0.00177873218236947,0.00121835450099426,0.00282742876905546,0.328629227946174
"207","multipl",0.00104161152824418,1.56762171406894e-06,0.00108862637236244,0.000281158730998674,0.000427146929510433,-9.37602414385712
"208","mutat",8.97167552320569e-07,0.00235300019281747,6.83888640547508e-06,6.37548142854137e-07,1.29047410728227e-06,11.3568363746291
"209","nano",8.97167552320569e-07,0.00150648446722025,6.2171694595228e-07,6.37548142854137e-07,1.29047410728227e-06,10.7135207337822
"210","natur",0.00203746751132001,0.00136539851295404,6.2171694595228e-07,0.000395917396712419,0.000517480117020192,-0.577454969099576
"211","need",0.00239633453224824,0.00139675094723542,0.00627374570160447,0.00614660164525674,1.29047410728227e-06,-0.778754526104741
"212","nervous",8.97167552320569e-07,0.00145945581579818,6.2171694595228e-07,5.80168809997265e-05,0.000517480117020192,10.6677654705672
"213","network",0.00804849011186783,1.56762171406894e-06,0.00197768160507421,0.000102645250999516,0.00191119215288505,-12.3259249834012
"214","neural",0.00415478293479655,1.56762171406894e-06,6.2171694595228e-07,7.01302957139551e-06,0.00174343051893835,-11.3719799286952
"215","neuron",0.00215409929312169,0.000754026044467157,6.2171694595228e-07,6.37548142854137e-07,0.0024531912779436,-1.51439849145193
"216","next",8.97167552320569e-07,0.0011302552558437,0.000796419407764871,0.000976086206709684,1.29047410728227e-06,10.2989835622493
"217","nice",0.00121207336318509,0.000315091964527856,0.00100158599992912,0.000338538063855547,1.29047410728227e-06,-1.94363215513831
"218","night",8.97167552320569e-07,0.00178865637575265,0.000199571139650682,0.000109020732428058,5.29094383985732e-05,10.9612111892971
