"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00448792791727631,0.0031061048292363,0.00622909423823743,0.00295084447956687,0.00091803449465782,-0.530942983660693
"2","absolut",0.00113799269911177,7.20673974300766e-06,0.000245334163081397,8.40696432925035e-06,6.5108829408356e-06,-7.3029288403638
"3","access",0.000842410179861963,0.00692567689303036,5.98376007515603e-06,8.40696432925035e-06,0.00104825215347453,3.03936030694011
"4","account",0.000103453881737434,0.00180889167549492,5.98376007515603e-06,0.00337119269602939,6.5108829408356e-06,4.12804633222427
"5","across",0.00158136647798649,0.00137648729091446,0.00275851339464693,0.00269863554968936,0.00267597288868343,-0.200180458034294
"6","activ",4.92637532083019e-06,0.00368264400867692,0.00126257337585792,0.000428755180791768,6.5108829408356e-06,9.54599968198988
"7","actual",0.00655700555202498,0.000511678521753544,5.98376007515603e-06,0.00681804807102204,0.0132887120822455,-3.67972753535495
"8","adapt",4.92637532083019e-06,0.00296197003437615,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,9.23181478473394
"9","add",0.000891673933070265,0.00332230702152653,0.000125658961578277,8.40696432925035e-06,0.000722708006432752,1.89759725439839
"10","addit",4.92637532083019e-06,0.00216922866264531,6.58213608267162e-05,0.000260615894206761,0.00182955810637481,8.78243987781196
"11","admin",4.92637532083019e-06,0.00245749825236561,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,8.96244813007643
"12","alert",4.92637532083019e-06,0.00137648729091446,5.98376007515603e-06,8.40696432925035e-06,0.000332055029982616,8.12624902908801
"13","align",4.92637532083019e-06,0.00116028509862423,5.98376007515603e-06,8.40696432925035e-06,0.000332055029982616,7.87973707916688
"14","allow",0.000842410179861963,0.00144855468834454,0.00311753899915629,0.00227828733322685,0.00254575522986672,0.782019377345291
"15","almost",0.00123652020552838,7.92741371730842e-05,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,-3.96329173426122
"16","alreadi",0.00232032277611102,7.20673974300766e-06,0.00120273577510636,8.40696432925035e-06,0.00306662586513357,-8.33076304856052
"17","alway",0.00197547650365291,7.20673974300766e-06,0.00239948779013757,0.000596894467376775,6.5108829408356e-06,-8.09863822540266
"18","analyt",0.00133504771194498,7.20673974300766e-06,0.00108306057360324,8.40696432925035e-06,0.00195977576519152,-7.53332884030161
"19","anoth",0.00271443280177744,0.00209716126521523,5.98376007515603e-06,8.40696432925035e-06,0.00208999342400823,-0.372212964610615
"20","answer",0.00103946519269517,7.20673974300766e-06,5.98376007515603e-06,0.00185793911676433,0.000787816835841108,-7.17227898765493
"21","anyth",0.00197547650365291,7.20673974300766e-06,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,-8.09863822540266
"22","api",0.000349772647778944,0.00303403743180623,5.98376007515603e-06,0.000596894467376775,0.00176444927696645,3.11674950461397
"23","app",4.92637532083019e-06,0.00166475688063477,0.00389542780892657,0.00227828733322685,6.5108829408356e-06,8.40056924246832
"24","appli",0.00103946519269517,0.00116028509862423,5.98376007515603e-06,8.40696432925035e-06,0.00156912278874138,0.158637890459692
"25","applic",0.0017291577376114,0.0125469338925763,0.0105374014923498,8.40696432925035e-06,0.000201837371165904,2.8591934683988
"26","architectur",0.00276369655498574,7.20673974300766e-06,0.00186094938337352,0.000260615894206761,6.5108829408356e-06,-8.58303675955653
"27","area",0.00143357521836159,7.92741371730842e-05,0.00108306057360324,0.00261456590639686,6.5108829408356e-06,-4.17662352321873
"28","array",5.41901285291321e-05,0.00231336345750546,5.98376007515603e-06,8.40696432925035e-06,0.00059249034761604,5.41581806953727
"29","attach",4.92637532083019e-06,0.00180889167549492,6.58213608267162e-05,8.40696432925035e-06,6.5108829408356e-06,8.52036375500303
"30","authent",4.92637532083019e-06,0.00101615030376408,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,7.68837155345105
"31","autom",4.92637532083019e-06,0.00101615030376408,0.00341672700291409,0.00463223734541695,6.5108829408356e-06,7.68837155345105
"32","automat",5.41901285291321e-05,0.00159268948320469,0.000484684566087638,8.40696432925035e-06,0.000527381518207684,4.87729114180639
"33","avail",5.41901285291321e-05,0.00209716126521523,0.00395526540967813,0.00530479449175697,0.00150401395933303,5.27426392532325
"34","avid",5.41901285291321e-05,0.00209716126521523,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,5.27426392532325
"35","avoid",4.92637532083019e-06,0.00159268948320469,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,8.33672276044369
"36","azur",4.92637532083019e-06,0.0108173163542545,5.98376007515603e-06,0.0035393319826144,7.16197123491916e-05,11.1005284626729
"37","base",5.41901285291321e-05,0.00296197003437615,0.00150192377886416,0.00438002841553943,0.00208999342400823,5.77238316609665
"38","basic",0.00320707033386045,7.20673974300766e-06,5.98376007515603e-06,8.40696432925035e-06,0.00235042874164165,-8.79769353211338
"39","bay",4.92637532083019e-06,0.00152062208577462,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,8.26991938975945
"40","becom",0.00103946519269517,7.20673974300766e-06,0.00090354777134856,8.40696432925035e-06,0.000136728541757548,-7.17227898765493
"41","begin",5.41901285291321e-05,0.00108821770119416,0.000604359767590759,0.000849103397254286,6.5108829408356e-06,4.32779332174004
"42","behind",0.00123652020552838,7.20673974300766e-06,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,-7.42272335289851
"43","believ",0.00123652020552838,7.20673974300766e-06,0.00132241097660948,8.40696432925035e-06,6.5108829408356e-06,-7.42272335289851
"44","better",0.00261590529536083,0.000511678521753544,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,-2.35400073024721
"45","big",0.0069511155776914,7.20673974300766e-06,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,-9.913682071545
"46","billion",0.00128578395873668,7.20673974300766e-06,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,-7.47908579551763
"47","bit",0.0043401366576514,7.20673974300766e-06,5.98376007515603e-06,0.00194200876005683,0.00261086405927508,-9.23417800786815
"48","bluemix",4.92637532083019e-06,0.00440331798297768,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,9.80384877087099
"49","boot",4.92637532083019e-06,0.00180889167549492,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,8.52036375500303
"50","bottom",4.92637532083019e-06,0.001880959072925,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,8.57672619762215
"51","box",0.00138431146515328,7.20673974300766e-06,5.98376007515603e-06,0.000428755180791768,0.00091803449465782,-7.58560611916867
"52","bring",0.00350265285311027,7.20673974300766e-06,0.000783872569845439,0.0036234016259069,6.5108829408356e-06,-8.92488554856716
"53","build",0.0068525880712748,0.000799948111473851,5.98376007515603e-06,0.000596894467376775,0.00222021108282494,-3.09867063713987
"54","busi",0.00148283897156989,7.20673974300766e-06,0.00838324786529359,0.00547293377834198,6.5108829408356e-06,-7.68479947570744
"55","cabl",4.92637532083019e-06,0.00353850921381676,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,9.48839941536695
"56","cach",4.92637532083019e-06,0.00519605935470852,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,10.0426756502931
"57","call",0.0017784214908197,0.00418711579068745,5.98376007515603e-06,0.0034552623393219,0.0039130406474422,1.23535952756962
"58","capac",0.000152717634945736,0.001880959072925,0.000724034969093879,8.40696432925035e-06,6.5108829408356e-06,3.62252988723527
"59","card",4.92637532083019e-06,0.00346644181638669,5.98376007515603e-06,0.000428755180791768,6.5108829408356e-06,9.4587132848223
"60","care",0.00133504771194498,0.00166475688063477,6.58213608267162e-05,8.40696432925035e-06,0.000332055029982616,0.318420201114445
"61","case",0.00236958652931932,0.00166475688063477,5.98376007515603e-06,0.00177386947347182,0.00430369362389234,-0.509323841301725
"62","caus",0.00103946519269517,0.000367543726893391,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,-1.49985364568343
"63","caution",4.92637532083019e-06,0.00101615030376408,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,7.68837155345105
"64","certain",0.00251737778894423,7.20673974300766e-06,5.98376007515603e-06,0.00168979983017932,7.16197123491916e-05,-8.44835927988536
"65","chang",0.00606436801994197,7.92741371730842e-05,0.00204046218562821,0.000176546250914257,0.00163423161814974,-6.2573632267949
"66","check",4.92637532083019e-06,0.00339437441895661,5.98376007515603e-06,8.40696432925035e-06,0.00104825215347453,9.42840345066504
"67","choo",4.92637532083019e-06,0.00202509386778515,5.98376007515603e-06,8.40696432925035e-06,0.000787816835841108,8.68324652127319
"68","claim",0.00143357521836159,7.20673974300766e-06,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,-7.63605514185603
"69","click",4.92637532083019e-06,0.00296197003437615,0.000664197368342319,0.000512824824084271,6.5108829408356e-06,9.23181478473394
"70","cloud",4.92637532083019e-06,0.00195302647035508,0.0294460833298428,0.00454816770212444,0.000397163859390972,8.63096924240613
"71","cluster",4.92637532083019e-06,0.00584466593157921,6.58213608267162e-05,8.40696432925035e-06,0.000983143324066177,10.2123783052695
"72","code",0.00320707033386045,0.00195302647035508,5.98376007515603e-06,8.40696432925035e-06,0.00215510225341659,-0.715544490759505
"73","collect",0.00128578395873668,7.20673974300766e-06,5.98376007515603e-06,8.40696432925035e-06,0.00208999342400823,-7.47908579551763
"74","compani",0.00502982920256763,7.20673974300766e-06,5.98376007515603e-06,8.40696432925035e-06,7.16197123491916e-05,-9.44694694982554
"75","complet",5.41901285291321e-05,0.00202509386778515,5.98376007515603e-06,8.40696432925035e-06,0.00261086405927508,5.22381490263589
"76","complex",0.00103946519269517,0.000223408932033238,0.0017412741818704,8.40696432925035e-06,6.5108829408356e-06,-2.21808267726805
"77","complianc",0.000201981388154038,0.00123235249605431,0.00096338537210012,8.40696432925035e-06,6.5108829408356e-06,2.60912071132007
"78","compo",0.000300508894570642,0.00260163304722577,0.00694714544725614,8.40696432925035e-06,0.00059249034761604,3.11393789037654
"79","compon",4.92637532083019e-06,0.00202509386778515,0.000125658961578277,9.24766076217539e-05,0.000462272688799328,8.68324652127319
"80","comput",0.00241885028252762,7.20673974300766e-06,0.00461347901794529,8.40696432925035e-06,0.000983143324066177,-8.39075901326243
"81","concept",0.0018769489972363,7.92741371730842e-05,0.000125658961578277,9.24766076217539e-05,6.5108829408356e-06,-4.56539536780377
"82","configur",4.92637532083019e-06,0.00476365497012806,0.00096338537210012,8.40696432925035e-06,0.000852925665249464,9.91732666255995
"83","confirm",4.92637532083019e-06,0.00144855468834454,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,8.19987189223119
"84","connect",4.92637532083019e-06,0.00678154209817021,5.98376007515603e-06,0.00236235697651935,0.000527381518207684,10.4268711137808
"85","consist",4.92637532083019e-06,0.00166475688063477,0.00090354777134856,0.000344685537499264,6.5108829408356e-06,8.40056924246832
"86","contain",4.92637532083019e-06,0.00180889167549492,0.00186094938337352,8.40696432925035e-06,6.5108829408356e-06,8.52036375500303
"87","content",5.41901285291321e-05,0.00216922866264531,5.98376007515603e-06,0.000260615894206761,6.5108829408356e-06,5.32300825917467
"88","continu",0.00118725645232008,0.000151341534603161,0.000484684566087638,0.00446409805883194,6.5108829408356e-06,-2.97175171239894
"89","control",0.000399036400987245,0.00642120511101983,0.000424846965336078,8.40696432925035e-06,6.5108829408356e-06,4.00825181968956
"90","cool",0.00049756390740385,0.00152062208577462,0.000484684566087638,0.000176546250914257,6.5108829408356e-06,1.61170790700765
"91","cost",0.000103453881737434,0.00137648729091446,0.00407494061118125,8.40696432925035e-06,0.000852925665249464,3.73393160630925
"92","cour",0.00202474025686121,0.000799948111473851,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,-1.33975851627932
"93","cover",4.92637532083019e-06,0.00123235249605431,0.000664197368342319,0.00135352125700931,6.5108829408356e-06,7.96667271593816
"94","cpu",4.92637532083019e-06,0.00116028509862423,0.000664197368342319,8.40696432925035e-06,0.000397163859390972,7.87973707916688
"95","creat",0.00202474025686121,0.00872736182878228,5.98376007515603e-06,8.40696432925035e-06,0.00521521723560932,2.10780876706491
"96","current",0.00128578395873668,0.00116028509862423,0.000125658961578277,0.000849103397254286,6.5108829408356e-06,-0.148168917403008
"97","custom",4.92637532083019e-06,0.00216922866264531,0.0163416487652511,0.0140480373941773,0.00222021108282494,8.78243987781196
"98","dashboard",4.92637532083019e-06,0.00260163304722577,5.98376007515603e-06,0.000344685537499264,6.5108829408356e-06,9.04467522793943
"99","data",0.0250309130051382,7.20673974300766e-06,5.98376007515603e-06,8.40696432925035e-06,0.0710402437674573,-11.7620765477455
"100","databa",0.0018769489972363,7.20673974300766e-06,5.98376007515603e-06,8.40696432925035e-06,0.00202488459459987,-8.02482698644106
"101","day",0.0017291577376114,7.20673974300766e-06,0.00090354777134856,0.00101724268383929,0.00215510225341659,-7.9065070192523
"102","deal",0.00305927907423555,7.20673974300766e-06,5.98376007515603e-06,0.000260615894206761,6.5108829408356e-06,-8.72962925716822
"103","decad",0.00108872894590347,7.20673974300766e-06,5.98376007515603e-06,8.40696432925035e-06,6.5108829408356e-06,-7.23908235833917
"104","deci",0.00128578395873668,7.20673974300766e-06,5.98376007515603e-06,0.00177386947347182,6.5108829408356e-06,-7.47908579551763
"105","deep",0.0017784214908197,7.20673974300766e-06,5.98376007515603e-06,8.40696432925035e-06,0.000527381518207684,-7.94703482583491
"106","defin",0.000399036400987245,0.00123235249605431,0.00126257337585792,8.40696432925035e-06,0.00117846981229124,1.62682271305353
