"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00124693524855408,0.00135452004566901,0.00361544809873821,0.00767060363641997,0.00158556243463772,0.119395194117675
"2","achiev",1.68277361478283e-06,0.00127267593414823,0.00035465343971816,0.000176224420831663,1.46675525868429e-06,9.56280828974689
"3","acid",1.68277361478283e-06,0.00274586994152238,0.000102530141340321,1.93653209705124e-06,1.46675525868429e-06,10.6722064758165
"4","actual",0.0146922964306689,4.50142613364325e-05,0.00354821521917078,1.93653209705124e-06,0.00821529620389071,-8.35046204796294
"5","advanc",0.000186787871240894,0.0014363641571898,0.0013295301934458,0.00102829854353421,0.000104139623366585,2.94294887357074
"6","aireo",1.68277361478283e-06,0.00184558471479373,1.68082198918559e-06,1.93653209705124e-06,1.46675525868429e-06,10.0990211428717
"7","allow",1.68277361478283e-06,0.00266402583000159,0.000522735638636719,0.00259688954214572,0.0014095518035956,10.6285512527819
"8","alreadi",0.00116279656781494,4.09220557603932e-06,0.00164888637139106,0.000718453408006011,0.00252428580019566,-8.15050438077197
"9","alway",0.00197052790291069,0.000986221543825475,0.000875708256365693,0.00139623964197395,0.000309485359582385,-0.998598504654963
"10","amount",0.0007252754279714,0.00315509049912631,0.000959749355824972,0.000369877630536787,0.000998860331164003,2.12108051044223
"11","anoth",0.00104500241478014,0.00176374060327295,0.00227079050738973,0.00151243156779702,0.00121887361996665,0.755132120484908
"12","answer",0.00126376298470191,4.09220557603932e-06,0.00154803705203993,1.93653209705124e-06,0.000661506621666615,-8.27063157789798
"13","anti",1.68277361478283e-06,0.00180466265903334,1.68082198918559e-06,1.93653209705124e-06,1.46675525868429e-06,10.0666723651738
"14","antimatt",1.68277361478283e-06,0.00344154488944907,1.68082198918559e-06,1.93653209705124e-06,1.46675525868429e-06,10.9979995098714
"15","anupam",1.68277361478283e-06,0.00160005238023137,1.68082198918559e-06,1.93653209705124e-06,1.46675525868429e-06,9.89306231692364
"16","anybodi",0.00112914109551928,4.09220557603932e-06,5.21054816647534e-05,1.93653209705124e-06,1.46675525868429e-06,-8.10813143658389
"17","anyth",0.00106183015092797,0.000167780428617612,0.00035465343971816,4.06671740380761e-05,0.00136554914583507,-2.66190667074818
"18","aparajita",1.68277361478283e-06,0.00139544210142941,1.68082198918559e-06,1.93653209705124e-06,1.46675525868429e-06,9.69566544864047
"19","area",0.00176859506913675,0.000454234818940364,0.00122868087409467,0.00170608477750215,3.08018604323701e-05,-1.96109356799578
"20","ask",0.00234073809816292,4.09220557603932e-06,0.00200185898912004,1.93653209705124e-06,0.00121887361996665,-9.15986918492595
"21","assembl",1.68277361478283e-06,0.00114990976686705,0.0015984617117155,1.93653209705124e-06,1.46675525868429e-06,9.41646383983722
"22","atom",6.89937182060961e-05,0.00139544210142941,1.68082198918559e-06,1.93653209705124e-06,7.48045181928988e-05,4.33811344402238
"23","bank",0.00146569581847584,4.09220557603932e-06,1.68082198918559e-06,1.93653209705124e-06,1.46675525868429e-06,-8.48449138898257
"24","base",0.000708447691823571,0.008638645971019,0.00248929736598386,0.00232577504855854,0.00242161293208777,3.60807195989705
"25","basic",0.00378792340687615,0.000208702484378005,0.00129591375366209,1.93653209705124e-06,0.00689521647107485,-4.18188747986637
"26","beam",1.68277361478283e-06,0.00131359798990862,1.68082198918559e-06,1.93653209705124e-06,1.46675525868429e-06,9.60846700673859
